date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
08/01/2010,"2 Castlegate House, Adamstown",Dublin,195000.0,Yes,Adamstown,Co. Dublin,q2,50%
13/01/2010,"3 Castlegate House, Adamstown, Dublin 15",Dublin,124669.0,Yes,Adamstown,Co. Dublin,q1,20%
13/01/2010,"3 Castlegate House, Castlegate, Adamstown",Dublin,124669.6,Yes,Adamstown,Co. Dublin,q1,20%
14/01/2010,"5 Castlegate House, Castlegate, Adamstown",Dublin,167400.88,Yes,Adamstown,Co. Dublin,q2,30%
14/01/2010,"7  Castlegate Drive, Adamstown Castle, Adamstown",Dublin,216750.0,Yes,Adamstown,Co. Dublin,q2,50%
15/01/2010,"1 Castlegate View, Adamstown Castle, Adamstown",Dublin,172956.0,Yes,Adamstown,Co. Dublin,q2,40%
18/01/2010,"11 The Paddocks Walk, Adamstown, Co. Dublin",Dublin,231388.0,Yes,Adamstown,Co. Dublin,q3,60%
22/01/2010,"35 Castle Park, Adamstown Castle, Adamstown",Dublin,148030.91,Yes,Adamstown,Co. Dublin,q1,30%
29/01/2010,"14 Castlegate Downs, Adamstown",Dublin,224669.6,Yes,Adamstown,Co. Dublin,q2,50%
11/02/2010,"8 Castlegate Copse, Adamstown Castle, Adamstown",Dublin,193832.59,Yes,Adamstown,Co. Dublin,q2,40%
11/02/2010,"8 Castlegate Copse, Adamstown Castle, Adamstown",Dublin,193832.59,Yes,Adamstown,Co. Dublin,q2,40%
12/02/2010,"16 The Paddocks View, The Paddocks, Adamstown",Dublin,206186.0,Yes,Adamstown,Co. Dublin,q2,50%
12/02/2010,"31 The Paddocks Grove, Adamstown",Dublin,281938.33,Yes,Adamstown,Co. Dublin,q4,90%
14/02/2010,"4 Castlegate House, Adamstown",Dublin,168675.0,Yes,Adamstown,Co. Dublin,q2,30%
15/02/2010,"12 Castlegate Grange, Adamstown Castle  Lucan",Dublin,193832.6,Yes,Adamstown,Co. Dublin,q2,40%
15/02/2010,"33 Castle Park, Adamstown Castle, Adamstown",Dublin,146247.28,Yes,Adamstown,Co. Dublin,q1,30%
19/02/2010,"31 The Paddocks View, Adamstown",Dublin,229950.0,Yes,Adamstown,Co. Dublin,q3,60%
09/03/2010,"46 Stratton Grove, Adamstown Square, Adamstown",Dublin,139879.0,Yes,Adamstown,Co. Dublin,q1,20%
10/03/2010,"36 Stratton Grove, Adamstown Square, Adamstown",Dublin,136245.81,Yes,Adamstown,Co. Dublin,q1,20%
11/03/2010,"58 Stratton Walk, Adamstown Square, Adamstown",Dublin,260000.0,Yes,Adamstown,Co. Dublin,q4,80%
12/03/2010,"28 The Paddocks Crescent, Adamstown",Dublin,277533.03,Yes,Adamstown,Co. Dublin,q4,90%
24/03/2010,"43 Castlegate Park, Adamstown Castle, Adamstown",Dublin,171134.0,Yes,Adamstown,Co. Dublin,q2,30%
29/03/2010,"3 Castlegate Vale, Adamstown Castle, Adamstown",Dublin,1481111.1,Yes,Adamstown,Co. Dublin,q4,100%
07/04/2010,"38 Castlegate Park, Adamstown Castle, Dublin",Dublin,202643.17,Yes,Adamstown,Co. Dublin,q2,50%
13/04/2010,"22 The Paddocks View, The Paddocks, Adamstown",Dublin,267000.0,Yes,Adamstown,Co. Dublin,q4,90%
14/04/2010,"42 The Paddocks View, Adamstown, Co. Dublin",Dublin,280000.0,Yes,Adamstown,Co. Dublin,q4,90%
22/04/2010,"3 Castlegate Copse, Adamstown",Dublin,198237.88,Yes,Adamstown,Co. Dublin,q2,50%
23/04/2010,"44 The Paddocks Grove, Adamstown, Co. Dublin",Dublin,231404.95,Yes,Adamstown,Co. Dublin,q3,60%
27/04/2010,"12 The Paddocks Crescent, Adamstown",Dublin,285000.0,Yes,Adamstown,Co. Dublin,q4,90%
27/04/2010,"57 Castlegate Park, Adamstown Castle, Adamstown",Dublin,171134.0,Yes,Adamstown,Co. Dublin,q2,30%
30/04/2010,"11 The Paddocks Crescent, Adamstown, County Dublin",Dublin,275000.0,Yes,Adamstown,Co. Dublin,q4,90%
30/04/2010,"129 Adamstown Avenue, Adamstown Castle, Adamstown",Dublin,198237.88,Yes,Adamstown,Co. Dublin,q2,50%
30/04/2010,"67 Adamstown Way, Adamstown Square, Adamstown",Dublin,181818.0,Yes,Adamstown,Co. Dublin,q2,40%
06/05/2010,"4 The Paddocks View, Adamstown",Dublin,206186.0,Yes,Adamstown,Co. Dublin,q2,50%
07/05/2010,"33 The Paddocks Grove, Adamstown, Co. Dublin",Dublin,315000.0,Yes,Adamstown,Co. Dublin,q4,100%
07/05/2010,"Apt 8  The Paddocks Cresent, Adamstown",Dublin,149779.73,Yes,Adamstown,Co. Dublin,q1,30%
10/05/2010,"31 Adamstown Way, Adamstown Square, Adamstown",Dublin,190000.0,Yes,Adamstown,Co. Dublin,q2,40%
13/05/2010,"13 Stratton Walk, Adamstown Square, Adamstown",Dublin,230000.0,Yes,Adamstown,Co. Dublin,q3,60%
14/05/2010,"9 Castlegate Drive, Adamstown",Dublin,232500.0,No,Adamstown,Co. Dublin,q3,60%
20/05/2010,"27 Adamstown Way, Adamsstown, Dublin",Dublin,157550.0,Yes,Adamstown,Co. Dublin,q1,30%
22/05/2010,"61 Castlegate Park, Adamstown, County Dublin",Dublin,148962.11,Yes,Adamstown,Co. Dublin,q1,30%
26/05/2010,"41 Castlegate Park, Adamstown, Co. Dublin",Dublin,148960.35,Yes,Adamstown,Co. Dublin,q1,30%
27/05/2010,"13 Adamstown Way, Adamstown Square, Adamstown",Dublin,199950.0,Yes,Adamstown,Co. Dublin,q2,50%
27/05/2010,"40 The Paddocks Grove, Adamstown, Co. Dublin",Dublin,257500.0,Yes,Adamstown,Co. Dublin,q3,80%
04/06/2010,"80 Adamstown Avenue, Adamstown Square, Adamstown",Dublin,178414.1,Yes,Adamstown,Co. Dublin,q2,40%
08/06/2010,"10 Stratton Grove, Adamstown Square, Adamstown",Dublin,156701.0,Yes,Adamstown,Co. Dublin,q1,30%
10/06/2010,"7 Castlegate Park, Adamstown Castle, Adamstown",Dublin,273127.0,Yes,Adamstown,Co. Dublin,q4,90%
11/06/2010,"36 The Paddocks Drive, Adamstown",Dublin,174009.0,Yes,Adamstown,Co. Dublin,q2,40%
16/06/2010,"17 Stratton Walk, Adamstown Square, Adamstown",Dublin,199950.0,Yes,Adamstown,Co. Dublin,q2,50%
16/06/2010,"17 Stratton Walk, Adamstown Square, Adamstown",Dublin,176167.4,Yes,Adamstown,Co. Dublin,q2,40%
17/06/2010,"19 Adamstown Way, Adamstown Square, Adamstown",Dublin,225000.0,Yes,Adamstown,Co. Dublin,q2,50%
21/06/2010,"21 Adamstown Way, Adamstown Square, Adamstown",Dublin,176167.4,Yes,Adamstown,Co. Dublin,q2,40%
24/06/2010,"69 Adamstown Way, Adamstown Square, Adamstown",Dublin,198237.88,Yes,Adamstown,Co. Dublin,q2,50%
