date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
11/10/2011,"198 The Spinnaker, Arran Quay, Dublin",Dublin,129000.0,No,Arran Quay,Dublin 7,q1,20%
09/01/2012,"Apt 234 The Schooner, Arran Quay, Dublin 7",Dublin,107500.0,No,Arran Quay,Dublin 7,q1,10%
23/05/2012,"193 The Spinnaker, Arran Quay",Dublin,131000.0,No,Arran Quay,Dublin 7,q1,20%
01/08/2012,"208 The Schooner, Arran Quay, Dublin 7",Dublin,60000.0,No,Arran Quay,Dublin 7,q1,10%
12/12/2012,"Apartment 87, The Chandler, Arran Quay",Dublin,95500.0,No,Arran Quay,Dublin 7,q1,10%
25/01/2013,"Apt 220 The Schooner, Arran Quay",Dublin,112000.0,No,Arran Quay,Dublin 7,q1,10%
23/05/2013,"Apartment 98 The Chandler, Arran Quay, Dublin 7",Dublin,114000.0,No,Arran Quay,Dublin 7,q1,10%
07/05/2014,"18 The Chandler, Arran Quay, Dublin 7",Dublin,118000.0,No,Arran Quay,Dublin 7,q1,10%
15/07/2014,"175 The Spinnaker, Arran Quay",Dublin,182300.0,No,Arran Quay,Dublin 7,q2,50%
21/08/2014,"79 The Chandler, Arran Quay, Dublin 7",Dublin,150000.0,No,Arran Quay,Dublin 7,q2,40%
28/11/2014,"213 The Schooner, Arran Quay, Dublin 7",Dublin,160000.0,No,Arran Quay,Dublin 7,q2,40%
28/11/2014,"Apt 69, The Chandler, Arran Quay Dublin 7",Dublin,180000.0,No,Arran Quay,Dublin 7,q2,50%
09/12/2014,"5 Arran Quay, Dublin 7",Dublin,290000.0,No,Arran Quay,Dublin 7,q4,100%
18/12/2014,"154 The Spinaker, Arran Quay, Dublin 1",Dublin,230000.0,No,Arran Quay,Dublin 7,q4,90%
06/01/2015,"32 The Chandler, Arran Quay, Dublin 7",Dublin,100000.0,No,Arran Quay,Dublin 7,q1,10%
24/08/2015,"183 The Spinnaker, Arran Quay, Dublin 7",Dublin,165000.0,No,Arran Quay,Dublin 7,q2,50%
02/10/2015,"86 Arran Quay, Dublin 7, Dublin",Dublin,147500.0,No,Arran Quay,Dublin 7,q2,30%
17/11/2015,"164 The Spinnaker, Arran Quay, Dublin 7",Dublin,140000.0,No,Arran Quay,Dublin 7,q1,30%
27/11/2015,"104 The Chandler, Arran Quay, Dublin 7",Dublin,140000.0,No,Arran Quay,Dublin 7,q1,30%
03/12/2015,"64 The Chandler, Arran Quay, Dublin 7",Dublin,138000.0,No,Arran Quay,Dublin 7,q1,20%
18/12/2015,"Apt 62, The Chandler, Arran Quay Dublin 7",Dublin,143000.0,No,Arran Quay,Dublin 7,q2,30%
