date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
19/01/2010,"8 Gracefield Court, Artane",Dublin,282000.0,No,Artane,Dublin 5,q2,50%
25/01/2010,"98 St. Davids, Artane",Dublin,318000.0,No,Artane,Dublin 5,q3,60%
28/01/2010,"1 Ennel Park, Artane",Dublin,270000.0,No,Artane,Dublin 5,q2,40%
28/01/2010,"10 Brookwood Lawn, Artane, Dublin 5",Dublin,410000.0,No,Artane,Dublin 5,q4,90%
01/02/2010,"33 Brookwood Lawn, Artane",Dublin,470000.0,No,Artane,Dublin 5,q4,100%
10/02/2010,"191 Timbermill, Kilmore Road, Artane",Dublin,193832.7,Yes,Artane,Dublin 5,q1,20%
12/02/2010,"128, Ardmore Drive, Artane",Dublin,325000.0,No,Artane,Dublin 5,q3,70%
12/02/2010,"164  Beauvale Park, Artane, Dublin",Dublin,250000.0,No,Artane,Dublin 5,q2,40%
19/02/2010,"19 Maryfield Drive, Artane",Dublin,296000.0,No,Artane,Dublin 5,q3,60%
24/02/2010,"3 The Mews  Brookwood Crescent, Artane, Dublin 5",Dublin,370000.0,Yes,Artane,Dublin 5,q4,80%
25/02/2010,"1 Ardmore Grove, Artane, Dublin",Dublin,395000.0,No,Artane,Dublin 5,q4,90%
26/02/2010,"19  Ardmore Close, Artane, Dublin  5",Dublin,280000.0,No,Artane,Dublin 5,q2,50%
01/03/2010,"84 Ardcollum Avenue, Artane, Dublin 5",Dublin,252000.0,No,Artane,Dublin 5,q2,40%
05/03/2010,"98 Hazelwood Park, Artane",Dublin,93750.0,No,Artane,Dublin 5,q1,10%
10/03/2010,"17 Whitethorn Grove, Artane",Dublin,330000.0,No,Artane,Dublin 5,q3,70%
22/03/2010,"2 Brookwood Mews, Artane",Dublin,372500.0,Yes,Artane,Dublin 5,q4,80%
25/03/2010,"87 Brookwood Avenue, Artane, Dublin 5",Dublin,370000.0,No,Artane,Dublin 5,q4,80%
26/03/2010,"130 Brookwood Avenue, Artane, Dublin 5",Dublin,405000.0,No,Artane,Dublin 5,q4,90%
26/03/2010,"64 Brookwood Rise, Artane, Dublin 5",Dublin,277500.0,No,Artane,Dublin 5,q2,50%
26/03/2010,"65 Rosemount Avenue, Artane, Dublin 5",Dublin,315000.0,No,Artane,Dublin 5,q3,60%
29/03/2010,"30 Kilmore Avenue, Artane",Dublin,300000.0,No,Artane,Dublin 5,q3,60%
01/04/2010,"45 Kilmore Avenue, Artane",Dublin,315000.0,No,Artane,Dublin 5,q3,60%
16/04/2010,"101 Brookwood Avenue, Artane",Dublin,350000.0,No,Artane,Dublin 5,q3,80%
20/04/2010,"58 Brookwood Heights, Artane",Dublin,335000.0,No,Artane,Dublin 5,q3,70%
05/05/2010,"34  Brookwood Lawn, Artane",Dublin,360000.0,No,Artane,Dublin 5,q3,80%
07/05/2010,"11  Danielli Drive, Artane, Dublin",Dublin,395000.0,No,Artane,Dublin 5,q4,90%
14/05/2010,"27 Gracefield Avenue, Artane",Dublin,393000.0,No,Artane,Dublin 5,q4,90%
25/05/2010,"62 Gracefield Avenue, Artane",Dublin,220000.0,No,Artane,Dublin 5,q1,20%
27/05/2010,"39 Chanel Avenue, Artane",Dublin,250000.0,No,Artane,Dublin 5,q2,40%
02/06/2010,"11  St. Brigids Lawn, Artane",Dublin,385000.0,No,Artane,Dublin 5,q4,80%
04/06/2010,"9 Brookwood Crescent, Artane",Dublin,396000.0,No,Artane,Dublin 5,q4,90%
10/06/2010,"3 Mount Dillon Cottages, Artane, Dublin",Dublin,230000.0,No,Artane,Dublin 5,q1,30%
21/06/2010,"97 St. Davids, Artane, Dublin 5",Dublin,350000.0,No,Artane,Dublin 5,q3,80%
28/06/2010,"50 Brookwood Avenue, Artane, Dublin 5.",Dublin,325000.0,No,Artane,Dublin 5,q3,70%
05/07/2010,"63 Gracefield Avenue, Artane",Dublin,277000.0,No,Artane,Dublin 5,q2,50%
08/07/2010,"32 Whitethorn Grove, Artane",Dublin,375000.0,No,Artane,Dublin 5,q4,80%
12/07/2010,"7 Thorndale Park, Artane, Dublin 5",Dublin,326000.0,No,Artane,Dublin 5,q3,70%
15/07/2010,"22 Castleview, Artane, Dublin 5",Dublin,320000.0,No,Artane,Dublin 5,q3,60%
21/07/2010,"11 Beechlawn Green, Artane",Dublin,295000.0,No,Artane,Dublin 5,q2,50%
