date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
15/01/2010,"48 Royal Canal Court, Royal Canal Way, Ashtown",Dublin,163000.0,Yes,Ashtown,Dublin 15,q1,30%
21/01/2010,"Apartment 72 Royal Canal Court, Royal Canal Way, Ashtown",Dublin,147136.5,Yes,Ashtown,Dublin 15,q1,20%
21/01/2010,"No 42 Royal Canal Court, Ashtown, Dublin 15",Dublin,263665.19,Yes,Ashtown,Dublin 15,q2,50%
27/01/2010,"3 The Waxworks, Ashtown Square, Ashtown",Dublin,255507.0,Yes,Ashtown,Dublin 15,q2,50%
27/01/2010,"59 The Waxworks, Ashtown Square, Ashtown",Dublin,255507.0,Yes,Ashtown,Dublin 15,q2,50%
02/02/2010,"20 Royal Canal Court, Ashtown, Dublin 15",Dublin,17666.67,Yes,Ashtown,Dublin 15,q1,10%
05/02/2010,"104 Royal Canal Court, Royal Canal Way, Ashtown",Dublin,150660.0,Yes,Ashtown,Dublin 15,q1,20%
09/02/2010,"44 Royal Canal Court, Royal Canal Way, Ashtown",Dublin,143612.33,Yes,Ashtown,Dublin 15,q1,20%
10/02/2010,"Apt 130 Royal Canal Court, Ashtown, Dublin 15",Dublin,163225.0,Yes,Ashtown,Dublin 15,q1,30%
10/02/2010,"No. 130 Royal Canal Court, Ashtown, Dublin 15",Dublin,163224.67,Yes,Ashtown,Dublin 15,q1,30%
12/02/2010,"102  Royal Canal Court, Royal Canal Way, Ashtown",Dublin,76000.0,Yes,Ashtown,Dublin 15,q1,10%
22/02/2010,"46 Royal Canal Court, Royal Canal Way, Ashtown",Dublin,143612.33,Yes,Ashtown,Dublin 15,q1,20%
01/03/2010,"106 Royal Canal Court, Ashtown",Dublin,285000.0,Yes,Ashtown,Dublin 15,q3,60%
03/03/2010,"134 Royal Canal Court, Royal Canal Way, Ashtown",Dublin,295000.0,Yes,Ashtown,Dublin 15,q3,70%
05/03/2010,"Unit 128 Royal Canal Court, Royal Canal Way, Ashtown",Dublin,37843.75,Yes,Ashtown,Dublin 15,q1,10%
11/03/2010,"Apartment 5  Ashbrook, Ashtown",Dublin,105000.0,No,Ashtown,Dublin 15,q1,10%
12/03/2010,"76 Royal Canal Court, Ashtown",Dublin,145374.45,Yes,Ashtown,Dublin 15,q1,20%
12/03/2010,"Unit 100 Royal Canal Court, Royal Canal Way, Ashtown",Dublin,76000.0,Yes,Ashtown,Dublin 15,q1,10%
01/04/2010,"132 Royal Canal Court, Royal Canal Way, Ashtown",Dublin,140969.16,Yes,Ashtown,Dublin 15,q1,20%
07/04/2010,"98 Royal Canal Court, Ashtown, Dublin 15",Dublin,278000.0,Yes,Ashtown,Dublin 15,q3,60%
09/04/2010,"16 Royal Canal Court, Ashtown",Dublin,140088.1,Yes,Ashtown,Dublin 15,q1,20%
09/04/2010,"Unit 78  Royal Canal Court, Royal Canal Way  Ashtown, Dublin 15",Dublin,252863.44,Yes,Ashtown,Dublin 15,q2,50%
13/04/2010,"126 Royal Canal Court, Royal Canal Way, Ashtown",Dublin,246696.0,Yes,Ashtown,Dublin 15,q2,50%
13/04/2010,"152 Royal Canal Court, Ashtown, Dublin 15",Dublin,290748.89,Yes,Ashtown,Dublin 15,q3,60%
16/04/2010,"52 Royal Canal Court, Royal Canal Way, Ashtown",Dublin,254000.0,Yes,Ashtown,Dublin 15,q2,50%
30/04/2010,"5 Rathborne Close, Ashtown",Dublin,370000.0,No,Ashtown,Dublin 15,q4,100%
18/05/2010,"152 Rathborne Court, Earlswood  Ashtown, Dublin 15",Dublin,208444.0,Yes,Ashtown,Dublin 15,q2,40%
16/06/2010,"68 The Chandler Building, Rathborne Village, Ashtown",Dublin,203540.0,Yes,Ashtown,Dublin 15,q2,40%
24/06/2010,"53 The Chandler Building, Rathborne Village, Ashtown",Dublin,217500.0,Yes,Ashtown,Dublin 15,q2,40%
03/08/2010,"No 3 Parkview, Rathbourne, Ashtown",Dublin,305000.0,No,Ashtown,Dublin 15,q3,70%
20/08/2010,"116 Royal Canal Court, Royal Canal Way, Ashtown  Dublin 15",Dublin,214375.0,Yes,Ashtown,Dublin 15,q2,40%
30/08/2010,"17 Discovery Building, Royal Canal Park, Ashtown",Dublin,248000.0,Yes,Ashtown,Dublin 15,q2,50%
10/09/2010,"138 Royal Canal Court, Royal Canal Way, Ashtown",Dublin,195000.0,Yes,Ashtown,Dublin 15,q2,40%
11/10/2010,"136 Royal Canal Court, Royal Canal Way, Ashtown",Dublin,195000.0,Yes,Ashtown,Dublin 15,q2,40%
22/10/2010,"1 Rathborne View, Rathborne Avenue, Ashtown",Dublin,76000.0,Yes,Ashtown,Dublin 15,q1,10%
22/10/2010,"10 Rathborne View, Rathborne Avenue, Ashtown",Dublin,76000.0,Yes,Ashtown,Dublin 15,q1,10%
22/10/2010,"11 Rathborne View, Rathborne Avenue, Ashtown",Dublin,76000.0,Yes,Ashtown,Dublin 15,q1,10%
22/10/2010,"12 Rathborne View, Rathborne Avenue, Ashtown",Dublin,76000.0,Yes,Ashtown,Dublin 15,q1,10%
22/10/2010,"2 Rathborne View, Rathborne Avenue, Ashtown",Dublin,76000.0,Yes,Ashtown,Dublin 15,q1,10%
22/10/2010,"3 Rathborne View, Rathborne Avenue, Ashtown",Dublin,76000.0,Yes,Ashtown,Dublin 15,q1,10%
22/10/2010,"4 Rathborne View, Rathborne Avenue, Ashtown",Dublin,76000.0,Yes,Ashtown,Dublin 15,q1,10%
22/10/2010,"5 Rathborne View, Rathborne Avenue, Ashtown",Dublin,76000.0,Yes,Ashtown,Dublin 15,q1,10%
22/10/2010,"6 Rathborne View, Rathborne Avenue, Ashtown",Dublin,76000.0,Yes,Ashtown,Dublin 15,q1,10%
22/10/2010,"7 Rathborne View, Rathborne Avenue, Ashtown",Dublin,76000.0,Yes,Ashtown,Dublin 15,q1,10%
22/10/2010,"8 Rathborne View, Rathborne Avenue, Ashtown",Dublin,76000.0,Yes,Ashtown,Dublin 15,q1,10%
22/10/2010,"9 Rathborne View, Rathborne Avenue, Ashtown",Dublin,76000.0,Yes,Ashtown,Dublin 15,q1,10%
27/10/2010,"180 Rathborne Court, Earlswood, Ashtown",Dublin,352423.0,Yes,Ashtown,Dublin 15,q4,90%
03/11/2010,"110 Royal Canal Court, Ashtown",Dublin,190000.0,Yes,Ashtown,Dublin 15,q2,30%
12/11/2010,"112 Royal Canal Court, Royal Canal Way, Ashtown",Dublin,180845.81,Yes,Ashtown,Dublin 15,q2,30%
10/12/2010,"82 Royal Canal Court, Royal Canal Way, Ashtown",Dublin,171806.0,Yes,Ashtown,Dublin 15,q1,30%
20/12/2010,"110 Rathborne Court, Ashtown",Dublin,171806.17,Yes,Ashtown,Dublin 15,q2,30%
20/12/2010,"116 Rathborne Court, Ashtown",Dublin,171806.17,Yes,Ashtown,Dublin 15,q2,30%
20/12/2010,"146 Rathborne Court, Ashtown",Dublin,171806.17,Yes,Ashtown,Dublin 15,q2,30%
20/12/2010,"38 Rathborne Court, Ashtown",Dublin,171806.17,Yes,Ashtown,Dublin 15,q2,30%
20/12/2010,"40 Rathborne Court, Ashtown",Dublin,171806.17,Yes,Ashtown,Dublin 15,q2,30%
20/12/2010,"42 Rathborne Court, Ashtown",Dublin,171806.17,Yes,Ashtown,Dublin 15,q2,30%
20/12/2010,"44 Rathborne Court, Ashtown",Dublin,171806.17,Yes,Ashtown,Dublin 15,q2,30%
20/12/2010,"74 Rathborne Court, Ashtown",Dublin,171806.17,Yes,Ashtown,Dublin 15,q2,30%
18/04/2011,"140 Royal Canal Court, Royal Canal Way, Ashtown",Dublin,190000.0,Yes,Ashtown,Dublin 15,q2,30%
23/06/2011,"No.84 Royal Canal Court, Ashtown",Dublin,171806.16,Yes,Ashtown,Dublin 15,q2,30%
04/07/2012,"166 Meridian Court, Royal Canal Park, Ashtown",Dublin,112000.0,No,Ashtown,Dublin 15,q1,20%
05/07/2012,"39 Compass Court South, Royal Canal Park, Ashtown",Dublin,262000.0,Yes,Ashtown,Dublin 15,q2,50%
17/07/2012,"12 Park View, Ashtown",Dublin,166000.0,No,Ashtown,Dublin 15,q1,30%
30/07/2012,"Apt 79  Meridan Court, Magellan Crescent, Ratoath Road  Ashtown",Dublin,80000.0,No,Ashtown,Dublin 15,q1,10%
09/08/2012,"57 Rathbourne Drive, Ashtown",Dublin,139000.0,No,Ashtown,Dublin 15,q1,20%
09/08/2012,"Apartment 108 Royal Canal Court, Royal Canal Way, Ashtown",Dublin,158590.3,Yes,Ashtown,Dublin 15,q1,30%
09/08/2012,"Apartment 2 Royal Canal Court, Royal Canal Way, Ashtown",Dublin,158590.3,Yes,Ashtown,Dublin 15,q1,30%
09/08/2012,"Apartment 24 Royal Canal Court, Royal Canal Way, Ashtown",Dublin,158590.3,Yes,Ashtown,Dublin 15,q1,30%
09/08/2012,"Apartment 26 Royal Canal Court, Royal Canal Way, Ashtown",Dublin,158590.3,Yes,Ashtown,Dublin 15,q1,30%
09/08/2012,"Apartment 28 Royal Canal Court, Royal Canal Way, Ashtown",Dublin,158590.3,Yes,Ashtown,Dublin 15,q1,30%
09/08/2012,"Apartment 54 Royal Canal Court, Royal Canal Way, Ashtown",Dublin,158590.3,Yes,Ashtown,Dublin 15,q1,30%
09/08/2012,"Apartment 80 Royal Canal Court, Royal Canal Way, Ashtown",Dublin,158590.3,Yes,Ashtown,Dublin 15,q1,30%
29/08/2012,"18  Beacon Court, Royal Canal Bank, Ashtown",Dublin,165000.0,Yes,Ashtown,Dublin 15,q1,30%
28/09/2012,"11 Cassian Court South, Royal Canal Park, Ashtown",Dublin,110000.0,No,Ashtown,Dublin 15,q1,10%
02/11/2012,"23 Rathborne Drive, Earlswood, Ashtown",Dublin,250000.0,No,Ashtown,Dublin 15,q2,50%
27/11/2012,"130 Rathbourne Court, Earlswood, Rathbourne Ashtown",Dublin,155000.0,No,Ashtown,Dublin 15,q1,30%
06/12/2012,"22 Pellettstown Manor, Ashtown",Dublin,90000.0,No,Ashtown,Dublin 15,q1,10%
14/12/2012,"100 Meridian Court Magellan Cresent, Spindrift Avenue  Royal Canal Park, Ratoath Road  Ashtown",Dublin,148000.0,Yes,Ashtown,Dublin 15,q1,20%
14/12/2012,"101 Meridian Court Magellan Cresent, Spindrift Avenue  Royal Canal Park, Ratoath Road  Ashtown",Dublin,112000.0,Yes,Ashtown,Dublin 15,q1,20%
14/12/2012,"106 Meridian Court Magellan Cresent, Spindrift Avenue  Royal Canal Park, Ratoath Road  Ashtown",Dublin,112000.0,Yes,Ashtown,Dublin 15,q1,20%
14/12/2012,"109 Meridian Court Magellan Cresent, Spindrift Avenue  Royal Canal Park, Ratoath Road  Ashtown",Dublin,130000.0,Yes,Ashtown,Dublin 15,q1,20%
14/12/2012,"112 Meridian Court Magellan Cresent, Spindrift Avenue  Royal Canal Park, Ratoath Road  Ashtown",Dublin,115000.0,Yes,Ashtown,Dublin 15,q1,20%
14/12/2012,"114 Meridian Court Magellan Cresent, Spindrift Avenue  Royal Canal Park, Ratoath Road  Ashtown",Dublin,115000.0,Yes,Ashtown,Dublin 15,q1,20%
14/12/2012,"122 Meridian Court Magellan Cresent, Spindrift Avenue  Royal Canal Park, Ratoath Road  Ashtown",Dublin,125000.0,Yes,Ashtown,Dublin 15,q1,20%
14/12/2012,"127 Meridian Court Magellan Cresent, Spindrift Avenue  Royal Canal Park, Ratoath Road  Ashtown",Dublin,115000.0,Yes,Ashtown,Dublin 15,q1,20%
14/12/2012,"128 Meridian Court Magellan Cresent, Spindrift Avenue  Royal Canal Park, Ratoath Road  Ashtown",Dublin,160000.0,Yes,Ashtown,Dublin 15,q1,30%
14/12/2012,"129 Meridian Court Magellan Cresent, Spindrift Avenue  Royal Canal Park, Ratoath Road  Ashtown",Dublin,157000.0,Yes,Ashtown,Dublin 15,q1,30%
14/12/2012,"17 Beacon Building Magellan Cresent, Spindrift Avenue  Royal Canal Park, Ratoath Road  Ashtown",Dublin,120000.0,Yes,Ashtown,Dublin 15,q1,20%
14/12/2012,"1Cassian Court North, Royal Canal Park, Ratoath Road  Ashtown",Dublin,110000.0,Yes,Ashtown,Dublin 15,q1,20%
14/12/2012,"22 Meridian Court Magellan Cresent, Spindrift Avenue  Royal Canal Park, Ratoath Road  Ashtown",Dublin,125000.0,Yes,Ashtown,Dublin 15,q1,20%
14/12/2012,"24 Beacon Building Magellan Cresent, Spindrift Avenue  Royal Canal Park, Ratoath Road  Ashtown",Dublin,148000.0,Yes,Ashtown,Dublin 15,q1,20%
14/12/2012,"40 Beacon Building Magellan Cresent, Spindrift Avenue  Royal Canal Park, Ratoath Road  Ashtown",Dublin,100000.0,Yes,Ashtown,Dublin 15,q1,10%
14/12/2012,"51 Discovery Building Magellan, Spindrift Avenue  Royal Canal Park, Ratoath Road  Ashtown",Dublin,150000.0,Yes,Ashtown,Dublin 15,q1,20%
14/12/2012,"74 Horizon Magellan Cresent, Spindrift Avenue  Royal Canal Park, Ratoath Road  Ashtown",Dublin,120000.0,Yes,Ashtown,Dublin 15,q1,20%
14/12/2012,"76 Meridian Court Magellan Cresent, Spindrift Avenue  Royal Canal Park, Ratoath Road  Ashtown",Dublin,110000.0,Yes,Ashtown,Dublin 15,q1,20%
14/12/2012,"81 Meridian Court Magellan Cresent, Spindrift Avenue  Royal Canal Park, Ratoath Road  Ashtown",Dublin,160000.0,Yes,Ashtown,Dublin 15,q1,30%
14/12/2012,"82 Meridian Court Magellan Cresent, Spindrift Avenue  Royal Canal Park, Ratoath Road  Ashtown",Dublin,157000.0,Yes,Ashtown,Dublin 15,q1,30%
21/12/2012,"3 Rathborne Close, Ashtown",Dublin,270000.0,No,Ashtown,Dublin 15,q3,60%
21/12/2012,"Apartment 32 Watermint Court, Pelletstown Avenue, Royal Canal Park  Ashtown",Dublin,120000.0,No,Ashtown,Dublin 15,q1,20%
11/02/2013,"150 Royal Canal Court, Royal Canal Way, Ashtown",Dublin,190000.0,No,Ashtown,Dublin 15,q2,30%
13/03/2013,"23 The Birches, Pelletstown Manor, Ashtown",Dublin,145000.0,No,Ashtown,Dublin 15,q1,20%
25/04/2013,"30 Ashtown Grove, Navan Road, Dublin 7",Dublin,263000.0,No,Ashtown,Dublin 15,q2,50%
30/04/2013,"68 Royal Canal Court, The Waterways, Ashtown",Dublin,213000.0,No,Ashtown,Dublin 15,q2,40%
15/07/2013,"30 Cassincourt North, Royal Canal Park, Ashtown",Dublin,125000.0,No,Ashtown,Dublin 15,q1,20%
18/10/2013,"69 Rathborne Court, Ashtown",Dublin,177500.0,No,Ashtown,Dublin 15,q2,30%
28/11/2013,"92 Royal Canal Way, The Waterways, Ashtown Dublin 15",Dublin,137000.0,No,Ashtown,Dublin 15,q1,20%
11/12/2013,"22 Ashtown Grove, Navan Road, Dublin 7",Dublin,341000.0,No,Ashtown,Dublin 15,q4,90%
08/01/2014,"208 Rathborne Court, Ashtown, Dublin 15",Dublin,200000.0,No,Ashtown,Dublin 15,q2,40%
11/02/2014,"31 Rathborne Ave, Ashtown, Dublin 15",Dublin,215000.0,No,Ashtown,Dublin 15,q2,40%
20/02/2014,"Apt 54 Park View, Rathbourne, Ashtown Dublin 15",Dublin,161000.0,No,Ashtown,Dublin 15,q1,30%
