date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
28/01/2010,"12  Greenwood Walk, Greenwood, Ayrfield",Dublin,307500.0,No,Ayrfield,Dublin 13,q4,80%
05/02/2010,"109 Ayrfield Drive, Ayrfield",Dublin,280000.0,No,Ayrfield,Dublin 13,q3,70%
30/04/2010,"30 Rathvale Avenue, Ayrfield, Dublin 13",Dublin,270000.0,No,Ayrfield,Dublin 13,q3,60%
14/05/2010,"7 Greenwood Court, Ayrfield",Dublin,285000.0,No,Ayrfield,Dublin 13,q3,70%
30/08/2010,"24 Ayrfield Avenue, Ayrfield",Dublin,295500.0,No,Ayrfield,Dublin 13,q3,80%
14/12/2010,"5 Ayrfield Drive, Ayrfield, Dublin 13",Dublin,250000.0,No,Ayrfield,Dublin 13,q2,50%
23/09/2011,"45 Greenwood Avenue, Blunden Drive, Ayrfield",Dublin,280000.0,No,Ayrfield,Dublin 13,q3,70%
30/03/2012,"48 Rathvale Park, Ayrfield",Dublin,165000.0,No,Ayrfield,Dublin 13,q1,30%
26/04/2012,"48 Rathvale Park, Ayrfield",Dublin,245000.0,No,Ayrfield,Dublin 13,q2,50%
18/05/2012,"43 Rathvale Park, Ayrfield, Dublin 13",Dublin,273000.0,No,Ayrfield,Dublin 13,q3,60%
29/05/2012,"66 Orchard Way, Ayrfield",Dublin,55000.0,No,Ayrfield,Dublin 13,q1,10%
13/07/2012,"26 Rathvale Avenue, Ayrfield, Dublin 13",Dublin,173000.0,No,Ayrfield,Dublin 13,q2,30%
26/07/2012,"7 Greenwood Way, Blunden Drive, Ayrfield",Dublin,45000.0,No,Ayrfield,Dublin 13,q1,10%
23/11/2012,"148 Orchard Way, Ayrfield, Dublin 13",Dublin,85000.0,No,Ayrfield,Dublin 13,q1,10%
19/12/2012,"3 Greenwood Walk, Blunden Drive, Ayrfield",Dublin,269000.0,No,Ayrfield,Dublin 13,q3,60%
14/02/2013,"51, Ayrfield Drive",Dublin,238000.0,No,Ayrfield,Dublin 13,q2,50%
25/10/2013,"29 Rathvale Avenue, Ayrfield",Dublin,215000.0,No,Ayrfield,Dublin 13,q2,40%
03/12/2013,"17 Greenwood Close, Ayrfield, Dublin 13",Dublin,239500.0,No,Ayrfield,Dublin 13,q2,50%
06/12/2013,"21 Ayrfield Dr, Ayrfield, Dublin 13",Dublin,210000.0,No,Ayrfield,Dublin 13,q2,40%
13/12/2013,"12 Greenwood Court, Ayrfield, Dublin 13",Dublin,220500.0,No,Ayrfield,Dublin 13,q2,40%
19/12/2013,"131 Orchard Way, Ayrfield, Dublin 13",Dublin,160166.0,No,Ayrfield,Dublin 13,q1,30%
30/01/2014,"75 Ayrfield Rd, Ayrefield, Dublin 13",Dublin,255000.0,No,Ayrfield,Dublin 13,q2,50%
31/03/2014,"62 Rathvale Drive, Ayrfield, Dublin 13",Dublin,147000.0,No,Ayrfield,Dublin 13,q1,20%
