date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
06/06/2012,"Winward, Ceanchor Road, Baily",Dublin,1800000.0,No,Baily,Dublin 13,q4,90%
05/07/2012,"'Clifden', Baily",Dublin,900000.0,No,Baily,Dublin 13,q1,10%
16/04/2013,"Journeys End, Baily",Dublin,1175000.0,No,Baily,Dublin 13,q1,30%
02/04/2015,"Ardeevin, Carrickbrack Rd, Baily Dublin 13",Dublin,1100000.0,No,Baily,Dublin 13,q1,20%
02/10/2015,"Carnalea, Thormanby Rd, Baily Dublin 13",Dublin,5000000.0,No,Baily,Dublin 13,q4,100%
14/10/2015,"Long Acre, Thormanby Rd, Baily Dublin 13",Dublin,2550000.0,No,Baily,Dublin 13,q4,100%
01/03/2016,"St Benedicts, Thormanby Rd, Baily Dublin 13",Dublin,1250000.0,No,Baily,Dublin 13,q2,50%
28/06/2016,"Four Winds, Thormanby Rd, Baily",Dublin,1200000.0,No,Baily,Dublin 13,q2,40%
10/03/2017,"23 The Baily, Custom House Harbour, Baily Dublin 1",Dublin,316000.0,No,Baily,Dublin 13,q1,10%
24/04/2017,"Davos, The Baily, Dublin",Dublin,1300000.0,No,Baily,Dublin 13,q2,50%
08/01/2018,"Coolmanagh, 75Carrickbreac Rd, Baily Dublin 13",Dublin,1620000.0,No,Baily,Dublin 13,q3,70%
15/02/2018,"Ard Na Ri, 44 Carrickbrack Rd, Baily",Dublin,1700000.0,No,Baily,Dublin 13,q3,80%
04/05/2018,"Shielmartin Cottage, Baily, Dublin",Dublin,1600000.0,No,Baily,Dublin 13,q3,60%
