date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
06/01/2010,"84 Castleland Park View, Balbriggan",Dublin,325000.0,Yes,Balbriggan,Co. Dublin,q4,100%
15/01/2010,"8 Woodview, Balrothery, Balbriggan",Dublin,260000.0,No,Balbriggan,Co. Dublin,q4,90%
19/01/2010,"745 Bremore Castle, Balbriggan",Dublin,175000.0,No,Balbriggan,Co. Dublin,q2,50%
21/01/2010,"33 High Street, Balbriggan",Dublin,200000.0,No,Balbriggan,Co. Dublin,q3,70%
22/01/2010,"4  Newhaven Close, Flemington Lane, Balbriggan",Dublin,175000.0,No,Balbriggan,Co. Dublin,q2,50%
27/01/2010,"The Bower, Fancourt, Balbriggan",Dublin,237500.0,No,Balbriggan,Co. Dublin,q4,80%
29/01/2010,"14 Westbrook Green, Naul Road, Balbriggan",Dublin,225000.0,No,Balbriggan,Co. Dublin,q3,80%
29/01/2010,"28 Hampton Woods, Balbriggan",Dublin,212000.0,No,Balbriggan,Co. Dublin,q3,70%
01/02/2010,"8 Hastings Court, Balbriggan, County Dublin",Dublin,148898.0,Yes,Balbriggan,Co. Dublin,q2,30%
02/02/2010,"32 Westbrook Green, Balbriggan",Dublin,225000.0,No,Balbriggan,Co. Dublin,q3,80%
03/02/2010,"19 Westbrook Avenue, Balbriggan",Dublin,220000.0,No,Balbriggan,Co. Dublin,q3,80%
05/02/2010,"26 Hastings Green, Balbriggan",Dublin,148898.68,Yes,Balbriggan,Co. Dublin,q2,30%
05/02/2010,"53 Barons Hall Grove, Balbriggan",Dublin,145000.0,No,Balbriggan,Co. Dublin,q2,30%
09/02/2010,"3 Hastings Drive, Balbriggan, Dublin",Dublin,148898.67,Yes,Balbriggan,Co. Dublin,q2,30%
12/02/2010,"124 Castleland Court, Balbriggan",Dublin,81818.0,Yes,Balbriggan,Co. Dublin,q1,10%
16/02/2010,"11 Moylaragh Close, Balbriggan",Dublin,149000.0,No,Balbriggan,Co. Dublin,q2,30%
19/02/2010,"18 Bremore Pastures Avenue, Balbriggan",Dublin,149779.73,Yes,Balbriggan,Co. Dublin,q2,30%
25/02/2010,"18 Hastings Drive, Balbriggan",Dublin,148035.61,Yes,Balbriggan,Co. Dublin,q2,30%
25/02/2010,"70 Castleland Park View, Balbriggan, Dublin",Dublin,193832.6,Yes,Balbriggan,Co. Dublin,q3,60%
04/03/2010,"25 Hampton Street, Balbriggan",Dublin,170000.0,No,Balbriggan,Co. Dublin,q2,50%
09/03/2010,"89 Rose Park, Balrothery, Balbriggan",Dublin,37000.0,No,Balbriggan,Co. Dublin,q1,10%
12/03/2010,"17 Hastings Drive, Balbriggan",Dublin,169000.0,Yes,Balbriggan,Co. Dublin,q2,50%
12/03/2010,"8 Chaple Close, Balbriggan",Dublin,197500.0,No,Balbriggan,Co. Dublin,q3,60%
15/03/2010,"49 Newhaven Bay, Flemington Lane, Balbriggan",Dublin,198000.0,No,Balbriggan,Co. Dublin,q3,60%
19/03/2010,"44 Dun Saithne Green, Balbriggan",Dublin,119823.78,Yes,Balbriggan,Co. Dublin,q1,20%
22/03/2010,"41 Castleland Park, Balbriggan",Dublin,158590.0,Yes,Balbriggan,Co. Dublin,q2,40%
22/03/2010,"70 Dun Saithne Crescent, Flemington Lane, Balbriggan",Dublin,170000.0,No,Balbriggan,Co. Dublin,q2,50%
24/03/2010,"20 Hasting Drive, Balbriggan, County Dublin",Dublin,93000.0,Yes,Balbriggan,Co. Dublin,q1,10%
24/03/2010,"32 Cloch Choirneal, Balrothery, Balbriggan",Dublin,310000.0,No,Balbriggan,Co. Dublin,q4,100%
25/03/2010,"5 Westbrook Park, Naul Road, Balbriggan",Dublin,270000.0,No,Balbriggan,Co. Dublin,q4,90%
25/03/2010,"59  Clonard Court, Balbriggan, Co. Dublin",Dublin,160000.0,No,Balbriggan,Co. Dublin,q2,40%
30/03/2010,"7 Chieftains Drive, Chieftains Way, Balbriggan",Dublin,215000.0,No,Balbriggan,Co. Dublin,q3,70%
30/03/2010,"79 Dun Saithne, Crescent, Balbriggan",Dublin,174000.0,No,Balbriggan,Co. Dublin,q2,50%
31/03/2010,"5 Moylaragh Gardens, Balbriggan",Dublin,135000.0,No,Balbriggan,Co. Dublin,q1,30%
09/04/2010,"9 Hoylaragh Avenue, Balbriggan, .",Dublin,205000.0,No,Balbriggan,Co. Dublin,q3,70%
15/04/2010,"45 Castleland Park View, Balbriggan",Dublin,171806.16,Yes,Balbriggan,Co. Dublin,q2,50%
21/04/2010,"10  Castleland Court, Balbriggan, County Dublin",Dublin,150000.0,No,Balbriggan,Co. Dublin,q2,40%
23/04/2010,"1 Dun Saithne Green, Balbriggan",Dublin,132000.0,Yes,Balbriggan,Co. Dublin,q1,30%
06/05/2010,"16 Hastings Court, Balbriggan",Dublin,149000.0,Yes,Balbriggan,Co. Dublin,q2,30%
06/05/2010,"83 Castleland Park View, Balbriggan",Dublin,171806.16,Yes,Balbriggan,Co. Dublin,q2,50%
10/05/2010,"30 Hampton Woods, Balbriggan, Co. Dublin",Dublin,190000.0,No,Balbriggan,Co. Dublin,q3,60%
21/05/2010,"20 Hastings Court, Balbriggan",Dublin,179000.0,Yes,Balbriggan,Co. Dublin,q2,50%
25/05/2010,"31 Moylaragh Walk, Balbriggan",Dublin,140000.0,No,Balbriggan,Co. Dublin,q2,30%
10/06/2010,"152 Bath Road, Balbriggan",Dublin,197500.0,No,Balbriggan,Co. Dublin,q3,60%
10/06/2010,"61 Clonuske Park, Hamlet Lane, Balbriggan",Dublin,210000.0,No,Balbriggan,Co. Dublin,q3,70%
16/06/2010,"18 Bremore Pasture Drive, Hamlet Lane, Balbriggan",Dublin,140000.0,No,Balbriggan,Co. Dublin,q2,30%
17/06/2010,"72 Ashfield Rise, Balbriggan",Dublin,210000.0,No,Balbriggan,Co. Dublin,q3,70%
22/06/2010,"13 Moylaragh Close, Balbriggan, Co. Dublin",Dublin,184700.0,No,Balbriggan,Co. Dublin,q3,60%
29/06/2010,"10  Hastings Court, Balbriggan",Dublin,93000.0,Yes,Balbriggan,Co. Dublin,q1,10%
29/06/2010,"14 Pinewood Green Hill, Balbriggan, County Dublin",Dublin,120000.0,No,Balbriggan,Co. Dublin,q1,20%
01/07/2010,"54 Craoibhin Park, Balbriggan",Dublin,160000.0,No,Balbriggan,Co. Dublin,q2,40%
07/07/2010,"49 The Chantries, Balbriggan",Dublin,350000.0,No,Balbriggan,Co. Dublin,q4,100%
07/07/2010,"5 Tara Court, Balbriggan",Dublin,187000.0,No,Balbriggan,Co. Dublin,q3,60%
09/07/2010,"69 Castleland Park View, Castleland Park, Balbriggan",Dublin,195000.0,Yes,Balbriggan,Co. Dublin,q3,60%
16/07/2010,"43 Hampton Street, Balbriggan, County Dublibn",Dublin,212000.0,No,Balbriggan,Co. Dublin,q3,70%
16/07/2010,"54 Chapel Avenue, Balbriggan, Dublin 3",Dublin,195000.0,No,Balbriggan,Co. Dublin,q3,60%
16/07/2010,"82 Castleland Park View, Balbriggan",Dublin,145374.44,Yes,Balbriggan,Co. Dublin,q2,30%
23/07/2010,"27 Templeville, Balbriggan",Dublin,223000.0,No,Balbriggan,Co. Dublin,q3,80%
27/07/2010,"78 New Haven Bay, Balbriggan, Co. Dublin",Dublin,235000.0,No,Balbriggan,Co. Dublin,q4,80%
29/07/2010,"17 Templeville, Balbriggan, Dublin",Dublin,172000.0,No,Balbriggan,Co. Dublin,q2,50%
30/07/2010,"31 Barons Hall Rise, Balbriggan",Dublin,164000.0,No,Balbriggan,Co. Dublin,q2,40%
07/08/2010,"8 Curran Park, Balbriggan",Dublin,165000.0,No,Balbriggan,Co. Dublin,q2,40%
10/08/2010,"132 Brega, Balbriggan, County Dublin",Dublin,129000.0,No,Balbriggan,Co. Dublin,q1,20%
10/08/2010,"65 Castleland Park View, Balbriggan, Dublin",Dublin,174449.33,Yes,Balbriggan,Co. Dublin,q2,50%
11/08/2010,"59 Dun Saithne Crescent, Flemington Lane, Balbriggan",Dublin,170000.0,No,Balbriggan,Co. Dublin,q2,50%
16/08/2010,"15 Clonuske Park, Balbriggan",Dublin,240000.0,No,Balbriggan,Co. Dublin,q4,80%
17/08/2010,"12 Cardy Rock Rd, Balbriggan",Dublin,130000.0,No,Balbriggan,Co. Dublin,q1,20%
18/08/2010,"73 Tara Court, Balbriggan",Dublin,140000.0,No,Balbriggan,Co. Dublin,q2,30%
20/08/2010,"12 Hastings Court, Balbriggan",Dublin,127753.22,Yes,Balbriggan,Co. Dublin,q1,20%
20/08/2010,"9 Castleland Park View, Balbriggan",Dublin,250000.0,Yes,Balbriggan,Co. Dublin,q4,90%
23/08/2010,"129 Pineridge, Balbriggan",Dublin,225000.0,No,Balbriggan,Co. Dublin,q3,80%
25/08/2010,"31 Covetown, Balbriggan",Dublin,180000.0,No,Balbriggan,Co. Dublin,q2,50%
26/08/2010,"13 Castleland Park View, Balbriggan",Dublin,215859.0,Yes,Balbriggan,Co. Dublin,q3,70%
03/09/2010,"75 Castleland Park View, Balbriggan",Dublin,211453.74,Yes,Balbriggan,Co. Dublin,q3,70%
07/09/2010,"20 Chapel Avenue, Balbriggan",Dublin,197500.0,No,Balbriggan,Co. Dublin,q3,60%
13/09/2010,"11 Westbrook Lawns, Balbriggan",Dublin,228000.0,No,Balbriggan,Co. Dublin,q4,80%
17/09/2010,"12 Tudor Hamlet, Balrothery, Balbriggan",Dublin,276000.0,No,Balbriggan,Co. Dublin,q4,100%
23/09/2010,"12 Moylaragh Close, Balbriggan",Dublin,142000.0,No,Balbriggan,Co. Dublin,q2,30%
23/09/2010,"78 Castleland Park View, Balbriggan",Dublin,229875.0,Yes,Balbriggan,Co. Dublin,q4,80%
28/09/2010,"No. 5 Bremore Court, Balbriggan",Dublin,155000.0,No,Balbriggan,Co. Dublin,q2,40%
29/09/2010,"44 Bremore Castle, Balbriggan",Dublin,174000.0,No,Balbriggan,Co. Dublin,q2,50%
30/09/2010,"15 Hastings Court, Balbriggan",Dublin,115419.0,Yes,Balbriggan,Co. Dublin,q1,20%
01/10/2010,"17 Hastings Court, Balbriggan",Dublin,135000.0,Yes,Balbriggan,Co. Dublin,q1,30%
01/10/2010,"2 Glebe North, Balbriggan",Dublin,225000.0,No,Balbriggan,Co. Dublin,q3,80%
06/10/2010,"8 Westbrook Park, Balbriggan",Dublin,218000.0,No,Balbriggan,Co. Dublin,q3,80%
01/11/2010,"57 Rosepark, Balrothery, Balbriggan",Dublin,130000.0,No,Balbriggan,Co. Dublin,q1,20%
