date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
05/01/2010,"3 Myrtle Square, The Coast, Baldoyle",Dublin,265198.0,Yes,Baldoyle,Dublin 13,q2,50%
11/01/2010,"29 Myrtle House, Longfield Road  The Coast, Baldoyle",Dublin,240000.0,Yes,Baldoyle,Dublin 13,q2,40%
19/01/2010,"5 Moyclare Avenue, Baldoyle, Dublin 13",Dublin,297500.0,No,Baldoyle,Dublin 13,q3,60%
28/01/2010,"3 Admiral Park, Baldoyle, Dublin 13",Dublin,372500.0,No,Baldoyle,Dublin 13,q4,90%
17/02/2010,"Apt 57 Red Arches Avenue, The Coast, Baldoyle",Dublin,193832.59,Yes,Baldoyle,Dublin 13,q1,30%
08/03/2010,"12 Red Arches Road, The Coast, Baldoyle",Dublin,158590.0,Yes,Baldoyle,Dublin 13,q1,20%
12/03/2010,"2 Brookstone Road, Baldoyle, Dublin 13",Dublin,140000.0,No,Baldoyle,Dublin 13,q1,10%
30/03/2010,"6 Myrtle Close, Baldoyle, Dublin 13",Dublin,115000.0,No,Baldoyle,Dublin 13,q1,10%
30/04/2010,"66 Grange Road, Baldoyle",Dublin,285000.0,No,Baldoyle,Dublin 13,q3,60%
06/05/2010,"11 Talavera House, Myrtle Road  The Coast, Baldoyle  Dublin 13",Dublin,237000.0,Yes,Baldoyle,Dublin 13,q2,40%
11/05/2010,"13 Sweetman House  Stapolin Ave, The Coast  Baldoyle",Dublin,142731.0,Yes,Baldoyle,Dublin 13,q1,20%
17/05/2010,"72 Red Arches Avenue, The Coast, Baldoyle",Dublin,229074.88,Yes,Baldoyle,Dublin 13,q2,40%
20/05/2010,"5 Tuscany Park, Baldoyle, Dublin 13",Dublin,310000.0,No,Baldoyle,Dublin 13,q3,70%
25/05/2010,"Westbury, Brookstone Road, Baldoyle",Dublin,372500.0,No,Baldoyle,Dublin 13,q4,90%
28/05/2010,"75 Admiral Park, Baldoyle, Dublin 13",Dublin,330000.0,No,Baldoyle,Dublin 13,q3,80%
