date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
08/01/2010,"67 Belmayne Park, North Belmayne, Balgriffin",Dublin,286334.0,Yes,Balgriffin,Dublin 13,q4,80%
25/01/2010,"68 Churchwell Road, Belmayne, Balgriffin",Dublin,235000.0,Yes,Balgriffin,Dublin 13,q3,70%
29/01/2010,"13 Churchwell Square, Belmayne, Balgriffin",Dublin,242200.0,Yes,Balgriffin,Dublin 13,q3,70%
10/02/2010,"61 Belmayne Avenue, Belmayne, Balgriffin",Dublin,317180.61,Yes,Balgriffin,Dublin 13,q4,90%
24/02/2010,"11 Churchwell Place, Belmayne, Balgriffin",Dublin,180616.74,Yes,Balgriffin,Dublin 13,q2,50%
25/02/2010,"No 9B, Churchwell Rise, Belmayne  Balgriffin",Dublin,207048.45,Yes,Balgriffin,Dublin 13,q3,70%
02/03/2010,"40A Main Street, Belmayne, Balgriffin",Dublin,220264.0,Yes,Balgriffin,Dublin 13,q3,70%
04/03/2010,"48A Belmayne Avenue, Belmayne, Balgriffin",Dublin,312775.33,Yes,Balgriffin,Dublin 13,q4,90%
10/03/2010,"66 Churchwell Road, Belmayne, Balgriffin",Dublin,315000.0,Yes,Balgriffin,Dublin 13,q4,90%
15/03/2010,"4 Churchwell Rise, Belmayne, Balgriffin",Dublin,205500.0,Yes,Balgriffin,Dublin 13,q3,60%
22/04/2010,"31 Churchwell Mews, Belmayne, Balgriffin",Dublin,325991.18,Yes,Balgriffin,Dublin 13,q4,90%
29/04/2010,"48B Belmayne Avenue, Belmayne, Balgriffin",Dublin,156548.01,Yes,Balgriffin,Dublin 13,q2,50%
29/04/2010,"59A Belmayne Avenue, Belmayne, Balgriffin",Dublin,156548.01,Yes,Balgriffin,Dublin 13,q2,50%
29/04/2010,"68 Main Street, Belmayne, Balgriffin",Dublin,126338.32,Yes,Balgriffin,Dublin 13,q1,30%
13/05/2010,"57A Main Street, Belmayne, Balgriffin",Dublin,145374.45,Yes,Balgriffin,Dublin 13,q2,40%
14/05/2010,"46A Belmayne Avenue, Belmayne, Balgriffin",Dublin,204405.28,Yes,Balgriffin,Dublin 13,q3,60%
17/05/2010,"36  Belmayne Park North, Belmayne, Balgriffin",Dublin,179000.0,Yes,Balgriffin,Dublin 13,q2,50%
17/05/2010,"66 Main Street, Belmayne, Balgriffin",Dublin,162995.0,Yes,Balgriffin,Dublin 13,q2,50%
19/05/2010,"65 Belmayne Park South, Belmayne, Balgriffin",Dublin,292000.0,Yes,Balgriffin,Dublin 13,q4,90%
