date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
08/01/2010,"36 Broadford Lawns, Ballinteer, Dublin 16",Dublin,375000.0,No,Ballinteer,Dublin 16,q2,50%
27/01/2010,"8 Ballintyre Hall, Ballinteer Avenue, Ballinteer",Dublin,213986.78,Yes,Ballinteer,Dublin 16,q1,10%
29/01/2010,"15 Broadford Avenue, Ballinteer",Dublin,402500.0,No,Ballinteer,Dublin 16,q3,60%
05/02/2010,"112 Southmede, Ballinteer Road, Dundrum",Dublin,336800.0,Yes,Ballinteer,Dublin 16,q2,40%
05/02/2010,"13 Coach House Square, Ballintyre Hall, Ballinteer Avenue",Dublin,220000.0,Yes,Ballinteer,Dublin 16,q1,10%
05/02/2010,"No 9 Coach House Square, Ballintyre Hall, Ballinteer Avenue",Dublin,227000.0,Yes,Ballinteer,Dublin 16,q1,10%
22/02/2010,"Apt 207 The Beeches, Grange Hall, Ballinteer",Dublin,270000.0,No,Ballinteer,Dublin 16,q1,20%
11/03/2010,"39 Marlay View, Ballinteer",Dublin,292500.0,No,Ballinteer,Dublin 16,q1,30%
13/04/2010,"42  Southmede, Ballinteer Road",Dublin,360000.0,Yes,Ballinteer,Dublin 16,q2,40%
14/04/2010,"76 Ballinteer Crescent, Ballinteer, Dublin 16",Dublin,340000.0,No,Ballinteer,Dublin 16,q2,40%
16/04/2010,"36 Ballinteer Park, Ballinteer",Dublin,600000.0,No,Ballinteer,Dublin 16,q4,100%
30/04/2010,"Apartment 202 A, Grange Hall, Ballinteer",Dublin,260000.0,No,Ballinteer,Dublin 16,q1,20%
24/05/2010,"511 Woodpark, Ballinteer",Dublin,390000.0,No,Ballinteer,Dublin 16,q2,50%
25/05/2010,"25 Broadford Park, Ballinteer",Dublin,360000.0,No,Ballinteer,Dublin 16,q2,40%
26/05/2010,"Apt 79, Ballintyre Grove, Ballinteer",Dublin,295000.0,No,Ballinteer,Dublin 16,q1,30%
31/05/2010,"23 Kingston Close, Ballinteer, Dublin 16",Dublin,460000.0,No,Ballinteer,Dublin 16,q3,80%
18/06/2010,"Apartment 208 Block B, The Beaches, Grange Hall  Ballinteer",Dublin,232500.0,No,Ballinteer,Dublin 16,q1,10%
23/06/2010,"6 The Close, Woodpark, Ballinteer",Dublin,410000.0,No,Ballinteer,Dublin 16,q3,60%
30/06/2010,"20 College Park Close, Ballinteer, Dublin 14",Dublin,398000.0,No,Ballinteer,Dublin 16,q3,60%
01/07/2010,"31 Broadford Walk, Ballinteer",Dublin,400000.0,No,Ballinteer,Dublin 16,q3,60%
07/07/2010,"16 Ludford Park, Ballinteer, Dublin 16",Dublin,330000.0,No,Ballinteer,Dublin 16,q2,30%
12/07/2010,"13 Mayfield Terrace, Ballinteer",Dublin,183000.0,No,Ballinteer,Dublin 16,q1,10%
14/07/2010,"5 Coach House Square, Ballinyre Hall, Ballinteer Avenue",Dublin,308369.0,Yes,Ballinteer,Dublin 16,q1,30%
13/08/2010,"42 Ballinteer Drive, Ballinteer",Dublin,380000.0,No,Ballinteer,Dublin 16,q2,50%
20/08/2010,"Apt 97 The Meadows, Ballintyre Hall, Ballinteer",Dublin,216000.0,Yes,Ballinteer,Dublin 16,q1,10%
23/08/2010,"3 College Park Avenue, Ballinteer, Dublin 16",Dublin,490000.0,No,Ballinteer,Dublin 16,q4,80%
27/08/2010,"3 Ballintyre, Ballinteer",Dublin,265000.0,No,Ballinteer,Dublin 16,q1,20%
09/09/2010,"10 Kingston Grove, Ballinteer",Dublin,413000.0,No,Ballinteer,Dublin 16,q3,60%
10/09/2010,"85  Ballinteer Park, Ballinteer",Dublin,239000.0,No,Ballinteer,Dublin 16,q1,20%
17/09/2010,"29  Chestnut Grove, Ballinteer, Dublin 16",Dublin,403000.0,No,Ballinteer,Dublin 16,q3,60%
24/09/2010,"14 The Green, Woodpark, Ballinteer",Dublin,352500.0,No,Ballinteer,Dublin 16,q2,40%
15/10/2010,"20 Hilton Gardens, Ballinteer",Dublin,382000.0,No,Ballinteer,Dublin 16,q2,50%
27/10/2010,"2 Beechlawn Avenue, Ballinteer, Dublin 16",Dublin,310000.0,No,Ballinteer,Dublin 16,q1,30%
05/11/2010,"83 Ballinteer Crescent, Ballinteer",Dublin,410750.0,No,Ballinteer,Dublin 16,q3,60%
11/11/2010,"28 Balinteer Gardens, Ballinteer",Dublin,340000.0,No,Ballinteer,Dublin 16,q2,40%
16/11/2010,"47 Ballintyre Grove, Ballintyre Hall, Ballinteer Avenue",Dublin,265000.0,No,Ballinteer,Dublin 16,q1,20%
16/11/2010,"92 Ludford Road, Ballinteer",Dublin,415000.0,No,Ballinteer,Dublin 16,q3,60%
17/11/2010,"29 The Heights, Woodpark, Ballinteer",Dublin,320500.0,No,Ballinteer,Dublin 16,q2,30%
22/11/2010,"14 Kingston Heights, Ballinteer Road, Dublin 16",Dublin,335000.0,No,Ballinteer,Dublin 16,q2,40%
23/11/2010,"80 Broadford Drive, Ballinteer",Dublin,348757.0,No,Ballinteer,Dublin 16,q2,40%
29/11/2010,"49 Dundrum Gate, Ballinteer Road, Dundrum",Dublin,292500.0,No,Ballinteer,Dublin 16,q1,30%
10/12/2010,"7 Ballinteer Avenue, Ballinteer",Dublin,277000.0,No,Ballinteer,Dublin 16,q1,20%
14/12/2010,"7 Ludford Drive, Ballinteer, Dublin 16",Dublin,385000.0,No,Ballinteer,Dublin 16,q2,50%
16/12/2010,"Apt 63 Ballintyre Square, Ballinteer",Dublin,350000.0,No,Ballinteer,Dublin 16,q2,40%
17/12/2010,"14 Mayfield Terrace, Ballinteer, Dublin 16",Dublin,300000.0,No,Ballinteer,Dublin 16,q1,30%
23/12/2010,"112 Ballintyre Square, Ballintyre Hall, Ballinteer",Dublin,524229.07,Yes,Ballinteer,Dublin 16,q4,90%
28/01/2011,"2 Ludford Drive, Ballinteer, Dublin 16",Dublin,340000.0,No,Ballinteer,Dublin 16,q2,40%
28/01/2011,"40 Ballintyre Square, Ballinteer",Dublin,225000.0,No,Ballinteer,Dublin 16,q1,10%
16/02/2011,"484 Woodpark, Ballinteer",Dublin,328350.0,No,Ballinteer,Dublin 16,q2,30%
25/02/2011,"15 Hillview Estate, Ballinteer",Dublin,176000.0,No,Ballinteer,Dublin 16,q1,10%
03/03/2011,"Apt. 101 Southmede, Ballinteer Road, Dundrum",Dublin,255000.0,No,Ballinteer,Dublin 16,q1,20%
18/03/2011,"107 La Touche House, Marley View, Ballinteer Road",Dublin,330000.0,No,Ballinteer,Dublin 16,q2,30%
23/03/2011,"45 Marley View, Ballinteer Avenue",Dublin,390000.0,No,Ballinteer,Dublin 16,q2,50%
01/07/2011,"17 Broadford Close, Ballinteer",Dublin,266000.0,No,Ballinteer,Dublin 16,q1,20%
04/07/2011,"18 Kingston Rise, Ballinteer, Dublin 16",Dublin,290000.0,No,Ballinteer,Dublin 16,q1,20%
13/07/2011,"32 Hillview Estate, Ballinteer",Dublin,186000.0,No,Ballinteer,Dublin 16,q1,10%
22/07/2011,"10 The Rise, Woodpark, Ballinteer",Dublin,210000.0,No,Ballinteer,Dublin 16,q1,10%
22/07/2011,"24 Clonlea, Ballinteer, Dublin 16",Dublin,505000.0,No,Ballinteer,Dublin 16,q4,90%
29/07/2011,"23 Ballintyre Heath, Ballinteer",Dublin,540000.0,No,Ballinteer,Dublin 16,q4,90%
08/08/2011,"11A Mayfiled Terrace, Ballinteer, Dublin 16",Dublin,315000.0,No,Ballinteer,Dublin 16,q1,30%
08/08/2011,"6 Kingston Drive, Ballinteer, Dublin",Dublin,307250.0,No,Ballinteer,Dublin 16,q1,30%
12/08/2011,"105 Broadford Crescent, Ballinteer",Dublin,280000.0,No,Ballinteer,Dublin 16,q1,20%
17/08/2011,"52 Ballinteer Crescent, Ballinteer, Dublin 16",Dublin,330000.0,No,Ballinteer,Dublin 16,q2,30%
01/09/2011,"31  Ludford Drive, Ballinteer",Dublin,295000.0,No,Ballinteer,Dublin 16,q1,30%
05/09/2011,"14 The Drive, Woodpark, Ballinteer",Dublin,275000.0,No,Ballinteer,Dublin 16,q1,20%
13/09/2011,"72 College Park Way, Ballinteer",Dublin,305000.0,No,Ballinteer,Dublin 16,q1,30%
15/09/2011,"39 The Green, Woodpark, Ballinteer",Dublin,310000.0,No,Ballinteer,Dublin 16,q1,30%
27/09/2011,"3 Hilton Gardens, Ballinteer",Dublin,355500.0,No,Ballinteer,Dublin 16,q2,40%
28/09/2011,"49 Clonlea, Ballinteer",Dublin,475000.0,No,Ballinteer,Dublin 16,q3,80%
29/09/2011,"Apt 5, Derrickbawn Court, Ballinteer Road",Dublin,196000.0,No,Ballinteer,Dublin 16,q1,10%
