date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
04/01/2010,"33 Ragian Road, Ballsbridge, Dublin 4",Dublin,700000.0,No,Ballsbridge,Dublin 4,q3,60%
15/01/2010,"10 Ailesbury Road, Ballsbridge",Dublin,1100000.0,No,Ballsbridge,Dublin 4,q4,80%
21/01/2010,"36Merrion Village, Ballsbridge",Dublin,465000.0,No,Ballsbridge,Dublin 4,q2,40%
29/01/2010,"27 Northumberland Place, Ballsbridge, Dublin 4",Dublin,420000.0,No,Ballsbridge,Dublin 4,q2,30%
05/02/2010,"Ground Floor Flat, 73 Pembroke Lane, Ballsbridge",Dublin,470000.0,No,Ballsbridge,Dublin 4,q2,40%
12/02/2010,"Apt 22 Cannon Mews, Beggars Bush, Ballsbridge",Dublin,265000.0,No,Ballsbridge,Dublin 4,q1,10%
18/02/2010,"4 Haddington Square, Haddington Road, Ballsbridge",Dublin,270000.0,No,Ballsbridge,Dublin 4,q1,10%
22/02/2010,"Apartment 2, Simmonscourt Castle, Ballsbridge",Dublin,660000.0,No,Ballsbridge,Dublin 4,q3,60%
04/03/2010,"1 Ailesbury Park, Ballsbridge",Dublin,1850000.0,No,Ballsbridge,Dublin 4,q4,90%
08/03/2010,"47 Haddington Square, Ballsbridge, Dublin",Dublin,270000.0,No,Ballsbridge,Dublin 4,q1,10%
30/03/2010,"92 Ballsbridge Wood, Ballsbridge",Dublin,470000.0,No,Ballsbridge,Dublin 4,q2,40%
01/04/2010,"37  St Mary'S Road, Ballsbridge, Dublin 4",Dublin,1540000.0,No,Ballsbridge,Dublin 4,q4,90%
07/04/2010,"Apt 4  38 Haddington Road, Ballsbridge",Dublin,390000.0,No,Ballsbridge,Dublin 4,q2,30%
14/04/2010,"22 Shelbourne Road, Ballsbridge, Dublin 4",Dublin,647500.0,No,Ballsbridge,Dublin 4,q3,60%
29/04/2010,"11 Shrewsbury, Off Shrewsbury Park, Ballsbridge",Dublin,760000.0,No,Ballsbridge,Dublin 4,q3,70%
05/05/2010,"Apartment 91 Ardoyne House, Pembroke Park, Ballsbridge  Dublin 4",Dublin,525000.0,No,Ballsbridge,Dublin 4,q2,50%
18/05/2010,"Apt 126 The Sweepstakes, Ballsbridge, Dublin 4",Dublin,545000.0,No,Ballsbridge,Dublin 4,q2,50%
19/05/2010,"17 Haddington Square, Beggars Bush, Ballsbridge",Dublin,355000.0,No,Ballsbridge,Dublin 4,q1,30%
27/05/2010,"21 Wellington Lodge, Serpentine Ave, Ballsbridge",Dublin,206000.0,No,Ballsbridge,Dublin 4,q1,10%
01/06/2010,"9 Ballsbridge Gardens, Ballsbridge, Dublin 4",Dublin,465000.0,No,Ballsbridge,Dublin 4,q2,40%
16/06/2010,"23 Elgin Road, Ballsbridge, Dublin 4",Dublin,3000000.0,No,Ballsbridge,Dublin 4,q4,100%
28/06/2010,"8 Beatty'S Avenue, Ballsbridge, Dublin 4",Dublin,370000.0,No,Ballsbridge,Dublin 4,q1,30%
09/07/2010,"20  Serpentine Park, Ballsbridge",Dublin,710000.0,No,Ballsbridge,Dublin 4,q3,60%
16/07/2010,"2 Oaklands Park, Ballsbridge, Dublin 4",Dublin,542500.0,No,Ballsbridge,Dublin 4,q2,50%
23/07/2010,"122 Sweepstakes, Ballsbridge",Dublin,540000.0,No,Ballsbridge,Dublin 4,q2,50%
26/07/2010,"139 Merrion Village, Ballsbridge",Dublin,370000.0,No,Ballsbridge,Dublin 4,q1,30%
16/08/2010,"2 Merlyn Rd, Ballsbridge, Dublin 4",Dublin,1300000.0,No,Ballsbridge,Dublin 4,q4,90%
18/08/2010,"18 Anglesea Road, Ballsbridge",Dublin,1400000.0,No,Ballsbridge,Dublin 4,q4,90%
24/08/2010,"Apartment 6  Haddington Square, Beggars Bush  Ballsbridge, Dublin 4",Dublin,335000.0,No,Ballsbridge,Dublin 4,q1,20%
03/09/2010,"Apartment No. 55  Block D, Ballsbridge Wood, Ballsbridge",Dublin,515000.0,No,Ballsbridge,Dublin 4,q2,50%
14/09/2010,"16 Serpentine Road, Ballsbridge, Dublin 4",Dublin,790000.0,No,Ballsbridge,Dublin 4,q3,70%
17/09/2010,"Apartment 71 The Cedars, Herbert Park, Ballsbridge Dublin 4",Dublin,310000.0,No,Ballsbridge,Dublin 4,q1,20%
21/09/2010,"113 The Sweepstakes, Ballsbridge",Dublin,616000.0,No,Ballsbridge,Dublin 4,q3,60%
23/09/2010,"131 The Sweepstakes, Ballsbridge",Dublin,335000.0,No,Ballsbridge,Dublin 4,q1,20%
24/09/2010,"18 Wellington Lodge, Serpentine Ave, Ballsbridge",Dublin,192500.0,No,Ballsbridge,Dublin 4,q1,10%
01/10/2010,"Apt 14 Sydenham Court, Ballsbridge, Dublin 4",Dublin,375000.0,No,Ballsbridge,Dublin 4,q1,30%
07/10/2010,"12 Elgin Road, Ballsbridge, Dublin 4.",Dublin,1400000.0,No,Ballsbridge,Dublin 4,q4,90%
14/10/2010,"111 Haddington Road, Ballsbridge",Dublin,150000.0,No,Ballsbridge,Dublin 4,q1,10%
14/10/2010,"111 Haddington Road, Ballsbridge",Dublin,300000.0,No,Ballsbridge,Dublin 4,q1,20%
22/10/2010,"17 Leeson Park Avenue, Ballsbridge, Ballsbridge",Dublin,366666.0,No,Ballsbridge,Dublin 4,q1,30%
15/11/2010,"Apartment 56 Brooklands, Nutley Lane, Ballsbridge",Dublin,260000.0,No,Ballsbridge,Dublin 4,q1,10%
19/11/2010,"19 Raglan Lane, Ballsbridge, Dublin 4",Dublin,935000.0,No,Ballsbridge,Dublin 4,q3,80%
25/11/2010,"14 Merrion View Avenue, Ballsbridge",Dublin,290000.0,No,Ballsbridge,Dublin 4,q1,20%
26/11/2010,"231 The Sweepstakes, Ballsbridge",Dublin,520000.0,No,Ballsbridge,Dublin 4,q2,50%
10/12/2010,"41 Waterloo Lane, Ballsbridge",Dublin,650000.0,No,Ballsbridge,Dublin 4,q3,60%
13/12/2010,"Apartment 78 Ballsbridge Wood, Ballsbridge",Dublin,445000.0,No,Ballsbridge,Dublin 4,q2,40%
21/12/2010,"7 Prince Of Wales Terrace, Ballsbridge",Dublin,795000.0,No,Ballsbridge,Dublin 4,q3,70%
13/01/2011,"132 The Sweepstakers, Ballsbridge",Dublin,310000.0,No,Ballsbridge,Dublin 4,q1,20%
14/01/2011,"200 The Sweepstakes, Ballsbridge, Dublin 4",Dublin,210000.0,No,Ballsbridge,Dublin 4,q1,10%
17/01/2011,"6 Anglesea Lodge, Anglesea, Ballsbridge",Dublin,375000.0,No,Ballsbridge,Dublin 4,q1,30%
31/01/2011,"118 The Sweepstakes, Ballsbridge",Dublin,527500.0,No,Ballsbridge,Dublin 4,q2,50%
16/02/2011,"The Mews, 112 Lansdown Park, Ballsbridge",Dublin,725000.0,No,Ballsbridge,Dublin 4,q3,60%
21/02/2011,"Derrymore, 6 Shrewsbury Road, Ballsbridge",Dublin,7000000.0,No,Ballsbridge,Dublin 4,q4,100%
24/02/2011,"Roslyn, 13 Ailesbury Park, Ballsbridge",Dublin,1475000.0,No,Ballsbridge,Dublin 4,q4,90%
