date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
06/01/2010,"58 Palmer Park, Ballyboden, Rathfarnham",Dublin,250000.0,No,Ballyboden,Dublin 16,q2,30%
18/01/2010,"32 Ballyboden Cresent, Rathfarnham, Dublin 16",Dublin,266000.0,No,Ballyboden,Dublin 16,q2,40%
01/02/2010,"161 Ballyboden Road, Rathfarnham, Dublin 16",Dublin,207500.0,No,Ballyboden,Dublin 16,q1,20%
27/05/2010,"20 Palmers Walk, Ballyboden, Dublin 16",Dublin,45000.0,No,Ballyboden,Dublin 16,q1,10%
26/07/2010,"80 Whitechurch Way, Ballyboden, Dublin 16",Dublin,175000.0,No,Ballyboden,Dublin 16,q1,10%
29/07/2010,"15 Ballyboden Road, Rathfarnham",Dublin,280000.0,No,Ballyboden,Dublin 16,q2,50%
26/01/2011,"15 Ballyboden Crescent, Rathfarnhamn",Dublin,180000.0,No,Ballyboden,Dublin 16,q1,10%
19/09/2011,"7 Ballyboden Crescent, Ballyboden",Dublin,207000.0,No,Ballyboden,Dublin 16,q1,10%
18/11/2011,"3 Whitechurch Hill, Ballyboden",Dublin,136000.0,No,Ballyboden,Dublin 16,q1,10%
12/12/2011,"20 Whitechurch Way, Ballyboden",Dublin,170000.0,No,Ballyboden,Dublin 16,q1,10%
22/12/2011,"4A Fonthill Road, Ballyboden, Rathfarnham",Dublin,215000.0,No,Ballyboden,Dublin 16,q1,20%
31/01/2012,"4Ballyboden Crescent, Rathfarnham",Dublin,165000.0,No,Ballyboden,Dublin 16,q1,10%
29/06/2012,"9 Newbrook Estate, Ballyboden, Dublin 16",Dublin,278000.0,No,Ballyboden,Dublin 16,q2,50%
09/07/2012,"3 Riversdale View, Ballyboden Road, Rathfarnham",Dublin,562500.0,No,Ballyboden,Dublin 16,q4,100%
21/11/2012,"117 Ballyboden Road, Rathfarnham",Dublin,430000.0,No,Ballyboden,Dublin 16,q4,90%
29/11/2012,"39 Pearse Brother'S Park, Ballyboden, Dublin 16",Dublin,100000.0,No,Ballyboden,Dublin 16,q1,10%
18/02/2013,"18A Ballyboden Crescent, Rathfarnham, Dublin 16",Dublin,250000.0,No,Ballyboden,Dublin 16,q2,30%
04/03/2013,"41  Boden Heath, Ballyboden, Dublin 16",Dublin,201000.0,No,Ballyboden,Dublin 16,q1,10%
22/03/2013,"4A Ballyboden Crescent, Rathfarnham",Dublin,250000.0,No,Ballyboden,Dublin 16,q2,30%
12/04/2013,"157 Ballyboden Road, Rathfarnham, Dublin 14",Dublin,250000.0,No,Ballyboden,Dublin 16,q2,30%
16/07/2013,"195 Ballyboden Road, Rathfarnham",Dublin,195000.0,No,Ballyboden,Dublin 16,q1,10%
28/08/2013,"23 The Glen, Boden Park  Ballyboden, Rathfarnham",Dublin,330000.0,No,Ballyboden,Dublin 16,q3,60%
04/12/2013,"163 Ballyboden Road, Rathfarnham",Dublin,395000.0,No,Ballyboden,Dublin 16,q4,90%
06/12/2013,"215 Ballyboden Rd, Rathfarnham, Dublin 16",Dublin,213000.0,No,Ballyboden,Dublin 16,q1,20%
12/12/2013,"Drumlarney, Scholarstown Rd, Ballyboden Dublin 16",Dublin,710000.0,No,Ballyboden,Dublin 16,q4,100%
06/02/2014,"3 Glenmore Mews, Ballyboden, Rathfarnham",Dublin,345000.0,No,Ballyboden,Dublin 16,q3,60%
