date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
26/03/2010,"Hollywood Little, Ballyboughal",Dublin,475000.0,No,Ballybough,Dublin 3,q4,90%
20/05/2010,"35 Tolka Road, Ballybough, Dublin 3",Dublin,169400.0,No,Ballybough,Dublin 3,q1,20%
25/05/2010,"158 Tolka Rd, Ballybough",Dublin,175000.0,No,Ballybough,Dublin 3,q1,20%
26/05/2010,"Knightstown, Ballyboughal",Dublin,265000.0,No,Ballybough,Dublin 3,q2,40%
15/06/2010,"Bettyville, Ballyboughal",Dublin,545000.0,No,Ballybough,Dublin 3,q4,90%
17/06/2010,"137 Clonliffe Avenue, Ballybough, Dublin 3",Dublin,210000.0,No,Ballybough,Dublin 3,q1,30%
18/06/2010,"47 Forster Terrace, Ballybough",Dublin,140000.0,No,Ballybough,Dublin 3,q1,20%
28/09/2010,"Hollywood, Ballyboughal, Co. Dublin",Dublin,225000.0,No,Ballybough,Dublin 3,q2,30%
07/10/2010,"43 Clonliffe Avenue, Ballybough",Dublin,160000.0,No,Ballybough,Dublin 3,q1,20%
29/10/2010,"7 Cnoc Dubh, Ballyboughal",Dublin,155000.0,Yes,Ballybough,Dublin 3,q1,20%
29/10/2010,"Broomfield View, Mains Court, Ballyboughal",Dublin,237000.0,No,Ballybough,Dublin 3,q2,40%
02/11/2010,"15 Ballybough Road, Dublin 3",Dublin,267500.0,No,Ballybough,Dublin 3,q2,50%
24/11/2010,"36 Kings Avenue, Ballybough, Dublin 3",Dublin,5715.0,No,Ballybough,Dublin 3,q1,10%
18/04/2011,"5 Cnoc Dubh, Ballyboughal, County Dublin",Dublin,225000.0,Yes,Ballybough,Dublin 3,q2,30%
01/07/2011,"87 Clonliffe Avenue, Ballybough",Dublin,138000.0,No,Ballybough,Dublin 3,q1,20%
26/07/2011,"The Grange, Ballyboughal",Dublin,440000.0,No,Ballybough,Dublin 3,q4,80%
03/10/2011,"31 Ballybough Road, Ballybough, Dublin 3",Dublin,128000.0,No,Ballybough,Dublin 3,q1,20%
21/12/2011,"The Paddocks, Ballyboughal, Co Dublin",Dublin,335000.0,No,Ballybough,Dublin 3,q3,60%
10/01/2012,"Clonswords, Ballyboughal",Dublin,495000.0,No,Ballybough,Dublin 3,q4,90%
31/01/2012,"2  Clonmore Villas, Ballybough Road, Dublin 3",Dublin,226000.0,No,Ballybough,Dublin 3,q2,40%
16/04/2012,"154 Tolka Road, Ballybough",Dublin,75000.0,No,Ballybough,Dublin 3,q1,10%
23/05/2012,"6 Cnoc Dubh, Ballyboughal",Dublin,160000.0,Yes,Ballybough,Dublin 3,q1,20%
19/06/2012,"9 Foster Tce, Ballybough",Dublin,95000.0,No,Ballybough,Dublin 3,q1,10%
03/08/2012,"Waterside House, Bettyville, Ballyboughal",Dublin,450000.0,No,Ballybough,Dublin 3,q4,80%
26/09/2012,"28 Charleville Avenue, Ballybough, Dublin 1",Dublin,86000.0,No,Ballybough,Dublin 3,q1,10%
07/11/2012,"30 Ballybough Road, Ballybough, Dublin 3",Dublin,160000.0,No,Ballybough,Dublin 3,q1,20%
29/11/2012,"27 Ballybough Road, Dublin 3",Dublin,30000.0,No,Ballybough,Dublin 3,q1,10%
14/01/2013,"15 The Grange, Ballyboughal, Co Dublin",Dublin,195000.0,Yes,Ballybough,Dublin 3,q1,30%
14/01/2013,"2 Austin Cottages, Ballybough, Dublin 3",Dublin,47000.0,No,Ballybough,Dublin 3,q1,10%
12/02/2013,"2 The Grange, Ballyboughal, County Dublin",Dublin,350000.0,Yes,Ballybough,Dublin 3,q3,70%
08/03/2013,"13 The Grange, Ballyboughal, County Dublin",Dublin,256519.82,Yes,Ballybough,Dublin 3,q2,40%
15/03/2013,"The Moores, Ballyboughal",Dublin,360000.0,No,Ballybough,Dublin 3,q3,70%
20/03/2013,"11 The Grange, Ballyboughal",Dublin,272246.0,Yes,Ballybough,Dublin 3,q2,50%
22/03/2013,"18 Ballybough Road, Ballybough",Dublin,155000.0,No,Ballybough,Dublin 3,q1,20%
02/05/2013,"6 The Grange, Ballyboughal",Dublin,349000.0,Yes,Ballybough,Dublin 3,q3,60%
07/05/2013,"14 The Grange, Ballyboughal, Co. Dublin",Dublin,243658.0,Yes,Ballybough,Dublin 3,q2,40%
10/05/2013,"12 The Grange, Ballyboughal, County Dublin",Dublin,254625.0,Yes,Ballybough,Dublin 3,q2,40%
08/08/2013,"8 The Grange, Ballyboughal",Dublin,309383.25,Yes,Ballybough,Dublin 3,q3,60%
30/08/2013,"3 Foster Terrace, Ballybough, Dublin 3",Dublin,210000.0,No,Ballybough,Dublin 3,q1,30%
30/08/2013,"3 Gerrardstown, Ballyboughall",Dublin,155000.0,No,Ballybough,Dublin 3,q1,20%
20/09/2013,"18 The Grange, Ballyboughal",Dublin,118942.0,Yes,Ballybough,Dublin 3,q1,10%
23/09/2013,"10 The Grange, Ballyboughal, Co Dublin",Dublin,404000.0,Yes,Ballybough,Dublin 3,q3,80%
02/10/2013,"Woodleigh Lodge, Woodpark, Ballyboughal",Dublin,492500.0,No,Ballybough,Dublin 3,q4,90%
25/10/2013,"17 The Grange, Ballyboughal",Dublin,175000.0,Yes,Ballybough,Dublin 3,q1,20%
01/11/2013,"12 O'Sullivan Avenue, Ballybough",Dublin,121000.0,No,Ballybough,Dublin 3,q1,10%
08/11/2013,"7 The Grange, Ballyboughal",Dublin,312775.0,Yes,Ballybough,Dublin 3,q3,60%
14/11/2013,"Mainscourt, Ballyboughal",Dublin,180000.0,No,Ballybough,Dublin 3,q1,30%
19/11/2013,"36 Kings Ave, Ballybough, Dublin 3",Dublin,42000.0,No,Ballybough,Dublin 3,q1,10%
29/11/2013,"Coldwinters, Ballyboughal",Dublin,416000.0,No,Ballybough,Dublin 3,q3,80%
02/12/2013,"Wimbletown, Ballyboughal",Dublin,275000.0,No,Ballybough,Dublin 3,q2,50%
04/12/2013,"9 The Grange, Ballyboughal",Dublin,318193.0,Yes,Ballybough,Dublin 3,q3,60%
06/12/2013,"Shancoole House, Grace Dieu, Ballyboughal",Dublin,373000.0,No,Ballybough,Dublin 3,q3,70%
21/01/2014,"2 Barley Hill, Ballyboughal, Dublin",Dublin,400000.0,No,Ballybough,Dublin 3,q3,80%
23/01/2014,"16 The Grange, Ballyboughal, County Dublin",Dublin,290308.0,Yes,Ballybough,Dublin 3,q2,50%
24/01/2014,"7 Cnoc Dubh, Ballyboughal, Dublin",Dublin,130000.0,No,Ballybough,Dublin 3,q1,20%
27/01/2014,"11 Tolka Rd, Ballybough, Dublin 3",Dublin,110000.0,No,Ballybough,Dublin 3,q1,10%
30/01/2014,"16A The Grange, Ballyboughal",Dublin,309400.0,Yes,Ballybough,Dublin 3,q3,60%
03/02/2014,"Richardstown, Ballyboughal, Dublin",Dublin,391500.0,No,Ballybough,Dublin 3,q3,70%
