date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
11/02/2010,"155 Ashlawn Park, Ballybrack",Dublin,260000.0,No,Ballybrack,Co. Dublin,q2,40%
13/08/2010,"26 Dale View, Ballybrack",Dublin,210000.0,No,Ballybrack,Co. Dublin,q1,30%
13/08/2010,"6 Oakton Drive, Ballybrack, Co. Dublin.",Dublin,230000.0,No,Ballybrack,Co. Dublin,q2,30%
10/11/2010,"82 Wyattville Park, Ballybrack",Dublin,310000.0,No,Ballybrack,Co. Dublin,q3,70%
12/11/2010,"27 Pinewood, Ballybrack",Dublin,180000.0,No,Ballybrack,Co. Dublin,q1,20%
30/11/2010,"68 Ralahine, Ballybrack",Dublin,320000.0,No,Ballybrack,Co. Dublin,q3,70%
24/05/2011,"71 Holly Court, Ballybrack",Dublin,180000.0,No,Ballybrack,Co. Dublin,q1,20%
28/06/2011,"11 Meadowcourt, Ballybrack",Dublin,270500.0,No,Ballybrack,Co. Dublin,q2,50%
05/07/2011,"49 Willow Vale, Ballybrack, County Dublin",Dublin,211000.0,No,Ballybrack,Co. Dublin,q1,30%
24/10/2011,"28 Davitt Park, Ballybrack",Dublin,205000.0,No,Ballybrack,Co. Dublin,q1,30%
20/12/2011,"81 Daleview Park, Ballybrack",Dublin,160000.0,No,Ballybrack,Co. Dublin,q1,10%
10/01/2012,"140 Ashlawn Park, Ballybrack",Dublin,190000.0,No,Ballybrack,Co. Dublin,q1,20%
27/01/2012,"44 Oakton Park, Ballybrack",Dublin,160000.0,No,Ballybrack,Co. Dublin,q1,10%
21/03/2012,"22 Cois Cualann, Ballybrack",Dublin,185000.0,No,Ballybrack,Co. Dublin,q1,20%
24/05/2012,"8 Annabeg, Meadow Court, Ballybrack",Dublin,225000.0,No,Ballybrack,Co. Dublin,q2,30%
12/07/2012,"Fairhaven, Church Road  Church View Road, Killiney  Ballybrack",Dublin,440000.0,No,Ballybrack,Co. Dublin,q4,90%
18/07/2012,"40 Daleview Park, Ballybrack",Dublin,215000.0,No,Ballybrack,Co. Dublin,q1,30%
16/08/2012,"32 Daleview Park, Ballybrack",Dublin,170000.0,No,Ballybrack,Co. Dublin,q1,10%
10/10/2012,"38 Oakton Park, Ballybrack, Co. Dublin",Dublin,209000.0,No,Ballybrack,Co. Dublin,q1,30%
31/10/2012,"69 Willow Vale, Ballybrack",Dublin,175000.0,No,Ballybrack,Co. Dublin,q1,20%
01/11/2012,"5 Oakton Park, Ballybrack",Dublin,152000.0,No,Ballybrack,Co. Dublin,q1,10%
14/11/2012,"6 Achill Road, Shanganagh Road, Ballybrack",Dublin,160000.0,No,Ballybrack,Co. Dublin,q1,10%
14/12/2012,"7 Wyattville Road, Ballybrack",Dublin,215000.0,No,Ballybrack,Co. Dublin,q1,30%
12/02/2013,"5 Church Road, Ballybrack",Dublin,211000.0,No,Ballybrack,Co. Dublin,q1,30%
12/02/2013,"6, Church Road, Ballybrack",Dublin,203000.0,No,Ballybrack,Co. Dublin,q1,30%
13/03/2013,"75 Pinewood, Ballybrack",Dublin,169000.0,No,Ballybrack,Co. Dublin,q1,10%
05/04/2013,"166 Cypress Court, Ballybrack, Dublin",Dublin,195000.0,No,Ballybrack,Co. Dublin,q1,20%
16/05/2013,"5 Oakton Park, Ballybrack, County Dublin",Dublin,239800.0,No,Ballybrack,Co. Dublin,q2,40%
20/05/2013,"40 A Daleview Park, Ballybrack",Dublin,308000.0,No,Ballybrack,Co. Dublin,q3,60%
20/05/2013,"Apartment No. 51 Ridgehall, Ballybrack",Dublin,188000.0,No,Ballybrack,Co. Dublin,q1,20%
23/05/2013,"4 Mountainview Road, Ballybrack",Dublin,260000.0,No,Ballybrack,Co. Dublin,q2,40%
18/07/2013,"103 Ashlawn Park, Ballybrack, Co Dublin",Dublin,182000.0,No,Ballybrack,Co. Dublin,q1,20%
18/07/2013,"82 Block C, Ridgehall, Ballybrack",Dublin,149650.0,No,Ballybrack,Co. Dublin,q1,10%
30/08/2013,"13 Glenavon Park, Ballybrack",Dublin,180000.0,No,Ballybrack,Co. Dublin,q1,20%
23/09/2013,"29 Dale View, Ballybrack",Dublin,344500.0,No,Ballybrack,Co. Dublin,q3,80%
23/09/2013,"48 Pinewood, Ballybrack",Dublin,195000.0,No,Ballybrack,Co. Dublin,q1,20%
25/09/2013,"157 Glencar Lawn, Ballybrack",Dublin,185000.0,No,Ballybrack,Co. Dublin,q1,20%
26/09/2013,"Clonmannon, 28 Church Road, Ballybrack",Dublin,420000.0,No,Ballybrack,Co. Dublin,q4,90%
21/10/2013,"4 Ridge Court  Off Wyatville Road, Ballybrack",Dublin,120000.0,No,Ballybrack,Co. Dublin,q1,10%
07/12/2013,"63 Willow Vale, Ballybrack, Dublin",Dublin,233000.0,No,Ballybrack,Co. Dublin,q2,40%
09/12/2013,"67 Coolevin, Ballybrack, Dublin",Dublin,90000.0,No,Ballybrack,Co. Dublin,q1,10%
13/12/2013,"10 Ralahine, Ballybrack, Dublin",Dublin,200000.0,No,Ballybrack,Co. Dublin,q1,20%
13/12/2013,"Woodlawn, Church Rd, Ballybrack",Dublin,485000.0,No,Ballybrack,Co. Dublin,q4,100%
23/12/2013,"59 Ralahine, Ballybrack, Dublin",Dublin,245000.0,No,Ballybrack,Co. Dublin,q2,40%
05/02/2014,"1 Norwood, Shanganagh Rd, Ballybrack",Dublin,249000.0,No,Ballybrack,Co. Dublin,q2,40%
06/03/2014,"175 Ashlawn Park, Ballybrack, Dublin",Dublin,196000.0,No,Ballybrack,Co. Dublin,q1,20%
27/03/2014,"4 Smyth'S Cottages, Wyattville Road, Ballybrack",Dublin,157000.0,No,Ballybrack,Co. Dublin,q1,10%
31/03/2014,"3 Ridgecourt, Laurel Avenue, Ballybrack",Dublin,120000.0,No,Ballybrack,Co. Dublin,q1,10%
17/04/2014,"116 Ashlawn Park, Ballybrack, Dublin",Dublin,178000.0,No,Ballybrack,Co. Dublin,q1,20%
01/05/2014,"175 Cypress Court, Ballybrack, Dublin",Dublin,190000.0,No,Ballybrack,Co. Dublin,q1,20%
06/05/2014,"130 Churchview Rd, Ballybrack, Dublin",Dublin,366000.0,No,Ballybrack,Co. Dublin,q4,90%
