date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
08/01/2010,"15 Beechdale Place, Ballycullen",Dublin,298000.0,No,Ballycullen,Dublin 24,q2,40%
21/01/2010,"9 Woodstown Gardens, Ballycullen Road, Knocklyon",Dublin,409000.0,No,Ballycullen,Dublin 24,q4,90%
21/01/2010,"Apt. 49 Hunters Walk, Hunterswood, Ballycullen Road",Dublin,225000.0,No,Ballycullen,Dublin 24,q1,20%
10/05/2010,"53 Wooddale Drive, Ballycullen, Dublin 24",Dublin,325000.0,No,Ballycullen,Dublin 24,q2,50%
14/05/2010,"25 Hunters Court, Hunterswood, Ballycullen",Dublin,242000.0,No,Ballycullen,Dublin 24,q1,20%
04/06/2010,"87 Hunters Green, Ballycullen",Dublin,240000.0,No,Ballycullen,Dublin 24,q1,20%
09/06/2010,"34 Wood Dale Crescent, Ballycullen, Dublin 24",Dublin,348000.0,No,Ballycullen,Dublin 24,q3,70%
19/07/2010,"49 Wooddale Drive, Ballycullen View, Dublin 24",Dublin,335000.0,No,Ballycullen,Dublin 24,q3,60%
23/07/2010,"5 Dalriada Hall, Ballycullen Road, Knocklyon",Dublin,250000.0,Yes,Ballycullen,Dublin 24,q1,20%
09/08/2010,"1 Woodstown Dale, Ballycullen Road, Knocklyon",Dublin,372500.0,No,Ballycullen,Dublin 24,q4,80%
03/09/2010,"16 Old Court Avenue, Ferncourt, Ballycullen",Dublin,315000.0,No,Ballycullen,Dublin 24,q2,50%
01/10/2010,"43 Wood Dale Green, Ballycullen, Dublin 24",Dublin,280000.0,No,Ballycullen,Dublin 24,q2,30%
01/10/2010,"5 Hunters Way, Ballycullen",Dublin,305000.0,No,Ballycullen,Dublin 24,q2,40%
15/10/2010,"74 Hunters Walk, Hunters Wood, Ballycullen Road",Dublin,290000.0,No,Ballycullen,Dublin 24,q2,30%
23/11/2010,"26 Hunters Way, Hunterswood, Ballycullen Road",Dublin,250000.0,No,Ballycullen,Dublin 24,q1,20%
21/03/2011,"78 Hunter'S Walk, Hunterswood, Ballycullen  Dubin 24",Dublin,240000.0,No,Ballycullen,Dublin 24,q1,20%
19/04/2011,"8 Hunters Walk, Hunterswood, Ballycullen Road",Dublin,248500.0,No,Ballycullen,Dublin 24,q1,20%
30/05/2011,"17 Oakdale Close, Ballycullen Park, Knoklyon",Dublin,250000.0,No,Ballycullen,Dublin 24,q1,20%
13/07/2011,"13 Beechdale Lawn, Ballycullen, Dublin 24",Dublin,275000.0,No,Ballycullen,Dublin 24,q1,30%
02/09/2011,"Apt. 25  Beechdale Court, Ballycullen",Dublin,145000.0,No,Ballycullen,Dublin 24,q1,10%
20/09/2011,"70 Hunters Lane, Ballycullen, Dublin 24",Dublin,205000.0,No,Ballycullen,Dublin 24,q1,10%
