date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
15/01/2010,"144 Blackditch Road, Ballyfermot",Dublin,150000.0,No,Ballyfermot,Dublin 10,q2,50%
12/02/2010,"83 Cremona Road, Ballyfermot, Dublin 10",Dublin,167500.0,No,Ballyfermot,Dublin 10,q3,60%
15/02/2010,"153 Thomond Road, Ballyfermot, Dublin 10",Dublin,140000.0,No,Ballyfermot,Dublin 10,q2,40%
25/02/2010,"148 Cremona Road, Ballyfermot, Dublin 10",Dublin,145000.0,No,Ballyfermot,Dublin 10,q2,40%
04/03/2010,"122 Cremona Road, Ballyfermot",Dublin,195000.0,No,Ballyfermot,Dublin 10,q3,70%
09/03/2010,"105 Spiddal Road, Ballyfermot",Dublin,165000.0,No,Ballyfermot,Dublin 10,q3,60%
12/03/2010,"88 Croftwood Park, Ballyfermot, Dublin 10",Dublin,205000.0,Yes,Ballyfermot,Dublin 10,q3,80%
22/03/2010,"97 Blackditch Road, Ballyfermot",Dublin,150000.0,No,Ballyfermot,Dublin 10,q2,50%
25/03/2010,"24 Blackditch Road, Ballyfermot",Dublin,205000.0,No,Ballyfermot,Dublin 10,q3,80%
29/03/2010,"103A Lough Conn Road, Ballyfermot",Dublin,240000.0,Yes,Ballyfermot,Dublin 10,q4,90%
08/04/2010,"82 Thomond Road, Ballyfermot, .",Dublin,177000.0,No,Ballyfermot,Dublin 10,q3,70%
09/04/2010,"152 Lally Road, Ballyfermot",Dublin,197000.0,No,Ballyfermot,Dublin 10,q3,70%
23/04/2010,"47 Blackditch Road, Ballyfermot, Dublin",Dublin,190000.0,No,Ballyfermot,Dublin 10,q3,70%
12/05/2010,"47 Colepark Drive, Ballyfermot",Dublin,173500.0,No,Ballyfermot,Dublin 10,q3,60%
12/05/2010,"93 Kylemore Drive, Ballyfermot, Dublin",Dublin,148000.0,No,Ballyfermot,Dublin 10,q2,50%
13/05/2010,"23 Ballyfermot Avenue, Ballyfermot",Dublin,190000.0,No,Ballyfermot,Dublin 10,q3,70%
24/05/2010,"56 Cremona Road, Ballyfermot",Dublin,132000.0,No,Ballyfermot,Dublin 10,q2,40%
18/06/2010,"64 Rossmore Avenue, Ballyfermot, Dublin 10",Dublin,199000.0,No,Ballyfermot,Dublin 10,q3,80%
23/06/2010,"13 Gurteen Avenue, Ballyfermot, Dublin 10",Dublin,180000.0,No,Ballyfermot,Dublin 10,q3,70%
25/06/2010,"328  Kylemore Road, Ballyfermot, Dublin 10",Dublin,150000.0,No,Ballyfermot,Dublin 10,q2,50%
02/07/2010,"38 Rossmore Road, Ballyfermot",Dublin,152000.0,No,Ballyfermot,Dublin 10,q2,50%
15/07/2010,"69 Kylemore Drive, Ballyfermot",Dublin,175000.0,No,Ballyfermot,Dublin 10,q3,60%
16/07/2010,"190 Ballyfermot Drive, Ballyfermot, Dublin 10",Dublin,180000.0,No,Ballyfermot,Dublin 10,q3,70%
16/07/2010,"83 Ballyfermot Parade, Ballyfermot",Dublin,170000.0,No,Ballyfermot,Dublin 10,q3,60%
28/07/2010,"490 Ballyfermot Road, Ballyfermot",Dublin,220000.0,No,Ballyfermot,Dublin 10,q4,80%
05/08/2010,"27 O'Hogan Road, Ballyfermot",Dublin,155000.0,No,Ballyfermot,Dublin 10,q2,50%
16/08/2010,"65 Ballyfermot Drive, Ballyfermot, Dublin 10",Dublin,145000.0,No,Ballyfermot,Dublin 10,q2,40%
20/08/2010,"103 Landen Road, Ballyfermot",Dublin,160000.0,No,Ballyfermot,Dublin 10,q2,50%
09/09/2010,"160 Ballyfermot Drive, Ballyfermot, Dublin 10",Dublin,120000.0,No,Ballyfermot,Dublin 10,q1,30%
10/09/2010,"35 Cloiginn Avenue, Ballyfermot, Dublin 10",Dublin,134000.0,No,Ballyfermot,Dublin 10,q2,40%
17/09/2010,"147 Blackditch Road, Ballyfermot",Dublin,155000.0,No,Ballyfermot,Dublin 10,q2,50%
24/09/2010,"254 Le Fanu Road, Ballyfermot, Dublin",Dublin,175000.0,No,Ballyfermot,Dublin 10,q3,70%
30/09/2010,"253 Kylemore Road, Ballyfermot",Dublin,150000.0,No,Ballyfermot,Dublin 10,q2,50%
20/10/2010,"126 Le Fanu Road, Ballyfermot",Dublin,200000.0,No,Ballyfermot,Dublin 10,q3,80%
21/10/2010,"45 Elmdale Crescent, Ballyfermot, Dublin 10",Dublin,187500.0,No,Ballyfermot,Dublin 10,q3,70%
29/10/2010,"75 0Ranmore Road, Ballyfermot, Dublin 10",Dublin,157000.0,No,Ballyfermot,Dublin 10,q2,50%
01/11/2010,"261 Thomand Road, Ballyfermot",Dublin,140000.0,No,Ballyfermot,Dublin 10,q2,40%
05/11/2010,"129 Landen Road, Ballyfermot, Dublin 10",Dublin,105000.0,No,Ballyfermot,Dublin 10,q1,20%
12/11/2010,"12 Spiddal Road, Ballyfermot",Dublin,130000.0,No,Ballyfermot,Dublin 10,q2,30%
16/11/2010,"28 Gurteen Park, Ballyfermot",Dublin,148000.0,No,Ballyfermot,Dublin 10,q2,50%
18/11/2010,"221 Thomond Road, Ballyfermot",Dublin,150000.0,No,Ballyfermot,Dublin 10,q2,50%
07/12/2010,"149 Rossmore Road, Ballyfermot, Dublin 10",Dublin,160000.0,No,Ballyfermot,Dublin 10,q2,50%
16/12/2010,"79 Decies Road, Ballyfermot",Dublin,150000.0,No,Ballyfermot,Dublin 10,q2,50%
21/12/2010,"300 Kylemore Road, Ballyfermot",Dublin,129500.0,No,Ballyfermot,Dublin 10,q2,30%
07/01/2011,"92 Drumfinn Road, Ballyfermot",Dublin,178000.0,No,Ballyfermot,Dublin 10,q3,70%
31/01/2011,"303 Ballyfermot Road, Ballyfermot, Dublin 10",Dublin,168000.0,No,Ballyfermot,Dublin 10,q3,60%
11/02/2011,"21 Decies Road, Ballyfermot",Dublin,169000.0,No,Ballyfermot,Dublin 10,q3,60%
15/02/2011,"40 Loch Conn Road, Ballyfermot, Dublin 10",Dublin,140000.0,No,Ballyfermot,Dublin 10,q2,40%
25/02/2011,"271 Landen Road, Ballyfermot, Dublin 10",Dublin,65000.0,No,Ballyfermot,Dublin 10,q1,10%
14/03/2011,"41 Lough Conn Road, Ballyfermot",Dublin,145000.0,No,Ballyfermot,Dublin 10,q2,40%
28/03/2011,"44 Claddagh Road, Ballyfermot, Dublin",Dublin,157500.0,No,Ballyfermot,Dublin 10,q2,50%
05/04/2011,"3 Turret Road, Ballyfermot, Dublin 20",Dublin,215000.0,No,Ballyfermot,Dublin 10,q4,80%
14/04/2011,"3 Loch Conn Road, Ballyfermot, Dublin 10",Dublin,140000.0,No,Ballyfermot,Dublin 10,q2,40%
04/05/2011,"319 Landen Road, Ballyfermot",Dublin,115000.0,No,Ballyfermot,Dublin 10,q1,30%
27/05/2011,"81 Landen Road, Ballyfermot, Dublin 10",Dublin,127500.0,No,Ballyfermot,Dublin 10,q2,30%
30/05/2011,"No 23 Garryowen Road, Ballyfermot",Dublin,110000.0,No,Ballyfermot,Dublin 10,q1,20%
31/05/2011,"70 Ramilies Road, Ballyfermot, Dublin 10",Dublin,140000.0,No,Ballyfermot,Dublin 10,q2,40%
17/06/2011,"32 Cleggan Avenue, Ballyfermot",Dublin,140000.0,No,Ballyfermot,Dublin 10,q2,40%
27/07/2011,"10 Orchard Lawn, Cherry Orchard, Ballyfermot",Dublin,140000.0,No,Ballyfermot,Dublin 10,q2,40%
28/07/2011,"90 Oranmore Road, Ballyfermot",Dublin,90000.0,No,Ballyfermot,Dublin 10,q1,10%
05/08/2011,"177 Blackditch Road, Ballyfermot, Dublin 10",Dublin,118000.0,No,Ballyfermot,Dublin 10,q1,30%
16/08/2011,"19 Cliften Drive, Ballyfermot, Dublin 10",Dublin,150000.0,No,Ballyfermot,Dublin 10,q2,50%
16/08/2011,"47 Loch Conn Road, Ballyfermot",Dublin,171509.3,No,Ballyfermot,Dublin 10,q3,60%
25/08/2011,"33 O'Hogan Road, Ballyfermot",Dublin,120000.0,No,Ballyfermot,Dublin 10,q1,30%
26/08/2011,"99 Blackditch Road, Ballyfermot, Dublin",Dublin,119000.0,No,Ballyfermot,Dublin 10,q1,30%
06/09/2011,"8 Cremona Road, Ballyfermot, Dublin 10",Dublin,107000.0,No,Ballyfermot,Dublin 10,q1,20%
08/09/2011,"87 Claddagh Road, Ballyfermot, Dublin 10",Dublin,132000.0,No,Ballyfermot,Dublin 10,q2,40%
09/09/2011,"101 Cloverhill Road, Ballyfermot, Dublin 10",Dublin,70000.0,No,Ballyfermot,Dublin 10,q1,10%
