date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
05/02/2010,"47 Sillogue Gardens, Ballymun",Dublin,170000.0,No,Ballymun,Dublin 9,q3,80%
10/03/2010,"66 Sandyhill Gardens, Ballymun  Dublin 11",Dublin,155000.0,No,Ballymun,Dublin 9,q3,60%
15/04/2010,"Apt 3 The Kilmore, Santry Cross, Ballymun",Dublin,202643.17,Yes,Ballymun,Dublin 9,q4,90%
23/04/2010,"104, Shangan Green, Ballymun",Dublin,125000.0,No,Ballymun,Dublin 9,q2,40%
10/08/2010,"25 Shangan Gardens, Ballymun, Dublin 9",Dublin,150000.0,No,Ballymun,Dublin 9,q3,60%
29/11/2010,"30 Ard Na Meala, Ballymun, Dublin 11",Dublin,145000.0,No,Ballymun,Dublin 9,q2,50%
20/12/2010,"Apt 80 The Gateway, Ballymun, Co Dublin",Dublin,82000.0,No,Ballymun,Dublin 9,q1,10%
12/07/2011,"204 Poppintree Road, Ballymun, Dublin 11",Dublin,170000.0,No,Ballymun,Dublin 9,q3,80%
13/10/2011,"89 Sillogue Gardens, Ballymun, Dublin 11",Dublin,110000.0,No,Ballymun,Dublin 9,q1,30%
21/12/2011,"24 Grove Park Crescent, Ballymun, Dublin 11",Dublin,198750.0,No,Ballymun,Dublin 9,q4,90%
05/01/2012,"84, Sandyhill Gardens, Ballymun",Dublin,85000.0,No,Ballymun,Dublin 9,q1,10%
17/09/2012,"80 Sandyhill Gardens, Ballymun",Dublin,130000.0,No,Ballymun,Dublin 9,q2,40%
10/10/2012,"86 Sillogue Gardens, Ballymun, Dublin 11",Dublin,85000.0,No,Ballymun,Dublin 9,q1,10%
26/11/2012,"11 Cedarwood Avenue, Ballymun, Dublin 11",Dublin,260000.0,No,Ballymun,Dublin 9,q4,100%
29/11/2012,"41  The Gateway, Ballymun",Dublin,130000.0,No,Ballymun,Dublin 9,q2,40%
05/12/2012,"Apartment 147 The Plaza, Ballymun",Dublin,61000.0,No,Ballymun,Dublin 9,q1,10%
14/12/2012,"135 Ballymun Road, Dublin 9",Dublin,315000.0,No,Ballymun,Dublin 9,q4,100%
02/01/2013,"91 Sillogue Gardens, Ballymun, Dublin",Dublin,96000.0,No,Ballymun,Dublin 9,q1,20%
21/01/2013,"Apt 123  The Plaza, Ballymun",Dublin,63000.0,No,Ballymun,Dublin 9,q1,10%
15/02/2013,"90 Sillogue Gardens, Ballymun",Dublin,60000.0,No,Ballymun,Dublin 9,q1,10%
27/03/2013,"No 38 The Plaza, Shangan Road, Ballymun",Dublin,195000.0,No,Ballymun,Dublin 9,q4,90%
28/03/2013,"Apartment 103 College View, New Town Centre, Ballymun",Dublin,70000.0,No,Ballymun,Dublin 9,q1,10%
28/03/2013,"Apt 3.10 Ballymun Civic Centre, Shangan Road, Ballymun Town Centre",Dublin,165000.0,No,Ballymun,Dublin 9,q3,70%
28/03/2013,"Apt 4.1 Ballymun Civic Centre, Shangan Road, Ballymun Town Centre",Dublin,165000.0,No,Ballymun,Dublin 9,q3,70%
28/03/2013,"Apt. 2.12 Ballymun Centre, Shangan Road, Ballymun Town Centre",Dublin,165000.0,No,Ballymun,Dublin 9,q3,70%
28/03/2013,"Apt. 4.10 Ballymun Centre, Shangan Road, Ballymun Town Centre",Dublin,165000.0,No,Ballymun,Dublin 9,q3,70%
15/04/2013,"35 Wadelai Green, Ballymun, Dublin",Dublin,175000.0,No,Ballymun,Dublin 9,q3,80%
17/04/2013,"38 The Gateways, Ballymun",Dublin,50000.0,No,Ballymun,Dublin 9,q1,10%
19/04/2013,"60 Albert College Avenue, Ballymun Road",Dublin,200000.0,No,Ballymun,Dublin 9,q4,90%
01/07/2013,"15A Gateway Avenue, Formerly 109 The Gateway, Ballymun",Dublin,70000.0,No,Ballymun,Dublin 9,q1,10%
