date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
29/01/2010,"75 Balruddery Woods, Balrothery",Dublin,280000.0,No,Balrothery,Co. Dublin,q3,80%
26/03/2010,"52 Ardgillen Lawn, Balrothery",Dublin,220000.0,No,Balrothery,Co. Dublin,q2,50%
15/04/2010,"15 Ringfort Place, Balrothery, Co Dublin",Dublin,192000.0,Yes,Balrothery,Co. Dublin,q2,40%
24/09/2010,"104 Balrothery Estate, Tallaght, Dublin 24.",Dublin,235000.0,No,Balrothery,Co. Dublin,q3,60%
05/11/2010,"3 Balrothery Cottages, Tallaght",Dublin,120000.0,No,Balrothery,Co. Dublin,q1,10%
16/11/2010,"The Warren, Man O War, Courtlough Balrothery",Dublin,520000.0,No,Balrothery,Co. Dublin,q4,100%
14/12/2010,"48 Balruddery Woods, Balrothery, County Dublin",Dublin,205000.0,No,Balrothery,Co. Dublin,q2,40%
07/04/2011,"5 Balrothery Estate, Tallaght",Dublin,225000.0,No,Balrothery,Co. Dublin,q2,50%
05/08/2011,"Tristernagh, Balrothery Hill, Balrothery",Dublin,270000.0,No,Balrothery,Co. Dublin,q3,70%
16/08/2011,"211  Balrothery Estate, Tallaght",Dublin,165000.0,No,Balrothery,Co. Dublin,q1,20%
13/09/2011,"6 Knightshill, Old Coach Road, Balrothery",Dublin,380000.0,No,Balrothery,Co. Dublin,q4,100%
18/12/2011,"241 Balrothery Estate, Tallaght",Dublin,130000.0,No,Balrothery,Co. Dublin,q1,20%
07/06/2012,"97 Castle Park, Balrothery, Tallaght",Dublin,118000.0,No,Balrothery,Co. Dublin,q1,10%
19/06/2012,"85 Castle Lawns, Balrothery Tallaght, Dublin 24",Dublin,141000.0,No,Balrothery,Co. Dublin,q1,20%
17/08/2012,"6 Ringfort View, Darcystown, Balrothery",Dublin,125000.0,No,Balrothery,Co. Dublin,q1,10%
10/09/2012,"10 Balruddery Fields, Balrothery",Dublin,165500.0,No,Balrothery,Co. Dublin,q1,30%
21/12/2012,"76, Rose Park, Balrothery",Dublin,168500.0,No,Balrothery,Co. Dublin,q1,30%
01/02/2013,"26 Cloch Choirneal, Balrothery, Balbrigan",Dublin,180000.0,No,Balrothery,Co. Dublin,q2,30%
15/03/2013,"12 Castle Park, Balrothery, Tallaght",Dublin,112500.0,No,Balrothery,Co. Dublin,q1,10%
10/04/2013,"11 Rosepark, Balrothery",Dublin,125000.0,No,Balrothery,Co. Dublin,q1,20%
27/05/2013,"202 Balrothery Estate, Tallaght",Dublin,167000.0,No,Balrothery,Co. Dublin,q1,30%
21/06/2013,"Notre Dame, Darcystown, Balrothery",Dublin,192500.0,No,Balrothery,Co. Dublin,q2,40%
25/10/2013,"288 Balrothery Estate, Tallaght, Dublin 24",Dublin,170000.0,No,Balrothery,Co. Dublin,q1,30%
15/11/2013,"11 Cloch Choirneal, Balrothery",Dublin,275000.0,No,Balrothery,Co. Dublin,q3,80%
13/12/2013,"41 Cloch Choirneal, Balrothery",Dublin,125000.0,No,Balrothery,Co. Dublin,q1,20%
17/12/2013,"4 Glebe Manor, Balrothery",Dublin,242291.0,Yes,Balrothery,Co. Dublin,q3,70%
31/01/2014,"133 Balrothery Est, Tallaght, Dublin",Dublin,192000.0,No,Balrothery,Co. Dublin,q2,40%
05/03/2014,"Apartment 3, Castlekeep, Balrothery  Balbriggan",Dublin,88105.0,Yes,Balrothery,Co. Dublin,q1,10%
11/03/2014,"1 Glebe Manor, Balrothery",Dublin,598000.0,Yes,Balrothery,Co. Dublin,q4,100%
11/03/2014,"2  Glebe Manor, Balrothery",Dublin,242290.74,Yes,Balrothery,Co. Dublin,q3,60%
14/04/2014,"7 The Green, Coach Road, Balrothery",Dublin,114537.0,Yes,Balrothery,Co. Dublin,q1,10%
17/04/2014,"265 Balrothery Estate, Tallaght, Dublin 24",Dublin,185000.0,No,Balrothery,Co. Dublin,q2,30%
14/05/2014,"2  Hazelbrook, Balrothery Road, Tallaght",Dublin,165000.0,No,Balrothery,Co. Dublin,q1,20%
13/06/2014,"37 Balruddery Wood, Balrothery, Dublin",Dublin,190000.0,No,Balrothery,Co. Dublin,q2,40%
15/07/2014,"171 Balrothery Estate, Tallaght",Dublin,177200.0,No,Balrothery,Co. Dublin,q2,30%
21/08/2014,"5 Brookmount Ave, Old Blessington Rd, Balrothery Dublin 24",Dublin,250000.0,No,Balrothery,Co. Dublin,q3,70%
16/09/2014,"51 Rose Park, Balrothery, Dublin",Dublin,218000.0,No,Balrothery,Co. Dublin,q2,50%
13/10/2014,"Rose Cottage, Coach Rd, Balrothery",Dublin,229000.0,No,Balrothery,Co. Dublin,q3,60%
14/11/2014,"2 Balruddery Grove, Balrothery, Dublin",Dublin,182000.0,No,Balrothery,Co. Dublin,q2,30%
20/11/2014,"1 Garrai Linn, Darcytown, Balrothery",Dublin,396000.0,Yes,Balrothery,Co. Dublin,q4,100%
20/11/2014,"13 Balruddery Grove, Balrothery, Dublin",Dublin,137500.0,No,Balrothery,Co. Dublin,q1,20%
04/12/2014,"1 The Sanctuary, Coach Rd, Balrothery",Dublin,350000.0,No,Balrothery,Co. Dublin,q4,90%
08/12/2014,"116 Balrothery Est, Tallaght, Dublin 24",Dublin,226000.0,No,Balrothery,Co. Dublin,q3,60%
09/12/2014,"No. 9 Garrai Linn, Darcystown, Balrothery",Dublin,348017.62,Yes,Balrothery,Co. Dublin,q4,90%
11/12/2014,"5 Garrai Linn, Darcystown, Balrothery",Dublin,334801.0,Yes,Balrothery,Co. Dublin,q4,90%
19/12/2014,"224 Balrothery Estate, Tallaght, Dublin 24",Dublin,207500.0,No,Balrothery,Co. Dublin,q2,50%
19/12/2014,"Apartment Over Shop, Old Coach Road, Balrothery",Dublin,122500.0,No,Balrothery,Co. Dublin,q1,10%
13/02/2015,"Apt 22 Prospect, Naul Road, Balrothery",Dublin,95000.0,No,Balrothery,Co. Dublin,q1,10%
13/04/2015,"8 Ringfort View, Balrothery, Dublin",Dublin,165000.0,No,Balrothery,Co. Dublin,q1,20%
29/04/2015,"40 Balruddery Wood, Balrothery, Dublin",Dublin,185000.0,No,Balrothery,Co. Dublin,q2,30%
08/06/2015,"10 Garrai Linn, Darcystown, Balrothery",Dublin,356829.0,Yes,Balrothery,Co. Dublin,q4,90%
12/06/2015,"25 Castle Park, Balrothery, Tallaght Dublin 24",Dublin,196000.0,No,Balrothery,Co. Dublin,q2,40%
06/07/2015,"6 Garrai Linn, Darcystown, Balrothery",Dublin,332775.0,Yes,Balrothery,Co. Dublin,q4,90%
