date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
10/09/2010,"43 Bayside Square W, Bayside, Dublin 13",Dublin,300000.0,No,Bayside,Dublin 13,q2,40%
30/07/2012,"26 Boulevard North, Bayside, Dublin 13",Dublin,235000.0,No,Bayside,Dublin 13,q1,30%
07/03/2013,"41 Bayside Boulevard North, Bayside",Dublin,157000.0,No,Bayside,Dublin 13,q1,20%
29/08/2013,"106 Bayside Crescent, Bayside, Dublin 13",Dublin,181000.0,No,Bayside,Dublin 13,q1,20%
28/04/2014,"30 Alden Dr, Bayside, Dublin 13",Dublin,353000.0,No,Bayside,Dublin 13,q3,60%
30/06/2014,"Apt 1, Bayside Shopping Centre, Bayside Dublin 13",Dublin,110000.0,No,Bayside,Dublin 13,q1,10%
30/06/2014,"Apt 7, Bayside Shopping Centre, Bayside",Dublin,110000.0,No,Bayside,Dublin 13,q1,10%
15/07/2014,"9 Alden Drive, Bayside, Dublin 13",Dublin,397000.0,No,Bayside,Dublin 13,q3,70%
05/12/2014,"2 Bayside, Boulevard South, Bayside",Dublin,375000.0,No,Bayside,Dublin 13,q3,70%
11/03/2015,"Apt 2, Bayside Villas, Sandy Rd",Dublin,127000.0,No,Bayside,Dublin 13,q1,10%
08/05/2015,"11 Sutton Downs, Bayside, Dublin",Dublin,330000.0,No,Bayside,Dublin 13,q2,50%
01/07/2015,"8 Alden Park, Bayside, Dublin 13",Dublin,430000.0,No,Bayside,Dublin 13,q4,90%
17/02/2016,"20 Verbena Lawn, Bayside, Dublin 13",Dublin,419500.0,No,Bayside,Dublin 13,q3,80%
18/03/2016,"41 Mariners Court, Bayside, Dublin 5",Dublin,290000.0,No,Bayside,Dublin 13,q2,40%
02/09/2016,"Apt 1, Bayside Arbours, Sandy Rd",Dublin,147000.0,No,Bayside,Dublin 13,q1,20%
25/10/2016,"59 Verbena Lawn, Bayside, Dublin 13",Dublin,330000.0,No,Bayside,Dublin 13,q2,50%
18/01/2017,"64 Verbena Ave, Bayside, Dublin 13",Dublin,415000.0,No,Bayside,Dublin 13,q3,70%
25/08/2017,"19 Sarto Lawn, Bayside, Dublin 13",Dublin,280000.0,No,Bayside,Dublin 13,q2,30%
05/09/2017,"63 Bayside Boulevard North, Bayside",Dublin,330000.0,No,Bayside,Dublin 13,q2,50%
19/12/2017,"29 Verbena Grove, Bayside, Dublin 13",Dublin,420000.0,No,Bayside,Dublin 13,q4,80%
05/02/2018,"47 Bayside, Boulevard North, Bayside",Dublin,318000.0,No,Bayside,Dublin 13,q2,40%
22/02/2018,"32 Bayside Walk, Bayside, Dublin 13",Dublin,550000.0,No,Bayside,Dublin 13,q4,100%
02/05/2018,"11 Alden Rd, Bayside, Dublin 13",Dublin,577000.0,No,Bayside,Dublin 13,q4,100%
24/08/2018,"63 Verbena Lawn, Bayside, Dublin 13",Dublin,430000.0,No,Bayside,Dublin 13,q4,90%
19/12/2018,"54 Sutton Downs, Bayside, Dublin 13",Dublin,566000.0,No,Bayside,Dublin 13,q4,100%
08/05/2019,"14 Sutton Grove, Bayside, Dublin 13",Dublin,430000.0,No,Bayside,Dublin 13,q4,90%
23/05/2019,"23 Bayside Boulevard North, Bayside, Dublin 13",Dublin,362000.0,No,Bayside,Dublin 13,q3,60%
