date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
27/01/2010,"156 Elmmount Avenue, Beaumont, Dublin 9",Dublin,310000.0,No,Beaumont,Dublin 9,q2,50%
01/02/2010,"74 The Park, Beaumont Woods, Beaumont Dublin 9",Dublin,400000.0,No,Beaumont,Dublin 9,q4,80%
26/02/2010,"46 Shanglas Road, Beaumont",Dublin,280000.0,No,Beaumont,Dublin 9,q2,40%
16/03/2010,"142  Elm Mount Road, Beaumont",Dublin,380000.0,No,Beaumont,Dublin 9,q3,80%
15/04/2010,"105 Elm Mount Road, Beaumont",Dublin,345000.0,No,Beaumont,Dublin 9,q3,60%
22/04/2010,"5 Coolatree Road, Beaumont",Dublin,255000.0,No,Beaumont,Dublin 9,q2,30%
30/04/2010,"17 Cooleen Avenue, Beaumont",Dublin,257500.0,No,Beaumont,Dublin 9,q2,40%
04/05/2010,"171 Elm Mount Road, Beaumont, Dublin 9",Dublin,300000.0,No,Beaumont,Dublin 9,q2,50%
10/05/2010,"36 The Green, Beaumont Woods, Beaumont  Dublin 9",Dublin,320000.0,No,Beaumont,Dublin 9,q3,60%
16/06/2010,"55 Beauvale Park, Beaumont",Dublin,266000.0,No,Beaumont,Dublin 9,q2,40%
28/06/2010,"5 Coolatree Close, Beaumont",Dublin,295000.0,No,Beaumont,Dublin 9,q2,50%
02/07/2010,"58 Celtic Park Avenue, Beaumont, Dublin 9",Dublin,326000.0,No,Beaumont,Dublin 9,q3,60%
15/07/2010,"84 Collinswood, Collins Avenue, Beaumont",Dublin,326000.0,No,Beaumont,Dublin 9,q3,60%
16/07/2010,"23 Shanboley Road, Beaumont, Dublin 9",Dublin,267500.0,No,Beaumont,Dublin 9,q2,40%
27/07/2010,"240 Elmmount Avenue, Beaumont, Dublin 9",Dublin,322000.0,No,Beaumont,Dublin 9,q3,60%
30/07/2010,"59 The Green, Beaumont Woods, Beaumont",Dublin,345000.0,No,Beaumont,Dublin 9,q3,60%
05/08/2010,"11 Coolatree Close, Beaumont",Dublin,290000.0,No,Beaumont,Dublin 9,q2,50%
05/08/2010,"19 The Park, Beaumont Woods, Beaumont",Dublin,297500.0,No,Beaumont,Dublin 9,q2,50%
16/08/2010,"3 Collins Park, Beaumont, Dublin 9",Dublin,400000.0,No,Beaumont,Dublin 9,q4,80%
20/08/2010,"45 Coolatree Road, Beaumont, Dublin 9",Dublin,297500.0,No,Beaumont,Dublin 9,q2,50%
20/08/2010,"8 Celtic Park, Beaumont",Dublin,320000.0,No,Beaumont,Dublin 9,q3,60%
27/08/2010,"13 Shanglas Road, Beaumont, Dublin 9",Dublin,317000.0,No,Beaumont,Dublin 9,q3,60%
31/08/2010,"16 Coolatree Road, Beaumont",Dublin,320000.0,No,Beaumont,Dublin 9,q3,60%
12/10/2010,"69 Elm Mount Avenue, Beaumont, Dublin 9",Dublin,267000.0,No,Beaumont,Dublin 9,q2,40%
13/10/2010,"56 Beaumont Road, Beaumont, Dublin 9",Dublin,288250.0,No,Beaumont,Dublin 9,q2,50%
14/10/2010,"57 Coolatree Road, Beaumont",Dublin,328000.0,No,Beaumont,Dublin 9,q3,60%
15/10/2010,"106 Celtic Park Avenue, Beaumont",Dublin,325000.0,No,Beaumont,Dublin 9,q3,60%
