date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
04/01/2010,"29 Carysfort Woods, Blackrock",Dublin,547500.0,No,Blackrock,Co. Dublin,q3,60%
05/01/2010,"Apt 1 Linden Court, Blackrock",Dublin,395000.0,No,Blackrock,Co. Dublin,q2,30%
12/01/2010,"32 Kill Abbey, Deansgrange, Blackrock",Dublin,640000.0,No,Blackrock,Co. Dublin,q3,70%
12/01/2010,"Apartment 15 Dawson Court, Cross Avenue, Blackrock",Dublin,380000.0,No,Blackrock,Co. Dublin,q2,30%
13/01/2010,"3 Merrion Park, South Hill Avenue, Blackrock",Dublin,470000.0,No,Blackrock,Co. Dublin,q2,50%
15/01/2010,"20 Carysfort Woods, Blackrock",Dublin,565000.0,No,Blackrock,Co. Dublin,q3,60%
15/01/2010,"32 Carsfort Downs, Blackrock",Dublin,800000.0,No,Blackrock,Co. Dublin,q4,80%
21/01/2010,"31 Merrion Hall, Mount Merrion Avenue, Blackrock",Dublin,323788.55,Yes,Blackrock,Co. Dublin,q1,20%
26/01/2010,"38, Brooklawn Avenue, Blackrock",Dublin,325000.0,No,Blackrock,Co. Dublin,q1,20%
26/01/2010,"Flat No. 3, Building Block B, Bellevue Court  Blackrock",Dublin,200000.0,No,Blackrock,Co. Dublin,q1,10%
28/01/2010,"Woodburn, 31 Sydney Ave, Blackrock",Dublin,2600000.0,No,Blackrock,Co. Dublin,q4,100%
02/02/2010,"60/61 The Elms, Mount Merrion Avenue, Blackrock",Dublin,685000.0,No,Blackrock,Co. Dublin,q3,70%
04/02/2010,"14 Dawson Court, Cross Avenue, Blackrock",Dublin,375000.0,No,Blackrock,Co. Dublin,q1,30%
05/02/2010,"8B Temple Crescent, Blackrock",Dublin,837004.0,Yes,Blackrock,Co. Dublin,q4,90%
11/02/2010,"44 Carysfort Woods, St Augustines Park, Blackrock",Dublin,585000.0,No,Blackrock,Co. Dublin,q3,60%
12/02/2010,"23 Clonkeen Road, Blackrock",Dublin,650000.0,No,Blackrock,Co. Dublin,q3,70%
19/02/2010,"28 Merrion Hall, Mount Merrion Avenue, Blackrock",Dublin,325991.18,Yes,Blackrock,Co. Dublin,q1,20%
22/02/2010,"39 Merrion Hall, Mount Merrion Avenue, Blackrock",Dublin,308370.0,Yes,Blackrock,Co. Dublin,q1,20%
23/02/2010,"7 Brosna Cottages, Blackrock",Dublin,350000.0,No,Blackrock,Co. Dublin,q1,20%
26/02/2010,"19 Carysfort Grove, Blackrock",Dublin,700000.0,No,Blackrock,Co. Dublin,q3,80%
01/03/2010,"47 Glenomena Park, Blackrockl, County Dublin",Dublin,480000.0,No,Blackrock,Co. Dublin,q2,50%
02/03/2010,"15 Maretimo Gardens East, Blackrock",Dublin,1150000.0,No,Blackrock,Co. Dublin,q4,100%
03/03/2010,"35 Sydney Avenue, Blackrock, Co.Dublin",Dublin,878000.0,No,Blackrock,Co. Dublin,q4,90%
05/03/2010,"181 Clokeen Road, Blackrock",Dublin,472500.0,No,Blackrock,Co. Dublin,q2,50%
05/03/2010,"Apartment 10, Merrion Hall.  Mount Merrion Avwnuw, Blackrock",Dublin,312775.0,Yes,Blackrock,Co. Dublin,q1,20%
05/03/2010,"Dalriada, 6 Woodlands Park, Blackrock",Dublin,485000.0,No,Blackrock,Co. Dublin,q2,50%
11/03/2010,"42 Ardagh Avenue, Blackrock",Dublin,435000.0,No,Blackrock,Co. Dublin,q2,40%
24/03/2010,"The Gate Lodge  Ashurst, Mount Merrion Avenue, Blackrock",Dublin,628500.0,No,Blackrock,Co. Dublin,q3,70%
26/03/2010,"18 Maretimo Villas, Blackrock",Dublin,630000.0,No,Blackrock,Co. Dublin,q3,70%
29/03/2010,"35, Brooklawn Wood, Blackrock",Dublin,305000.0,No,Blackrock,Co. Dublin,q1,20%
01/04/2010,"56 Sydney Avenue, Mount Merrion Avenue, Blackrock",Dublin,1900000.0,No,Blackrock,Co. Dublin,q4,100%
01/04/2010,"Apartment 20 Knocknagow, Greenville Road, Blackrock",Dublin,315000.0,No,Blackrock,Co. Dublin,q1,20%
09/04/2010,"4 Mullins Wing, Linden Apartments, Grove Avenue  Blackrock",Dublin,222500.0,No,Blackrock,Co. Dublin,q1,10%
15/04/2010,"67 Carysfort Avenue, Blackrock",Dublin,617500.0,No,Blackrock,Co. Dublin,q3,70%
16/04/2010,"21 Fleurville, Carysfort Avenue, Blackrock",Dublin,355000.0,No,Blackrock,Co. Dublin,q1,30%
16/04/2010,"44 Merrion Hall, Mount Merrion Avenue, Blackrock",Dublin,321585.9,Yes,Blackrock,Co. Dublin,q1,20%
16/04/2010,"Apartment 41 The Elms, Mount Merrion, Blackrock",Dublin,300000.0,No,Blackrock,Co. Dublin,q1,20%
20/04/2010,"42 Castle Danson, Sion Hill, Blackrock",Dublin,300000.0,No,Blackrock,Co. Dublin,q1,20%
22/04/2010,"Apartment No 10 Block 1, The Elms  Mount Merrion Avenue, Blackrock",Dublin,360000.0,No,Blackrock,Co. Dublin,q1,30%
28/04/2010,"13 Merrion Hall, Mount Merrion  Avenue, Blackrock",Dublin,308370.04,Yes,Blackrock,Co. Dublin,q1,20%
28/04/2010,"19 Merrion Hall, Mount Merrion Avenue, Blackrock",Dublin,308370.04,Yes,Blackrock,Co. Dublin,q1,20%
07/05/2010,"16 Hawthorn Manor, Carysfort Avenue, Blackrock",Dublin,370000.0,No,Blackrock,Co. Dublin,q1,30%
10/05/2010,"22 Maretimo House, Blackrock",Dublin,355000.0,No,Blackrock,Co. Dublin,q1,30%
11/05/2010,"79 Castledawson, Sion Hill, Blackrock",Dublin,295000.0,No,Blackrock,Co. Dublin,q1,20%
14/05/2010,"15 Woodview, Mount Merrion Avenue, Blackrock",Dublin,360000.0,No,Blackrock,Co. Dublin,q1,30%
14/05/2010,"21 Castle Court, Booterstown Avenue, Blackrock",Dublin,615000.0,No,Blackrock,Co. Dublin,q3,70%
20/05/2010,"21 Leopardstown Avenue, Blackrock",Dublin,560000.0,No,Blackrock,Co. Dublin,q3,60%
20/05/2010,"7 Greenville Court, Stradbrook Road, Blackrock",Dublin,218000.0,No,Blackrock,Co. Dublin,q1,10%
20/05/2010,"Site 5 Hse 4, Grove Avenue, Blackrock",Dublin,362000.0,No,Blackrock,Co. Dublin,q1,30%
24/05/2010,"37 Stillorgan Park, Blackrock",Dublin,950500.0,No,Blackrock,Co. Dublin,q4,90%
25/05/2010,"6 Ardagh Park Gardens, Newtownpark Avenue, Blackrock",Dublin,470000.0,No,Blackrock,Co. Dublin,q2,50%
26/05/2010,"6 Rose Hill, Carysfort Avenue, Blackrock",Dublin,377500.0,No,Blackrock,Co. Dublin,q2,30%
27/05/2010,"123 The Elms, Mount Merrion Avenue, Blackrock",Dublin,415000.0,No,Blackrock,Co. Dublin,q2,40%
28/05/2010,"35 Seafield Crescent, Blackrock, Co. Dublin",Dublin,445000.0,No,Blackrock,Co. Dublin,q2,40%
29/05/2010,"14 Sweetmans Avenue, Blackrock",Dublin,320000.0,No,Blackrock,Co. Dublin,q1,20%
01/06/2010,"85 Carysfort Downs, Blackrock",Dublin,860000.0,No,Blackrock,Co. Dublin,q4,90%
04/06/2010,"41 Merrion Hall, Blackrock, Co Dublin",Dublin,344000.0,Yes,Blackrock,Co. Dublin,q1,20%
04/06/2010,"Summer, Stradbrook Road, Blackrock",Dublin,660000.0,No,Blackrock,Co. Dublin,q3,70%
09/06/2010,"92  St. Fintan'S Park, Deansgrange, Blackrock",Dublin,255000.0,No,Blackrock,Co. Dublin,q1,10%
15/06/2010,"19 Orpen Hill, Blackrock, Co. Dublin",Dublin,415000.0,No,Blackrock,Co. Dublin,q2,40%
15/06/2010,"20 Stradbrook Grove, Blackrock",Dublin,250000.0,No,Blackrock,Co. Dublin,q1,10%
21/06/2010,"26 Brooklawn Avenue, Newtownpark Avenue, Blackrock",Dublin,350000.0,No,Blackrock,Co. Dublin,q1,20%
22/06/2010,"34 Seafield Crescent, Stillorgan Road, Blackrock",Dublin,440000.0,No,Blackrock,Co. Dublin,q2,40%
23/06/2010,"84 Mount Albany, Newtownpark Avenue, Blackrock",Dublin,475000.0,No,Blackrock,Co. Dublin,q2,50%
23/06/2010,"Apt5 House2, Linden Square, Grove Avenue Blackrock",Dublin,410000.0,No,Blackrock,Co. Dublin,q2,40%
24/06/2010,"Santa Barbara, 24 Temple Park Avenue, Blackrock",Dublin,655000.0,No,Blackrock,Co. Dublin,q3,70%
25/06/2010,"18  Avoca Road, Blackrock, Co. Dublin",Dublin,720000.0,No,Blackrock,Co. Dublin,q3,80%
28/06/2010,"37C Granville Park, Blackrock",Dublin,1250000.0,No,Blackrock,Co. Dublin,q4,100%
30/06/2010,"2 St Margarets Mews, Newtownpark, Blackrock",Dublin,450000.0,No,Blackrock,Co. Dublin,q2,40%
30/06/2010,"26 Waltham Terrace, Blackrock, Co. Dublin",Dublin,1640000.0,No,Blackrock,Co. Dublin,q4,100%
05/07/2010,"3, Waltham Terrace, Blackrock",Dublin,2510000.0,No,Blackrock,Co. Dublin,q4,100%
07/07/2010,"1 St Fintans Villas, Blackrock, Co Dublin",Dublin,305000.0,No,Blackrock,Co. Dublin,q1,20%
09/07/2010,"29 Obelisk Rise, St. Augustine'S Park, Blackrock  County Dublin",Dublin,430000.0,No,Blackrock,Co. Dublin,q2,40%
16/07/2010,"11 Maretimo Villas, Blackrock",Dublin,633000.0,No,Blackrock,Co. Dublin,q3,70%
22/07/2010,"2 Maretimo Villas, Blackrock",Dublin,730000.0,No,Blackrock,Co. Dublin,q3,80%
23/07/2010,"13 Barclay Court, Temple Road, Blackrock",Dublin,240000.0,No,Blackrock,Co. Dublin,q1,10%
23/07/2010,"44 Woodbine Avenue, Blackrock",Dublin,655000.0,No,Blackrock,Co. Dublin,q3,70%
24/07/2010,"81 Avoca Park, Blackrock",Dublin,810000.0,No,Blackrock,Co. Dublin,q4,80%
25/07/2010,"47 Avoca Park, Blackrock, County Dublin",Dublin,800000.0,No,Blackrock,Co. Dublin,q4,80%
