date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
20/01/2010,"78 Skelligs Court, Waterville, Blanchardstown",Dublin,255000.0,No,Blanchardstown,Dublin 15,q3,70%
21/01/2010,"50 Hillbrook Wood, Blanchardstown",Dublin,230000.0,No,Blanchardstown,Dublin 15,q3,60%
29/01/2010,"3 Brookhaven Grove, Blanchardstown",Dublin,190000.0,No,Blanchardstown,Dublin 15,q2,40%
02/02/2010,"58 Achill Square, Waterville, Blanchardstown",Dublin,270000.0,No,Blanchardstown,Dublin 15,q4,80%
08/02/2010,"7 Clonsilla Park, Blanchardstown, Dublin 15",Dublin,425000.0,No,Blanchardstown,Dublin 15,q4,100%
11/02/2010,"122 Waterville Terrace, Blanchardstown",Dublin,17500.0,No,Blanchardstown,Dublin 15,q1,10%
12/02/2010,"60 Achill Square, Waterville, Blanchardstown",Dublin,270000.0,Yes,Blanchardstown,Dublin 15,q4,80%
12/02/2010,"72 Erris Square  Block 6, Waterville  Snugborough Road, Blanchardstown",Dublin,140000.0,Yes,Blanchardstown,Dublin 15,q1,20%
16/02/2010,"10 Achill Square, Waterville, Blanchardstown",Dublin,260000.0,Yes,Blanchardstown,Dublin 15,q3,80%
18/02/2010,"15 Whitestown Walk, Blanchardstown, Dublin 15",Dublin,185000.0,No,Blanchardstown,Dublin 15,q2,40%
19/02/2010,"16 Erris Square, Block 2  Waterville, Blanchardstown",Dublin,273500.0,Yes,Blanchardstown,Dublin 15,q4,80%
26/02/2010,"32A Edgewood Lawn, Blanchardstown, Dublin 15",Dublin,317500.0,No,Blanchardstown,Dublin 15,q4,100%
03/03/2010,"7 Coolmine Road, Blanchardstown, Dublin 15",Dublin,345000.0,No,Blanchardstown,Dublin 15,q4,100%
12/03/2010,"38 Warrenstown Drive, Blanchardstown",Dublin,180000.0,No,Blanchardstown,Dublin 15,q2,30%
16/03/2010,"51 Erris Square  Block 5, Snugborough Road, Blanchardstown",Dublin,135000.0,Yes,Blanchardstown,Dublin 15,q1,20%
19/03/2010,"74 Castlecurragh Park, Blanchardstown, Dublin",Dublin,212500.0,No,Blanchardstown,Dublin 15,q2,50%
22/03/2010,"19 Ashling Heights, Blanchardstown",Dublin,188000.0,No,Blanchardstown,Dublin 15,q2,40%
07/04/2010,"Apt 11 West End Village, Blanchardstown, Dublin 15",Dublin,185000.0,No,Blanchardstown,Dublin 15,q2,40%
09/04/2010,"13 Coolmine Lawn, Blanchardstown",Dublin,251000.0,No,Blanchardstown,Dublin 15,q3,70%
09/04/2010,"2 Sheepmore Avenue, Blanchardstown",Dublin,132000.0,No,Blanchardstown,Dublin 15,q1,20%
22/04/2010,"No 1 Achill Square, Waterville, Blanchardstown",Dublin,230000.0,Yes,Blanchardstown,Dublin 15,q3,60%
23/04/2010,"4 Corduff Green, Blanchardstown, Dublin 15",Dublin,152500.0,No,Blanchardstown,Dublin 15,q1,20%
27/04/2010,"10 Westway Lawn, Blanchardstown, Dublin 15",Dublin,180000.0,No,Blanchardstown,Dublin 15,q2,40%
04/05/2010,"32 Brookhaven Park, Blanchardstown",Dublin,217000.0,No,Blanchardstown,Dublin 15,q2,50%
04/05/2010,"64 Achill Square, Waterville, Blanchardstown",Dublin,217000.0,Yes,Blanchardstown,Dublin 15,q2,50%
05/05/2010,"1 Charnwood Gardens, Clonsilla, Blanchardstown",Dublin,380000.0,No,Blanchardstown,Dublin 15,q4,100%
07/05/2010,"14 Westend Village, Blanchardstown, Dublin 15",Dublin,182000.0,No,Blanchardstown,Dublin 15,q2,40%
11/05/2010,"Apartment 73, Skelligs Court, Blanchardstown",Dublin,180000.0,No,Blanchardstown,Dublin 15,q2,40%
28/05/2010,"5  Summerfield Green, Blanchardstown, Dublin 15.",Dublin,350000.0,No,Blanchardstown,Dublin 15,q4,100%
08/06/2010,"75 Skelligs Court, Waterville, Blanchardstown",Dublin,222500.0,No,Blanchardstown,Dublin 15,q3,60%
24/06/2010,"61 Summerfield Lawn, Blanchardstown, Dublin 15",Dublin,321500.0,No,Blanchardstown,Dublin 15,q4,100%
08/07/2010,"9 Westway Grove, Blanchardstown",Dublin,180000.0,No,Blanchardstown,Dublin 15,q2,40%
14/07/2010,"96 Edgewood Lawn, Blanchardstown, Dublin",Dublin,200000.0,No,Blanchardstown,Dublin 15,q2,40%
14/07/2010,"96 Edgewood Lawn, Blanchardstown, Dublin 15",Dublin,200000.0,No,Blanchardstown,Dublin 15,q2,40%
16/07/2010,"24 Springlawn Close, Blanchardstown, Dublin 15",Dublin,313500.0,No,Blanchardstown,Dublin 15,q4,90%
16/07/2010,"61 Achill Aquare, Snugboro Road, Blanchardstown",Dublin,200440.53,Yes,Blanchardstown,Dublin 15,q2,50%
19/07/2010,"19 Westway View, Blanchardstown, Dublin 15",Dublin,175175.0,No,Blanchardstown,Dublin 15,q2,30%
19/07/2010,"5 Summerfield Avenue, Blanchardstown",Dublin,300000.0,No,Blanchardstown,Dublin 15,q4,90%
23/07/2010,"103 Erris Square, Waterville, Blanchardstown",Dublin,211453.0,Yes,Blanchardstown,Dublin 15,q2,50%
26/07/2010,"15 Summerfield Close, Blanchardstown, Dublin 15",Dublin,319850.0,No,Blanchardstown,Dublin 15,q4,100%
30/07/2010,"35 Warrenstown Green, Blanchardstown, Dublin 15",Dublin,180000.0,No,Blanchardstown,Dublin 15,q2,40%
03/08/2010,"19 Hillbrook, Woods, Blanchardstown",Dublin,161000.0,No,Blanchardstown,Dublin 15,q1,30%
06/08/2010,"133 Littlepace Walk, Littlepace Paddocks, Blanchardstown",Dublin,250000.0,No,Blanchardstown,Dublin 15,q3,70%
09/08/2010,"12 Warrenstown Way, Blanchardstown, Dublin. 15",Dublin,195000.0,No,Blanchardstown,Dublin 15,q2,40%
09/08/2010,"35 Hillbrook Woods, Blanchardstown",Dublin,175000.0,No,Blanchardstown,Dublin 15,q2,30%
12/08/2010,"24A Sheepmoor Avenue, Blanchardstown",Dublin,165000.0,No,Blanchardstown,Dublin 15,q1,30%
12/08/2010,"32 Summerfield Lawn, Blanchardstown, Dublin 15",Dublin,292000.0,No,Blanchardstown,Dublin 15,q4,90%
18/08/2010,"68 Blasket Square, Waterville, Blanchardstown",Dublin,170000.0,No,Blanchardstown,Dublin 15,q2,30%
19/08/2010,"Apt 71 Achill Square, Block 6  Cluster 14, Waterville  Blanchardstown",Dublin,215859.03,Yes,Blanchardstown,Dublin 15,q2,50%
01/09/2010,"Apt 70 Achill Square  Waterville, Snugborough Road, Blanchardstown",Dublin,219384.0,Yes,Blanchardstown,Dublin 15,q2,50%
13/09/2010,"19 Coolmine Lawn, Blanchardstown",Dublin,230000.0,No,Blanchardstown,Dublin 15,q3,60%
14/09/2010,"23 Warrenstown Drive, Blanchardstown",Dublin,181000.0,No,Blanchardstown,Dublin 15,q2,40%
14/09/2010,"Apt 26 Whitestown Walk, Blanchardstown, Dublin 15",Dublin,130000.0,No,Blanchardstown,Dublin 15,q1,20%
30/09/2010,"200 Edgewood Lawn, Blanchardstown",Dublin,205000.0,No,Blanchardstown,Dublin 15,q2,50%
15/10/2010,"25 Brookhaven, Blanchardstown, Dublin",Dublin,150000.0,No,Blanchardstown,Dublin 15,q1,20%
22/10/2010,"5 Corduff Place, Blanchardstown, Dublin 15",Dublin,155000.0,No,Blanchardstown,Dublin 15,q1,20%
22/10/2010,"7 Rathlin Hall, Waterville, Blanchardstown",Dublin,200000.0,No,Blanchardstown,Dublin 15,q2,40%
22/10/2010,"7 Rathlin Wall, Waterville, Blanchardstown",Dublin,200000.0,No,Blanchardstown,Dublin 15,q2,40%
22/10/2010,"70 Aisling Heights, Blanchardstown, Dublin 15",Dublin,143000.0,No,Blanchardstown,Dublin 15,q1,20%
12/11/2010,"73 Hillbrook Woods, Blanchardstown Road South, Blanchardstown",Dublin,125000.0,No,Blanchardstown,Dublin 15,q1,10%
26/11/2010,"56 Achill Square, Waterville, Blanchardstown",Dublin,220264.0,Yes,Blanchardstown,Dublin 15,q3,60%
29/11/2010,"11 Tory Square, Waterville, Blanchardstown",Dublin,195000.0,No,Blanchardstown,Dublin 15,q2,40%
02/12/2010,"20 Orchard Court, Blanchardstown, Dublin 15",Dublin,245000.0,No,Blanchardstown,Dublin 15,q3,70%
10/12/2010,"36 Littlepace Way, Liddlepace Paddocks, Blanchardstown",Dublin,215000.0,No,Blanchardstown,Dublin 15,q2,50%
17/12/2010,"12 Summerfield Lawn, Blanchardstown, Dublin 15",Dublin,285000.0,No,Blanchardstown,Dublin 15,q4,90%
17/12/2010,"8 Avon Lodge, Main Street, Blanchardstown",Dublin,120000.0,No,Blanchardstown,Dublin 15,q1,10%
22/12/2010,"116 Edgewood Lawn, Blanchardstown, Dublin 15",Dublin,185000.0,No,Blanchardstown,Dublin 15,q2,40%
22/12/2010,"12 Summerfield Close, Blanchardstown",Dublin,315000.0,No,Blanchardstown,Dublin 15,q4,90%
17/01/2011,"Apartment 10, Verdemont, Blanchardstown",Dublin,165000.0,No,Blanchardstown,Dublin 15,q1,30%
29/01/2011,"Apt 62 Achill Square, Block 6  Cluster 14, Waterville  Blanchardstown",Dublin,205000.0,Yes,Blanchardstown,Dublin 15,q2,50%
31/01/2011,"55 Summerfield Rise, Blanchardstown",Dublin,295000.0,No,Blanchardstown,Dublin 15,q4,90%
18/02/2011,"Curates House, Chapel Lane, Blanchardstown",Dublin,430000.0,No,Blanchardstown,Dublin 15,q4,100%
25/02/2011,"43 Aisling Heights, Blanchardstown",Dublin,170000.0,No,Blanchardstown,Dublin 15,q2,30%
09/03/2011,"67 Achill Square, Waterville  Blanchardstown",Dublin,180616.74,Yes,Blanchardstown,Dublin 15,q2,40%
25/03/2011,"9 Corduff Cottages, Blanchardstown, Dublin 15",Dublin,80000.0,No,Blanchardstown,Dublin 15,q1,10%
07/04/2011,"76 Skelligs Court, Waterville, Blanchardstown",Dublin,225000.0,No,Blanchardstown,Dublin 15,q3,60%
12/04/2011,"48 Clonsilla Road, Blanchardstown, Dublin 15",Dublin,255000.0,No,Blanchardstown,Dublin 15,q3,70%
27/04/2011,"2 Woods End, Blanchardstown, Dublin 15",Dublin,245000.0,No,Blanchardstown,Dublin 15,q3,70%
13/05/2011,"14 Clonsilla Road, Blanchardstown",Dublin,220000.0,No,Blanchardstown,Dublin 15,q2,50%
30/05/2011,"6 Whitestown Walk, Blanchardstown",Dublin,153000.0,No,Blanchardstown,Dublin 15,q1,20%
02/06/2011,"16 St. Patrick'S Park, Blanchardstown",Dublin,190000.0,No,Blanchardstown,Dublin 15,q2,40%
16/06/2011,"46 Blasket Square, Waterville, Blanchardstown",Dublin,145000.0,No,Blanchardstown,Dublin 15,q1,20%
01/07/2011,"16 Parlickstown Avenue, Blanchardstown, Dublin 15",Dublin,90000.0,No,Blanchardstown,Dublin 15,q1,10%
20/07/2011,"27 St. Brigid'S Park, Blanchardstown",Dublin,200000.0,No,Blanchardstown,Dublin 15,q2,40%
21/07/2011,"37 Brookhaven Grove, Blanchardstown",Dublin,135000.0,No,Blanchardstown,Dublin 15,q1,20%
29/07/2011,"9 The Rise, Hunters Run, Blanchardstown",Dublin,155000.0,No,Blanchardstown,Dublin 15,q1,20%
04/08/2011,"5 Springlawn Drive, Blanchardstown, Dublin 15",Dublin,230000.0,No,Blanchardstown,Dublin 15,q3,60%
16/08/2011,"1 Summerfield Close, Blanchardstown",Dublin,268000.0,No,Blanchardstown,Dublin 15,q4,80%
30/08/2011,"'Beechview' And 'Il Santo', Blanchardstown",Dublin,252000.0,No,Blanchardstown,Dublin 15,q3,70%
02/09/2011,"60 Hillbrook Woods, Blanchardstown, Dublin 15",Dublin,111000.0,No,Blanchardstown,Dublin 15,q1,10%
12/09/2011,"58 Blasket Square, Waterville, Blanchardstown",Dublin,130000.0,No,Blanchardstown,Dublin 15,q1,20%
14/09/2011,"15 Fortlawn Park, Blanchardstown, Dublin 15",Dublin,85000.0,No,Blanchardstown,Dublin 15,q1,10%
22/09/2011,"38 Hillbrook Woods, Blanchardstown",Dublin,107000.0,No,Blanchardstown,Dublin 15,q1,10%
26/09/2011,"16 Sheepmoor Avenue, Blanchardstown",Dublin,90000.0,No,Blanchardstown,Dublin 15,q1,10%
27/09/2011,"43 Bramblefield Crescent, Blanchardstown",Dublin,162500.0,No,Blanchardstown,Dublin 15,q1,30%
07/10/2011,"77 Hillbrook Woods, Blanchardstown, Dublin 15",Dublin,145000.0,No,Blanchardstown,Dublin 15,q1,20%
13/10/2011,"19 Orchard Grove, Blanchardstown, Dublin 15",Dublin,302500.0,No,Blanchardstown,Dublin 15,q4,90%
14/10/2011,"40 Fortlawn Park, Blanchardstown, Dublin 15",Dublin,115000.0,No,Blanchardstown,Dublin 15,q1,10%
21/10/2011,"15 Woodview Grove, Blanchardstown, Dublin",Dublin,295000.0,No,Blanchardstown,Dublin 15,q4,90%
24/10/2011,"52 Hillbrook Woods, Blanchardstown, Dublin 15",Dublin,103000.0,No,Blanchardstown,Dublin 15,q1,10%
25/10/2011,"59 Achill Square, Blanchardstown, Dublin 15",Dublin,127656.61,Yes,Blanchardstown,Dublin 15,q1,20%
04/11/2011,"14 Summerfield Avenue, Blanchardstown, Dublin 15",Dublin,220000.0,No,Blanchardstown,Dublin 15,q2,50%
08/11/2011,"191 Edgewood Lawn, Blanchardstown, Dublin 15",Dublin,139000.0,No,Blanchardstown,Dublin 15,q1,20%
10/11/2011,"10 Springlawn Court, Blanchardstown",Dublin,207500.0,No,Blanchardstown,Dublin 15,q2,50%
10/11/2011,"11 Corduff Green, Blanchardstown, Dublin 15",Dublin,140000.0,No,Blanchardstown,Dublin 15,q1,20%
11/11/2011,"22 Greenbriar, Verdemont, Blanchardstown",Dublin,104000.0,No,Blanchardstown,Dublin 15,q1,10%
11/11/2011,"31 Blasket Square, Waterville, Blanchardstown",Dublin,125000.0,No,Blanchardstown,Dublin 15,q1,10%
14/11/2011,"138  Verdemont, Blanchardstown",Dublin,98000.0,No,Blanchardstown,Dublin 15,q1,10%
21/11/2011,"16 Whitechapel Green, Blanchardstown, Dublin 15",Dublin,97000.0,No,Blanchardstown,Dublin 15,q1,10%
21/11/2011,"35 Broadway Road, Blanchardstown, Dublin 15",Dublin,307000.0,No,Blanchardstown,Dublin 15,q4,90%
05/12/2011,"18 Summerfield Avenue, Blanchardstown, Dublin 15",Dublin,217500.0,No,Blanchardstown,Dublin 15,q2,50%
