date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
10/03/2010,"15 La Touche Road, Bluebell",Dublin,200000.0,No,Bluebell,Dublin 12,q3,60%
21/05/2010,"5 Bluebell Avenue, Bluebell",Dublin,175000.0,No,Bluebell,Dublin 12,q2,50%
16/06/2010,"35 Bluebell Road, Dublin 12",Dublin,210000.0,No,Bluebell,Dublin 12,q3,60%
30/06/2010,"5 Hollybrook, Bluebell Avenue, Dublin 12",Dublin,195000.0,No,Bluebell,Dublin 12,q3,60%
24/09/2010,"8 The Friary, Bluebell, Dublin12",Dublin,175000.0,No,Bluebell,Dublin 12,q2,50%
24/11/2010,"63 Bluebell Road, Bluebell, Dublin 12",Dublin,160000.0,No,Bluebell,Dublin 12,q2,40%
02/12/2010,"39 La Touche Road, Bluebell, Dublin 12",Dublin,95000.0,No,Bluebell,Dublin 12,q1,20%
20/12/2010,"'St. Josephs', Kylemore Road, Old Bluebell",Dublin,140000.0,No,Bluebell,Dublin 12,q2,30%
11/03/2011,"30 Huband Road, Bluebell",Dublin,135000.0,No,Bluebell,Dublin 12,q1,30%
01/07/2011,"19 Millrose Estate, Bluebell, Dublin 12",Dublin,190000.0,No,Bluebell,Dublin 12,q2,50%
26/08/2011,"24 Camac Park, Bluebell, Dublin 12",Dublin,117000.0,No,Bluebell,Dublin 12,q1,20%
10/10/2011,"119 Bluebell Road, Bluebell, Dublin 12",Dublin,175000.0,No,Bluebell,Dublin 12,q2,50%
12/10/2011,"137 Bluebell Road, Dublin 12",Dublin,100000.0,No,Bluebell,Dublin 12,q1,20%
21/12/2011,"7 Canal Terrace, Bluebell",Dublin,72500.0,No,Bluebell,Dublin 12,q1,10%
16/05/2012,"2 Bluebell Road, Bluebell",Dublin,95000.0,No,Bluebell,Dublin 12,q1,20%
22/06/2012,"30 La Touche Road, Bluebell",Dublin,82500.0,No,Bluebell,Dublin 12,q1,10%
26/07/2012,"85 Bluebell Road, Bluebell, Dublin12",Dublin,115000.0,No,Bluebell,Dublin 12,q1,20%
02/08/2012,"39 La Touch Road, Bluebell, Dublin",Dublin,140000.0,No,Bluebell,Dublin 12,q2,30%
13/09/2012,"82 Huband Road, Bluebell",Dublin,75000.0,No,Bluebell,Dublin 12,q1,10%
14/09/2012,"22 Camac Park, Bluebell, Dublin 12",Dublin,120000.0,No,Bluebell,Dublin 12,q1,30%
02/11/2012,"42 Huband Road, Bluebell, Dublin 12",Dublin,66666.0,No,Bluebell,Dublin 12,q1,10%
19/11/2012,"25 La Touche Drive, Bluebell",Dublin,155000.0,No,Bluebell,Dublin 12,q2,40%
18/12/2012,"97 Bluebell Road, Bluebell, Dublin 12",Dublin,155000.0,No,Bluebell,Dublin 12,q2,40%
21/12/2012,"14 La Touche Road, Bluebell, Dublin 12",Dublin,60000.0,No,Bluebell,Dublin 12,q1,10%
20/03/2013,"59  Bluebell Avenue, Dublin 12",Dublin,115000.0,No,Bluebell,Dublin 12,q1,20%
14/08/2013,"37 La Touche Drive, Bluebell, Dublin 12",Dublin,175000.0,No,Bluebell,Dublin 12,q2,50%
25/10/2013,"36 Huband Road, Bluebell, Dublin 12",Dublin,122000.0,No,Bluebell,Dublin 12,q1,30%
30/10/2013,"2 Camac Park, Bluebell",Dublin,145000.0,No,Bluebell,Dublin 12,q2,30%
13/11/2013,"10 Millrose Estate, Bluebell",Dublin,172000.0,No,Bluebell,Dublin 12,q2,40%
22/11/2013,"23 Huband Road, Bluebell, Dublin 12",Dublin,125000.0,No,Bluebell,Dublin 12,q1,30%
27/11/2013,"1-3 And 6-7 Bluebell Mews, Old Naas Road",Dublin,650000.0,No,Bluebell,Dublin 12,q4,100%
28/11/2013,"19B Camac Park, Bluebell, Dublin 12",Dublin,91000.0,No,Bluebell,Dublin 12,q1,20%
10/12/2013,"6-8 La Touche Road, Bluebell, Dublin 12",Dublin,180000.0,No,Bluebell,Dublin 12,q2,50%
18/12/2013,"19A  Camac Park, Bluebell",Dublin,82500.0,Yes,Bluebell,Dublin 12,q1,10%
27/01/2014,"485A Bluebell Avenue, Bluebell, Dublin 12",Dublin,145000.0,No,Bluebell,Dublin 12,q2,40%
03/03/2014,"81 Naas Rd, Bluebell, Dublin 12",Dublin,215000.0,No,Bluebell,Dublin 12,q3,70%
28/03/2014,"St Josephs, Kylemore Road, Bluebell",Dublin,200000.0,No,Bluebell,Dublin 12,q3,60%
30/04/2014,"121 Bluebell Rd, Bluebell Dublin 12, Dublin",Dublin,148000.0,No,Bluebell,Dublin 12,q2,40%
11/06/2014,"19 Camac Park, Bluebell, Dublin 12",Dublin,90000.0,No,Bluebell,Dublin 12,q1,10%
