date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
29/01/2010,"13 Seafield Crescent, Booterstown",Dublin,520000.0,No,Booterstown,Co. Dublin,q3,70%
04/02/2010,"30 Booterstown Avenue, Booterstown",Dublin,720000.0,No,Booterstown,Co. Dublin,q4,90%
13/04/2010,"43 Seafield Crescent, Booterstown",Dublin,435000.0,No,Booterstown,Co. Dublin,q3,60%
27/04/2010,"13 Mccabe Villas, Booterstown",Dublin,220000.0,No,Booterstown,Co. Dublin,q1,10%
30/04/2010,"34 Mccabe Villas, Booterstown",Dublin,235000.0,No,Booterstown,Co. Dublin,q1,20%
28/05/2010,"Saremo  Grotto Avenue, Booterstown, Co. Dublin",Dublin,710000.0,No,Booterstown,Co. Dublin,q4,90%
31/05/2010,"2 Grotto Place, Booterstown",Dublin,592000.0,No,Booterstown,Co. Dublin,q4,80%
02/06/2010,"79 Trimleston Park, Booterstown",Dublin,445000.0,No,Booterstown,Co. Dublin,q3,60%
16/06/2010,"1 Trimleston Road, Booterstown",Dublin,452000.0,No,Booterstown,Co. Dublin,q3,70%
24/06/2010,"55 Mccabe Villas, Booterstown",Dublin,398500.0,No,Booterstown,Co. Dublin,q2,50%
02/07/2010,"3 Cherbury Court, Booterstown Avenue",Dublin,250000.0,No,Booterstown,Co. Dublin,q1,20%
12/07/2010,"5 Cherbury Mews, Booterstown Avenue",Dublin,370000.0,No,Booterstown,Co. Dublin,q2,50%
14/07/2010,"17 Beech Grove, Booterstown Avenue, Booterstown",Dublin,215000.0,No,Booterstown,Co. Dublin,q1,10%
16/07/2010,"23 Trimleston Avenue, Booterstown, County Dublin",Dublin,801208.0,No,Booterstown,Co. Dublin,q4,100%
03/08/2010,"1 Rosemount Terrace, Booterstown",Dublin,392800.0,No,Booterstown,Co. Dublin,q2,50%
13/08/2010,"18 The Lapwing, Thornwood, Booterstown Avenue",Dublin,222500.0,No,Booterstown,Co. Dublin,q1,10%
13/08/2010,"23 Beech Grove, Booterstown",Dublin,282000.0,No,Booterstown,Co. Dublin,q2,30%
16/08/2010,"45 Trimleston Gardens, Booterstown, Co. Dublin",Dublin,438000.0,No,Booterstown,Co. Dublin,q3,60%
31/08/2010,"129 Booterstown Avenue, Booterstown",Dublin,720000.0,No,Booterstown,Co. Dublin,q4,90%
08/10/2010,"14 Cherbury Court, Booterstown",Dublin,260000.0,No,Booterstown,Co. Dublin,q1,20%
28/10/2010,"80 Trimleston Gardens, Booterstown, Co. Dublin.",Dublin,540000.0,No,Booterstown,Co. Dublin,q3,80%
15/12/2010,"Apartment 41, Booterstown Wood, Bootrstown Avenue",Dublin,268722.47,Yes,Booterstown,Co. Dublin,q1,30%
15/12/2010,"Apartment 42, Booterstown Wood, Booterstown Avenue",Dublin,193832.0,Yes,Booterstown,Co. Dublin,q1,10%
15/12/2010,"Apartment 49, Booterstown Wood, Booterstown Avenue",Dublin,285000.0,Yes,Booterstown,Co. Dublin,q2,30%
16/12/2010,"40 Glenomena Park, Booterstown",Dublin,534150.0,No,Booterstown,Co. Dublin,q3,80%
17/12/2010,"Apartment 15, Booterstown Wood, Booterstown Avenue  Booterstown",Dublin,272475.0,Yes,Booterstown,Co. Dublin,q1,30%
20/12/2010,"36 Booterstown Wood, Booterstown Avenue, Booterstown",Dublin,305506.0,Yes,Booterstown,Co. Dublin,q2,40%
21/12/2010,"21 Seafield Crescent, Booterstown",Dublin,590000.0,No,Booterstown,Co. Dublin,q4,80%
21/12/2010,"32 Booterstown Wood, Booterstown Ave  Booterstown",Dublin,321586.0,Yes,Booterstown,Co. Dublin,q2,40%
22/12/2010,"12 Seafield Crescent, Booterstown",Dublin,475000.0,No,Booterstown,Co. Dublin,q3,70%
23/12/2010,"27 Glenoma Park, Stillorgan Road, Booterstown",Dublin,515000.0,No,Booterstown,Co. Dublin,q3,70%
07/01/2011,"13 Booterstown Wood, Booterstown Avenue, Booterstown",Dublin,259911.0,Yes,Booterstown,Co. Dublin,q1,20%
18/01/2011,"Apartment 40, Booterstown Wood, Booterstown Avenue",Dublin,264317.19,Yes,Booterstown,Co. Dublin,q1,20%
25/01/2011,"59 Trimlestown Gardens, Booterstown, Co Dublin",Dublin,800000.0,No,Booterstown,Co. Dublin,q4,100%
28/01/2011,"35 Booterstown Wood, Booterstown Avenue",Dublin,350000.0,Yes,Booterstown,Co. Dublin,q2,40%
01/02/2011,"14 Bellevue Court, Booterstown",Dublin,195000.0,No,Booterstown,Co. Dublin,q1,10%
01/02/2011,"14 Bellevue Court, Booterstown",Dublin,195000.0,No,Booterstown,Co. Dublin,q1,10%
01/02/2011,"Apt. 76 Seamount, Booterstown",Dublin,250000.0,No,Booterstown,Co. Dublin,q1,20%
08/02/2011,"34 Booterstown Wood, Booterstown Avenue",Dublin,321586.0,Yes,Booterstown,Co. Dublin,q2,40%
14/02/2011,"1 Booterstown Wood, Booterstown Avenue, Booterstown Co Dublin",Dublin,173554.0,Yes,Booterstown,Co. Dublin,q1,10%
16/02/2011,"Apt 54, Booterstown Wood, Booterstown",Dublin,202643.0,Yes,Booterstown,Co. Dublin,q1,10%
22/02/2011,"20 Trimleston Gardens, Booterstown",Dublin,225000.0,No,Booterstown,Co. Dublin,q1,10%
25/02/2011,"53 Booterstown Woods, Booterstown",Dublin,274889.0,Yes,Booterstown,Co. Dublin,q1,30%
25/02/2011,"Apartment 38 Booterstown Wood, Booterstown Avenue, Booterstown",Dublin,285450.0,Yes,Booterstown,Co. Dublin,q2,30%
04/03/2011,"7 Hampton Crescent, Saint Helen'S Wood, Booterstown Avenue  Booterstown",Dublin,475000.0,No,Booterstown,Co. Dublin,q3,70%
09/03/2011,"19 Bellevue Park, Booterstown",Dublin,440000.0,No,Booterstown,Co. Dublin,q3,60%
10/03/2011,"Apartment 47, Booterstown Wood, Booterstown Avenue",Dublin,264317.0,Yes,Booterstown,Co. Dublin,q1,20%
11/03/2011,"25 Fosterbrook, Booterstown",Dublin,451000.0,No,Booterstown,Co. Dublin,q3,60%
15/03/2011,"Apartment No 26, Booterstown Wood, Booterstown",Dublin,281938.32,Yes,Booterstown,Co. Dublin,q1,30%
21/03/2011,"29 Seafield Road, Booterstown",Dublin,380000.0,No,Booterstown,Co. Dublin,q2,50%
22/03/2011,"Apt 31 Booterstown Wood, South Hill Park, Booterstown",Dublin,292400.0,Yes,Booterstown,Co. Dublin,q2,30%
25/03/2011,"16 Mccabe Villas, Booterstown, County Dublin",Dublin,282000.0,No,Booterstown,Co. Dublin,q2,30%
25/03/2011,"Apartment 3 Booterstown, Wood Booterstown Avenue",Dublin,265000.0,Yes,Booterstown,Co. Dublin,q1,30%
25/03/2011,"Apartment 58, Booterstown Wood, Booterstown Avenue",Dublin,273127.75,Yes,Booterstown,Co. Dublin,q1,30%
