date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
26/02/2010,"Apt.11  Watermint, Old Bray Road, Cabinteeley",Dublin,348237.0,Yes,Bray,Co. Dublin,q3,60%
05/03/2010,"62A Corke Abbey, Bray",Dublin,312000.0,No,Bray,Co. Dublin,q2,40%
16/04/2010,"Whiteways, Dublin Road, Bray",Dublin,428000.0,No,Bray,Co. Dublin,q4,90%
07/05/2010,"141 Corke Abbey, Bray",Dublin,265000.0,No,Bray,Co. Dublin,q1,30%
25/05/2010,"10 Connawood Drive, Old Connaught Avenue, Bray",Dublin,292000.0,No,Bray,Co. Dublin,q2,40%
11/06/2010,"4 Connawood Drive, Old Connaught Ave, Bray",Dublin,287500.0,No,Bray,Co. Dublin,q2,30%
09/07/2010,"50 Corke Abbey, Bray",Dublin,277000.0,No,Bray,Co. Dublin,q2,30%
14/10/2010,"78 Corke Abbey, Bray",Dublin,270500.0,No,Bray,Co. Dublin,q1,30%
23/12/2010,"Unit 10 Second Floor, Watermint  Old Bray Road, Cabinteely",Dublin,410000.0,Yes,Bray,Co. Dublin,q4,80%
08/02/2011,"Apartment 13  Watermint, Old Bray Road, Cabinteely",Dublin,171806.16,Yes,Bray,Co. Dublin,q1,10%
08/02/2011,"Apartment 3  Watermint, Old Bray Road, Cabinteely",Dublin,176211.44,Yes,Bray,Co. Dublin,q1,10%
08/02/2011,"Apartment 7 Watermint, Old Bray Road, Cabinteely",Dublin,176211.44,Yes,Bray,Co. Dublin,q1,10%
05/04/2011,"Cormac, Bray Road, Foxrock",Dublin,400000.0,No,Bray,Co. Dublin,q4,80%
31/05/2011,"11 Fernbrook, Old Connaught Avenue, Bray",Dublin,291000.0,No,Bray,Co. Dublin,q2,40%
13/06/2011,"32 The Lawn, Woodbrook Glen, Bray",Dublin,235000.0,No,Bray,Co. Dublin,q1,20%
24/06/2011,"34 The Lawn, Woodbrook Glen, Bray",Dublin,185000.0,No,Bray,Co. Dublin,q1,10%
