date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
01/12/2010,"22 Brownsbarn Orchard, Kingswood Road",Dublin,240000.0,No,Brownsbarn,Co. Dublin,q1,20%
18/01/2011,"8 Brownsbarn Orchard, Baldonnell, Co. Dublin",Dublin,253000.0,No,Brownsbarn,Co. Dublin,q1,20%
19/01/2013,"42 Brownsbarn Wood, Naas Road, Dublin 24",Dublin,320000.0,Yes,Brownsbarn,Co. Dublin,q3,70%
14/03/2013,"3 Brownsbarn Orchard, Baldonnel, Dublin 22",Dublin,150000.0,No,Brownsbarn,Co. Dublin,q1,10%
21/06/2013,"18 Brownsbarn Orchard, Brownsbarn, Citywest",Dublin,188000.0,No,Brownsbarn,Co. Dublin,q1,10%
11/10/2013,"6 Brownsbarn Wood, Kingswood, Dublin 22",Dublin,265000.0,No,Brownsbarn,Co. Dublin,q1,20%
03/04/2014,"4 Brownsbarn Orchard, Baldonnell, Dublin 22",Dublin,223000.0,No,Brownsbarn,Co. Dublin,q1,10%
29/07/2014,"Apt 6, Brownsbarn Gardens, Brownsbarn",Dublin,123000.0,No,Brownsbarn,Co. Dublin,q1,10%
28/08/2014,"4 Brownsbarn Wood, Clondalkin, Dublin 22",Dublin,240000.0,No,Brownsbarn,Co. Dublin,q1,20%
26/09/2014,"14 Brownsbarn Orchard, Old Naas Rd, Baldonnel",Dublin,270000.0,No,Brownsbarn,Co. Dublin,q1,20%
14/11/2014,"13 Brownsbarn Orchard, Old Naas Rd, Baldonnell",Dublin,275000.0,No,Brownsbarn,Co. Dublin,q1,20%
04/12/2014,"35 Brownsbarn Wood, Dublin 22, Dublin",Dublin,348000.0,No,Brownsbarn,Co. Dublin,q4,90%
12/12/2014,"12 Brownsbarn Wood, Kingswood, Dublin 22",Dublin,350000.0,No,Brownsbarn,Co. Dublin,q4,90%
17/12/2014,"17 Brownsbarn, Orchard Baldonnell, Dublin 22",Dublin,233000.0,No,Brownsbarn,Co. Dublin,q1,10%
11/05/2015,"31 Brownsbarn Wood, Kingswood, Citywest",Dublin,330000.0,No,Brownsbarn,Co. Dublin,q4,90%
06/07/2015,"21 Brownsbarn Wood, Kingswood, Dublin 22",Dublin,325000.0,No,Brownsbarn,Co. Dublin,q4,80%
28/07/2016,"37 Brownsbarn Wood, Dublin 22, Dublin",Dublin,331000.0,No,Brownsbarn,Co. Dublin,q4,90%
