date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
21/01/2010,"19 Brennanstown Avenue, Cabinteely",Dublin,355000.0,No,Cabinteely,Dublin 18,q2,50%
21/01/2010,"23 East Courtyard, Tullyvale, Cabinteely",Dublin,310000.0,No,Cabinteely,Dublin 18,q2,40%
22/01/2010,"18 Belville Court, Johnstown Road, Cabinteely",Dublin,208000.0,Yes,Cabinteely,Dublin 18,q1,10%
05/02/2010,"13 Belville Court, Johnstown Road, Cabinteely",Dublin,260000.0,Yes,Cabinteely,Dublin 18,q1,20%
08/02/2010,"12 West Courtyard, Tullyvale, Cabinteely",Dublin,310000.0,No,Cabinteely,Dublin 18,q2,40%
08/02/2010,"Apartment No 77 The Oval, Tullyvale, Cabinteely",Dublin,230000.0,No,Cabinteely,Dublin 18,q1,20%
12/02/2010,"30 Maple Manor, Cabinteely, Dublin 18",Dublin,435000.0,No,Cabinteely,Dublin 18,q3,60%
24/02/2010,"18 East Court Yard, Tullvale Druid Valley, Cabinteely",Dublin,180000.0,No,Cabinteely,Dublin 18,q1,10%
24/02/2010,"32 Vale View Lawn, The Park  Cabinteely, Dublin 18",Dublin,450000.0,No,Cabinteely,Dublin 18,q3,60%
04/03/2010,"28 Belville Court, Johnstown Road, Cabinteely",Dublin,200000.0,Yes,Cabinteely,Dublin 18,q1,10%
29/03/2010,"1  Glen Garth, The Park, Cabinteely",Dublin,500000.0,No,Cabinteely,Dublin 18,q3,70%
30/03/2010,"31 Belville Court, Cabinteely, .",Dublin,350000.0,No,Cabinteely,Dublin 18,q2,50%
31/03/2010,"17 Brennanstown Court, Brennanstown, Cabinteely",Dublin,168675.0,Yes,Cabinteely,Dublin 18,q1,10%
23/04/2010,"14 Willow Court, Druids Valley, Cabinteely",Dublin,460000.0,No,Cabinteely,Dublin 18,q3,70%
30/04/2010,"58 Maple Manor, Johnstown Road, Cabinteely",Dublin,425000.0,No,Cabinteely,Dublin 18,q3,60%
12/05/2010,"Apartment 73 St. Gabriel'S, Johnston Road, Cabinteely",Dublin,300000.0,No,Cabinteely,Dublin 18,q2,30%
27/05/2010,"18 Brennanstown Court, Brennanstown, Cabinteely",Dublin,230000.0,Yes,Cabinteely,Dublin 18,q1,20%
01/06/2010,"6 Cabinteely Court, Cabinteely",Dublin,390000.0,No,Cabinteely,Dublin 18,q3,60%
10/06/2010,"15 Park Drive, The Park, Cabinteely",Dublin,436000.0,No,Cabinteely,Dublin 18,q3,60%
10/06/2010,"31 Gleann Na Ri, Druid Valley, Cabinteely",Dublin,215000.0,No,Cabinteely,Dublin 18,q1,10%
16/06/2010,"Apartment 83, St. Gabriels, Johnstown Road  Cabinteely",Dublin,230000.0,No,Cabinteely,Dublin 18,q1,20%
17/06/2010,"4 Marlfield House, St Gabriels, Cabinteely",Dublin,222500.0,No,Cabinteely,Dublin 18,q1,20%
21/06/2010,"9 Willow Court, Druid Valley, Cabinteely",Dublin,400000.0,No,Cabinteely,Dublin 18,q3,60%
29/06/2010,"8 Willow Court, Druid Valley, Cabinteely",Dublin,414000.0,No,Cabinteely,Dublin 18,q3,60%
12/07/2010,"5 Prospect Lawn, The Park, Cabinteely",Dublin,465000.0,No,Cabinteely,Dublin 18,q3,70%
13/07/2010,"14 Belville Court, Johnstown Rd., Cabinteely  Dublin 18",Dublin,286343.61,Yes,Cabinteely,Dublin 18,q2,30%
16/07/2010,"14 Brennanstown Court, Brennanstown, Cabinteely",Dublin,224000.0,Yes,Cabinteely,Dublin 18,q1,20%
29/07/2010,"2 Johnstown Court, Johnstown Road, Cabinteely",Dublin,340000.0,No,Cabinteely,Dublin 18,q2,40%
16/08/2010,"36 Glen Drive, The Park, Cabinteely",Dublin,375000.0,No,Cabinteely,Dublin 18,q2,50%
16/08/2010,"60 Maple Manor, Cabinteely, Dublin 18",Dublin,415000.0,No,Cabinteely,Dublin 18,q3,60%
20/08/2010,"37 Johnstown Court, Cabinteely, Dublin 18",Dublin,333000.0,No,Cabinteely,Dublin 18,q2,40%
20/08/2010,"54 Johnstown Park, Cabinteely, Dublin 18",Dublin,380000.0,No,Cabinteely,Dublin 18,q2,50%
27/08/2010,"9 Cabinteely Court, Cabinteely, Co. Dublin",Dublin,367500.0,No,Cabinteely,Dublin 18,q2,50%
14/09/2010,"92 Johnstown Avenue, Cabinteely",Dublin,372500.0,No,Cabinteely,Dublin 18,q2,50%
30/09/2010,"42 West Courtyard, Tullyvale  Cabinteely, Dublin 18",Dublin,240000.0,No,Cabinteely,Dublin 18,q1,20%
01/10/2010,"14 Auburn Avenue, Cabinteely",Dublin,430000.0,No,Cabinteely,Dublin 18,q3,60%
11/10/2010,"9 Brennanstown Court, Brennanstown, Cabinteely",Dublin,177000.0,Yes,Cabinteely,Dublin 18,q1,10%
20/10/2010,"Apartment 38 Brennanstown Square, Cabinteely",Dublin,270000.0,No,Cabinteely,Dublin 18,q1,30%
28/10/2010,"Apt 95, Tullyvale  Druid Valley, Cabinteely",Dublin,268000.0,No,Cabinteely,Dublin 18,q1,30%
12/11/2010,"91 Gleann Na Ri, Cabinteely",Dublin,256000.0,No,Cabinteely,Dublin 18,q1,20%
30/11/2010,"10 Brennanstown Court, Brennanstown, Cabinteely",Dublin,134075.0,Yes,Cabinteely,Dublin 18,q1,10%
16/12/2010,"48 Gleann Na Ri, Druids Valley, Cabinteely",Dublin,270000.0,No,Cabinteely,Dublin 18,q1,30%
20/12/2010,"89 Gleann Na Ri, Druid Valley, Cabinteely Dublin 18",Dublin,212000.0,No,Cabinteely,Dublin 18,q1,10%
22/12/2010,"Apartment No. 29, Brennanstown Avenue, Cabinteely",Dublin,400000.0,No,Cabinteely,Dublin 18,q3,60%
23/12/2010,"30 Cabinteely Close, Cabinteely",Dublin,500000.0,No,Cabinteely,Dublin 18,q3,70%
17/02/2011,"34 Woodlands Avenue, Cabinteely",Dublin,370000.0,No,Cabinteely,Dublin 18,q2,50%
25/02/2011,"11 Glen Garth, The Park, Cabinteely",Dublin,475000.0,No,Cabinteely,Dublin 18,q3,70%
11/03/2011,"24 Vale View, The Park, Cabinteely",Dublin,415000.0,No,Cabinteely,Dublin 18,q3,60%
23/03/2011,"Apt 21 Le Hunt House, Brennanstown, Cabinteely",Dublin,255000.0,No,Cabinteely,Dublin 18,q1,20%
28/03/2011,"69 The Oval, Tullyvale, Cabinteely",Dublin,175000.0,No,Cabinteely,Dublin 18,q1,10%
29/04/2011,"51 Woodlands Road, Cabinteely, Dublin 18",Dublin,315000.0,No,Cabinteely,Dublin 18,q2,40%
30/05/2011,"51 Park Drive, The Park, Cabinteely",Dublin,325000.0,No,Cabinteely,Dublin 18,q2,40%
24/06/2011,"15 Highland View, The Park, Cabinteely",Dublin,311000.0,No,Cabinteely,Dublin 18,q2,40%
05/07/2011,"24 Cabinteely Way, Cabinteely, Dublin 18",Dublin,455000.0,No,Cabinteely,Dublin 18,q3,70%
06/07/2011,"50 Gleann Na Ri, Cabinteely",Dublin,250000.0,No,Cabinteely,Dublin 18,q1,20%
