date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
13/01/2010,"5 Offaly Road, Cabra East, Dublin 7",Dublin,227000.0,No,Cabra,Dublin 7,q2,50%
22/01/2010,"128 Kilkieran Road, Cabra, Dublin 7",Dublin,152000.0,No,Cabra,Dublin 7,q1,30%
22/01/2010,"253 Ratoath Road, Cabra",Dublin,208000.0,No,Cabra,Dublin 7,q2,50%
25/01/2010,"94 Fassaugh Road, Cabra, Dublin 7",Dublin,185000.0,No,Cabra,Dublin 7,q2,40%
01/02/2010,"166, St Attracta Road, Cabra",Dublin,210000.0,No,Cabra,Dublin 7,q2,50%
01/02/2010,"34 Licannor Road, Cabra",Dublin,191000.0,No,Cabra,Dublin 7,q2,40%
09/02/2010,"78 Fassaugh Road, Cabra, Dublin 7",Dublin,173000.0,No,Cabra,Dublin 7,q2,30%
12/02/2010,"16 Annaly Road, Cabra, Dublin 7",Dublin,276500.0,No,Cabra,Dublin 7,q3,70%
12/02/2010,"82, Annamoe Drive, Cabra",Dublin,235000.0,No,Cabra,Dublin 7,q3,60%
15/02/2010,"243 Bannow Road, Cabra",Dublin,85000.0,No,Cabra,Dublin 7,q1,10%
19/02/2010,"116 Old Cabra Road, Cabra, Dublin 7",Dublin,485000.0,No,Cabra,Dublin 7,q4,100%
01/03/2010,"42 Fassaugh Avenue, Cabra",Dublin,150000.0,No,Cabra,Dublin 7,q1,20%
26/03/2010,"4 Quarry Road, Cabra",Dublin,200000.0,No,Cabra,Dublin 7,q2,40%
14/04/2010,"155 Bannow Road, Cabra, Dublin 7",Dublin,187500.0,No,Cabra,Dublin 7,q2,40%
16/04/2010,"102 Faussagh Road, Cabra",Dublin,125000.0,No,Cabra,Dublin 7,q1,20%
19/04/2010,"84 Glenbeigh Road, Cabra",Dublin,350000.0,No,Cabra,Dublin 7,q4,90%
30/04/2010,"55 Killala Road, Cabra West",Dublin,175000.0,No,Cabra,Dublin 7,q2,30%
04/05/2010,"49 Newgrange Road, Cabra, Dublin 7",Dublin,295000.0,No,Cabra,Dublin 7,q3,70%
07/05/2010,"114 Attracta Road, Cabra",Dublin,160000.0,No,Cabra,Dublin 7,q1,30%
12/05/2010,"31 Liscannor Road, Cabra West",Dublin,285000.0,No,Cabra,Dublin 7,q3,70%
13/05/2010,"9 Bregia Road, Cabra",Dublin,306000.0,No,Cabra,Dublin 7,q3,80%
21/05/2010,"436 Carnlough Road, Cabra West",Dublin,195000.0,No,Cabra,Dublin 7,q2,40%
24/05/2010,"23 Carnlough Road, Cabra",Dublin,115000.0,No,Cabra,Dublin 7,q1,20%
28/05/2010,"26 Annaly Road, Cabra",Dublin,297500.0,No,Cabra,Dublin 7,q3,80%
01/06/2010,"37 Carnlough Road, Cabra, Dublin 7",Dublin,190000.0,No,Cabra,Dublin 7,q2,40%
08/06/2010,"137 Annamoe Drive, Cabra",Dublin,225000.0,No,Cabra,Dublin 7,q2,50%
15/06/2010,"12 St. Fintan Terrace, Cabra",Dublin,170000.0,No,Cabra,Dublin 7,q2,30%
18/06/2010,"122 Leix Road, Cabra, Dublin 7",Dublin,250000.0,No,Cabra,Dublin 7,q3,60%
