date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
16/08/2010,"32 Capel Street, Dublin 1",Dublin,200000.0,No,Capel St,Dublin 1,q3,60%
31/05/2011,"Apt 4, 121/122 Capel Street, Dublin 1",Dublin,120000.0,No,Capel St,Dublin 1,q1,20%
31/05/2011,"Apt 5, 121/122 Capel Street, Dublin 1",Dublin,120000.0,No,Capel St,Dublin 1,q1,20%
26/04/2012,"11 Capel Street, Dublin 1",Dublin,88500.0,No,Capel St,Dublin 1,q1,10%
22/11/2012,"83/84, Capel Street",Dublin,153000.0,No,Capel St,Dublin 1,q1,30%
21/12/2012,"14 Jervis Place, Abbey Street/Capel Street",Dublin,153000.0,No,Capel St,Dublin 1,q1,30%
26/04/2013,"80 Capel Street, Dublin 1",Dublin,162500.0,No,Capel St,Dublin 1,q2,30%
06/06/2013,"Apartment 84, Jervis Place, Abbey St./Capel St.",Dublin,100000.0,No,Capel St,Dublin 1,q1,10%
19/07/2013,"6  Mary'S Abbey, Off Capel Street",Dublin,200000.0,No,Capel St,Dublin 1,q3,60%
21/10/2013,"Apartment 15, Capel Court, Capel Street",Dublin,108000.0,No,Capel St,Dublin 1,q1,20%
24/10/2013,"Apt. 9  124 Capel Street, Dublin 1",Dublin,165000.0,No,Capel St,Dublin 1,q2,40%
20/12/2013,"64 Stewart Hall, Ryders Row, Capel St Dublin 1",Dublin,142000.0,No,Capel St,Dublin 1,q1,20%
25/03/2014,"Apartment 6, Semple Court, 103-104 Capel Street",Dublin,110000.0,No,Capel St,Dublin 1,q1,20%
30/07/2014,"154 - 155, Capel Street",Dublin,975000.0,No,Capel St,Dublin 1,q4,100%
12/08/2014,"19 Capel Court, Capel St, Dublin 1",Dublin,145000.0,No,Capel St,Dublin 1,q1,30%
13/11/2014,"Apt 107 Jervis Place, Capel Street, Dublin 1",Dublin,180000.0,No,Capel St,Dublin 1,q2,50%
19/12/2014,"Apart 15, 121 Capel Street, Dublin 1",Dublin,170000.0,No,Capel St,Dublin 1,q2,40%
19/12/2014,"Apt 14, 121 122 Capel St, Dublin 1",Dublin,170000.0,No,Capel St,Dublin 1,q2,40%
19/12/2014,"Apt 17, 121 122 Capel St, Dublin 1",Dublin,170000.0,No,Capel St,Dublin 1,q2,40%
19/12/2014,"Apt 18, 121 122 Capel St, Dublin 1",Dublin,170000.0,No,Capel St,Dublin 1,q2,40%
19/12/2014,"Apt 20, 121-122 Capel Street, Dublin 1",Dublin,180000.0,No,Capel St,Dublin 1,q2,50%
23/12/2014,"Apt 136 Jervis Place, Capel Street",Dublin,130000.0,No,Capel St,Dublin 1,q1,20%
15/01/2015,"Apt 1, 20 Capel Street, Dublin 1",Dublin,102625.0,No,Capel St,Dublin 1,q1,10%
15/01/2015,"Apt 2, 20 Capel Street, Dublin 1",Dublin,102625.0,No,Capel St,Dublin 1,q1,10%
15/01/2015,"Apt 3, 20 Capel Street, Dublin 1",Dublin,102625.0,No,Capel St,Dublin 1,q1,10%
27/02/2015,"14 Capel St, Dublin 1, Dublin",Dublin,310000.0,No,Capel St,Dublin 1,q4,80%
22/05/2015,"32 Capel St, Dublin 1, Dublin",Dublin,500000.0,No,Capel St,Dublin 1,q4,90%
13/07/2015,"Apt 11 Capel Court Capel St, Dublin 1, Dublin",Dublin,176000.0,No,Capel St,Dublin 1,q2,50%
16/10/2015,"Apt 13, 99 Capel St, Dublin 1",Dublin,87500.0,No,Capel St,Dublin 1,q1,10%
16/10/2015,"Apt 14, 99 Capel St, Dublin 1",Dublin,85000.0,No,Capel St,Dublin 1,q1,10%
19/10/2015,"Apt 2, No 3 Capel St, Dublin 1",Dublin,181000.0,No,Capel St,Dublin 1,q3,60%
23/12/2015,"9 Capel St, Dublin 1, Dublin",Dublin,705000.0,No,Capel St,Dublin 1,q4,90%
31/12/2015,"83/84 Capel Street, Dublin 1",Dublin,950000.0,No,Capel St,Dublin 1,q4,100%
12/04/2016,"Apartment 8, 124 Capel Street, Dublin 1",Dublin,155000.0,No,Capel St,Dublin 1,q2,30%
20/04/2016,"Apt 17, Capel Street, Dublin",Dublin,168000.0,No,Capel St,Dublin 1,q2,40%
25/07/2016,"36 Capel Court, 114 - 118 Capel Street, Dublin 1",Dublin,165000.0,No,Capel St,Dublin 1,q2,40%
27/07/2016,"3 Semple Court 103 104 Capel St, Dublin 1, Dublin",Dublin,173000.0,No,Capel St,Dublin 1,q2,50%
27/07/2016,"7 Semple Court 103 104 Capel St, Dublin 1, Dublin",Dublin,172000.0,No,Capel St,Dublin 1,q2,50%
29/07/2016,"123 Capel Street, Dublin 1",Dublin,600000.0,No,Capel St,Dublin 1,q4,90%
29/07/2016,"Apt. 1, 140 Capel St., Dublin 1",Dublin,250500.0,No,Capel St,Dublin 1,q3,70%
11/10/2016,"Apartment 13, 121/122 Capel Street, Dublin 1",Dublin,170000.0,No,Capel St,Dublin 1,q2,50%
15/11/2016,"142 Capel St, Dublin 1, Dublin",Dublin,280000.0,No,Capel St,Dublin 1,q3,70%
16/12/2016,"Apt 1, 15 Capel St, Dublin 1",Dublin,300000.0,No,Capel St,Dublin 1,q3,80%
19/12/2016,"Apt 7, 124 Capel Street, Dublin 1",Dublin,190000.0,No,Capel St,Dublin 1,q3,60%
07/03/2017,"Apt 6, Chandler Court, 49 50 Capel St",Dublin,140000.0,No,Capel St,Dublin 1,q1,20%
08/03/2017,"Apt 1, Sempel Court, 103 Capel St Dublin 1",Dublin,172000.0,No,Capel St,Dublin 1,q2,50%
16/03/2017,"Apt 10, 99 102 Capel St, Dublin 1",Dublin,205000.0,No,Capel St,Dublin 1,q3,60%
21/03/2017,"Apt 7, 124 Capel Street, Dublin 1",Dublin,310000.0,No,Capel St,Dublin 1,q4,80%
31/03/2017,"96 And 97 Capel Street, Dublin 1",Dublin,1880000.0,No,Capel St,Dublin 1,q4,100%
02/05/2017,"Apt 5  Semple Court, 103 Capel Street, Dublin 1",Dublin,160000.0,No,Capel St,Dublin 1,q2,30%
05/07/2017,"46A Capel St, Dublin 1, Dublin",Dublin,211500.0,No,Capel St,Dublin 1,q3,70%
13/09/2017,"Apartment 1, 95 Capel Street, Dublin 1",Dublin,1200000.0,No,Capel St,Dublin 1,q4,100%
29/09/2017,"Apt 1, 37 38 Capel St, Dublin 1",Dublin,1000000.0,No,Capel St,Dublin 1,q4,100%
02/11/2017,"8 Semple Court, 103 104 Capel St, Dublin 1",Dublin,357000.0,No,Capel St,Dublin 1,q4,90%
17/05/2018,"143 Capel Street, Dublin 7",Dublin,450000.0,No,Capel St,Dublin 1,q4,90%
27/06/2018,"Apt 1-5, 59 Capel St, Dublin 1",Dublin,775000.0,No,Capel St,Dublin 1,q4,90%
22/11/2018,"Apartment 23, Capel Court, 112-114 Capel Street",Dublin,200000.0,No,Capel St,Dublin 1,q3,60%
25/02/2019,"Apartment 141, Jervis Place, Capel Street",Dublin,216160.0,No,Capel St,Dublin 1,q3,70%
29/03/2019,"Apt 1  1A  2  2A  3  3A & 4-7, 51/52 Capel Street, Dublin 1",Dublin,2128000.0,No,Capel St,Dublin 1,q4,100%
14/06/2019,"Apt 1 54, Capel St, Dublin 1",Dublin,290000.0,No,Capel St,Dublin 1,q3,70%
14/06/2019,"Apt 1, 55 Capel St, Dublin 1",Dublin,290000.0,No,Capel St,Dublin 1,q3,80%
19/06/2019,"Apt 1, 58 Capel St., Dublin",Dublin,1900000.0,No,Capel St,Dublin 1,q4,100%
27/06/2019,"Apt 2 55, Capel St, Dublin 1",Dublin,290000.0,No,Capel St,Dublin 1,q3,80%
08/08/2019,"134 Jervis Place, Capel St, Dublin 7",Dublin,300000.0,No,Capel St,Dublin 1,q4,80%
15/08/2019,"Apt 1, 162 Capel St, Dublin 1",Dublin,600000.0,No,Capel St,Dublin 1,q4,90%
19/08/2019,"Apt 3 55, Capel St, Dublin 1",Dublin,285000.0,No,Capel St,Dublin 1,q3,70%
10/09/2019,"74 Stewart Hall, Ryders Row, Capel St",Dublin,205000.0,No,Capel St,Dublin 1,q3,70%
