date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
16/03/2010,"12 Heathfield Crescent, Heathfield, Cappagh",Dublin,244950.0,Yes,Cappagh,Dublin 11,q4,90%
15/04/2010,"70 Heathfield Terrace, Heathfield, Cappagh Road",Dublin,219950.0,Yes,Cappagh,Dublin 11,q3,80%
14/03/2012,"35 Heathfield Way, Cappagh",Dublin,140925.11,Yes,Cappagh,Dublin 11,q1,20%
16/03/2012,"41 Heathfield Park, Heathfield, Cappagh",Dublin,158000.0,Yes,Cappagh,Dublin 11,q1,30%
01/10/2013,"23 Heathfield Crescent, Cappagh, Dublin 11",Dublin,132900.0,Yes,Cappagh,Dublin 11,q1,10%
01/07/2014,"4 Heathfield Terrace, Cappagh",Dublin,50000.0,Yes,Cappagh,Dublin 11,q1,10%
24/04/2015,"16 Heathfield Terrace, Cappagh, Dublin 11",Dublin,175000.0,No,Cappagh,Dublin 11,q2,40%
16/06/2015,"4 The Grove, Heathfield, Cappagh Road",Dublin,137705.0,Yes,Cappagh,Dublin 11,q1,20%
31/07/2015,"7 Heathfield Crescent, Cappagh Dublin 11, Dublin",Dublin,205000.0,No,Cappagh,Dublin 11,q2,50%
22/06/2016,"8 Heathfield Way, Cappagh",Dublin,211929.0,Yes,Cappagh,Dublin 11,q3,70%
18/11/2016,"17 Heathfield Way, Heathfield, Cappagh Road",Dublin,207048.0,Yes,Cappagh,Dublin 11,q3,60%
09/12/2016,"28 Cappagh Dr, Dublin 11, Dublin",Dublin,173000.0,No,Cappagh,Dublin 11,q2,30%
21/12/2016,"4 Heathfield Drive, Cappagh Road, Dublin 11",Dublin,211453.74,Yes,Cappagh,Dublin 11,q3,60%
15/02/2017,"Barnlodge, Ballycoolin Rd, Cappagh Dublin 11",Dublin,190000.0,No,Cappagh,Dublin 11,q2,50%
20/02/2019,"50 Heathfield Way, Cappagh, Dublin 11",Dublin,265000.0,No,Cappagh,Dublin 11,q4,100%
24/04/2019,"Five Lamps, The Grange, Cappagh Dublin 11",Dublin,1000000.0,No,Cappagh,Dublin 11,q4,100%
04/06/2019,"25 Heathfield View, Cappagh Road, Finflas",Dublin,250660.0,Yes,Cappagh,Dublin 11,q4,90%
19/09/2019,"134 Cappagh Rd, Dublin 11, Dublin",Dublin,220000.0,No,Cappagh,Dublin 11,q4,80%
