date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
03/09/2010,"9 Riverwood Court, Carpenterstown",Dublin,330000.0,No,Carpenterstown,Dublin 15,q3,70%
09/11/2010,"5 Bramley Grove, Carpenterstown",Dublin,292500.0,No,Carpenterstown,Dublin 15,q3,60%
30/03/2011,"10 Luttrellstown Ave, Carpenterstown",Dublin,317500.0,No,Carpenterstown,Dublin 15,q3,60%
02/03/2012,"15 Old Farm, Carpenterstown",Dublin,98000.0,No,Carpenterstown,Dublin 15,q1,10%
16/11/2012,"5 Bramley Avenue, Carpenterstown, Dublin",Dublin,393000.0,No,Carpenterstown,Dublin 15,q4,90%
18/12/2012,"The Cottage, Carpenterstown, Dublin 15",Dublin,262000.0,No,Carpenterstown,Dublin 15,q2,40%
18/02/2014,"22 Luttrellpark Crescent, Carpenterstown, Dublin 15",Dublin,311000.0,No,Carpenterstown,Dublin 15,q3,60%
04/09/2014,"4 Carpenterstown Manor, Dublin 15, Dublin",Dublin,710000.0,No,Carpenterstown,Dublin 15,q4,100%
14/11/2014,"12 Warren Crescent, Carpenterstown, Dublin 15",Dublin,320000.0,No,Carpenterstown,Dublin 15,q3,70%
17/11/2014,"11 Annfield Lawn, Carpenterstown, Dublin 15",Dublin,210000.0,No,Carpenterstown,Dublin 15,q1,10%
02/12/2014,"20 Woodbrook Court, Riverswood Rd, Carpenterstown Dublin 15",Dublin,242000.0,No,Carpenterstown,Dublin 15,q1,20%
12/12/2014,"13 Rosehaven, Carpenterstown Road, Carpenterstown",Dublin,210100.0,No,Carpenterstown,Dublin 15,q1,10%
23/12/2014,"9 Luttrellstown Grove, Carpenterstown, Dublin 15",Dublin,440000.0,No,Carpenterstown,Dublin 15,q4,90%
23/01/2015,"78 Fernleigh Dr, Carpenterstown Dublin 15, Dublin",Dublin,301000.0,No,Carpenterstown,Dublin 15,q3,60%
12/02/2015,"12 Bramley View, Carpenterstown, Dublin 15",Dublin,335000.0,No,Carpenterstown,Dublin 15,q3,70%
07/05/2015,"18 Fernleigh Drive, Carpenterstown",Dublin,244000.0,No,Carpenterstown,Dublin 15,q1,20%
04/06/2015,"11 Sycamore Ave, Carpenterstown Pk, Dublin 15",Dublin,375000.0,No,Carpenterstown,Dublin 15,q4,80%
12/06/2015,"8 Fernleigh Dale, Carpenterstown, Dublin 15",Dublin,280000.0,No,Carpenterstown,Dublin 15,q2,40%
03/07/2015,"18 Oaktree Ave, Carpenterstown, Dublin 15",Dublin,430000.0,No,Carpenterstown,Dublin 15,q4,90%
13/07/2015,"11  Bracken View, Bracken Park, Carpenterstown",Dublin,290000.0,Yes,Carpenterstown,Dublin 15,q2,50%
07/08/2015,"13 Bracken View, Carpenterstown Road, Carpenterstown",Dublin,280000.0,Yes,Carpenterstown,Dublin 15,q2,50%
12/08/2015,"22 Bracken View, Carpenterstown",Dublin,318585.43,Yes,Carpenterstown,Dublin 15,q3,60%
13/08/2015,"No.9 Bracken View, Brracken Park, Carpenterstown Road",Dublin,259911.88,Yes,Carpenterstown,Dublin 15,q2,30%
14/08/2015,"42 Fernleigh Dr, Carpenterstown, Dublin 15",Dublin,291000.0,No,Carpenterstown,Dublin 15,q2,50%
17/08/2015,"7 Luttrellstown Lawn, Carpenterstown, Dublin 15",Dublin,480000.0,No,Carpenterstown,Dublin 15,q4,100%
19/08/2015,"17 Warren Close, Carpenterstown, Dublin 15",Dublin,380000.0,No,Carpenterstown,Dublin 15,q4,80%
23/10/2015,"Apt 36, Rosehaven, Carpenterstown Rd Dublin 15",Dublin,220000.0,No,Carpenterstown,Dublin 15,q1,10%
28/10/2015,"9 Maple Grove, Carpenterstown, Dublin 15",Dublin,302000.0,No,Carpenterstown,Dublin 15,q3,60%
27/11/2015,"12H Fernleigh Close, Carpenterstown, Dublin 15",Dublin,137000.0,No,Carpenterstown,Dublin 15,q1,10%
14/12/2015,"30 Annfield Court, Riverwood Ave, Carpenterstown Dublin 15",Dublin,275000.0,No,Carpenterstown,Dublin 15,q2,40%
16/02/2016,"21 Annfield Dr, Carpenterstown, Dublin 15",Dublin,275000.0,No,Carpenterstown,Dublin 15,q2,40%
25/02/2016,"14 Bracken View, Bracken Park, Carpenterstown",Dublin,380000.0,Yes,Carpenterstown,Dublin 15,q4,80%
08/04/2016,"12 Woodbrook Sq, Riverwood Rd, Carpenterstown Dublin 15",Dublin,259000.0,No,Carpenterstown,Dublin 15,q2,30%
08/04/2016,"13 Riverwood View, Carpenterstown, Dublin 15",Dublin,397000.0,No,Carpenterstown,Dublin 15,q4,90%
03/05/2016,"15 Bracken Park Close, Carpenterstown Road",Dublin,647577.08,Yes,Carpenterstown,Dublin 15,q4,100%
10/05/2016,"10 Woodbrook Hall, Riverwood Rd, Carpenterstown",Dublin,206000.0,No,Carpenterstown,Dublin 15,q1,10%
08/06/2016,"20 Sundayswell, Bracken Park, Carpenterstown Road",Dublin,303964.77,Yes,Carpenterstown,Dublin 15,q3,60%
09/06/2016,"14 Sundayswell, Bracken Park, Carpenterstown Road",Dublin,286343.61,Yes,Carpenterstown,Dublin 15,q2,50%
13/06/2016,"1 Sundayswell, Bracken Park, Carpenterstown Road",Dublin,237886.0,Yes,Carpenterstown,Dublin 15,q1,20%
16/06/2016,"12 Laverna Ave, Carpenterstown, Dublin 15",Dublin,450000.0,No,Carpenterstown,Dublin 15,q4,90%
21/06/2016,"Apartment 7 Sundayswell, Carpenterstown Road",Dublin,427313.0,Yes,Carpenterstown,Dublin 15,q4,90%
22/06/2016,"5 Sundays Well, Bracken Park, Carpenterstown",Dublin,259911.89,Yes,Carpenterstown,Dublin 15,q2,30%
29/06/2016,"Apartment 2  Sundayswell, Bracken Park, Carpenterstown Road",Dublin,244933.91,Yes,Carpenterstown,Dublin 15,q1,20%
30/06/2016,"Apartment 6 Sunday'S Well, Bracken Park, Carpenterstown Road",Dublin,264317.0,Yes,Carpenterstown,Dublin 15,q2,40%
