date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
29/01/2010,"8 Rockville Drive, Glenamuck Road, Carrickmines",Dublin,305000.0,No,Carrickmines,Dublin 18,q2,40%
22/02/2010,"Rosewarne, Glenamuck Road, Carrickmines",Dublin,2150000.0,No,Carrickmines,Dublin 18,q4,100%
12/03/2010,"12 Ballyogan Green, Carrickmines, Dublin 18",Dublin,202000.0,No,Carrickmines,Dublin 18,q1,30%
25/03/2010,"2 Carrickmines Dale, Carrickmines Wood, Dublin 18",Dublin,1000000.0,No,Carrickmines,Dublin 18,q4,100%
16/04/2010,"60 Carrickmine Avenuer, Carrickmines Wood, Carrickmines",Dublin,1072000.0,No,Carrickmines,Dublin 18,q4,100%
16/04/2010,"9 Carrickmines Chase, Carrickmines Wood, Carrickmones",Dublin,585000.0,No,Carrickmines,Dublin 18,q3,80%
21/05/2010,"15 Clarmount, Carrickmines",Dublin,907488.0,Yes,Carrickmines,Dublin 18,q4,100%
29/06/2010,"44 Carrickmines Avenue, Carrickmines Wood, Brennanstown Road",Dublin,490000.0,No,Carrickmines,Dublin 18,q3,70%
21/07/2010,"29 Glenamuck Cottages, Carrickmines, Dublin 18",Dublin,312000.0,No,Carrickmines,Dublin 18,q2,50%
23/07/2010,"4 Claremount, Carrickmines, Co. Dublin",Dublin,792951.53,Yes,Carrickmines,Dublin 18,q4,90%
06/08/2010,"Apt 59 Cairnwood Avenue, Carrickmines",Dublin,333348.02,Yes,Carrickmines,Dublin 18,q2,50%
12/08/2010,"3 The Garth, Carrickmines Wood, Brennanstown Wood",Dublin,1025000.0,No,Carrickmines,Dublin 18,q4,100%
20/08/2010,"Site Number 14 Claremount, Carrickmines, Dublin 18",Dublin,725000.0,Yes,Carrickmines,Dublin 18,q4,90%
10/09/2010,"2 The Court, Brennanstown Vale, Carrickmines",Dublin,1550000.0,No,Carrickmines,Dublin 18,q4,100%
15/09/2010,"29 Laurel House  Carrickmines Green, Glenamuck Road, Carrikmines",Dublin,205000.0,Yes,Carrickmines,Dublin 18,q1,30%
15/09/2010,"33 Laurel House  Carrickmines Green, Glenamuck Road, Carrickmines",Dublin,190000.0,Yes,Carrickmines,Dublin 18,q1,20%
15/09/2010,"9 The Walk, Carrickmines Green, Carrickmines",Dublin,300000.0,Yes,Carrickmines,Dublin 18,q2,40%
17/09/2010,"32 Laurel House, Carickmines Green, Carrickmines",Dublin,155000.0,Yes,Carrickmines,Dublin 18,q1,10%
20/09/2010,"4 Laurel House, Carrickmines Green, Carrickmines",Dublin,137500.0,Yes,Carrickmines,Dublin 18,q1,10%
21/09/2010,"Apartment 15  Laurel House, Carrickmines Green, Glenamuck Road  Carrickmines",Dublin,185022.02,Yes,Carrickmines,Dublin 18,q1,20%
22/09/2010,"1 Laurel House, Carrickmines Green, Glenamuck Road",Dublin,180000.0,Yes,Carrickmines,Dublin 18,q1,20%
22/09/2010,"41 Laurel House, Carrickmines Green, Glenamuck Road",Dublin,150000.0,Yes,Carrickmines,Dublin 18,q1,10%
24/09/2010,"16 The Walk, Carrickmines Green, Glenamuck Road",Dublin,190000.0,Yes,Carrickmines,Dublin 18,q1,20%
24/09/2010,"2 Beech House, Carrickmines Green, Carrickmines",Dublin,150000.0,Yes,Carrickmines,Dublin 18,q1,10%
24/09/2010,"26 Laurel House, Carrickmines Green, Glenamuck Road  Carrickmines",Dublin,135000.0,Yes,Carrickmines,Dublin 18,q1,10%
28/09/2010,"27 Laurel House, Carrickmines Green, Glenamuck Road",Dublin,127753.3,Yes,Carrickmines,Dublin 18,q1,10%
28/09/2010,"35 Beech House, Carrickmines Green, Glenamuck Road",Dublin,134361.23,Yes,Carrickmines,Dublin 18,q1,10%
30/09/2010,"Apt 2 Cairnbrook, Carrickmines, Dublin 18",Dublin,250000.0,Yes,Carrickmines,Dublin 18,q2,30%
01/10/2010,"13 The Walk, Carrickmines Green, Carrickmines",Dublin,350000.0,Yes,Carrickmines,Dublin 18,q2,50%
05/10/2010,"Lisheens, Brennanstown Road, Carrickmines",Dublin,2300000.0,No,Carrickmines,Dublin 18,q4,100%
06/10/2010,"33 Beech House, Carrickmines Green, Gelenamuck Road",Dublin,167400.0,Yes,Carrickmines,Dublin 18,q1,20%
07/10/2010,"12 Beech House, Carrickmines Green, Glenamuck Road",Dublin,160000.0,Yes,Carrickmines,Dublin 18,q1,20%
08/10/2010,"Apartment 9 Beech House, Carrickmines Green  Glenamuck Road, Carrickmines  Dublin 18",Dublin,131277.53,Yes,Carrickmines,Dublin 18,q1,10%
18/10/2010,"Unit 46 Laurel House, Carrickmines Green  Glenamuck Road, Carrickmines",Dublin,275000.0,Yes,Carrickmines,Dublin 18,q2,40%
22/10/2010,"Apt 36 Laurel House, Carrickmines Green, Glenamuck Road",Dublin,150000.0,Yes,Carrickmines,Dublin 18,q1,10%
22/10/2010,"Apt. 3 Laurel House, Carrickmines Green, Glenamuck Carrickmines",Dublin,140000.0,Yes,Carrickmines,Dublin 18,q1,10%
22/10/2010,"Apt.42 Beech House, Carrickmines Green, Glenamuck Road",Dublin,142725.0,Yes,Carrickmines,Dublin 18,q1,10%
27/10/2010,"9A Glenamuck Cottages, Carrickmines",Dublin,574000.0,No,Carrickmines,Dublin 18,q3,80%
29/10/2010,"12 The Walk, Carrickmines Green, Carrickmines",Dublin,164350.0,Yes,Carrickmines,Dublin 18,q1,20%
01/11/2010,"Apartment 27 Beech House, Carrickmines Green, Glenamuck Road",Dublin,150000.0,Yes,Carrickmines,Dublin 18,q1,10%
03/11/2010,"2 Laurel House, Carrickmines Green, Glenamuck Road  Carrickmines",Dublin,127754.0,Yes,Carrickmines,Dublin 18,q1,10%
04/11/2010,"7 Beech House, Carrickmines Green, Glenamuck Rd.  Carrickmines",Dublin,164000.0,Yes,Carrickmines,Dublin 18,q1,20%
04/11/2010,"Apt 10 Oak House, Carrickmines Green, Glenamuck Road",Dublin,210000.0,Yes,Carrickmines,Dublin 18,q1,30%
09/11/2010,"12 The Crescent, Carrickmines Green, Glenamuck Road",Dublin,308370.04,Yes,Carrickmines,Dublin 18,q2,50%
10/11/2010,"6 Beech House, Carrickmines Green  Glenamuck Road, Dublin 18",Dublin,167400.0,Yes,Carrickmines,Dublin 18,q1,20%
