date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
29/01/2010,"30 Ravenswood View, Castaheany",Dublin,174000.0,No,Castaheany,Dublin 15,q1,20%
23/04/2010,"31 Ravens Wood Cresent, Castaheany, .",Dublin,237000.0,No,Castaheany,Dublin 15,q2,50%
27/04/2010,"8 Linnetsfield Walk, Castaheany, Dublin 15",Dublin,255000.0,No,Castaheany,Dublin 15,q3,60%
04/05/2010,"20 Linnetfield Rise, Castaheany  Dublin 15",Dublin,202000.0,No,Castaheany,Dublin 15,q2,30%
01/06/2010,"29 Beechfield Drive, Castaheany, Dublin 15",Dublin,250000.0,No,Castaheany,Dublin 15,q2,50%
08/06/2010,"19 Beechfield Lawns, Castaheany",Dublin,260000.0,No,Castaheany,Dublin 15,q3,60%
31/08/2010,"11 Castlegrange Park, Latchford, Castaheany",Dublin,207048.45,Yes,Castaheany,Dublin 15,q2,30%
10/11/2010,"7 Ravenswood Drive, Castaheany",Dublin,223000.0,No,Castaheany,Dublin 15,q2,50%
11/03/2011,"1 Castlegrange Dale, Latchford, Castaheany",Dublin,225000.0,Yes,Castaheany,Dublin 15,q2,50%
28/03/2011,"4 Beechfield Drive, Castaheany",Dublin,215000.0,No,Castaheany,Dublin 15,q2,40%
08/04/2011,"48 Castlegrange Park, Castaheany, Clonsill",Dublin,174009.0,Yes,Castaheany,Dublin 15,q1,20%
20/04/2011,"2 Castlegrange Drive, Latchford, Castaheany",Dublin,195000.0,Yes,Castaheany,Dublin 15,q2,30%
20/04/2011,"57 Castlegrange Park, Castaheany",Dublin,140925.0,Yes,Castaheany,Dublin 15,q1,10%
16/05/2011,"49 Castlegrange Park, Latchford, Castaheany",Dublin,153000.0,Yes,Castaheany,Dublin 15,q1,10%
10/06/2011,"89 Latchford Close, Castaheany",Dublin,171000.0,Yes,Castaheany,Dublin 15,q1,20%
15/07/2011,"79 Latchford Close, Castaheany",Dublin,175000.0,Yes,Castaheany,Dublin 15,q1,20%
07/02/2012,"6 Latchford Walk, Castaheany",Dublin,148000.0,No,Castaheany,Dublin 15,q1,10%
29/02/2012,"6 Beechfield Drive, Castaheany",Dublin,160000.0,No,Castaheany,Dublin 15,q1,20%
