Unnamed: 0,date_of_sale,address,postal_code,county,price,vat_exclusive,property_description,property_size,town,area_code
4,04/01/2010,"22 Laverna Way, Castleknock, Dublin 15",,Dublin,355000.0,No,Second-Hand Dwelling house /Apartment,,Castleknock,Dublin 15
43,08/01/2010,"21 Maple Avenue, Castleknock",Dublin 15,Dublin,359700.0,No,Second-Hand Dwelling house /Apartment,,Castleknock,Dublin 15
114,14/01/2010,"Apartment 37 Millrace Court, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,240000.0,No,Second-Hand Dwelling house /Apartment,,Castleknock,Dublin 15
123,15/01/2010,"10 Manor Park, Castleknock, Dublin 15",Dublin 15,Dublin,850000.0,No,Second-Hand Dwelling house /Apartment,,Castleknock,Dublin 15
162,19/01/2010,"10 Castleknock Brook, Castleknock, Dublin 15",Dublin 15,Dublin,260000.0,No,Second-Hand Dwelling house /Apartment,,Castleknock,Dublin 15
186,20/01/2010,"58 Castleknock Park, Castleknock",,Dublin,735000.0,No,Second-Hand Dwelling house /Apartment,,Castleknock,Dublin 15
262,25/01/2010,"6 Alder Lodge, Farmleigh Woods, Castleknock",,Dublin,299559.47,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,Castleknock,Dublin 15
359,29/01/2010,"24 Talbot Court, Castleknock, Dublin 15",,Dublin,420000.0,No,Second-Hand Dwelling house /Apartment,,Castleknock,Dublin 15
412,01/02/2010,"Apt 67 Rosanule, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,252500.0,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,Castleknock,Dublin 15
472,04/02/2010,"43 Deer Park Road, Castleknock",Dublin 15,Dublin,1200000.0,No,Second-Hand Dwelling house /Apartment,,Castleknock,Dublin 15
484,05/02/2010,"12 Mulberry Drive, Castleknock",Dublin 15,Dublin,405000.0,No,Second-Hand Dwelling house /Apartment,,Castleknock,Dublin 15
491,05/02/2010,"17 Castleknock Vale, Castleknock, Dublin 15",Dublin 15,Dublin,250000.0,No,Second-Hand Dwelling house /Apartment,,Castleknock,Dublin 15
541,09/02/2010,"22 Luttrelstown Court, Castleknock, Dublin 15",,Dublin,370000.0,No,Second-Hand Dwelling house /Apartment,,Castleknock,Dublin 15
590,11/02/2010,"Apt. 55 Rosanule, Phoenix Park Racecourse, Castleknock",,Dublin,230000.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,Castleknock,Dublin 15
614,12/02/2010,"25 Riverwood Gardens, Castleknock, Dublin 15",Dublin 15,Dublin,322500.0,No,Second-Hand Dwelling house /Apartment,,Castleknock,Dublin 15
641,15/02/2010,"131 Castleknock Park, Castleknock, Dublin 15",,Dublin,380000.0,No,Second-Hand Dwelling house /Apartment,,Castleknock,Dublin 15
659,15/02/2010,"9 Fernleigh Grange, Castleknock",Dublin 15,Dublin,217000.0,No,Second-Hand Dwelling house /Apartment,,Castleknock,Dublin 15
682,17/02/2010,"2 Castlegrange Avenue, Latchford, Castaheaney  Castleknock",,Dublin,229075.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,Castleknock,Dublin 15
720,19/02/2010,"106 Park Drive Avenue, Castleknock, Dublin 15",,Dublin,340000.0,No,Second-Hand Dwelling house /Apartment,,Castleknock,Dublin 15
757,19/02/2010,"Brooklyn View, Castleknock, Dublin 15",,Dublin,300000.0,No,Second-Hand Dwelling house /Apartment,,Castleknock,Dublin 15
826,26/02/2010,"1 Brompton Court, Castleknock",,Dublin,530000.0,No,Second-Hand Dwelling house /Apartment,,Castleknock,Dublin 15
833,26/02/2010,"14 Alder Lodge, Farmleigh Woods, White'S Road  Castleknock",,Dublin,286344.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,Castleknock,Dublin 15
839,26/02/2010,"18 Luttrelstown Green, Luttrelstown Wood, Castleknock",,Dublin,535000.0,No,Second-Hand Dwelling house /Apartment,,Castleknock,Dublin 15
861,26/02/2010,"54 Rosanule, Castleknock",,Dublin,255000.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,Castleknock,Dublin 15
952,04/03/2010,"54 Burnell Park Avenue, Castleknock, Dubin 15",,Dublin,405000.0,No,Second-Hand Dwelling house /Apartment,,Castleknock,Dublin 15
