date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
24/09/2010,"Apartment 71 The O'Casey, Gresham House, Cathal Brugha Street",Dublin,115000.0,No,Cathal Brugha St,Dublin 1,q1,30%
29/05/2012,"Apartment 86 Gresham House, The O'Casey, Cathal Brugha Street",Dublin,86500.0,No,Cathal Brugha St,Dublin 1,q1,10%
30/11/2012,"24 Moore Block, Gresham House, Cathal Brugha Street",Dublin,93000.0,No,Cathal Brugha St,Dublin 1,q1,20%
27/03/2013,"86 Gresham House, Cathal Brugha Street, Dublin 1",Dublin,80000.0,No,Cathal Brugha St,Dublin 1,q1,10%
27/06/2014,"15 Gresham House, Cathal Brugha St, Dublin 1",Dublin,115000.0,No,Cathal Brugha St,Dublin 1,q2,30%
15/08/2014,"95 Gresham House, Cathal Brugha St, Dublin 1",Dublin,88000.0,No,Cathal Brugha St,Dublin 1,q1,10%
29/09/2014,"26 The Joyce, Gresham House, Cathal Brugha Street",Dublin,95000.0,No,Cathal Brugha St,Dublin 1,q1,20%
05/02/2015,"82 Gresham House, Cathal Brugha St, Dublin 1",Dublin,145000.0,No,Cathal Brugha St,Dublin 1,q2,50%
15/04/2015,"100 The Synge, Gresham House, Cathal Brugha Street",Dublin,205000.0,No,Cathal Brugha St,Dublin 1,q4,80%
20/11/2015,"59 Gresham Hse, Cathal Brugha St, Dublin 1",Dublin,125000.0,No,Cathal Brugha St,Dublin 1,q2,40%
01/12/2015,"74 Gresham House, Cathal Brugha St, Dublin 1",Dublin,193000.0,No,Cathal Brugha St,Dublin 1,q3,70%
16/12/2015,"17 The Moore  Gresham House, Cathal Brugha Street, Dublin 1",Dublin,150500.0,No,Cathal Brugha St,Dublin 1,q2,50%
18/04/2016,"Ocasey House, 64 Gresham House, Cathal Brugha St Dublin 1",Dublin,210000.0,No,Cathal Brugha St,Dublin 1,q4,90%
07/07/2016,"59 Gresham Hse, Cathal Brugha St, Dublin 1",Dublin,142000.0,No,Cathal Brugha St,Dublin 1,q2,40%
26/08/2016,"Apt 86 Gresham House, The Ocasey, Cathal Brugha St",Dublin,194000.0,No,Cathal Brugha St,Dublin 1,q3,70%
17/10/2016,"Apt 37, Gresham House, Cathal Brugha Street",Dublin,156000.0,No,Cathal Brugha St,Dublin 1,q3,60%
02/05/2017,"Apt 35 The Joyce, Gresham House, Cathal Brugha Street",Dublin,185502.0,No,Cathal Brugha St,Dublin 1,q3,60%
10/11/2017,"Apt 73, Gresham House, Cathal Brugha St Dublin 1",Dublin,218500.0,No,Cathal Brugha St,Dublin 1,q4,90%
19/12/2017,"Apt 25 The Joyce, Gresham House, Cathal Brugha Street",Dublin,241000.0,No,Cathal Brugha St,Dublin 1,q4,100%
10/10/2018,"96 Gresham House, Cathal Brugha Street, Dublin 1",Dublin,245000.0,No,Cathal Brugha St,Dublin 1,q4,100%
21/08/2019,"48 Gresham House, Cathal Brugha St, Dublin 1",Dublin,265000.0,No,Cathal Brugha St,Dublin 1,q4,100%
15/10/2019,"34 Gresham House, Cathal Brugha St, Dublin 1",Dublin,194000.0,No,Cathal Brugha St,Dublin 1,q3,80%
