date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
01/02/2010,"62 Kings Hall, Chapelizod",Dublin,225000.0,No,Chapelizod,Dublin 20,q2,50%
11/02/2010,"12 Chapelizod Court, Chapelizod, Chapelizod",Dublin,215000.0,No,Chapelizod,Dublin 20,q2,40%
01/03/2010,"31 New Row, Chapelizod",Dublin,381000.0,No,Chapelizod,Dublin 20,q4,90%
19/04/2010,"4 Glenaulin Drive, Chapelizod, Dublin 20",Dublin,410000.0,No,Chapelizod,Dublin 20,q4,90%
14/06/2010,"26  St Laurences Road, Chapelizod, Dublin 20",Dublin,300000.0,No,Chapelizod,Dublin 20,q3,80%
14/06/2010,"2A Park Lane, Chapelizod",Dublin,255000.0,No,Chapelizod,Dublin 20,q3,60%
01/07/2010,"1 Chapelizod Court, Chapelizod",Dublin,200000.0,No,Chapelizod,Dublin 20,q2,40%
27/08/2010,"10 Belgrove Lawn, Chapelizod",Dublin,212500.0,No,Chapelizod,Dublin 20,q2,40%
02/09/2010,"Apartment 50 Northcliffe, Chapelizod, Dublin 20",Dublin,155000.0,No,Chapelizod,Dublin 20,q1,20%
27/09/2010,"9 Phoenix View, Chapelizod",Dublin,159000.0,No,Chapelizod,Dublin 20,q1,20%
12/11/2010,"3 Chapel Manor, Chapelizod, Dublin 20",Dublin,271000.0,No,Chapelizod,Dublin 20,q3,70%
31/03/2011,"2 Glenaulin Drive, Chapelizod",Dublin,440000.0,No,Chapelizod,Dublin 20,q4,90%
27/05/2011,"35 Kings Hall  Chapelizod, Dublin 20",Dublin,177000.0,No,Chapelizod,Dublin 20,q2,30%
15/06/2011,"52 St Laurence'S Road, Chapelizod",Dublin,375000.0,No,Chapelizod,Dublin 20,q4,90%
05/07/2011,"14 Belgrove Park, Chapelizod, Dublin 20",Dublin,460000.0,No,Chapelizod,Dublin 20,q4,90%
14/07/2011,"65 The Steeples, Chapelizod, Dublin 20",Dublin,113500.0,No,Chapelizod,Dublin 20,q1,10%
03/08/2011,"10 Laurence Brook, Chapelizod",Dublin,250000.0,No,Chapelizod,Dublin 20,q2,50%
26/08/2011,"Appartment 4, Block A  The Steeples, Chapelizod",Dublin,157000.0,No,Chapelizod,Dublin 20,q1,20%
21/09/2011,"1 St. Mary'S Terrace, Chapelizod",Dublin,290000.0,No,Chapelizod,Dublin 20,q3,70%
21/09/2011,"15 New Row, Chapelizod, Dublin 20",Dublin,195000.0,No,Chapelizod,Dublin 20,q2,40%
03/10/2011,"77  Martin'S Row, Chapelizod, Dublin 20",Dublin,65000.0,No,Chapelizod,Dublin 20,q1,10%
03/11/2011,"Apartment 14, The Mill Race, Chapelizod",Dublin,87000.0,No,Chapelizod,Dublin 20,q1,10%
17/11/2011,"7 Glenaulin Drive, Chapelizod",Dublin,260000.0,No,Chapelizod,Dublin 20,q3,60%
15/03/2012,"49 The Steeples, Chapelizod, Dublin 5",Dublin,80000.0,No,Chapelizod,Dublin 20,q1,10%
16/03/2012,"Apartment 150, The Island, Chapelizod",Dublin,175000.0,No,Chapelizod,Dublin 20,q2,30%
19/04/2012,"10 New Row, Chapelizod",Dublin,95000.0,No,Chapelizod,Dublin 20,q1,10%
17/07/2012,"17 Belgrove  Park, Chapelizod",Dublin,480000.0,No,Chapelizod,Dublin 20,q4,100%
19/07/2012,"'Sunnybank', Martin'S Row, Chapelizod",Dublin,815000.0,No,Chapelizod,Dublin 20,q4,100%
27/07/2012,"37 Maidens Row, Chapelizod, Dublin 20",Dublin,110000.0,No,Chapelizod,Dublin 20,q1,10%
