date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
26/01/2010,"4 Lanesborough Grove, Charlestown",Dublin,225000.0,No,Charlestown,Dublin 11,q2,50%
14/07/2010,"Apartment 27, Charlestown Green, St. Margarets Road",Dublin,150000.0,No,Charlestown,Dublin 11,q1,20%
23/02/2011,"23 Charlestown Ave, Ranelagh, Dublin 6",Dublin,595000.0,No,Charlestown,Dublin 11,q4,100%
28/10/2011,"16 Lanesborough View, Charlestown, Dublin",Dublin,145000.0,No,Charlestown,Dublin 11,q1,20%
17/04/2014,"30 Lanesborough Grove, Charlestown, St Margaret'S Road",Dublin,95000.0,No,Charlestown,Dublin 11,q1,10%
28/04/2014,"21 Charlestown Green, Dublin",Dublin,100000.0,No,Charlestown,Dublin 11,q1,10%
30/06/2014,"2 Charlestown Road, Ranelagh, Dublin 6",Dublin,293500.0,No,Charlestown,Dublin 11,q4,90%
27/08/2014,"61 Lanesborough View, Charlestown, Dublin 11",Dublin,225000.0,No,Charlestown,Dublin 11,q2,50%
06/10/2014,"Apt 154 Charlestown Centre, Charlestown Place, St Margaret'S Road",Dublin,194086.0,No,Charlestown,Dublin 11,q2,30%
06/10/2014,"Apt 163 Charlestown Centre, Charlestown Place, St. Margaret'S Road",Dublin,226434.0,No,Charlestown,Dublin 11,q3,60%
06/10/2014,"Apt 335 Charlestown Centre, Charlestown Place, St Margaret'S Road",Dublin,194086.0,No,Charlestown,Dublin 11,q2,40%
10/10/2014,"31 Charlestown Park, St Margarets Rd, Dublin 11",Dublin,230000.0,No,Charlestown,Dublin 11,q3,60%
21/11/2014,"2 Charlestown Dr, St Margarets Rd, Dublin 11",Dublin,218000.0,No,Charlestown,Dublin 11,q2,40%
10/12/2014,"71 Charlestown Pk, St Margarets Rd, Dublin 11",Dublin,241000.0,No,Charlestown,Dublin 11,q3,70%
22/12/2014,"17 Ave St Margarets Rd, Charlestown Dublin 11, Dublin",Dublin,117000.0,No,Charlestown,Dublin 11,q1,10%
20/01/2015,"11 Charlestown Ave, St Margarets Rd, Dublin 11",Dublin,115000.0,No,Charlestown,Dublin 11,q1,10%
23/02/2015,"3 Charlestown Way, St Margarets Rd, Dublin 11",Dublin,250500.0,No,Charlestown,Dublin 11,q3,70%
25/02/2015,"13 Charlestown Way, St Margarets Rd, Dublin 11",Dublin,140000.0,No,Charlestown,Dublin 11,q1,20%
