date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
10/08/2012,"96 Cedarbrook Avenue, Cherryorchard",Dublin,74000.0,No,Cherryorchard,Dublin 10,q1,20%
13/11/2014,"101 Cedarbrook Avenue, Cherryorchard",Dublin,31275.57,No,Cherryorchard,Dublin 10,q1,10%
25/11/2016,"26 Cedarbrook Avenue, Cherryorchard, Dublin 10",Dublin,138000.0,No,Cherryorchard,Dublin 10,q2,50%
18/05/2017,"69 Cedar Brook Way, Cherryorchard, Dublin 10",Dublin,142000.0,No,Cherryorchard,Dublin 10,q3,60%
11/09/2017,"87 Cederbrook Ave, Cherryorchard, Dublin 10",Dublin,123000.0,No,Cherryorchard,Dublin 10,q1,30%
02/11/2017,"132 Cedarbrook Ave, Cherryorchard, Dublin 10",Dublin,125425.73,No,Cherryorchard,Dublin 10,q2,40%
02/11/2017,"132 Cedarbrook Ave, Cherryorchard, Dublin 10",Dublin,190000.0,No,Cherryorchard,Dublin 10,q4,90%
04/10/2018,"76 Cedarbrook Ave, Cherryorchard, Dublin 10",Dublin,185000.0,No,Cherryorchard,Dublin 10,q4,80%
28/03/2019,"96 Cedarbrook Ave, Cherryorchard, Dublin City",Dublin,155000.0,No,Cherryorchard,Dublin 10,q3,70%
27/09/2019,"24 Cedarbrook Place, Cherryorchard Dublin 10, Dublin",Dublin,20700000.0,No,Cherryorchard,Dublin 10,q4,100%
