date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
07/11/2011,"Apartment 11 West Courtyard, Tullyvale, Cherrywood",Dublin,192000.0,No,Cherrywood,Dublin 18,q1,20%
23/07/2012,"119 Cherrywood Park, Nangor Road",Dublin,108000.0,No,Cherrywood,Dublin 18,q1,10%
03/08/2012,"37 Gleann Na Ri, Druid Valley, Cherrywood",Dublin,230000.0,No,Cherrywood,Dublin 18,q2,30%
17/05/2013,"9 Cherrywood Villas, Castleknock, Dublin 15",Dublin,110000.0,No,Cherrywood,Dublin 18,q1,10%
07/01/2014,"244 Cherrywood Lawn, Dublin 22, Dublin",Dublin,135000.0,No,Cherrywood,Dublin 18,q1,10%
11/07/2014,"79 Cherrywood Gr, Dublin 22, Dublin",Dublin,240000.0,No,Cherrywood,Dublin 18,q2,40%
07/10/2014,"181 Cherrywood Pk, Dublin 22, Dublin",Dublin,180000.0,No,Cherrywood,Dublin 18,q1,20%
28/11/2014,"Lot 13, Cherrywood",Dublin,150000.0,No,Cherrywood,Dublin 18,q1,10%
28/11/2014,"Lot 15, Cherrywood",Dublin,350000.0,No,Cherrywood,Dublin 18,q3,80%
27/02/2015,"18 Westcourtryard, Tullyvale, Cherrywood Dublin 18",Dublin,374449.0,Yes,Cherrywood,Dublin 18,q4,100%
08/04/2015,"162 Glen Na Ri, Druid Valley, Cherrywood Cabintly",Dublin,350000.0,No,Cherrywood,Dublin 18,q3,80%
19/06/2015,"124 East Courtyard, Tullyvale, Cherrywood",Dublin,240000.0,No,Cherrywood,Dublin 18,q2,40%
03/07/2015,"74 Cherrywood Pk, Dublin 22, Dublin",Dublin,167500.0,No,Cherrywood,Dublin 18,q1,20%
22/09/2015,"37 Gleann Na Ri, Druid Valley, Cherrywood",Dublin,315000.0,No,Cherrywood,Dublin 18,q3,70%
07/12/2015,"81 Gleann Na Ri, Druidsvalley, Cherrywood Dublin 18",Dublin,310000.0,No,Cherrywood,Dublin 18,q3,60%
13/05/2016,"112 Gleann Na Ri, Druids Valley, Cherrywood",Dublin,350000.0,No,Cherrywood,Dublin 18,q4,80%
09/11/2016,"148 Gleann Na Ri, Cherrywood, Dublin 18",Dublin,340000.0,No,Cherrywood,Dublin 18,q3,70%
21/12/2016,"31Y West Courtyard, Tullyvale, Cherrywood",Dublin,300000.0,No,Cherrywood,Dublin 18,q3,60%
03/03/2017,"79 Cherrywood Gr, Dublin 22, Dublin",Dublin,265000.0,No,Cherrywood,Dublin 18,q2,50%
12/04/2017,"244 Cherrywood Lawn, Dublin 22, Dublin",Dublin,268000.0,No,Cherrywood,Dublin 18,q2,50%
12/06/2017,"18 Gleann Na Ri, Druid Valley, Cherrywood Dublin 18",Dublin,275000.0,No,Cherrywood,Dublin 18,q3,60%
03/07/2017,"145 Cherrywood Pk, Dublin 22, Dublin",Dublin,220000.0,No,Cherrywood,Dublin 18,q2,30%
15/05/2018,"Workers Cottage, Lehaunstown Park, Cherrywood",Dublin,200000.0,No,Cherrywood,Dublin 18,q1,30%
11/07/2018,"10 East Courtyard, Tullyvale, Cherrywood Dublin 18",Dublin,310000.0,No,Cherrywood,Dublin 18,q3,70%
19/09/2018,"95 The Oval, Tullyvale, Cherrywood Dublin 18",Dublin,362000.0,No,Cherrywood,Dublin 18,q4,90%
26/10/2018,"9 Westcourt Yard, Tullyvale, Cherrywood",Dublin,350000.0,No,Cherrywood,Dublin 18,q4,90%
11/12/2018,"69 Gleann Na Ri, Druid Valley, Cherrywood",Dublin,401000.0,No,Cherrywood,Dublin 18,q4,100%
03/05/2019,"171 Cherrywood Dr, Dublin 22, Dublin",Dublin,271000.0,No,Cherrywood,Dublin 18,q2,50%
27/05/2019,"71 Westcouryard, Tullyvale, Cherrywood Dublin 18",Dublin,355000.0,No,Cherrywood,Dublin 18,q4,90%
02/07/2019,"Rose Cottage, Cherrywood Rd, Dublin 18",Dublin,835000.0,No,Cherrywood,Dublin 18,q4,100%
01/08/2019,"118 Gleann Na Ri, Druid Valley, Cherrywood",Dublin,372000.0,No,Cherrywood,Dublin 18,q4,100%
16/09/2019,"1 Cherrywood Villas, Dublin 22, Dublin",Dublin,235000.0,No,Cherrywood,Dublin 18,q2,40%
