date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
26/01/2010,"Apt 54, 20 Christchurch Place",Dublin,247500.0,No,Christchurch,Dublin 8,q3,70%
01/03/2010,"Apartment 93, 20 Christchurch Place, Dubin 8",Dublin,277500.0,No,Christchurch,Dublin 8,q4,80%
01/04/2010,"Apartment 15  La Rochelle, Lamb Alley  Christchurch",Dublin,185000.0,No,Christchurch,Dublin 8,q2,40%
09/07/2010,"75 La Rochelle, Christchurch",Dublin,250000.0,No,Christchurch,Dublin 8,q3,70%
01/10/2010,"Apt.20 22 Christchurch Place, Christchurch, Dublin 8",Dublin,158000.0,No,Christchurch,Dublin 8,q1,30%
08/10/2010,"8 La Rochelle, Lamb Alley, Christchurch",Dublin,185000.0,No,Christchurch,Dublin 8,q2,40%
04/11/2010,"3 John Dillon Street, Christchurch",Dublin,204000.0,No,Christchurch,Dublin 8,q2,40%
22/12/2010,"16 John Dillon Street, Christchurch, Dublin 8",Dublin,205000.0,No,Christchurch,Dublin 8,q2,40%
28/01/2011,"Apartment 10 Christchurch View, Christchurch D8, Comprises In Folio 83168L",Dublin,157500.0,No,Christchurch,Dublin 8,q1,30%
21/03/2011,"9 La Rochelle, High Street, Christchurch",Dublin,231000.0,No,Christchurch,Dublin 8,q3,60%
21/04/2011,"14 St Michael'S Close, Christchurch, Dublin 8",Dublin,151160.0,No,Christchurch,Dublin 8,q1,20%
08/08/2011,"58 Christchurch View, Christchurch",Dublin,176500.0,No,Christchurch,Dublin 8,q2,30%
12/08/2011,"10B Rainsford Avenue, Christchurch",Dublin,116000.0,No,Christchurch,Dublin 8,q1,10%
10/11/2011,"Apartment 25, La Rochelle, Christchurch",Dublin,142500.0,No,Christchurch,Dublin 8,q1,20%
20/12/2011,"Apartment 47, 20 Christchurch Place, Dublin 8.",Dublin,80000.0,No,Christchurch,Dublin 8,q1,10%
20/04/2012,"77 St Agustines Street, Christchurch, D8",Dublin,230000.0,No,Christchurch,Dublin 8,q3,60%
22/05/2012,"Apartment 4 Christchurch View, Christchurch, Dublin 8",Dublin,130000.0,No,Christchurch,Dublin 8,q1,10%
20/09/2012,"Apartment 56, 20 Christchurch Place",Dublin,135000.0,No,Christchurch,Dublin 8,q1,20%
02/11/2012,"66 Christchurch View, Christchurch",Dublin,180000.0,No,Christchurch,Dublin 8,q2,30%
16/11/2012,"64 La Rochelle, Christchurch",Dublin,94500.0,No,Christchurch,Dublin 8,q1,10%
30/11/2012,"Apt 29 La Rochelle, Christchurch",Dublin,95000.0,No,Christchurch,Dublin 8,q1,10%
21/12/2012,"107 Bertram Court, Christchurch",Dublin,121000.0,No,Christchurch,Dublin 8,q1,10%
23/12/2012,"11 Davis Place, Christchurch",Dublin,212500.0,No,Christchurch,Dublin 8,q2,50%
08/05/2013,"14 Christchurch Mall, Christchurch, Dublin 1",Dublin,147000.0,No,Christchurch,Dublin 8,q1,20%
05/07/2013,"62  La Rochelle, Christchurch",Dublin,112568.0,No,Christchurch,Dublin 8,q1,10%
02/08/2013,"Apartment 25 Sterne House, Christchurch",Dublin,133000.0,No,Christchurch,Dublin 8,q1,20%
09/08/2013,"Apartment 46, 20 Christchurch Place  Christchurch, Dublin 8",Dublin,110000.0,No,Christchurch,Dublin 8,q1,10%
04/09/2013,"Apartment 67, 20 Christchurch Place, Dublin 8",Dublin,112500.0,No,Christchurch,Dublin 8,q1,10%
04/10/2013,"Apt.60, 20 Christchurch Place",Dublin,146500.0,No,Christchurch,Dublin 8,q1,20%
28/10/2013,"69 Bertram Court, Christchurch, Dublin 8",Dublin,135000.0,No,Christchurch,Dublin 8,q1,20%
13/01/2014,"Apartment 65, 20 Christchurch Place, Christchurch",Dublin,100000.0,No,Christchurch,Dublin 8,q1,10%
13/01/2014,"Apt 85, 20 Christchurch Place, Dublin 8",Dublin,100000.0,No,Christchurch,Dublin 8,q1,10%
06/03/2014,"Apartment 20, Deanscourt, Christchurch",Dublin,150000.0,No,Christchurch,Dublin 8,q1,20%
12/03/2014,"Apartment 18, Lindsay House, Christchurch",Dublin,165000.0,No,Christchurch,Dublin 8,q2,30%
21/03/2014,"13 Deans Court, Christchurch Sq, Dublin 8",Dublin,143000.0,No,Christchurch,Dublin 8,q1,20%
09/04/2014,"Apt 6 Augustine Court, Augustine Street, Christchurch",Dublin,147000.0,No,Christchurch,Dublin 8,q1,20%
12/05/2014,"31 La Rochelle, Christchurch, Dublin",Dublin,215000.0,No,Christchurch,Dublin 8,q2,50%
12/06/2014,"3 Christchurch Hall, High St, Dublin 8",Dublin,240000.0,No,Christchurch,Dublin 8,q3,60%
30/06/2014,"1 New Row South, New Row Place, Christchurch",Dublin,325000.0,No,Christchurch,Dublin 8,q4,90%
01/07/2014,"6 Christchurch View, Christchurch Place",Dublin,192000.0,No,Christchurch,Dublin 8,q2,40%
01/07/2014,"90 Bertram Court, Christchurch, Dublin 8",Dublin,160000.0,No,Christchurch,Dublin 8,q1,30%
31/07/2014,"123 Bertram Court, Christchurch, Dublin 8",Dublin,160000.0,No,Christchurch,Dublin 8,q1,30%
14/08/2014,"5 La Rochelle, High St, Christchurch Dublin 8",Dublin,212000.0,No,Christchurch,Dublin 8,q2,50%
12/09/2014,"1 Dillon Place South, Christchurch, Dublin",Dublin,310000.0,No,Christchurch,Dublin 8,q4,90%
03/10/2014,"79 Westgate, Christchurch, Dublin 8",Dublin,180000.0,No,Christchurch,Dublin 8,q2,40%
29/10/2014,"Apartment 34, Christchurch Hall, High Street",Dublin,230000.0,No,Christchurch,Dublin 8,q3,60%
22/12/2014,"18 Christchurch Hall, Dublin 8",Dublin,192359.0,No,Christchurch,Dublin 8,q2,40%
22/12/2014,"28 Christchurch View, Nicholas Street, Dublin 8",Dublin,234000.0,No,Christchurch,Dublin 8,q3,60%
23/01/2015,"32 Christchurch View, Christchurch, Dublin 8",Dublin,240000.0,No,Christchurch,Dublin 8,q3,70%
