date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
01/01/2010,"5 Braemor Drive, Churchtown, Co.Dublin",Dublin,343000.0,No,Churchtown,Dublin 14,q1,30%
07/01/2010,"16 Landscape Gardens, Churchtown",Dublin,515000.0,No,Churchtown,Dublin 14,q3,70%
18/01/2010,"24 Flemingstown, Churchtown, Dublin 14",Dublin,526000.0,No,Churchtown,Dublin 14,q3,70%
26/01/2010,"47, Lower Churchtown Road, Churchtown",Dublin,634000.0,No,Churchtown,Dublin 14,q4,90%
04/02/2010,"2 Braemor Avenue, Churchtown",Dublin,497250.0,No,Churchtown,Dublin 14,q3,60%
09/02/2010,"101 Braemor Road, Churchtown, Dublin 14",Dublin,388000.0,No,Churchtown,Dublin 14,q2,30%
25/02/2010,"84 Braemor Road, Churchtown",Dublin,405000.0,No,Churchtown,Dublin 14,q2,40%
05/03/2010,"Ashleigh, Beaumount Avenue, Churchtown",Dublin,370000.0,No,Churchtown,Dublin 14,q2,30%
23/03/2010,"9 Newtown Grove, Braemor Road, Churchtown",Dublin,450000.0,No,Churchtown,Dublin 14,q2,50%
24/03/2010,"4 Barton Road East, Churchtown, Dublin 14",Dublin,385000.0,No,Churchtown,Dublin 14,q2,30%
29/03/2010,"Appartment 3, Synge House, Braemor Road Churchtown",Dublin,315000.0,No,Churchtown,Dublin 14,q1,20%
07/04/2010,"63 Meadow Mount, Churchtown, Dublin 14",Dublin,444000.0,No,Churchtown,Dublin 14,q2,50%
16/04/2010,"2 Milltown Grove, Churchtown, Dublin 14",Dublin,460000.0,No,Churchtown,Dublin 14,q2,50%
16/04/2010,"91 Meadow Park, Churchtown",Dublin,380000.0,No,Churchtown,Dublin 14,q2,30%
24/04/2010,"55 Barton Road East, Churchtown",Dublin,370000.0,No,Churchtown,Dublin 14,q2,30%
30/04/2010,"17 Landscape Gardens, Churchtown",Dublin,540000.0,No,Churchtown,Dublin 14,q3,70%
21/05/2010,"No. 3 Synge Court, Newtown Villas Brameor Road, Churchtown",Dublin,417000.0,No,Churchtown,Dublin 14,q2,40%
25/05/2010,"45 Meadow Grove, Churchtown",Dublin,410000.0,No,Churchtown,Dublin 14,q2,40%
03/06/2010,"11 Woodlawn Grove, Upper Churchtown Road, Dublin 14",Dublin,410000.0,No,Churchtown,Dublin 14,q2,40%
09/06/2010,"33 Camberley Oaks, Churchtown",Dublin,460000.0,No,Churchtown,Dublin 14,q2,50%
11/06/2010,"23 Landscape Gardens, Churchtown",Dublin,488000.0,No,Churchtown,Dublin 14,q3,60%
21/06/2010,"10 Whitehall Road, Churchtown, Dublin 14",Dublin,430000.0,No,Churchtown,Dublin 14,q2,40%
02/07/2010,"18 Nugent Road, Churchtown, Dublin 14",Dublin,425000.0,No,Churchtown,Dublin 14,q2,40%
02/07/2010,"68 Mountain View Park, Churchtown",Dublin,250000.0,No,Churchtown,Dublin 14,q1,10%
09/07/2010,"10  Breamor Drive, Churchtown, Dublin 14",Dublin,365000.0,No,Churchtown,Dublin 14,q1,30%
15/07/2010,"48 Carrickmount Drive, Churchtown, Dublin 14",Dublin,242000.0,No,Churchtown,Dublin 14,q1,10%
22/07/2010,"3 Beaumont Drive, Churchtown, Dublin 14",Dublin,372000.0,No,Churchtown,Dublin 14,q2,30%
22/07/2010,"Apartment 4  Ely Hall, Hazelbrook Square  Whitehall Road, Churchtown",Dublin,222004.4,Yes,Churchtown,Dublin 14,q1,10%
30/07/2010,"21 Newtown Hall, Hazelbrook Square, Churchtown",Dublin,275000.0,Yes,Churchtown,Dublin 14,q1,20%
30/07/2010,"72 Barton Road East, Churchtown, Dublin 14",Dublin,373500.0,No,Churchtown,Dublin 14,q2,30%
30/07/2010,"Apartment 20 Newtown Hall, Hazelbrook Square  Whitehall Road, Churchtown",Dublin,275000.0,Yes,Churchtown,Dublin 14,q1,20%
30/07/2010,"Apartment 20 Newtown Hall, Hazelbrook Square  Whitehall Road, Churchtown",Dublin,275000.0,Yes,Churchtown,Dublin 14,q1,20%
04/08/2010,"17 Mount Albion, Churchtown",Dublin,300000.0,No,Churchtown,Dublin 14,q1,20%
04/08/2010,"410 Nutgrove Avenue, Churchtown",Dublin,285000.0,No,Churchtown,Dublin 14,q1,20%
06/08/2010,"53 Whitebarn Road, Churchtown",Dublin,353900.0,No,Churchtown,Dublin 14,q1,30%
12/08/2010,"14 Henley Park, Churchtown",Dublin,541453.0,No,Churchtown,Dublin 14,q3,70%
12/08/2010,"56 Landscape Park, Churchtown",Dublin,532500.0,No,Churchtown,Dublin 14,q3,70%
12/08/2010,"93 Whitebarn Road, Churchtown, Dublin 14",Dublin,200000.0,No,Churchtown,Dublin 14,q1,10%
03/09/2010,"Apt 10 Newtown Hall, Hazelbrook Square, Churchtown",Dublin,260000.0,Yes,Churchtown,Dublin 14,q1,10%
03/09/2010,"Apt. 22 Newtown Hall, Hazelbrook Square, Churchtown",Dublin,275000.0,Yes,Churchtown,Dublin 14,q1,20%
06/09/2010,"7 Synge Court, Newtown Villas, Churchtown",Dublin,532000.0,No,Churchtown,Dublin 14,q3,70%
07/09/2010,"21 Ely Hall, Hazelbrook Square  Whitehall Road, Churchtown  Dublin 14",Dublin,242291.0,Yes,Churchtown,Dublin 14,q1,10%
07/09/2010,"Apartment 15  Newtown Hall, Hazelbrook Square  Whitehall Road, Churchtown",Dublin,233480.0,Yes,Churchtown,Dublin 14,q1,10%
08/09/2010,"Apartment 16, Ely Hall  Hazelbrook Square, Whitehall Road  Churchtown",Dublin,237885.46,Yes,Churchtown,Dublin 14,q1,10%
10/09/2010,"25 Ardavon Halli, Hazelbrook Square, Churchtown",Dublin,275000.0,Yes,Churchtown,Dublin 14,q1,20%
13/09/2010,"30 Oakdown Road, Churchtown",Dublin,453000.0,No,Churchtown,Dublin 14,q2,50%
17/09/2010,"37 Carrickmount Drive, Churchtown",Dublin,185000.0,No,Churchtown,Dublin 14,q1,10%
24/09/2010,"38 Henley Park, Churchtown, Dublin 14",Dublin,500000.0,No,Churchtown,Dublin 14,q3,60%
06/10/2010,"2 Finsbury Green, Churchtown, Dublin 14",Dublin,309000.0,No,Churchtown,Dublin 14,q1,20%
06/10/2010,"Apt 16 Newtown Hall, Hazelbrook Square, Churchtown",Dublin,237885.0,Yes,Churchtown,Dublin 14,q1,10%
13/10/2010,"32 Weston Road, Churchtown",Dublin,395500.0,No,Churchtown,Dublin 14,q2,40%
22/10/2010,"68 Braemor Road, Churchtown, Dublin 14",Dublin,490000.0,No,Churchtown,Dublin 14,q3,60%
03/11/2010,"69 Braemor Road, Churchtown, Dublin 14",Dublin,467500.0,No,Churchtown,Dublin 14,q2,50%
19/11/2010,"145 Braemor Road, Churchtown",Dublin,455000.0,No,Churchtown,Dublin 14,q2,50%
13/12/2010,"8 Milltown Drive, Churchtown",Dublin,590000.0,No,Churchtown,Dublin 14,q4,80%
14/12/2010,"2 Headford Grove, Off Beaumont Avenue, Churchtown",Dublin,469500.0,No,Churchtown,Dublin 14,q2,50%
20/12/2010,"No 1 Braemor Grove, Churchtown",Dublin,350000.0,No,Churchtown,Dublin 14,q1,30%
22/12/2010,"78 Landscape Park, Churchtown",Dublin,410500.0,No,Churchtown,Dublin 14,q2,40%
23/12/2010,"16 Braemor Drive, Churchtown",Dublin,330000.0,No,Churchtown,Dublin 14,q1,20%
23/12/2010,"30 Whitebarn Road, Churchtown, Dublin 14",Dublin,370000.0,No,Churchtown,Dublin 14,q2,30%
30/12/2010,"81 Breamor Road, Churchtown, Dublin 14",Dublin,380000.0,No,Churchtown,Dublin 14,q2,30%
27/01/2011,"17 Ely Hall, Hazelbrook Square, Churchtown",Dublin,167400.89,Yes,Churchtown,Dublin 14,q1,10%
11/02/2011,"17 Braemor Park, Churchtown",Dublin,825000.0,No,Churchtown,Dublin 14,q4,100%
03/03/2011,"6 Ardavon Hall, Hazelbrook Square, Whitehall Road Churchtown",Dublin,229074.89,Yes,Churchtown,Dublin 14,q1,10%
29/03/2011,"21 Laurel Road, Churchtown",Dublin,385000.0,No,Churchtown,Dublin 14,q2,30%
01/04/2011,"9 Churchtown Drive, Churchtown, Dublin 14",Dublin,490000.0,No,Churchtown,Dublin 14,q3,60%
08/04/2011,"11 Churchtown Drive, Churchtown, Dublin 14",Dublin,521700.0,No,Churchtown,Dublin 14,q3,70%
08/04/2011,"127 Barton Road East, Churchtown, Dublin 14",Dublin,340000.0,No,Churchtown,Dublin 14,q1,30%
21/04/2011,"15 Charleville, Lower Churchtown Road, Churchtown",Dublin,720000.0,No,Churchtown,Dublin 14,q4,90%
06/05/2011,"Apt 4 Orwell Court, Braemor Road, Churchtown Dublin 14.",Dublin,275000.0,No,Churchtown,Dublin 14,q1,20%
20/05/2011,"Churchtown House, Weston Park, Churchtown",Dublin,2150000.0,No,Churchtown,Dublin 14,q4,100%
23/05/2011,"108 Lower Churchtown Road, Churchtown",Dublin,495000.0,No,Churchtown,Dublin 14,q3,60%
26/05/2011,"37 Braemor Park, Churchtown, Dublin 14",Dublin,470000.0,No,Churchtown,Dublin 14,q2,50%
27/05/2011,"21 Upper Churchtown Road, Churchtown",Dublin,412000.0,No,Churchtown,Dublin 14,q2,40%
31/05/2011,"106 Lr. Churchtown Rd., Churchtown",Dublin,505000.0,No,Churchtown,Dublin 14,q3,60%
31/05/2011,"16 Upper Churchtown Road, Churchtown",Dublin,370000.0,No,Churchtown,Dublin 14,q2,30%
03/06/2011,"82 Mountainview Park, Churchtown, Dublin 14",Dublin,210000.0,No,Churchtown,Dublin 14,q1,10%
10/06/2011,"70 Meadow Grove, Churchtown",Dublin,305000.0,No,Churchtown,Dublin 14,q1,20%
08/07/2011,"6 Weston Avenue, Churchtown",Dublin,315000.0,No,Churchtown,Dublin 14,q1,20%
15/07/2011,"12 Oakdown Road, Churchtown, Dublin 14",Dublin,380000.0,No,Churchtown,Dublin 14,q2,30%
18/07/2011,"65 Meadow Grove, Churchtown, Dublin 16",Dublin,410000.0,No,Churchtown,Dublin 14,q2,40%
