date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
15/06/2010,"219 Citywest Plaza, City West Drive",Dublin,127709.25,Yes,City West,Dublin 24,q1,10%
16/06/2010,"28 Belfry Crescent, City West Road",Dublin,180000.0,No,City West,Dublin 24,q2,40%
29/06/2010,"7 Belfry Court, City West",Dublin,177500.0,No,City West,Dublin 24,q2,30%
25/08/2010,"Apartment 140  Block B3, Fortune'S Lane, City West",Dublin,182334.8,Yes,City West,Dublin 24,q2,40%
25/01/2011,"107 Fortune'S Lawn, City West, Co Dublin",Dublin,185000.0,Yes,City West,Dublin 24,q2,40%
25/01/2011,"109 Fortune'S Lawn, City West, Co Dublin",Dublin,160025.0,Yes,City West,Dublin 24,q1,20%
25/01/2011,"110 Fortune'S Lawm, City West, Co Dublin",Dublin,160025.0,Yes,City West,Dublin 24,q1,20%
25/01/2011,"111 Fortune'S Lawn, City West, Co Dublin",Dublin,160025.0,Yes,City West,Dublin 24,q1,30%
25/01/2011,"111 Fortunes Lawn, City West, Co Dublin",Dublin,160025.0,Yes,City West,Dublin 24,q1,30%
25/01/2011,"116 Fortune'S Lawn, City West, Co Dublin",Dublin,140021.88,Yes,City West,Dublin 24,q1,20%
25/01/2011,"125 Fortune'S Lawn, City West, Co Dublin",Dublin,185000.0,Yes,City West,Dublin 24,q2,40%
25/01/2011,"40 Fortune'S Walk, City West, Co Dublin",Dublin,188029.0,Yes,City West,Dublin 24,q2,40%
25/01/2011,"43 Fortune'S Walk, City West, Co Dublin",Dublin,160025.0,Yes,City West,Dublin 24,q2,30%
12/02/2013,"28 Belfry Downs, City West, Dublin 24",Dublin,129000.0,No,City West,Dublin 24,q1,10%
01/05/2013,"42 Carrigmore Terrace, City West",Dublin,135000.0,No,City West,Dublin 24,q1,10%
17/09/2013,"Apt 35 Belfry Hall, City West",Dublin,70000.0,No,City West,Dublin 24,q1,10%
11/10/2013,"65 Carrigmore Lawn, City West, County Dublin",Dublin,150000.0,No,City West,Dublin 24,q1,20%
29/04/2014,"28 Belfry Manor City West, Dublin 24, Dublin",Dublin,135000.0,No,City West,Dublin 24,q1,10%
28/05/2014,"4 Belfry Gardens, City West Rd, Dublin 24",Dublin,151000.0,No,City West,Dublin 24,q1,20%
09/10/2014,"12 Belfry Way, City West Rd, Dublin 24",Dublin,236000.0,No,City West,Dublin 24,q3,60%
22/10/2014,"18 Belfry Grove, City West Rd, Dublin 24",Dublin,200000.0,No,City West,Dublin 24,q2,50%
27/03/2015,"Apt 100 Block B2, Fortunes Lawn, City West Dublin",Dublin,175000.0,No,City West,Dublin 24,q2,30%
28/08/2015,"24 Fortunes Walk, Citypark City West, Dublin 24",Dublin,221000.0,No,City West,Dublin 24,q2,50%
01/03/2016,"Apt 36 Block B1, Fortunes Lawn, City West Dublin",Dublin,160000.0,No,City West,Dublin 24,q1,20%
24/03/2016,"19 Belfry Downs City West, Dublin 24, Dublin",Dublin,230000.0,No,City West,Dublin 24,q2,50%
04/08/2017,"8 The Way, City West",Dublin,312775.32,Yes,City West,Dublin 24,q4,100%
09/10/2017,"58 Silken Park Avenue, City West",Dublin,229030.0,Yes,City West,Dublin 24,q2,50%
05/12/2017,"Apt 14 Block B1, Fortunes Lawn, City West Dublin",Dublin,234000.0,No,City West,Dublin 24,q3,60%
20/12/2017,"12 Cuil Duin Row, City West",Dublin,277533.0,Yes,City West,Dublin 24,q4,80%
08/01/2018,"8 Cuil Duin Row, Cuil Duin, City West",Dublin,246696.0,Yes,City West,Dublin 24,q3,70%
22/01/2018,"28 Block 1, Fortunestown Lane, City West",Dublin,232500.0,No,City West,Dublin 24,q3,60%
28/03/2018,"12 Belfry Way, City West Rd, Dublin 24",Dublin,300000.0,No,City West,Dublin 24,q4,90%
