date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
08/03/2010,"Apartment 25, Belfry Green, Citywest",Dublin,239000.0,No,Citywest,Dublin 24,q2,40%
10/03/2010,"24 Belfrey Downs, Citywest, Dublin 24",Dublin,250000.0,No,Citywest,Dublin 24,q2,50%
30/04/2010,"40 Corbally Heath, Citywest",Dublin,265000.0,No,Citywest,Dublin 24,q3,60%
09/06/2010,"Apt 317 Citywest Plaza, Citywest Drive, Dublin 24",Dublin,114950.0,Yes,Citywest,Dublin 24,q1,10%
18/06/2010,"Apartment 216, City West Plaza, Citywest Drive",Dublin,104951.0,Yes,Citywest,Dublin 24,q1,10%
22/06/2010,"Apartment 318  Citywest Plaza, Citywest Drive, Dublin 24",Dublin,119951.0,Yes,Citywest,Dublin 24,q1,10%
09/07/2010,"48 Belfry Manor, Citywest",Dublin,160000.0,No,Citywest,Dublin 24,q1,20%
21/07/2010,"Apt 218 Citywest Plaza, Citywest Drive, Dublin 24",Dublin,119950.0,Yes,Citywest,Dublin 24,q1,10%
28/07/2010,"36 Belfry Manor, Citywest, Dublin 24",Dublin,155000.0,No,Citywest,Dublin 24,q1,10%
29/07/2010,"Apartment 319, Citywest Plaza, Citywest Drive",Dublin,127710.13,Yes,Citywest,Dublin 24,q1,10%
26/08/2010,"1 Belfry Way, Citywest, Dublin 24",Dublin,237500.0,No,Citywest,Dublin 24,q2,40%
30/08/2010,"10 Belfry Lawn, Citywest",Dublin,171806.17,Yes,Citywest,Dublin 24,q1,20%
30/08/2010,"12 Belfry Lawn, Citywest",Dublin,228634.36,Yes,Citywest,Dublin 24,q2,30%
30/08/2010,"14 Belfry Lawn, Citywest",Dublin,171806.17,Yes,Citywest,Dublin 24,q1,20%
30/08/2010,"16 Belfry Lawn, Citywest",Dublin,236123.34,Yes,Citywest,Dublin 24,q2,40%
30/08/2010,"18 Belfry Lawn, Citywest",Dublin,244933.92,Yes,Citywest,Dublin 24,q2,40%
30/08/2010,"2 Belfry Lawn, Citywest",Dublin,290748.9,Yes,Citywest,Dublin 24,q4,80%
30/08/2010,"4 Belfry Lawn, Citywest",Dublin,244933.92,Yes,Citywest,Dublin 24,q2,40%
30/08/2010,"6 Belfry Lawn, Citywest",Dublin,236123.35,Yes,Citywest,Dublin 24,q2,40%
30/08/2010,"8 Belfry Lawn, Citywest",Dublin,228634.36,Yes,Citywest,Dublin 24,q2,40%
09/09/2010,"Apartment 316, Citywest Plaza, Citywest Drive",Dublin,92467.96,Yes,Citywest,Dublin 24,q1,10%
21/09/2010,"14 Carrigmore Downs, Citywest",Dublin,144000.0,No,Citywest,Dublin 24,q1,10%
23/09/2010,"105 City West Plaza, Citywest, Dublin 24",Dublin,159000.0,No,Citywest,Dublin 24,q1,20%
01/10/2010,"Apartment 313, Citywest Paza, Citywest Drive",Dublin,154951.0,Yes,Citywest,Dublin 24,q1,10%
12/11/2010,"24  Belfry Road, Citywest, Dublin 24",Dublin,167250.0,No,Citywest,Dublin 24,q1,20%
21/01/2011,"33 Fortune'S Lawn, Citypark, Citywest",Dublin,130000.0,No,Citywest,Dublin 24,q1,10%
24/01/2011,"107 Fortunes Lawn, Citywest",Dublin,160025.0,Yes,Citywest,Dublin 24,q1,20%
24/01/2011,"125 Fortunes Lawn, Citywest",Dublin,160025.0,Yes,Citywest,Dublin 24,q1,20%
25/01/2011,"101 Fortunes Lawn, Citywest",Dublin,160025.0,Yes,Citywest,Dublin 24,q1,20%
01/03/2011,"9 Carrigmore Downs, Citywest, County Dublin",Dublin,200000.0,No,Citywest,Dublin 24,q1,20%
18/04/2011,"52 Belfry Manor, Citywest",Dublin,121000.0,No,Citywest,Dublin 24,q1,10%
