date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
10/02/2010,"50 Harty Place, Clanbrassil Street",Dublin,180000.0,No,Clanbrassil,Dublin 8,q2,40%
06/04/2010,"3 Clanbrassil Terrace, Clanbrassil St, Dublin 8",Dublin,195000.0,No,Clanbrassil,Dublin 8,q2,50%
18/05/2010,"Apartment 12, Leonards Court, Lower Clanbrassil Street",Dublin,177500.0,No,Clanbrassil,Dublin 8,q2,40%
09/07/2010,"19 Liberty Court, Clanbrassil Street",Dublin,220000.0,No,Clanbrassil,Dublin 8,q3,60%
13/08/2010,"9 The Warehouse, Clanbrassil Terrace, Dublin 8",Dublin,260000.0,No,Clanbrassil,Dublin 8,q3,70%
02/12/2010,"50 Liberty Court, Clanbrassil Street, Dublin 8",Dublin,196000.0,No,Clanbrassil,Dublin 8,q2,50%
16/12/2010,"14 Clanbrassil Terrace, Dowkins Lane, Lower Clanbrassil Street",Dublin,150000.0,No,Clanbrassil,Dublin 8,q2,30%
21/12/2010,"43 Liberty Court, Clanbrassil Street Lower, Dublin 8",Dublin,187500.0,No,Clanbrassil,Dublin 8,q2,40%
13/04/2011,"Apt No. 29 The Warehouse, Clanbrassil Terrace, Dublin 8.",Dublin,192000.0,No,Clanbrassil,Dublin 8,q2,50%
10/05/2011,"18 Upper Clanbrassil Street, Dublin 8",Dublin,285000.0,No,Clanbrassil,Dublin 8,q3,80%
24/06/2011,"24 Daniel Street, Clanbrassil Street",Dublin,170000.0,No,Clanbrassil,Dublin 8,q2,30%
25/10/2011,"Apt 22 Liberty Court, Clanbrassil St, Dublin 8",Dublin,115000.0,No,Clanbrassil,Dublin 8,q1,20%
19/12/2011,"15 Liberty Court, Lower Clanbrassil Street",Dublin,100000.0,No,Clanbrassil,Dublin 8,q1,10%
17/02/2012,"Apartment 29 Liberty Court, Clanbrassil Street",Dublin,110000.0,No,Clanbrassil,Dublin 8,q1,20%
30/03/2012,"Apt 53 Greenville Place, Clanbrassil Street",Dublin,166000.0,No,Clanbrassil,Dublin 8,q2,30%
21/09/2012,"36 St Patricks Court, Clanbrassilo Street",Dublin,110000.0,No,Clanbrassil,Dublin 8,q1,20%
26/11/2012,"30 St Patrick'S Court, Clanbrassil Street, Dublin 8",Dublin,107500.0,No,Clanbrassil,Dublin 8,q1,20%
17/12/2012,"20 Clanbrassil Street Upper, Dublin",Dublin,205000.0,No,Clanbrassil,Dublin 8,q2,50%
05/04/2013,"2 Liberty Court, Clanbrassil Street",Dublin,120000.0,No,Clanbrassil,Dublin 8,q1,20%
