date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
12/01/2010,"5 Temple View Park, Clare Hall",Dublin,290000.0,No,Clare Hall,Dublin 17,q4,100%
13/01/2010,"Apartment 37  Block D, Clare Village, Clare Hall",Dublin,169950.0,Yes,Clare Hall,Dublin 17,q3,80%
14/01/2010,"14 Block D Doolin House, Clare Village, Clare Hall Dublin 17",Dublin,149735.68,Yes,Clare Hall,Dublin 17,q2,50%
15/01/2010,"1 Killaloe House, Clare Village, Clare Hall Dublin 17",Dublin,180616.74,Yes,Clare Hall,Dublin 17,q4,90%
05/02/2010,"3 Doolin House, Clare Village, Clare Hall Dublin 17",Dublin,114499.39,Yes,Clare Hall,Dublin 17,q1,20%
15/02/2010,"17 Block C Doonbeg House, Clare Village, Clare Hall Dublin17",Dublin,167356.82,Yes,Clare Hall,Dublin 17,q3,80%
17/02/2010,"Apartment 40  Block B, Corofin House  Clare Village, Clare Hall",Dublin,147006.75,Yes,Clare Hall,Dublin 17,q2,40%
18/02/2010,"38 Block D Doolin House, Clare Village, Clare Hall",Dublin,158546.0,Yes,Clare Hall,Dublin 17,q2,50%
22/02/2010,"Apt 21 Block D Doolin House, Clare Village, Clare Hall",Dublin,169950.0,Yes,Clare Hall,Dublin 17,q3,80%
24/02/2010,"29 Block D, Doolin Hall  Clare Village, Clare Hall",Dublin,129950.0,Yes,Clare Hall,Dublin 17,q2,30%
18/03/2010,"Apt 44  Doolin House, Clare Village, Clare Hall",Dublin,169950.0,Yes,Clare Hall,Dublin 17,q3,80%
29/03/2010,"Apt. 50  Block D, Doolin House  Clare Village, Clare Hall",Dublin,149556.0,Yes,Clare Hall,Dublin 17,q2,50%
30/03/2010,"Apartment18  Block B Corofin House, Clare Village, Clare Hall",Dublin,169950.0,Yes,Clare Hall,Dublin 17,q3,80%
08/04/2010,"Apartment33 Block D, Doolin House, Clare Village Clare Hall Dublin17",Dublin,114493.39,Yes,Clare Hall,Dublin 17,q1,20%
19/04/2010,"Aparment 4  Block C, Doonbeg House  Clare Village, Clare Hall  Dublin 17",Dublin,164306.75,Yes,Clare Hall,Dublin 17,q3,80%
22/04/2010,"69 Kilkee House, Clare Village, Clare Hall  Dublin 17",Dublin,114493.39,Yes,Clare Hall,Dublin 17,q1,20%
03/05/2010,"33  Temple View Avenue, Clare Hall",Dublin,295000.0,No,Clare Hall,Dublin 17,q4,100%
07/05/2010,"25 Elmfield Avenue, Clare Hall",Dublin,325000.0,No,Clare Hall,Dublin 17,q4,100%
14/05/2010,"13 Elmfield Crescent, Clare Hall",Dublin,310000.0,No,Clare Hall,Dublin 17,q4,100%
21/05/2010,"1 Doolin House, Clare Village Clare Hall, Dublin 17",Dublin,149735.68,Yes,Clare Hall,Dublin 17,q2,50%
21/05/2010,"Beaupark, Clare Hall, Clongriffin",Dublin,7333121.0,No,Clare Hall,Dublin 17,q4,100%
27/05/2010,"Apt 10 Doonbeg House, Clare Village, Clare Hall",Dublin,189950.0,Yes,Clare Hall,Dublin 17,q4,90%
10/06/2010,"Apartment 38 Kilkee House, Clare Village, Clare Hall",Dublin,169950.0,Yes,Clare Hall,Dublin 17,q3,80%
14/07/2010,"25 Block A Kilkee House, Clare Village, Clare Hall Dublin 17",Dublin,114493.39,Yes,Clare Hall,Dublin 17,q1,20%
27/07/2010,"42 Doolin House, Clare Village, Clare Hall Dublin 17",Dublin,114493.39,Yes,Clare Hall,Dublin 17,q1,20%
12/08/2010,"Apartment 7 Block C Doonbeg House, Clare Village, Clare Hall",Dublin,169950.0,Yes,Clare Hall,Dublin 17,q4,80%
27/08/2010,"No 23 Block C Doonbeg House, Clare Village, Clare Hall",Dublin,179950.0,Yes,Clare Hall,Dublin 17,q4,80%
02/09/2010,"Number 6, Block C Doonbeg House, Clare Village  Clare Hall",Dublin,189950.0,Yes,Clare Hall,Dublin 17,q4,90%
09/09/2010,"13  Block F, Clare Village, Clare Hall",Dublin,169950.0,Yes,Clare Hall,Dublin 17,q4,80%
