date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
12/01/2010,"5 Temple View Park, Clarehall, Dublin 13",Dublin,290000.0,No,Clarehall,Dublin 17,q3,70%
20/01/2010,"10 Elmfield Lawn, Clarehall  Dublin 13",Dublin,337200.0,No,Clarehall,Dublin 17,q4,90%
17/02/2010,"8  Elmfield Lawn, Clarehall",Dublin,302500.0,No,Clarehall,Dublin 17,q3,80%
19/02/2010,"Apt. 50  Block A, Kilkee House, Claire Village  Clarehall",Dublin,129950.0,No,Clarehall,Dublin 17,q1,10%
25/03/2010,"7 Elmfield Close, Clarehall",Dublin,330000.0,No,Clarehall,Dublin 17,q4,90%
28/05/2010,"13 Templeview Park, Clarehall, Dublin 13",Dublin,290000.0,No,Clarehall,Dublin 17,q3,70%
07/07/2010,"12 Elmfield Close, Clarehall, Dublin",Dublin,303000.0,No,Clarehall,Dublin 17,q3,80%
19/07/2010,"22  Templeview Close, Clarehall",Dublin,310000.0,No,Clarehall,Dublin 17,q4,80%
24/09/2010,"5 Templeview Drive, Clarehall, Dublin 13",Dublin,300000.0,No,Clarehall,Dublin 17,q3,70%
08/10/2010,"53 Elmfield Way, Clarehall",Dublin,275000.0,No,Clarehall,Dublin 17,q3,60%
05/11/2010,"10 Doolin House, Clare Village, Clarehall",Dublin,149735.68,Yes,Clarehall,Dublin 17,q1,10%
02/12/2010,"4 Elmfield Court, Clarehall  Dublin 13",Dublin,295000.0,No,Clarehall,Dublin 17,q3,70%
16/12/2010,"Apt 14 Ennis House, Clare Village, Clarehall  Dublin 17",Dublin,169950.0,Yes,Clarehall,Dublin 17,q1,20%
22/12/2010,"1 Elmfield Crescent, Clarehall",Dublin,247500.0,No,Clarehall,Dublin 17,q2,50%
22/12/2010,"Apt 36  Block E3, Ennis House, Clare Village  Clarehall",Dublin,179950.0,Yes,Clarehall,Dublin 17,q1,20%
08/02/2011,"3 Elmfield Close, Clarehall, Dublin 13",Dublin,289000.0,No,Clarehall,Dublin 17,q3,70%
04/05/2011,"6 Templeview Crescent, Clarehall, Dublin 13",Dublin,215000.0,No,Clarehall,Dublin 17,q2,30%
10/05/2011,"32 Templeview Avenue, Clarehall, Dublin 13",Dublin,251000.0,No,Clarehall,Dublin 17,q2,50%
20/06/2011,"59 Elmfield Way, Clarehall",Dublin,252000.0,No,Clarehall,Dublin 17,q2,50%
21/06/2011,"37 Block E3 Ennis House, Clare Village, Clarehall",Dublin,114493.0,Yes,Clarehall,Dublin 17,q1,10%
25/08/2011,"5 Templeview Way, Clarehall, Dublin 13",Dublin,225000.0,No,Clarehall,Dublin 17,q2,40%
07/09/2011,"30 Templeview Gree, Clarehall, Dublin 13",Dublin,210000.0,No,Clarehall,Dublin 17,q1,30%
26/09/2011,"16 Temple View Crescent, Clarehall, Dublin 13",Dublin,200000.0,No,Clarehall,Dublin 17,q1,20%
18/11/2011,"17 Templeview Crescent, Clarehall, Dublin 13",Dublin,230000.0,No,Clarehall,Dublin 17,q2,40%
