date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
08/01/2010,"22 Grangeview Road, Clondalkin",Dublin,200000.0,No,Clondalkin,Dublin 22,q3,60%
11/01/2010,"20 Wheatfield Grove, Clondalkin, Dublin 22",Dublin,184000.0,No,Clondalkin,Dublin 22,q2,50%
14/01/2010,"7  St. John'S Drive, Greenpark, Clondalkin",Dublin,200000.0,No,Clondalkin,Dublin 22,q3,60%
15/01/2010,"87 St. John'S Crescent, Clondalkin, Dublin 22",Dublin,179000.0,No,Clondalkin,Dublin 22,q2,40%
22/01/2010,"17 St Brigids Road, Clondalkin",Dublin,332000.0,No,Clondalkin,Dublin 22,q4,100%
27/01/2010,"59 Monastery Gate Green, Clondalkin",Dublin,306000.0,No,Clondalkin,Dublin 22,q4,100%
28/01/2010,"18 Rowlagh Green, Clondalkin, Dublin 22",Dublin,200000.0,No,Clondalkin,Dublin 22,q3,60%
29/01/2010,"42A Westbourne Green, Clondalkin, Dublin 22",Dublin,185000.0,No,Clondalkin,Dublin 22,q2,50%
01/02/2010,"47 Commons Road, Clondalkin",Dublin,190000.0,No,Clondalkin,Dublin 22,q2,50%
03/02/2010,"9 Monastery Gate Lawns, Clondalkin, Dublin 22",Dublin,225000.0,No,Clondalkin,Dublin 22,q3,70%
15/02/2010,"10 Old Tower Crescent, Clondalkin",Dublin,142000.0,No,Clondalkin,Dublin 22,q1,30%
19/02/2010,"231 Palmerstown Woods, Clondalkin",Dublin,250000.0,No,Clondalkin,Dublin 22,q3,80%
19/02/2010,"6 Laurel Park, Clondalkin, Dublin 22",Dublin,380000.0,No,Clondalkin,Dublin 22,q4,100%
22/02/2010,"52  Woodford Lawns, Clondalkin, Dublin 22",Dublin,225000.0,No,Clondalkin,Dublin 22,q3,70%
23/02/2010,"2 Cherrywood Avenue, Clondalkin, Dublin 22",Dublin,200000.0,No,Clondalkin,Dublin 22,q3,60%
25/02/2010,"31 Monastery Park, Clondalkin, Dublin 22",Dublin,420000.0,No,Clondalkin,Dublin 22,q4,100%
09/03/2010,"28 Castlegrange Road, Clondalkin, Dublin 22",Dublin,200000.0,No,Clondalkin,Dublin 22,q3,60%
11/03/2010,"23 Knockneenagh Road, Clondalkin",Dublin,340000.0,No,Clondalkin,Dublin 22,q4,100%
11/03/2010,"63 Glenfield Avenue, Clondalkin, Dublin 22",Dublin,255000.0,No,Clondalkin,Dublin 22,q4,80%
12/03/2010,"5 Wheatfield Avenue, Clondalkin",Dublin,132000.0,No,Clondalkin,Dublin 22,q1,20%
16/03/2010,"5  Monastery Crescent, Clondalkin",Dublin,315000.0,No,Clondalkin,Dublin 22,q4,100%
19/03/2010,"10 Newlands Park, Clondalkin",Dublin,400000.0,No,Clondalkin,Dublin 22,q4,100%
25/03/2010,"43 Woodford Road, Clondalkin, Dublin 22",Dublin,214500.0,No,Clondalkin,Dublin 22,q3,60%
26/03/2010,"66 Monastery Drive, Clondalkin, Dublin 22",Dublin,330000.0,No,Clondalkin,Dublin 22,q4,100%
09/04/2010,"18 Woodford Park, Clondalkin",Dublin,196000.0,No,Clondalkin,Dublin 22,q3,60%
13/04/2010,"13 St Killians Park, Clondalkin",Dublin,154000.0,No,Clondalkin,Dublin 22,q2,30%
13/04/2010,"5 Woodford Way, Clondalkin",Dublin,278000.0,No,Clondalkin,Dublin 22,q4,90%
