date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
08/01/2010,"64 The Way, Hunters Road, Clonee",Dublin,220000.0,No,Clonee,Dublin 15,q2,50%
22/01/2010,"5 The Drive, Hunters Run, Clonee",Dublin,246000.0,No,Clonee,Dublin 15,q3,60%
05/02/2010,"255 Littlepace Road, Littlepace, Clonee",Dublin,255000.0,No,Clonee,Dublin 15,q3,60%
12/02/2010,"11 Swallowbrook View, Clonee, Dublin 15",Dublin,275000.0,No,Clonee,Dublin 15,q3,80%
18/02/2010,"13 Manorfields Walk, Clonee, Dublin",Dublin,181000.0,No,Clonee,Dublin 15,q1,30%
18/02/2010,"13 Manorfields Walk, Clonee, Dublin 15",Dublin,181000.0,No,Clonee,Dublin 15,q1,30%
18/02/2010,"32 The Drive, Hunters Run, Clonee",Dublin,242000.0,No,Clonee,Dublin 15,q3,60%
05/03/2010,"123 Hazelbury Green, Clonee",Dublin,272500.0,No,Clonee,Dublin 15,q3,80%
12/03/2010,"140 Manorfield View, Clonee, Dublin 15",Dublin,231500.0,No,Clonee,Dublin 15,q2,50%
15/03/2010,"No 9 The Close, Hunters Run, Clonee",Dublin,275000.0,No,Clonee,Dublin 15,q3,80%
19/03/2010,"15 Castaheany, Clonee",Dublin,210000.0,No,Clonee,Dublin 15,q2,40%
19/03/2010,"40 Castaheany, Clonee, Dublin 15",Dublin,290000.0,No,Clonee,Dublin 15,q4,80%
22/03/2010,"10 Beechfield View, Castaheany, Clonee  Dublin 15",Dublin,268000.0,No,Clonee,Dublin 15,q3,70%
30/03/2010,"47 The Grove, Hunters Run, Clonee",Dublin,220000.0,No,Clonee,Dublin 15,q2,50%
31/03/2010,"54 The Way, Hunters Run, Clonee",Dublin,241500.0,No,Clonee,Dublin 15,q3,60%
22/04/2010,"33 Rosedale Close, Rosedale, Clonee",Dublin,155000.0,No,Clonee,Dublin 15,q1,20%
27/04/2010,"63 The Grove, Hunters Run, Clonee",Dublin,255000.0,No,Clonee,Dublin 15,q3,70%
28/04/2010,"4  The Dale, Manorfields, Clonee",Dublin,255000.0,No,Clonee,Dublin 15,q3,70%
29/04/2010,"14 Manorfields Avenue, Clonee, Dublin 15",Dublin,267500.0,No,Clonee,Dublin 15,q3,70%
30/04/2010,"139 Hazlebury Park, Clonee, .",Dublin,290000.0,No,Clonee,Dublin 15,q4,80%
11/05/2010,"137A Pace Avenue, Clonee",Dublin,275000.0,No,Clonee,Dublin 15,q3,80%
12/05/2010,"11 Swalloebrook Pk, Clonee, D 15",Dublin,265500.0,No,Clonee,Dublin 15,q3,70%
12/05/2010,"180 Littlepace Woods, Clonee, Dublin 15",Dublin,260000.0,No,Clonee,Dublin 15,q3,70%
28/05/2010,"2 Manorfield Road, Clonee, Dublin 15",Dublin,225000.0,No,Clonee,Dublin 15,q2,50%
28/05/2010,"6 The Drive, Hunter'S Run, Clonee",Dublin,240000.0,No,Clonee,Dublin 15,q3,60%
31/05/2010,"63 Ard Cluain, Clonee, Dublin 15",Dublin,194950.0,Yes,Clonee,Dublin 15,q2,30%
04/06/2010,"104 Hansfield Road, Clonee",Dublin,290000.0,No,Clonee,Dublin 15,q4,80%
04/06/2010,"104 Hansfield Road, Clonee, Dublin 15",Dublin,290000.0,No,Clonee,Dublin 15,q4,80%
11/06/2010,"104 Littlepace Gallops, Clonee",Dublin,250000.0,No,Clonee,Dublin 15,q3,60%
17/06/2010,"32 Bramblefield Walk, Clonee",Dublin,230000.0,No,Clonee,Dublin 15,q2,50%
17/06/2010,"Apartment 47, Rosedale Close, Clonee  Dublin 15",Dublin,144500.0,No,Clonee,Dublin 15,q1,10%
18/06/2010,"60 Hazelbury Park, Clonee, Dublin 15",Dublin,260000.0,No,Clonee,Dublin 15,q3,70%
22/06/2010,"19 Linnetfields Square, Clonee, Dublin 15",Dublin,155000.0,No,Clonee,Dublin 15,q1,20%
07/07/2010,"5 Linnetsfield Avenue, Clonee",Dublin,215000.0,No,Clonee,Dublin 15,q2,40%
12/07/2010,"36 Deerhaven Avenue, Clonee",Dublin,191000.0,No,Clonee,Dublin 15,q2,30%
20/07/2010,"14 The Glade, Hunter'S Run, Clonee",Dublin,235000.0,No,Clonee,Dublin 15,q2,50%
23/07/2010,"8 Linnetsfield View, Clonee",Dublin,180000.0,No,Clonee,Dublin 15,q1,30%
06/08/2010,"46 Manorfield Road, Clonee, Dublin 15.",Dublin,210000.0,No,Clonee,Dublin 15,q2,40%
12/08/2010,"35 Castaheany, Clonee, Dublin 15",Dublin,265000.0,No,Clonee,Dublin 15,q3,70%
18/08/2010,"15 Bramblefield Drive, Clonee, Dublin 15",Dublin,234000.0,No,Clonee,Dublin 15,q2,50%
18/08/2010,"71 Castaheany, Clonee",Dublin,260000.0,No,Clonee,Dublin 15,q3,70%
20/08/2010,"11 Manorfield Green, Clonee, Dublin 15",Dublin,237000.0,No,Clonee,Dublin 15,q3,60%
25/08/2010,"77 The Way, Hunters Run, Clonee",Dublin,226000.0,No,Clonee,Dublin 15,q2,50%
26/08/2010,"13 Bramblefield Park, Clonee, Dublin 15",Dublin,248000.0,No,Clonee,Dublin 15,q3,60%
31/08/2010,"18 Bramblefield Court, Clonee, Dublin 15",Dublin,175000.0,No,Clonee,Dublin 15,q1,30%
01/09/2010,"14 Beechfield Court, Clonee",Dublin,215000.0,No,Clonee,Dublin 15,q2,40%
02/09/2010,"14 The Woods, Hunters Run, Clonee",Dublin,215000.0,No,Clonee,Dublin 15,q2,40%
06/09/2010,"48 Whatley Hall, Archer'S Wood, Clonee",Dublin,200000.0,No,Clonee,Dublin 15,q2,40%
09/09/2010,"6 Manorfields Close, Clonee",Dublin,165000.0,No,Clonee,Dublin 15,q1,20%
14/09/2010,"12 Manorfields Road, Clonee, Dublin 15",Dublin,157000.0,No,Clonee,Dublin 15,q1,20%
23/09/2010,"248 Pace Road, Clonee, Dublin 15",Dublin,228000.0,No,Clonee,Dublin 15,q2,50%
12/10/2010,"159 Hazelbury Park, Clonee",Dublin,225000.0,No,Clonee,Dublin 15,q2,50%
15/10/2010,"39 The Way, Hunters Run, Clonee",Dublin,237000.0,No,Clonee,Dublin 15,q3,60%
22/10/2010,"11 Linnetsfield Close, Clonee",Dublin,165000.0,No,Clonee,Dublin 15,q1,20%
02/11/2010,"16 The Park, Pheasant'S Run, Clonee",Dublin,245000.0,No,Clonee,Dublin 15,q3,60%
11/11/2010,"10 The Drive, Hunters Run, Clonee",Dublin,207000.0,No,Clonee,Dublin 15,q2,40%
19/11/2010,"15 The Green, Pheasants Run, Clonee",Dublin,205000.0,No,Clonee,Dublin 15,q2,40%
