date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
08/01/2010,"Apt 8  1 Grange Lodge Avenue, Clongriffin",Dublin,177685.95,Yes,Clongriffin,Dublin 13,q1,20%
10/02/2010,"Apt 17, 37 Main Street, Clongriffin",Dublin,210000.0,Yes,Clongriffin,Dublin 13,q1,30%
26/03/2010,"Apt. 11., 5 Beaupark Avenue, Clongriffin",Dublin,147000.0,Yes,Clongriffin,Dublin 13,q1,20%
17/05/2010,"21 Beaupark Street, Clongriffin",Dublin,164350.0,Yes,Clongriffin,Dublin 13,q1,20%
21/05/2010,"14 Beau Park Square, Clongriffin",Dublin,261000.0,No,Clongriffin,Dublin 13,q2,50%
25/06/2010,"66 Railway Road, Clongriffin, Dublin 13",Dublin,307000.0,Yes,Clongriffin,Dublin 13,q3,80%
01/07/2010,"Apt 14  23 Main Street, Clongriffin, Dublin 13",Dublin,82846.43,Yes,Clongriffin,Dublin 13,q1,10%
27/07/2010,"Apartment 5, 36 Marrsfield Avenue, Clongriffin",Dublin,327200.0,Yes,Clongriffin,Dublin 13,q4,90%
29/10/2010,"9 Friars Lane, Clongriffin",Dublin,275330.39,Yes,Clongriffin,Dublin 13,q3,60%
07/12/2010,"8  29 Main Street, Clongriffin",Dublin,82846.43,Yes,Clongriffin,Dublin 13,q1,10%
18/02/2011,"11  33 Main Street, Clongriffin",Dublin,86500.0,Yes,Clongriffin,Dublin 13,q1,10%
05/07/2011,"24 Beaupark Street, Clongriffin",Dublin,199950.0,No,Clongriffin,Dublin 13,q1,30%
16/09/2011,"Apartment 5, Block 12 Station Way, Clongriffin",Dublin,120000.0,No,Clongriffin,Dublin 13,q1,20%
11/06/2012,"Apt 11, Block 23  67 Main Street, Station Point. Clongriffin",Dublin,162995.59,Yes,Clongriffin,Dublin 13,q1,20%
27/03/2013,"Apartment 7, 43 Main Street, Clongriffin",Dublin,196000.0,No,Clongriffin,Dublin 13,q1,30%
18/04/2013,"11 Beaupark Square, Clongriffin",Dublin,190000.0,No,Clongriffin,Dublin 13,q1,20%
03/05/2013,"8 Hoey Place, Clongriffin",Dublin,180000.0,No,Clongriffin,Dublin 13,q1,20%
30/05/2013,"Apt. 13 Beaupark, 29 Main Street, Clongriffin",Dublin,82000.0,No,Clongriffin,Dublin 13,q1,10%
01/07/2013,"32 Railway Road, Clongriffin, Dublin",Dublin,135000.0,No,Clongriffin,Dublin 13,q1,20%
29/07/2013,"2 Station Way, Clongriffin",Dublin,180000.0,No,Clongriffin,Dublin 13,q1,20%
20/09/2013,"22 Beaupark Crescent, Clongriffin, Dublin 13",Dublin,170000.0,No,Clongriffin,Dublin 13,q1,20%
23/09/2013,"Apt 13, 19 Main Street, Clongriffin",Dublin,160000.0,No,Clongriffin,Dublin 13,q1,20%
10/10/2013,"63 Railway Road, Clongriffin, Dublin",Dublin,200000.0,No,Clongriffin,Dublin 13,q1,30%
20/12/2013,"17 Beau Park Terrace, Clongriffin, Dublin 13",Dublin,206000.0,No,Clongriffin,Dublin 13,q1,30%
