date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
14/04/2010,"55 Tolka Road, Off Clonliffe Road, Dublin 3",Dublin,205000.0,No,Clonliffe,Dublin 3,q2,40%
21/12/2010,"19 Clonliffe Gardens, Clonliffe Road, Dublin 9",Dublin,515000.0,No,Clonliffe,Dublin 3,q4,100%
11/03/2011,"243 Clonliffe Road, Dublin 7",Dublin,350000.0,No,Clonliffe,Dublin 3,q4,90%
03/08/2011,"78 Clonliffe Avenue, Dublin 3",Dublin,96000.0,No,Clonliffe,Dublin 3,q1,10%
04/08/2011,"97  Clonliffe Avenue, Dublin",Dublin,96500.0,No,Clonliffe,Dublin 3,q1,10%
18/08/2011,"166 Tolka Road, Clonliffe Road, Dublin 3",Dublin,200000.0,No,Clonliffe,Dublin 3,q2,30%
16/09/2011,"119, Clonliffe Road",Dublin,381000.0,No,Clonliffe,Dublin 3,q4,90%
18/11/2011,"11 Distillery Road, Clonliffe Road, Dublin 3",Dublin,216500.0,No,Clonliffe,Dublin 3,q2,40%
31/01/2012,"5 Orchard Road, Off Clonliffe Avenue",Dublin,95000.0,No,Clonliffe,Dublin 3,q1,10%
10/07/2012,"44  Susanville Road, Off Clonliffe Road, Dublin 3",Dublin,148000.0,No,Clonliffe,Dublin 3,q1,20%
20/02/2013,"55 Clonliffe Road, Dublin 3",Dublin,305500.0,No,Clonliffe,Dublin 3,q3,80%
09/04/2013,"13 St James' Avenue, Off Clonliffe Road",Dublin,130000.0,No,Clonliffe,Dublin 3,q1,10%
26/04/2013,"68 Clonliffe Avenue, Dublin 3",Dublin,125000.0,No,Clonliffe,Dublin 3,q1,10%
09/05/2013,"31 Clonliffe Square, Distillery Road",Dublin,117000.0,No,Clonliffe,Dublin 3,q1,10%
18/07/2013,"15 Russell Avenue, Off Clonliffe Road, Dublin 3",Dublin,127000.0,No,Clonliffe,Dublin 3,q1,10%
09/09/2013,"202 Clonliffe Road, Druncomdra, Dublin 9",Dublin,160000.0,No,Clonliffe,Dublin 3,q1,20%
23/12/2013,"22 Clonliffe Rd, Dublin 3, Dublin",Dublin,215000.0,No,Clonliffe,Dublin 3,q2,40%
11/03/2014,"15 Clonliffe Sq, Distillery Rd, Dublin",Dublin,130000.0,No,Clonliffe,Dublin 3,q1,10%
04/04/2014,"125 Clonliffe Rd, Dublin 3, Dublin",Dublin,185000.0,No,Clonliffe,Dublin 3,q2,30%
04/04/2014,"127 Clonliffe Rd, Clonliffe Dublin 3, Dublin",Dublin,168520.0,No,Clonliffe,Dublin 3,q1,30%
12/05/2014,"90 Clonliffe Rd, Dublin 3, Dublin",Dublin,240000.0,No,Clonliffe,Dublin 3,q2,50%
16/05/2014,"4 Elizabeth St, Off Clonliffe Rd, Dublin 3",Dublin,204000.0,No,Clonliffe,Dublin 3,q2,30%
12/09/2014,"2 Clonliffe Gardens, Dublin 3, Dublin",Dublin,227000.0,No,Clonliffe,Dublin 3,q2,50%
