date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
20/01/2010,"8 Clonshaugh Drive, Clonshaugh",Dublin,250000.0,No,Clonshaugh,Dublin 17,q3,70%
24/02/2010,"17 Clonshaugh Lawn, Clonshaugh, Dublin 17",Dublin,230000.0,No,Clonshaugh,Dublin 17,q3,60%
25/05/2010,"44 Clonshaugh Close, Clonshaugh, Dublin 17",Dublin,235000.0,No,Clonshaugh,Dublin 17,q3,70%
06/08/2010,"4 Clonshaugh Court, Clonshaugh",Dublin,210000.0,No,Clonshaugh,Dublin 17,q2,50%
08/11/2010,"80 Clonshaugh Avenue, Coolock, Dublin 17",Dublin,115000.0,No,Clonshaugh,Dublin 17,q1,10%
12/11/2010,"71 Riverside Park, Clonshaugh",Dublin,240000.0,No,Clonshaugh,Dublin 17,q3,70%
31/03/2011,"33 Clonshaugh Glen, Clonshaugh, Dublin 17",Dublin,200000.0,No,Clonshaugh,Dublin 17,q2,50%
16/06/2011,"Apartment 6, The Beech, Clonshaugh Woods",Dublin,130000.0,No,Clonshaugh,Dublin 17,q1,10%
15/07/2011,"21 Newbury Park, Clonshaugh",Dublin,185000.0,No,Clonshaugh,Dublin 17,q2,40%
30/09/2011,"27 Riverside Avenue, Clonshaugh, Dublin 17",Dublin,170000.0,No,Clonshaugh,Dublin 17,q2,30%
23/03/2012,"69  Riverside Park, Clonshaugh",Dublin,180000.0,No,Clonshaugh,Dublin 17,q2,40%
29/03/2012,"24  Riverside Park, Clonshaugh",Dublin,148000.0,No,Clonshaugh,Dublin 17,q1,20%
29/08/2012,"42  Clonshaugh Avenue, Clonshaugh, Dublin 17",Dublin,145000.0,No,Clonshaugh,Dublin 17,q1,20%
11/10/2012,"90 Riverside Park, Clonshaugh",Dublin,181000.0,No,Clonshaugh,Dublin 17,q2,40%
16/10/2012,"6 Newbury Heights, Clonshaugh",Dublin,165000.0,No,Clonshaugh,Dublin 17,q2,30%
19/10/2012,"53 Newbury Avenue, Clonshaugh, Dublin 17",Dublin,175000.0,No,Clonshaugh,Dublin 17,q2,30%
07/12/2012,"9 Newbury Lawns, Clonshaugh",Dublin,145000.0,No,Clonshaugh,Dublin 17,q1,20%
19/12/2012,"10 Newbury Avenue, Clonshaugh",Dublin,193500.0,No,Clonshaugh,Dublin 17,q2,40%
20/03/2013,"10 The Maples, Clonshaugh Woods",Dublin,81000.0,No,Clonshaugh,Dublin 17,q1,10%
12/04/2013,"149 Riverside Park, Clonshaugh",Dublin,210000.0,No,Clonshaugh,Dublin 17,q2,50%
31/05/2013,"29 Riverside Avenue, Clonshaugh, Dublin 17",Dublin,233000.0,No,Clonshaugh,Dublin 17,q3,60%
19/07/2013,"1 Riverside Drive, Clonshaugh, Dublin 7",Dublin,230000.0,No,Clonshaugh,Dublin 17,q3,60%
25/07/2013,"3 Willsborough, Clonshaugh Road, Dublin 17",Dublin,68500.0,No,Clonshaugh,Dublin 17,q1,10%
26/07/2013,"31 Clonshaugh Park, Clonshaugh, Co Dublin",Dublin,225000.0,No,Clonshaugh,Dublin 17,q3,60%
06/09/2013,"71 Clonshaugh Avenue, Clonshaugh",Dublin,193500.0,No,Clonshaugh,Dublin 17,q2,40%
21/10/2013,"14 Clonshaugh Avenue, Clonshaugh, Dublin 17",Dublin,233500.0,No,Clonshaugh,Dublin 17,q3,70%
12/12/2013,"26 Clonshaugh Crescent, Clonshaugh, Dublin 17",Dublin,186000.0,No,Clonshaugh,Dublin 17,q2,40%
20/12/2013,"32 Clonshaugh Crescent, Clonshaugh, Dublin 17",Dublin,140000.0,No,Clonshaugh,Dublin 17,q1,20%
19/03/2014,"22 Newbury Grove, Clonshaugh Dublin 17, Dublin",Dublin,170000.0,No,Clonshaugh,Dublin 17,q2,30%
03/04/2014,"24 Newbury Grove, Clonshaugh, Dublin 17",Dublin,205000.0,No,Clonshaugh,Dublin 17,q2,50%
16/05/2014,"1 Newbury Lawns, Clonshaugh, Dublin 17",Dublin,130000.0,No,Clonshaugh,Dublin 17,q1,10%
16/05/2014,"21 Newbury Dr, Clonshaugh, Dublin 17",Dublin,180000.0,No,Clonshaugh,Dublin 17,q2,40%
