date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
05/01/2010,"35 Charnwood Heath, Clonsilla, Dublin 15",Dublin,297000.0,No,Clonsilla,Dublin 15,q3,70%
13/01/2010,"36 The Meadows, Grange Road, Clonsilla",Dublin,151750.0,No,Clonsilla,Dublin 15,q1,20%
22/01/2010,"16 Mount Symon Close, Clonsilla, Dublin",Dublin,270000.0,No,Clonsilla,Dublin 15,q3,60%
22/01/2010,"3 Ashfield Gardens, Clonsilla, Dublin 15",Dublin,190000.0,No,Clonsilla,Dublin 15,q1,30%
29/01/2010,"35 Charnwood Park, Clonsilla, Dublin 15",Dublin,301000.0,No,Clonsilla,Dublin 15,q3,80%
01/02/2010,"47 Charnwood Heath, Clonsilla, Dublin",Dublin,300000.0,No,Clonsilla,Dublin 15,q3,80%
03/02/2010,"6 Mount Symon Crescent, Clonsilla, Dublin 15",Dublin,315000.0,No,Clonsilla,Dublin 15,q4,80%
04/02/2010,"20 Aspen Lawns, Clonsilla, D 15",Dublin,330000.0,No,Clonsilla,Dublin 15,q4,90%
04/02/2010,"9 Allendale Lawn, Clonsilla, Dublin 15",Dublin,272000.0,No,Clonsilla,Dublin 15,q3,70%
15/02/2010,"11 St Mochtas Close, Clonsilla, Dublin 15",Dublin,310000.0,No,Clonsilla,Dublin 15,q3,80%
16/02/2010,"12 Elmwood, Clonsilla, Dublin 15",Dublin,220000.0,No,Clonsilla,Dublin 15,q2,40%
16/02/2010,"7 Portersgate Lawn, Clonsilla, Dublin 15",Dublin,305000.0,No,Clonsilla,Dublin 15,q3,80%
25/02/2010,"23 Castlefield Park, Clonsilla, Dublin 15",Dublin,290000.0,No,Clonsilla,Dublin 15,q3,70%
01/03/2010,"25 Charnwood Dale, Clonsilla",Dublin,343500.0,No,Clonsilla,Dublin 15,q4,90%
01/03/2010,"Apt. 27, Allendale Square, Clonsilla",Dublin,168000.0,No,Clonsilla,Dublin 15,q1,20%
26/03/2010,"53 The Courtyard, Clonsilla, Dublin 15",Dublin,172000.0,No,Clonsilla,Dublin 15,q1,20%
31/03/2010,"21 Ravenswood Avenue, Clonsilla",Dublin,238000.0,No,Clonsilla,Dublin 15,q2,50%
01/04/2010,"24 Sheepmoor Lawn, Clonsilla",Dublin,130000.0,No,Clonsilla,Dublin 15,q1,10%
07/04/2010,"5 Cherryfield Walk, Hartstown, Clonsilla",Dublin,180000.0,No,Clonsilla,Dublin 15,q1,20%
09/04/2010,"20 Inglewood Road, Clonsilla, Dublin 15",Dublin,220000.0,No,Clonsilla,Dublin 15,q2,40%
09/04/2010,"8 Portersgate Grove, Clonsilla, Dublin 15",Dublin,240000.0,No,Clonsilla,Dublin 15,q2,50%
16/04/2010,"15 Mount Symon Lawn, Clonsilla, Dublin 15",Dublin,270000.0,No,Clonsilla,Dublin 15,q3,60%
22/04/2010,"127 Clonsilla Road, Clonsilla",Dublin,328790.0,No,Clonsilla,Dublin 15,q4,90%
28/04/2010,"16 Allendale Elms, Clonsilla, Dublin 15",Dublin,193000.0,No,Clonsilla,Dublin 15,q1,30%
29/04/2010,"21 St Mochtas Green, Clonsilla, Dublin 15",Dublin,233000.0,No,Clonsilla,Dublin 15,q2,50%
30/04/2010,"23 St Mochtas Road, Clonsilla, Dublin 15",Dublin,265000.0,No,Clonsilla,Dublin 15,q3,60%
04/05/2010,"25 Ravenswood Crescent, Clonsilla",Dublin,225500.0,No,Clonsilla,Dublin 15,q2,40%
05/05/2010,"92 Lohunda Park, Clonsilla, Dublin",Dublin,215000.0,No,Clonsilla,Dublin 15,q2,40%
06/05/2010,"16 Charnwood Park, Clonsilla",Dublin,311000.0,No,Clonsilla,Dublin 15,q4,80%
07/05/2010,"16 Oak View Rise, Clonsilla",Dublin,230000.0,No,Clonsilla,Dublin 15,q2,50%
10/05/2010,"2 Limelawn Green, Clonsilla, Dublin 15",Dublin,326000.0,No,Clonsilla,Dublin 15,q4,80%
11/05/2010,"13 Mount Symon Park, Clonsilla, D I5",Dublin,208000.0,No,Clonsilla,Dublin 15,q2,40%
17/05/2010,"41  Charnwood Heath, Clonsilla",Dublin,295000.0,No,Clonsilla,Dublin 15,q3,70%
31/05/2010,"2 Allendale Terrace, Clonsilla",Dublin,261000.0,No,Clonsilla,Dublin 15,q3,60%
31/05/2010,"46 Windmill Terrace, Clonsilla",Dublin,185000.0,No,Clonsilla,Dublin 15,q1,30%
03/06/2010,"102 Huntstown Wood, Clonsilla",Dublin,155000.0,No,Clonsilla,Dublin 15,q1,20%
04/06/2010,"27 St Mochtas Avenue, Clonsilla, Dublin 15",Dublin,239000.0,No,Clonsilla,Dublin 15,q2,50%
17/06/2010,"2 Allendale Rise, Clonsilla",Dublin,256000.0,No,Clonsilla,Dublin 15,q3,60%
19/06/2010,"4 Lachford Terrace, Clonsilla, Dublin 15",Dublin,242290.0,Yes,Clonsilla,Dublin 15,q2,50%
25/06/2010,"31 Meadow Drive, Clonsilla",Dublin,150000.0,No,Clonsilla,Dublin 15,q1,20%
29/06/2010,"58 Windermere, Clonsilla",Dublin,270000.0,No,Clonsilla,Dublin 15,q3,60%
01/07/2010,"10 Allendale Place, Clonsilla",Dublin,233000.0,No,Clonsilla,Dublin 15,q2,50%
08/07/2010,"74 Briarwood Avenue, Clonsilla, Dublin 15",Dublin,177500.0,No,Clonsilla,Dublin 15,q1,20%
09/07/2010,"1 Huntstown Wood, Clonsilla, D 15",Dublin,168000.0,No,Clonsilla,Dublin 15,q1,20%
09/07/2010,"34 Portersgate Avenue, Clonsilla, Dublin 15",Dublin,275000.0,No,Clonsilla,Dublin 15,q3,70%
13/07/2010,"62 The Courtyard, Clonsilla",Dublin,213000.0,No,Clonsilla,Dublin 15,q2,40%
19/07/2010,"16 Castlegrange Park, Clonsilla",Dublin,240000.0,Yes,Clonsilla,Dublin 15,q2,50%
22/07/2010,"39 Briarwood Lawn, Clonsilla, D 15",Dublin,136000.0,No,Clonsilla,Dublin 15,q1,10%
23/07/2010,"46 Ashfield Green, Clonsilla, Dublin 15",Dublin,194000.0,No,Clonsilla,Dublin 15,q1,30%
27/07/2010,"13 Mount Symon Crescent, Clonsilla",Dublin,260000.0,No,Clonsilla,Dublin 15,q3,60%
27/07/2010,"66 Phibblestown House, Clonsilla, Dublin 15",Dublin,161000.0,No,Clonsilla,Dublin 15,q1,20%
06/08/2010,"23 Huntstown Avenue, Clonsilla, Dublin 15",Dublin,193000.0,No,Clonsilla,Dublin 15,q1,30%
06/08/2010,"75 Portersfield Apts, Clonsilla, Dublin 15",Dublin,165000.0,No,Clonsilla,Dublin 15,q1,20%
11/08/2010,"27 Castlefield Court, Clonsilla",Dublin,305000.0,No,Clonsilla,Dublin 15,q3,80%
16/08/2010,"19 Charnwood Lawns, Clonsilla, Dublin 15",Dublin,300000.0,No,Clonsilla,Dublin 15,q3,80%
26/08/2010,"11 Hayworth Mews, Ongar Place, Clonsilla",Dublin,215000.0,No,Clonsilla,Dublin 15,q2,40%
01/09/2010,"7 Allendale Rise, Phibblestown, Clonsilla",Dublin,235000.0,No,Clonsilla,Dublin 15,q2,50%
03/09/2010,"37 Shelerin Road, Clonsilla",Dublin,280000.0,No,Clonsilla,Dublin 15,q3,70%
06/09/2010,"3 Willow Drive, Clonsilla, Dublin 15",Dublin,194500.0,No,Clonsilla,Dublin 15,q1,30%
07/09/2010,"15 Shelerin Road, Clonsilla",Dublin,238500.0,No,Clonsilla,Dublin 15,q2,50%
08/09/2010,"12 St Mochtas Lawn, Coolmine Lodge, Clonsilla",Dublin,352659.0,No,Clonsilla,Dublin 15,q4,90%
15/09/2010,"68 Willow Wood Grove, Clonsilla, Dublin 15",Dublin,183000.0,No,Clonsilla,Dublin 15,q1,30%
17/09/2010,"162 Lohunda Downs, Clonsilla",Dublin,188000.0,No,Clonsilla,Dublin 15,q1,30%
22/09/2010,"12 Ashfield Grove, Clonsilla",Dublin,170000.0,No,Clonsilla,Dublin 15,q1,20%
24/09/2010,"85 Briarwood Ave, Clonsilla, D 15",Dublin,178000.0,No,Clonsilla,Dublin 15,q1,20%
27/09/2010,"7 Hazelwood Crescent, Clonsilla, Dublin 15",Dublin,205000.0,No,Clonsilla,Dublin 15,q2,30%
29/09/2010,"13 Briarwood Lawn, Clonsilla, Dublin 15",Dublin,175000.0,No,Clonsilla,Dublin 15,q1,20%
08/10/2010,"1 Elmwood Close, Clonsilla, Dublinn 15",Dublin,15000.0,No,Clonsilla,Dublin 15,q1,10%
13/10/2010,"3 Windemere, Clonsilla",Dublin,282000.0,No,Clonsilla,Dublin 15,q3,70%
13/10/2010,"8 Willow Wood Downs, Clonsilla",Dublin,150000.0,No,Clonsilla,Dublin 15,q1,20%
15/10/2010,"12 Mount Symon Crescent, Clonsilla, Dublin 15",Dublin,285000.0,No,Clonsilla,Dublin 15,q3,70%
15/10/2010,"60 The Courtyard, Clonsilla, Dublin 15",Dublin,227500.0,No,Clonsilla,Dublin 15,q2,50%
15/10/2010,"Arva Cottage, Clonsilla, Dublin 15",Dublin,115000.0,No,Clonsilla,Dublin 15,q1,10%
19/10/2010,"3 Limelawn Glade, Clonsilla",Dublin,290000.0,No,Clonsilla,Dublin 15,q3,70%
21/10/2010,"78 Willow Wood Grove, Clonsilla",Dublin,220000.0,No,Clonsilla,Dublin 15,q2,40%
22/10/2010,"3 Sorrell Drive, Clonsilla",Dublin,308500.0,No,Clonsilla,Dublin 15,q3,80%
29/10/2010,"16 Cherryfield Park, Hartstown, Clonsilla",Dublin,125000.0,No,Clonsilla,Dublin 15,q1,10%
04/11/2010,"53 Aldemere Drive, Clonsilla, Dublin",Dublin,260000.0,No,Clonsilla,Dublin 15,q3,60%
05/11/2010,"6 Ravenswood Drive, Clonsilla, Dublin 15",Dublin,265000.0,No,Clonsilla,Dublin 15,q3,60%
12/11/2010,"35 Castlefield Woods, Clonsilla",Dublin,300000.0,No,Clonsilla,Dublin 15,q3,80%
15/11/2010,"38 Castlefield Woods, Clonsilla, Dublin 15",Dublin,295000.0,No,Clonsilla,Dublin 15,q3,70%
17/11/2010,"96 Allendale Square, Clonsilla",Dublin,164950.0,No,Clonsilla,Dublin 15,q1,20%
19/11/2010,"17 Allendale Grove, Clonsilla",Dublin,207000.0,No,Clonsilla,Dublin 15,q2,40%
03/12/2010,"21 Cherryfield Court, Clonsilla",Dublin,144000.0,No,Clonsilla,Dublin 15,q1,10%
10/12/2010,"28 Huntstown Wood, Clonsilla",Dublin,132500.0,No,Clonsilla,Dublin 15,q1,10%
22/12/2010,"37 Elmwood, Clonsilla, Dublin",Dublin,185000.0,No,Clonsilla,Dublin 15,q1,30%
23/12/2010,"10 Inglewood Drive, Clonsilla",Dublin,180000.0,No,Clonsilla,Dublin 15,q1,20%
07/01/2011,"114 Huntstown Avenue, Clonsilla",Dublin,205000.0,No,Clonsilla,Dublin 15,q2,30%
07/01/2011,"68 Castlefield Woods, Clonsilla",Dublin,288750.0,No,Clonsilla,Dublin 15,q3,70%
12/01/2011,"91 Castlefield Court, Clonsilla, Dublin 15",Dublin,315000.0,No,Clonsilla,Dublin 15,q4,80%
17/01/2011,"17 St Mcchtas Close, Clonsilla, Dublin 15",Dublin,223000.0,No,Clonsilla,Dublin 15,q2,40%
17/01/2011,"29 Sorrel Dale, Clonsilla, Dublin 15",Dublin,300000.0,No,Clonsilla,Dublin 15,q3,80%
24/01/2011,"26 Meadow Drive, Clonsilla, Dublin 15",Dublin,182000.0,No,Clonsilla,Dublin 15,q1,30%
28/01/2011,"33 Glenealy Downs, Clonsilla, Dublin 15",Dublin,157950.0,No,Clonsilla,Dublin 15,q1,20%
28/01/2011,"92 Castlefield Woods, Clonsilla, Dublin",Dublin,270000.0,No,Clonsilla,Dublin 15,q3,60%
10/02/2011,"3 Charnwood Avenue, Clonsilla",Dublin,300000.0,No,Clonsilla,Dublin 15,q3,80%
18/02/2011,"8 Allendale Lawn, Clonsilla",Dublin,130000.0,No,Clonsilla,Dublin 15,q1,10%
25/02/2011,"48 Allendale Rise, Clonsilla",Dublin,220000.0,No,Clonsilla,Dublin 15,q2,40%
01/03/2011,"22 Pinebrook Heights, Clonsilla, Dublin 15",Dublin,160000.0,No,Clonsilla,Dublin 15,q1,20%
09/03/2011,"21 Allendale Close, Clonsilla",Dublin,218000.0,No,Clonsilla,Dublin 15,q2,40%
16/03/2011,"5 St Mochta'S Avenue, Coolmine  Clonsilla",Dublin,220000.0,No,Clonsilla,Dublin 15,q2,40%
22/03/2011,"3 Woodvale Grove, Clonsilla, Dublin 15",Dublin,158000.0,No,Clonsilla,Dublin 15,q1,20%
31/03/2011,"20 Whitechapel Road, Clonsilla",Dublin,132500.0,No,Clonsilla,Dublin 15,q1,10%
11/04/2011,"15 Mount Symon Avenue, Clonsilla, Dublin 15",Dublin,255000.0,No,Clonsilla,Dublin 15,q3,60%
15/04/2011,"86 Lambourne Park, Clonsilla",Dublin,285000.0,No,Clonsilla,Dublin 15,q3,70%
22/04/2011,"7 Glenville Grove, Clonsilla",Dublin,257000.0,No,Clonsilla,Dublin 15,q3,60%
29/04/2011,"15 Mount Symon Dale, Clonsilla",Dublin,230000.0,No,Clonsilla,Dublin 15,q2,50%
06/05/2011,"31 Portersgate Court, Clonsilla, Dublin 15",Dublin,226000.0,No,Clonsilla,Dublin 15,q2,40%
27/05/2011,"39 Castlewood, Castaheany, Clonsilla",Dublin,205000.0,No,Clonsilla,Dublin 15,q2,30%
31/05/2011,"79 Beechwood Downs, Clonsilla",Dublin,165000.0,No,Clonsilla,Dublin 15,q1,20%
23/06/2011,"44 Castlefield Woods, Clonsilla",Dublin,277500.0,No,Clonsilla,Dublin 15,q3,70%
24/06/2011,"208 Briarwood Lawns, Clonsilla",Dublin,160000.0,No,Clonsilla,Dublin 15,q1,20%
27/06/2011,"19 Oakview Avenue, Clonsilla",Dublin,150000.0,No,Clonsilla,Dublin 15,q1,20%
04/07/2011,"16 Sorell Drive, Clonsilla",Dublin,240000.0,No,Clonsilla,Dublin 15,q2,50%
13/07/2011,"30 Meadow Way, Clonsilla, Dublin 15",Dublin,160000.0,No,Clonsilla,Dublin 15,q1,20%
14/07/2011,"160 Lohunda Downs, Clonsilla, Dublin 15",Dublin,121000.0,No,Clonsilla,Dublin 15,q1,10%
14/07/2011,"32 Lohunda Drive, Clonsilla",Dublin,205000.0,No,Clonsilla,Dublin 15,q2,30%
15/07/2011,"97 Portersfield, Clonsilla D 15",Dublin,150000.0,No,Clonsilla,Dublin 15,q1,20%
21/07/2011,"22 Limelawn Rise, Clonsilla, Dublin 15",Dublin,270000.0,No,Clonsilla,Dublin 15,q3,60%
29/07/2011,"41 Ashfield Gardens, Clonsilla, Dublin 15",Dublin,160000.0,No,Clonsilla,Dublin 15,q1,20%
12/08/2011,"17 Aspen Avenue, Clonsilla, Dublin 15",Dublin,240000.0,No,Clonsilla,Dublin 15,q2,50%
16/08/2011,"69 Pinebrook Vale, Clonsilla",Dublin,125000.0,No,Clonsilla,Dublin 15,q1,10%
23/08/2011,"60 Beechwood Downs, Hartstown, Clonsilla",Dublin,85000.0,No,Clonsilla,Dublin 15,q1,10%
01/09/2011,"3 Pinebrook Downs, Clonsilla",Dublin,60000.0,No,Clonsilla,Dublin 15,q1,10%
02/09/2011,"4 Ravenswood Rise, Clonsilla",Dublin,197000.0,No,Clonsilla,Dublin 15,q2,30%
09/09/2011,"31 Charnwood Grove, Clonsilla, Dublin 15",Dublin,195000.0,No,Clonsilla,Dublin 15,q2,30%
16/09/2011,"16 Delhurst Park, Ongar Park, Clonsilla",Dublin,175000.0,No,Clonsilla,Dublin 15,q1,20%
16/09/2011,"50 Beechwood Downs, Clonsilla",Dublin,121000.0,No,Clonsilla,Dublin 15,q1,10%
16/09/2011,"98A Pinebrook Vale, Clonsilla",Dublin,182000.0,No,Clonsilla,Dublin 15,q1,30%
30/09/2011,"14 Alendale, Clonsilla",Dublin,170000.0,No,Clonsilla,Dublin 15,q1,20%
07/10/2011,"46 Castlefield Woods, Clonsilla",Dublin,350000.0,No,Clonsilla,Dublin 15,q4,90%
14/10/2011,"39 Huntstown, Clonsilla",Dublin,263500.0,No,Clonsilla,Dublin 15,q3,60%
17/10/2011,"31 Inglewood Drive, Clonsilla",Dublin,175000.0,No,Clonsilla,Dublin 15,q1,20%
27/10/2011,"4 Charnwood Meadows, Clonsilla",Dublin,235000.0,No,Clonsilla,Dublin 15,q2,50%
28/10/2011,"18 Mount Symon Avenue, Clonsilla, Dublin 15",Dublin,230000.0,No,Clonsilla,Dublin 15,q2,50%
28/10/2011,"31 Sorrel Heath, Clonsilla",Dublin,275000.0,No,Clonsilla,Dublin 15,q3,70%
28/10/2011,"92 Willow Wood Grove, Clonsilla, Dublin 15",Dublin,135000.0,No,Clonsilla,Dublin 15,q1,10%
01/11/2011,"24 Sorrel Dale, Clonsilla",Dublin,250000.0,No,Clonsilla,Dublin 15,q2,50%
04/11/2011,"12 Oakview Way, Clonsilla, Dublin 15",Dublin,150000.0,No,Clonsilla,Dublin 15,q1,20%
04/11/2011,"47 Oakview Avenue, Hartstown, Clonsilla",Dublin,154000.0,No,Clonsilla,Dublin 15,q1,20%
11/11/2011,"30 Castelfield Woods, Clonsilla, Dublin 15",Dublin,250000.0,No,Clonsilla,Dublin 15,q2,50%
11/11/2011,"8 Larchgrove, Clonsilla Road",Dublin,80000.0,No,Clonsilla,Dublin 15,q1,10%
16/11/2011,"102 Willow Wood Grove, Clonsilla",Dublin,185000.0,No,Clonsilla,Dublin 15,q1,30%
17/11/2011,"5 St Mochtas Close, Clonsilla",Dublin,160000.0,No,Clonsilla,Dublin 15,q1,20%
23/11/2011,"5 Allendale View, Clonsilla, Dublin 15",Dublin,172000.0,No,Clonsilla,Dublin 15,q1,20%
28/11/2011,"37 Ravenswood Avenue, Clonsilla, Dublin 15",Dublin,174000.0,No,Clonsilla,Dublin 15,q1,20%
02/12/2011,"22 Aspen Avenue, Aspen Woods, Clonsilla",Dublin,299000.0,No,Clonsilla,Dublin 15,q3,80%
09/12/2011,"36  Charnwood Grove, Clonsilla",Dublin,190000.0,No,Clonsilla,Dublin 15,q1,30%
13/12/2011,"46 Aspen Avenue, Clonsilla",Dublin,275000.0,No,Clonsilla,Dublin 15,q3,70%
16/12/2011,"7 Charnwood Meadows, Clonsilla, Dublin 15",Dublin,260000.0,No,Clonsilla,Dublin 15,q3,60%
19/12/2011,"5 Allendale Drive, Clonsilla, Dublin 15",Dublin,192000.0,No,Clonsilla,Dublin 15,q1,30%
20/12/2011,"14 Sorrell Dale, Clonsilla",Dublin,255000.0,No,Clonsilla,Dublin 15,q3,60%
21/12/2011,"8 Allendale Drive, Clonsilla, Dublin 15",Dublin,189000.0,No,Clonsilla,Dublin 15,q1,30%
22/12/2011,"57 Huntstown Wood, Clonsilla, Dublin 15",Dublin,129950.0,No,Clonsilla,Dublin 15,q1,10%
23/12/2011,"33 Stonebridge Avenue, Clonsilla, Dublin",Dublin,133000.0,No,Clonsilla,Dublin 15,q1,10%
15/01/2012,"37 Westhaven, Clonsilla, Dublin",Dublin,133000.0,No,Clonsilla,Dublin 15,q1,10%
19/01/2012,"157 Briarwood Close, Clonsilla, Dublin 15",Dublin,125500.0,No,Clonsilla,Dublin 15,q1,10%
26/01/2012,"28 Oakview Avenue, Clonsilla",Dublin,142000.0,No,Clonsilla,Dublin 15,q1,10%
27/01/2012,"21 Charnwood Court, Clonsilla",Dublin,195000.0,No,Clonsilla,Dublin 15,q2,30%
31/01/2012,"16 Sheepmoor Way, Clonsilla",Dublin,117500.0,No,Clonsilla,Dublin 15,q1,10%
02/02/2012,"28 Meadow Way, Clonsilla",Dublin,155000.0,No,Clonsilla,Dublin 15,q1,20%
03/02/2012,"48 Windemere, Clonsilla",Dublin,220000.0,No,Clonsilla,Dublin 15,q2,40%
03/02/2012,"48 Windemere, Clonsilla",Dublin,220000.0,No,Clonsilla,Dublin 15,q2,40%
10/02/2012,"101 Cherryfield Lawn, Hartstown, Clonsilla",Dublin,130000.0,No,Clonsilla,Dublin 15,q1,10%
17/02/2012,"21 Mount Symon Close, Clonsilla",Dublin,205000.0,No,Clonsilla,Dublin 15,q2,30%
24/02/2012,"14 Portersgate Grove, Clonsilla, Dublin 15",Dublin,255000.0,No,Clonsilla,Dublin 15,q3,60%
29/02/2012,"14 Station Court Park, Clonsilla",Dublin,144000.0,No,Clonsilla,Dublin 15,q1,10%
29/02/2012,"20  Charnwood Gardens, Clonsilla",Dublin,235000.0,No,Clonsilla,Dublin 15,q2,50%
23/03/2012,"23 Charnwood Gardens, Clonsilla",Dublin,220000.0,No,Clonsilla,Dublin 15,q2,40%
23/03/2012,"53 Lambourn Avenue, Clonsilla, Dublin 15",Dublin,200000.0,No,Clonsilla,Dublin 15,q2,30%
23/03/2012,"7 Sorrel Drive, Clonsilla",Dublin,290000.0,No,Clonsilla,Dublin 15,q3,70%
29/03/2012,"14 Oakview Rise, Clonsilla",Dublin,159000.0,No,Clonsilla,Dublin 15,q1,20%
02/04/2012,"8 Charnwood Meadows, Clonsilla, Dublin 15",Dublin,125000.0,No,Clonsilla,Dublin 15,q1,10%
04/04/2012,"24 Mount Symon Green, Clonsilla, Dublin 15",Dublin,196000.0,No,Clonsilla,Dublin 15,q2,30%
05/04/2012,"21 Portersgate Crescent, Clonsilla",Dublin,246500.0,No,Clonsilla,Dublin 15,q2,50%
12/04/2012,"10 Allendale Glade, Clonsilla",Dublin,180000.0,No,Clonsilla,Dublin 15,q1,20%
25/04/2012,"21 Woodvale Garth, Clonsilla",Dublin,96000.0,No,Clonsilla,Dublin 15,q1,10%
26/04/2012,"9 Portersgate Lawn, Clonsilla",Dublin,214000.0,No,Clonsilla,Dublin 15,q2,40%
01/05/2012,"16 Portersgate Avenue, Clonsilla, Dublin 15",Dublin,185000.0,No,Clonsilla,Dublin 15,q1,30%
01/05/2012,"2 Allendale Place, Clonsilla",Dublin,189000.0,No,Clonsilla,Dublin 15,q1,30%
05/05/2012,"6 Portersgate Lawn, Clonsilla",Dublin,218000.0,No,Clonsilla,Dublin 15,q2,40%
11/05/2012,"85 Castlefield Court, Clonsilla",Dublin,155000.0,No,Clonsilla,Dublin 15,q1,20%
17/05/2012,"24 Castlewood, Clonsilla",Dublin,95000.0,No,Clonsilla,Dublin 15,q1,10%
23/05/2012,"3 Lohunda Green, Parkview, Clonsilla",Dublin,115000.0,No,Clonsilla,Dublin 15,q1,10%
24/05/2012,"24 Inglewood Drive, Clonsilla",Dublin,150000.0,No,Clonsilla,Dublin 15,q1,20%
05/06/2012,"18 Ashfield Way, Clonsilla",Dublin,145000.0,No,Clonsilla,Dublin 15,q1,10%
