date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
06/01/2010,"31 Gledswood Park, Clonskeagh, Dublin 14",Dublin,385000.0,No,Clonskeagh,Dublin 14,q1,30%
18/01/2010,"9 Whitebeam Road, Clonskeagh",Dublin,820000.0,No,Clonskeagh,Dublin 14,q4,90%
29/01/2010,"4 The Palms, Roebuck Road, Clonskeagh",Dublin,595000.0,No,Clonskeagh,Dublin 14,q3,60%
18/02/2010,"9 Gledswood Park, Clonskeagh, Dublin 14",Dublin,500000.0,No,Clonskeagh,Dublin 14,q2,50%
30/03/2010,"40 Louvain, Ardilea, Clonskeagh",Dublin,1175000.0,No,Clonskeagh,Dublin 14,q4,100%
23/04/2010,"15 Rosemount Crescent, Roebuck Road, Clonskeagh",Dublin,875000.0,No,Clonskeagh,Dublin 14,q4,90%
23/04/2010,"7  Roebuck Lawn, Clonskeagh",Dublin,638000.0,No,Clonskeagh,Dublin 14,q3,70%
27/04/2010,"16 Roebuck Road, Clonskeagh, Dublin 14",Dublin,700000.0,No,Clonskeagh,Dublin 14,q3,70%
27/05/2010,"33 Bird Avenue, Clonskeagh",Dublin,536000.0,No,Clonskeagh,Dublin 14,q3,60%
10/06/2010,"The Graan, Roebuck Rd, Clonskeagh",Dublin,550000.0,No,Clonskeagh,Dublin 14,q3,60%
14/06/2010,"1 Heidelberg, Clonskeagh",Dublin,500000.0,No,Clonskeagh,Dublin 14,q2,50%
17/06/2010,"91 White Oaks, Clonskeagh",Dublin,235000.0,No,Clonskeagh,Dublin 14,q1,10%
29/06/2010,"13 Orghard Square, Bird Ave, Clonskeagh",Dublin,235000.0,No,Clonskeagh,Dublin 14,q1,10%
30/06/2010,"Rosbeg, 58 Robuck Road, Clonskeagh",Dublin,567000.0,No,Clonskeagh,Dublin 14,q3,60%
30/07/2010,"134 The Maples, Bird Avenue, Clonskeagh  Dublin 14",Dublin,495000.0,No,Clonskeagh,Dublin 14,q2,50%
09/08/2010,"25 Gledswood Avenue, Clonskeagh, Dublin",Dublin,460000.0,No,Clonskeagh,Dublin 14,q2,40%
03/09/2010,"14 Whitebeam Road, Clonskeagh, Dublin",Dublin,755000.0,No,Clonskeagh,Dublin 14,q3,80%
09/09/2010,"36 Gledswood Park, Clonskeagh",Dublin,527000.0,No,Clonskeagh,Dublin 14,q2,50%
10/09/2010,"18 The Maples, Bird Avenue, Clonskeagh",Dublin,460000.0,No,Clonskeagh,Dublin 14,q2,40%
15/10/2010,"53 Roebuck Castle, Clonskeagh",Dublin,350000.0,No,Clonskeagh,Dublin 14,q1,20%
15/10/2010,"57 White Oaks, Clonskeagh",Dublin,204000.0,No,Clonskeagh,Dublin 14,q1,10%
28/10/2010,"142  The Maples, Bird Avenue, Clonskeagh",Dublin,100000.0,No,Clonskeagh,Dublin 14,q1,10%
13/01/2011,"62 The Maples, Clonskeagh",Dublin,350000.0,No,Clonskeagh,Dublin 14,q1,20%
20/01/2011,"72 Roebuck Road, Clonskeagh",Dublin,920000.0,No,Clonskeagh,Dublin 14,q4,90%
24/01/2011,"68 Roebuck Road, Clonskeagh",Dublin,660792.95,Yes,Clonskeagh,Dublin 14,q3,70%
27/01/2011,"2 Vergemount Court, Clonskeagh Road",Dublin,295000.0,No,Clonskeagh,Dublin 14,q1,20%
28/01/2011,"21 The Palms, Roebuck Road, Clonskeagh",Dublin,715000.0,No,Clonskeagh,Dublin 14,q3,80%
01/02/2011,"90 The Maples, Bird Avenue, Clonskeagh",Dublin,400000.0,No,Clonskeagh,Dublin 14,q2,30%
21/04/2011,"47 Roebuck Downs, Clonskeagh",Dublin,380000.0,No,Clonskeagh,Dublin 14,q1,30%
15/06/2011,"47 Whitethorn Road, Clonskeagh",Dublin,555000.0,No,Clonskeagh,Dublin 14,q3,60%
