date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
21/01/2010,"33 Lawrence Grove, Clontarf, Dublin 3",Dublin,455000.0,No,Clontarf,Dublin 3,q2,50%
25/01/2010,"76 Kincora Grove, Clontarf, Dublin 3",Dublin,625000.0,No,Clontarf,Dublin 3,q3,70%
28/01/2010,"272  Clontarf Road, Clontarf, Dublin 3",Dublin,525000.0,No,Clontarf,Dublin 3,q3,60%
28/01/2010,"334 Clontarf Road, Clontarf",Dublin,1200000.0,No,Clontarf,Dublin 3,q4,100%
28/01/2010,"35 Oulton Road, Clontarf",Dublin,890000.0,No,Clontarf,Dublin 3,q4,90%
29/01/2010,"3 Dollymount Rise, Clontarf, Dublin 3",Dublin,650000.0,No,Clontarf,Dublin 3,q3,70%
05/02/2010,"14 Vernon Park, Clontarf, Dublin 3",Dublin,775000.0,No,Clontarf,Dublin 3,q4,90%
19/02/2010,"58 Seafield Road, Clontarf",Dublin,850000.0,No,Clontarf,Dublin 3,q4,90%
19/02/2010,"85, Hollybrook Road, Clontarf",Dublin,595000.0,No,Clontarf,Dublin 3,q3,70%
19/02/2010,"Apartment 69  Seapark, Mount Prospect Avenue, Clontarf",Dublin,209000.0,No,Clontarf,Dublin 3,q1,10%
05/03/2010,"140 Vernon Avenue, Clontarf, Dublin 3",Dublin,570000.0,No,Clontarf,Dublin 3,q3,60%
05/03/2010,"2 Walpole Mews, Kincora Avenue, Clontarf",Dublin,480000.0,No,Clontarf,Dublin 3,q2,50%
08/03/2010,"109 Vernon Avenue, Clontarf",Dublin,325000.0,No,Clontarf,Dublin 3,q1,30%
09/03/2010,"46 Park Lawn, Mount Prospect Avenue, Clontarf",Dublin,540000.0,No,Clontarf,Dublin 3,q3,60%
16/03/2010,"20 Charlemont Road, Clontarf, Dublin",Dublin,510000.0,No,Clontarf,Dublin 3,q2,50%
24/03/2010,"2C  Seafield Road West, Clontarf, Dublin 3",Dublin,1080000.0,No,Clontarf,Dublin 3,q4,100%
30/03/2010,"3 Seapark Drive, Clontarf, Dublin 3",Dublin,395000.0,No,Clontarf,Dublin 3,q2,40%
31/03/2010,"25 Clontarf Road, Clontarf",Dublin,725000.0,No,Clontarf,Dublin 3,q4,80%
31/03/2010,"36 Park Lawn, Mount Prospect Avenue, Clontarf",Dublin,477500.0,No,Clontarf,Dublin 3,q2,50%
31/03/2010,"Apartment 121, Belgrove Park, Clontarf",Dublin,301000.0,No,Clontarf,Dublin 3,q1,30%
31/03/2010,"Curragha, Seacourt, Clontarf",Dublin,1000000.0,No,Clontarf,Dublin 3,q4,100%
01/04/2010,"24 Victoria Villas, Clontarf, Dublin",Dublin,425000.0,No,Clontarf,Dublin 3,q2,40%
01/04/2010,"62 Brooklawn, Strandville Avenue East, Clontarf",Dublin,192000.0,No,Clontarf,Dublin 3,q1,10%
07/04/2010,"Apartment No. 3, 18 Marino Crescent, Clontarf",Dublin,145500.0,No,Clontarf,Dublin 3,q1,10%
09/04/2010,"74 Mount Prospect Avenue, Clontarf",Dublin,655000.0,No,Clontarf,Dublin 3,q3,70%
12/04/2010,"108 Mount Prospect Avenue, Clontarf",Dublin,680000.0,No,Clontarf,Dublin 3,q3,80%
16/04/2010,"7 Brooklawn, Strandville Avenue, Clontarf",Dublin,180000.0,No,Clontarf,Dublin 3,q1,10%
22/04/2010,"106 Kincora Road, Clontarf, Dublin 3",Dublin,450000.0,No,Clontarf,Dublin 3,q2,50%
27/04/2010,"19 Conquer Hill, Clontarf, Dublin 3",Dublin,250000.0,No,Clontarf,Dublin 3,q1,20%
27/04/2010,"29 Oakley Park, Clontarf, Dublin 3",Dublin,507000.0,No,Clontarf,Dublin 3,q2,50%
30/04/2010,"Apt. 1  St. Davids Court, Castle Avenue, Clontarf",Dublin,275000.0,No,Clontarf,Dublin 3,q1,20%
04/05/2010,"15 Mount Prospect Drive, Clontarf",Dublin,522000.0,No,Clontarf,Dublin 3,q3,60%
