date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
22/01/2010,"21 St Brendans, Coolock",Dublin,330000.0,No,Coolock,Dublin 5,q4,90%
26/01/2010,"9 Beechdale Green, Coolock",Dublin,167000.0,No,Coolock,Dublin 5,q2,30%
16/03/2010,"25 Beechlawn Close, Coolock",Dublin,280000.0,No,Coolock,Dublin 5,q3,80%
19/03/2010,"23 St Brendans Avenue, Coolock",Dublin,300000.0,No,Coolock,Dublin 5,q4,80%
22/04/2010,"44 Beechpark Court, Coolock",Dublin,255000.0,No,Coolock,Dublin 5,q3,70%
30/04/2010,"56 Dunree Park, Coolock, Dublin 5",Dublin,330000.0,No,Coolock,Dublin 5,q4,90%
30/04/2010,"9 Woodlawn Way, Coolock",Dublin,290000.0,No,Coolock,Dublin 5,q4,80%
04/06/2010,"60 Tonlegee Road, Coolock",Dublin,260000.0,No,Coolock,Dublin 5,q3,70%
21/06/2010,"22 St. Brendan'S Drive, Coolock",Dublin,320000.0,No,Coolock,Dublin 5,q4,90%
04/08/2010,"12 Moatfield Road, St Brendan'S Estate, Coolock",Dublin,305000.0,No,Coolock,Dublin 5,q4,90%
28/10/2010,"44 Kilmore Drive, Coolock, Dublin 5",Dublin,280000.0,No,Coolock,Dublin 5,q3,80%
10/11/2010,"9 Glin Crescent, Coolock  Dublin 17",Dublin,178000.0,No,Coolock,Dublin 5,q2,30%
16/11/2010,"49 Kilbarron Park, Coolock",Dublin,126500.0,No,Coolock,Dublin 5,q1,20%
10/12/2010,"37  Glin Grove, Coolock",Dublin,208500.0,No,Coolock,Dublin 5,q2,50%
14/12/2010,"6 Tranquility Grove, Coolock",Dublin,240000.0,No,Coolock,Dublin 5,q3,60%
17/12/2010,"27 St. Brendans Ave, Coolock, Dublin 5",Dublin,240000.0,No,Coolock,Dublin 5,q3,60%
22/12/2010,"28  Castletimon Road, Coolock, Dublin 17",Dublin,160000.0,No,Coolock,Dublin 5,q1,30%
05/01/2011,"38 Kilmore Avenue, Coolock",Dublin,270000.0,No,Coolock,Dublin 5,q3,70%
28/01/2011,"12  Ballyshannon Avenue, Kilmore, Coolock",Dublin,160000.0,No,Coolock,Dublin 5,q1,30%
16/02/2011,"9 Greencastle Cres, Coolock, Dublin 17",Dublin,160000.0,No,Coolock,Dublin 5,q1,30%
31/03/2011,"38 Chanel Road, Coolock",Dublin,325000.0,No,Coolock,Dublin 5,q4,90%
24/05/2011,"66 Tonglegee Road, Coolock",Dublin,235000.0,No,Coolock,Dublin 5,q3,60%
24/06/2011,"147 Kilbarron Road, Coolock",Dublin,160000.0,No,Coolock,Dublin 5,q1,30%
28/06/2011,"122A Ballyshannon Road, Coolock, Dublin 5",Dublin,176211.45,Yes,Coolock,Dublin 5,q2,30%
19/07/2011,"17 Clonrosse Drive, Ard Na Greine, Coolock",Dublin,248000.0,No,Coolock,Dublin 5,q3,70%
05/08/2011,"122B Ballyshannon Road, Coolock",Dublin,177973.0,Yes,Coolock,Dublin 5,q2,30%
15/08/2011,"4 Adare Park, Coolock, Dublin 17",Dublin,130000.0,No,Coolock,Dublin 5,q1,20%
19/08/2011,"54 Greencastle Avenue, Coolock",Dublin,146500.0,No,Coolock,Dublin 5,q1,30%
30/09/2011,"18 Castletimon Road, Coolock",Dublin,135000.0,No,Coolock,Dublin 5,q1,20%
07/11/2011,"Apartment 45  Block B, Castle Elms  Greencastle Road, Coolock",Dublin,95000.0,No,Coolock,Dublin 5,q1,10%
13/12/2011,"4 Castletimon Park, Coolock",Dublin,170000.0,No,Coolock,Dublin 5,q2,30%
14/12/2011,"9 Chanel Grove, Coolock, Dublin 5",Dublin,212000.0,No,Coolock,Dublin 5,q2,50%
20/12/2011,"56 Glin Road, Coolock, Dublin 17",Dublin,140000.0,No,Coolock,Dublin 5,q1,20%
24/02/2012,"66 Chanel Road, Coolock",Dublin,165000.0,No,Coolock,Dublin 5,q2,30%
26/03/2012,"72 Moatfield Avenue, Coolock",Dublin,182500.0,No,Coolock,Dublin 5,q2,40%
23/05/2012,"32C Glin Drive, Coolock, Dublin 17",Dublin,90000.0,No,Coolock,Dublin 5,q1,10%
25/05/2012,"3 Greencastle Avenue, Coolock",Dublin,115000.0,No,Coolock,Dublin 5,q1,10%
25/05/2012,"87 Glin Drive, Coolock",Dublin,115000.0,No,Coolock,Dublin 5,q1,10%
22/06/2012,"24 Adare Drive, Coolock",Dublin,130000.0,No,Coolock,Dublin 5,q1,20%
28/06/2012,"91 Kilbarron Road, Coolock",Dublin,100000.0,No,Coolock,Dublin 5,q1,10%
29/06/2012,"4 Beechpark Avenue, Coolock, Dublin 5",Dublin,230000.0,No,Coolock,Dublin 5,q3,60%
12/07/2012,"1 Kilbarron Road, Coolock",Dublin,123500.0,No,Coolock,Dublin 5,q1,20%
01/08/2012,"30 St. Brendan'S Terrace, Coolock",Dublin,131000.0,No,Coolock,Dublin 5,q1,20%
23/08/2012,"15 Ferrycarrig Avenue, Coolock",Dublin,100000.0,No,Coolock,Dublin 5,q1,10%
28/08/2012,"5 St. Brendans Park, Coolock, Dublin 5",Dublin,138000.0,No,Coolock,Dublin 5,q1,20%
29/08/2012,"36 Adare Drive, Coolock, Dublin 17",Dublin,100000.0,No,Coolock,Dublin 5,q1,10%
10/09/2012,"106 Castletimon Road, Coolock, Dublin 5",Dublin,106666.04,No,Coolock,Dublin 5,q1,10%
19/09/2012,"203 Tonglee Road, Coolock",Dublin,294000.0,No,Coolock,Dublin 5,q4,80%
19/10/2012,"50 Beechpark Court, Coolock",Dublin,170000.0,No,Coolock,Dublin 5,q2,30%
23/10/2012,"69 Glynn Drive, Coolock",Dublin,110000.0,No,Coolock,Dublin 5,q1,10%
31/10/2012,"1 Greencastle Drive, Coolock, Dublin 17",Dublin,105000.0,No,Coolock,Dublin 5,q1,10%
31/10/2012,"11 Dunree Park, Coolock",Dublin,155000.0,No,Coolock,Dublin 5,q1,30%
13/11/2012,"10 Barryscourt Road, Coolock",Dublin,96000.0,No,Coolock,Dublin 5,q1,10%
06/12/2012,"32 Castletimon Road, Kilmore West, Coolock",Dublin,107000.0,No,Coolock,Dublin 5,q1,10%
06/12/2012,"45 Glin Drive, Coolock",Dublin,140000.0,No,Coolock,Dublin 5,q1,20%
07/12/2012,"86 Ferrycarrig Road, Coolock",Dublin,140000.0,No,Coolock,Dublin 5,q1,20%
12/12/2012,"132 Kilmore Road, Coolock",Dublin,85279.0,No,Coolock,Dublin 5,q1,10%
17/12/2012,"34 Moatfield Park, Coolock",Dublin,183000.0,No,Coolock,Dublin 5,q2,40%
19/12/2012,"52 Dunree Park, Coolock, Dublin 5",Dublin,180000.0,No,Coolock,Dublin 5,q2,40%
21/12/2012,"42 Moatfield, St. Brendans, Coolock",Dublin,230000.0,No,Coolock,Dublin 5,q3,60%
27/12/2012,"14 Castletimon Road, Coolock, Dublin 5",Dublin,105000.0,No,Coolock,Dublin 5,q1,10%
14/01/2013,"66 Ferrycarrig Park, Coolock",Dublin,80000.0,No,Coolock,Dublin 5,q1,10%
18/01/2013,"134 Macroom Road, Coolock, Dublin 17",Dublin,133500.0,No,Coolock,Dublin 5,q1,20%
01/02/2013,"77 St Brendan'S Avenue, Coolock",Dublin,200000.0,No,Coolock,Dublin 5,q2,50%
08/02/2013,"85 Kilbarron Road, Coolock",Dublin,100000.0,No,Coolock,Dublin 5,q1,10%
25/02/2013,"61 Adare Road, Coolock",Dublin,118000.0,No,Coolock,Dublin 5,q1,10%
15/03/2013,"12 Marlborough Road, Coolock",Dublin,380000.0,No,Coolock,Dublin 5,q4,100%
05/04/2013,"37 Beechlawn Close, Coolock",Dublin,180000.0,No,Coolock,Dublin 5,q2,40%
12/04/2013,"7 Moatfield Avenue, Coolock, Dublin 17",Dublin,194000.0,No,Coolock,Dublin 5,q2,40%
23/04/2013,"26 Moatfield Avenue, Coolock",Dublin,205000.0,No,Coolock,Dublin 5,q2,50%
24/05/2013,"169 Bunratty Road, Coolock",Dublin,88000.0,No,Coolock,Dublin 5,q1,10%
31/05/2013,"20 Castle Elms, Coolock, Dublin 17",Dublin,140000.0,No,Coolock,Dublin 5,q1,20%
14/06/2013,"18 Chanel Road, Coolock",Dublin,235000.0,No,Coolock,Dublin 5,q3,60%
17/06/2013,"42 St Brendans Drive, Coolock, Dublin 5",Dublin,287500.0,No,Coolock,Dublin 5,q4,80%
20/06/2013,"8 Castletimon Avenue, Coolock, Dublin 5",Dublin,130000.0,No,Coolock,Dublin 5,q1,20%
28/06/2013,"26 St. Brendans Park, Coolock",Dublin,273000.0,No,Coolock,Dublin 5,q3,80%
15/07/2013,"56 Bunratty Drive, Coolock",Dublin,138000.0,No,Coolock,Dublin 5,q1,20%
18/07/2013,"76 Bunratty Road, Coolock",Dublin,122500.0,No,Coolock,Dublin 5,q1,10%
30/07/2013,"28 Ferrycarrig Avenue, Coolock",Dublin,110000.0,No,Coolock,Dublin 5,q1,10%
18/08/2013,"3 Adare Park, Coolock",Dublin,99000.0,No,Coolock,Dublin 5,q1,10%
23/08/2013,"45 Ferrycarrig Road, Coolock, Dublin 17",Dublin,80000.0,No,Coolock,Dublin 5,q1,10%
17/09/2013,"5 Beechwood Park, Coolock, Dublin 5",Dublin,187500.0,No,Coolock,Dublin 5,q2,40%
23/09/2013,"14 Bunratty Road, Coolock, Dublin 17",Dublin,115000.0,No,Coolock,Dublin 5,q1,10%
03/10/2013,"42 Macroom Road, Coolock",Dublin,135000.0,No,Coolock,Dublin 5,q1,20%
10/10/2013,"113 Cromcastle Road, Coolock, Dublin 5",Dublin,121000.0,No,Coolock,Dublin 5,q1,10%
11/10/2013,"31 Greencastle Crescent, Coolock",Dublin,80000.0,No,Coolock,Dublin 5,q1,10%
14/10/2013,"16 Ferrycarrig Avenue, Coolock",Dublin,128000.0,No,Coolock,Dublin 5,q1,20%
14/10/2013,"36 Adare Drive, Coolock",Dublin,137000.0,No,Coolock,Dublin 5,q1,20%
15/10/2013,"42 Chanel Road, Coolock",Dublin,305000.0,No,Coolock,Dublin 5,q4,90%
16/10/2013,"45 Cromcastle Park, Coolock, Dublin 5",Dublin,125000.0,No,Coolock,Dublin 5,q1,20%
18/10/2013,"18 Ballyshannon Road, Coolock",Dublin,143000.0,No,Coolock,Dublin 5,q1,20%
18/10/2013,"188 Greencastle Road, Coolock",Dublin,115000.0,No,Coolock,Dublin 5,q1,10%
22/10/2013,"77 Glinn Drive, Coolock",Dublin,125000.0,No,Coolock,Dublin 5,q1,20%
25/10/2013,"15 Castletimon Avenue, Coolock, Dublin 5",Dublin,110785.0,No,Coolock,Dublin 5,q1,10%
25/10/2013,"6 Beechpark Avenue, Coolock",Dublin,190000.0,No,Coolock,Dublin 5,q2,40%
29/10/2013,"16 Eagle Park, Coolock, Dublin 5",Dublin,160000.0,No,Coolock,Dublin 5,q1,30%
08/11/2013,"5 Ferrycarrig Avenue, Coolock, Dublin 17",Dublin,100000.0,No,Coolock,Dublin 5,q1,10%
