date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
15/09/2010,"32 Cremore Road, Glasnevin",Dublin,535000.0,No,Cremore,Dublin 11,q3,70%
03/12/2010,"30 Cremore Crescent, Glasnevin",Dublin,420000.0,No,Cremore,Dublin 11,q2,40%
21/01/2011,"18 Cremore Park, Glasnevin",Dublin,99473.0,No,Cremore,Dublin 11,q1,10%
19/07/2011,"16 Cremore Drive, Glasnevin",Dublin,310000.0,No,Cremore,Dublin 11,q1,20%
13/12/2011,"30 Cremore Heights, Glasnevin, Dublin 11",Dublin,255000.0,No,Cremore,Dublin 11,q1,10%
13/04/2012,"12 Cremore Crescent, Glasnevin",Dublin,255000.0,No,Cremore,Dublin 11,q1,10%
25/06/2012,"33 Cremore Crescent, Glasnevin, Dublin 11",Dublin,292500.0,No,Cremore,Dublin 11,q1,20%
11/06/2013,"13 Cremore Drive, Glasnevin",Dublin,332000.0,No,Cremore,Dublin 11,q1,20%
04/07/2013,"16 Cremore Crescent, Glasnevin",Dublin,350000.0,No,Cremore,Dublin 11,q1,20%
11/07/2013,"12 Cremore Lawn, Glasnevin",Dublin,360000.0,No,Cremore,Dublin 11,q1,30%
30/08/2013,"28 Cremore Crecent, Glasnevin, Dublin 11",Dublin,385000.0,No,Cremore,Dublin 11,q2,40%
08/11/2013,"4 Cremore Heights, Glasnevin, Dublin 11",Dublin,225000.0,No,Cremore,Dublin 11,q1,10%
15/11/2013,"20 Cremore Park, Glasnevin, Dublin 11",Dublin,625000.0,No,Cremore,Dublin 11,q4,90%
11/12/2013,"10 Cremore Drive, Glasnevin, Dublin 11",Dublin,340000.0,No,Cremore,Dublin 11,q1,20%
05/03/2014,"18 Cremore Heights, Glasnevin, Dublin 11",Dublin,251000.0,No,Cremore,Dublin 11,q1,10%
28/05/2014,"16 Cremore Villas, Glasnevin, Dublin 11",Dublin,511000.0,No,Cremore,Dublin 11,q3,70%
04/07/2014,"9 Cremore Park, Dublin 11, Dublin",Dublin,655000.0,No,Cremore,Dublin 11,q4,100%
21/07/2014,"14 Cremore Road, Glasnevin",Dublin,665000.0,No,Cremore,Dublin 11,q4,100%
27/11/2014,"44 Cremore Lawn, Glasnevin, Dublin 11",Dublin,505000.0,No,Cremore,Dublin 11,q3,70%
27/02/2015,"19 Cremore Dr, Glasnevin, Dublin 11",Dublin,390000.0,No,Cremore,Dublin 11,q2,40%
06/05/2015,"26 Cremore Dr, Glasnevin, Dublin 11",Dublin,415000.0,No,Cremore,Dublin 11,q2,40%
08/10/2015,"5 Cremore Crescent, Glasnevin, Dublin 11",Dublin,475000.0,No,Cremore,Dublin 11,q2,50%
31/03/2016,"1 Cremore Park, Glasnevin, Dublin 11",Dublin,1250000.0,No,Cremore,Dublin 11,q4,100%
05/07/2016,"26 Cremore Cresent, Glasnevin, Dublin 11",Dublin,485000.0,No,Cremore,Dublin 11,q3,60%
14/09/2016,"6 Cremore Dr, Glasnevin Dublin 11, Dublin",Dublin,545000.0,No,Cremore,Dublin 11,q3,80%
23/09/2016,"10 Cremore Crescent, Dublin 11, Dublin",Dublin,467000.0,No,Cremore,Dublin 11,q2,50%
29/09/2016,"15 Cremore Crescent, Glasnevin, Dublin 11",Dublin,470000.0,No,Cremore,Dublin 11,q2,50%
11/10/2016,"19 Cremore Rd, Glasnevin, Dublin 11",Dublin,550000.0,No,Cremore,Dublin 11,q4,80%
30/11/2016,"8 Cremore Dr, Glasnevin, Dublin 91",Dublin,480000.0,No,Cremore,Dublin 11,q3,60%
21/12/2016,"43 Cremore Lawn, Glasnevin, Dublin 11",Dublin,444500.0,No,Cremore,Dublin 11,q2,40%
03/02/2017,"28 Cremore Crescent, Dublin 11",Dublin,500000.0,No,Cremore,Dublin 11,q3,60%
03/02/2017,"39 Cremore Crescent, Glasnevin, Dublin 11",Dublin,500000.0,No,Cremore,Dublin 11,q3,60%
31/05/2017,"7 Cremore Crescent, Glasnevin, Dublin 11",Dublin,450000.0,No,Cremore,Dublin 11,q2,50%
07/07/2017,"5 Cremore Road, Glasnevin, Dublin 11",Dublin,560000.0,No,Cremore,Dublin 11,q4,80%
07/11/2017,"27 Cremore Crescent, Glasnevin, Dublin 11",Dublin,675000.0,No,Cremore,Dublin 11,q4,100%
20/02/2018,"23 Cremore Heights, Glasnevin, Dublin 11",Dublin,500000.0,No,Cremore,Dublin 11,q3,70%
15/06/2018,"27 Cremore Heights, Glasnevin, Dublin 11",Dublin,370000.0,No,Cremore,Dublin 11,q2,30%
20/09/2018,"4 Cremore Crescent, Glasnevin, Dublin 11",Dublin,649000.0,No,Cremore,Dublin 11,q4,100%
24/09/2018,"23 Cremore Crescent, Glasnevin, Dublin 11",Dublin,610000.0,No,Cremore,Dublin 11,q4,90%
07/12/2018,"14 Cremore Lawn, Glasnevin, Dublin 11",Dublin,525000.0,No,Cremore,Dublin 11,q3,70%
14/01/2019,"28 Cremore Rd, Glasnevin, Dublin 11",Dublin,647500.0,No,Cremore,Dublin 11,q4,90%
08/02/2019,"40 Cremore Heights, Glasnevin, Dublin 11",Dublin,365000.0,No,Cremore,Dublin 11,q1,30%
01/04/2019,"14 Cremore Villas, Glasnevin, Dublin 11",Dublin,630000.0,No,Cremore,Dublin 11,q4,90%
01/04/2019,"26 Cremore Dr, Glasnevin, Dublin 11",Dublin,470000.0,No,Cremore,Dublin 11,q2,50%
12/06/2019,"13 Cremore Lawn, Glasnevin, Dublin 11",Dublin,545000.0,No,Cremore,Dublin 11,q3,80%
18/07/2019,"1 Cremore Crescent, Glasnevin, Dublin 11",Dublin,580000.0,No,Cremore,Dublin 11,q4,90%
16/08/2019,"25 Cremore Heights, Glasnevin, Dublin 11",Dublin,370000.0,No,Cremore,Dublin 11,q2,30%
