date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
14/01/2010,"279  Captain'S Road, Crumlin",Dublin,185000.0,No,Crumlin,Dublin 12,q2,40%
25/01/2010,"81 Cashel Avenue, Crumlin, Dublin 12",Dublin,222000.0,No,Crumlin,Dublin 12,q2,50%
27/01/2010,"148 Clonmacnoise Road, Crumlin",Dublin,220000.0,No,Crumlin,Dublin 12,q2,50%
27/01/2010,"87 Cashel Road, Crumlin",Dublin,155000.0,No,Crumlin,Dublin 12,q1,30%
27/01/2010,"99 Devenish Road, Crumlin, Dublin 12",Dublin,180000.0,No,Crumlin,Dublin 12,q2,40%
09/02/2010,"367 Clogher Road, Crumlin",Dublin,340000.0,No,Crumlin,Dublin 12,q4,90%
09/02/2010,"367 Clogher Road, Crumlin",Dublin,340000.0,No,Crumlin,Dublin 12,q4,90%
11/02/2010,"25 Kildare Park, Crumlin, Dublin 12",Dublin,225000.0,No,Crumlin,Dublin 12,q2,50%
11/02/2010,"63 Raphoe Road, Crumlin, Dublin 12",Dublin,377000.0,No,Crumlin,Dublin 12,q4,100%
15/02/2010,"98 Clonmacnoise Road, Crumlin",Dublin,215000.0,No,Crumlin,Dublin 12,q2,50%
19/02/2010,"6 Windmill Avenue, Crumlin",Dublin,200000.0,No,Crumlin,Dublin 12,q2,40%
03/03/2010,"44 Ballynakelly Green, Crumlin",Dublin,220264.0,Yes,Crumlin,Dublin 12,q2,50%
04/03/2010,"73 Stannaway Avenue, Crumlin",Dublin,230000.0,No,Crumlin,Dublin 12,q2,50%
05/03/2010,"162 Cashel Road, Crumlin, Dublin 12",Dublin,210000.0,No,Crumlin,Dublin 12,q2,50%
08/03/2010,"88 Iveagh Gardens, Crumlin, Dublin 12",Dublin,460000.0,No,Crumlin,Dublin 12,q4,100%
29/03/2010,"163 Captain'S Road, Crumlin",Dublin,120000.0,No,Crumlin,Dublin 12,q1,20%
29/03/2010,"40 Clonard Road, Crumlin",Dublin,192000.0,No,Crumlin,Dublin 12,q2,40%
29/03/2010,"6 Iveagh Gardens, Crumlin",Dublin,390000.0,No,Crumlin,Dublin 12,q4,100%
01/04/2010,"260 Crumlin Road, Dublin 12",Dublin,268000.0,No,Crumlin,Dublin 12,q3,70%
13/04/2010,"43 Raphoe Road, Crumlin, Dublin 12",Dublin,287500.0,No,Crumlin,Dublin 12,q3,80%
13/04/2010,"93 Clonmacnoise Road, Crumlin, Dublin 12",Dublin,230000.0,No,Crumlin,Dublin 12,q2,50%
13/04/2010,"93 Clonmacnoise Road, Crumlin, Dublin 12",Dublin,230000.0,No,Crumlin,Dublin 12,q2,50%
16/04/2010,"138 Downpatrick Road, Crumlin",Dublin,260500.0,No,Crumlin,Dublin 12,q3,70%
16/04/2010,"40 Durrow Road, Crumlin",Dublin,200000.0,No,Crumlin,Dublin 12,q2,40%
26/04/2010,"Apartment 8 Fort Ostman, Old County Road, Crumlin",Dublin,190000.0,No,Crumlin,Dublin 12,q2,40%
13/05/2010,"17 Kilfenora Road, Crumlin, Dublin 12",Dublin,240000.0,No,Crumlin,Dublin 12,q3,60%
21/05/2010,"64 St. Agnes Road, Crumlin, Dublin",Dublin,325000.0,No,Crumlin,Dublin 12,q4,90%
24/05/2010,"217 Clonard Road, Crumlin",Dublin,237500.0,No,Crumlin,Dublin 12,q3,60%
27/05/2010,"49 Cashel Road, Crumlin",Dublin,200000.0,No,Crumlin,Dublin 12,q2,40%
08/06/2010,"22 Somerville Avenue, Crumlin, Dublin 12",Dublin,290000.0,No,Crumlin,Dublin 12,q4,80%
08/06/2010,"225 Kildare Road, Crumlin",Dublin,180000.0,No,Crumlin,Dublin 12,q2,40%
08/06/2010,"62 Rutland Ave, Crumlin",Dublin,210000.0,No,Crumlin,Dublin 12,q2,50%
09/06/2010,"162 Downpatrick Road, Crumlin",Dublin,150000.0,No,Crumlin,Dublin 12,q1,30%
11/06/2010,"86 Devenish Road, Crumlin",Dublin,145000.0,No,Crumlin,Dublin 12,q1,20%
16/06/2010,"109 Bangor Road, Crumlin, Dublin 12",Dublin,196000.0,No,Crumlin,Dublin 12,q2,40%
16/06/2010,"73 St. Agnes Park, Crumlin",Dublin,243000.0,No,Crumlin,Dublin 12,q3,60%
17/06/2010,"102 Stanaway Road, Crumlin",Dublin,199300.0,No,Crumlin,Dublin 12,q2,40%
23/06/2010,"113 Captains Road, Crumlin",Dublin,180000.0,No,Crumlin,Dublin 12,q2,40%
23/06/2010,"113 Captains Road, Crumlin",Dublin,180000.0,No,Crumlin,Dublin 12,q2,40%
23/06/2010,"122 Cromwellsfort Road, Crumlin",Dublin,322000.0,No,Crumlin,Dublin 12,q4,90%
23/06/2010,"51 Saint Agnes Road, Crumlin",Dublin,320000.0,No,Crumlin,Dublin 12,q4,90%
25/06/2010,"107 Brandon Road, Crumlin",Dublin,235000.0,No,Crumlin,Dublin 12,q3,60%
01/07/2010,"434 Clonard Road, Crumlin",Dublin,332000.0,No,Crumlin,Dublin 12,q4,90%
07/07/2010,"306 Clogher Road, Crumlin",Dublin,260000.0,No,Crumlin,Dublin 12,q3,70%
09/07/2010,"180 Lismore Road, Crumlin, Dublin 12",Dublin,230000.0,No,Crumlin,Dublin 12,q2,50%
21/07/2010,"44 Ferns Road, Crumlin",Dublin,210000.0,No,Crumlin,Dublin 12,q2,50%
23/07/2010,"59 Old County Glen, Crumlin, Dublin 12",Dublin,290000.0,No,Crumlin,Dublin 12,q4,80%
28/07/2010,"57 Crumlin Road, Crumlin",Dublin,350000.0,No,Crumlin,Dublin 12,q4,90%
30/07/2010,"91 Old County Road, Crumlin",Dublin,232000.0,No,Crumlin,Dublin 12,q3,60%
06/08/2010,"3 Tonguefield Road, Crumlin",Dublin,210000.0,No,Crumlin,Dublin 12,q2,50%
10/08/2010,"258 Clonard Road, Crumlin",Dublin,240500.0,No,Crumlin,Dublin 12,q3,60%
10/08/2010,"30 Cashel Avenue, Crumlin",Dublin,180000.0,No,Crumlin,Dublin 12,q2,40%
10/08/2010,"9 St Marys Road, Crumlin, Dublin 12",Dublin,335000.0,No,Crumlin,Dublin 12,q4,90%
11/08/2010,"52 St. Mary'S Road, Crumlin, Dublin 12",Dublin,252000.0,No,Crumlin,Dublin 12,q3,70%
13/08/2010,"94  Clonard Rpad, Crumlin, Dublin 12",Dublin,140000.0,No,Crumlin,Dublin 12,q1,20%
16/08/2010,"106 Leighlin Road, Crumlin, Dublin",Dublin,130000.0,No,Crumlin,Dublin 12,q1,20%
19/08/2010,"102 Raphoe Rpad, Crumlin, Dublin 12",Dublin,275000.0,No,Crumlin,Dublin 12,q3,70%
20/08/2010,"169 Windmill Road, Crumlin",Dublin,180000.0,No,Crumlin,Dublin 12,q2,40%
24/08/2010,"14 Stanaway Avenue, Crumlin, Dublin 12",Dublin,190500.0,No,Crumlin,Dublin 12,q2,40%
24/08/2010,"27 Lisle Road, Crumlin, Dublin 12",Dublin,252500.0,No,Crumlin,Dublin 12,q3,70%
26/08/2010,"319  Kildare Road, Crumlin",Dublin,200000.0,No,Crumlin,Dublin 12,q2,40%
01/09/2010,"38 Clogher Road, Crumlin",Dublin,235000.0,No,Crumlin,Dublin 12,q3,60%
10/09/2010,"1 Captain'S Drive, Crumlin, Dublin 12",Dublin,190000.0,No,Crumlin,Dublin 12,q2,40%
