date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
02/06/2010,"Apartment 13  Block A, Canon Hall  Custom House, Dublin 1",Dublin,300000.0,Yes,Custom House,Dublin 1,q3,70%
07/07/2010,"45 Malton House, Custom House Square",Dublin,197500.0,No,Custom House,Dublin 1,q1,30%
28/07/2010,"45  Beresford House, Custom House Square",Dublin,210000.0,No,Custom House,Dublin 1,q2,30%
04/08/2010,"Apt 2  Ground Floor, Beresford House  Custom House Sq",Dublin,168500.0,No,Custom House,Dublin 1,q1,20%
26/08/2010,"17 Malton House, Custom House Sq., Ifsc",Dublin,155000.0,No,Custom House,Dublin 1,q1,10%
10/09/2010,"6 Achill House, Custom House Square, Dublin 1",Dublin,185000.0,No,Custom House,Dublin 1,q1,20%
30/09/2010,"45 Arran House, Custom House Square",Dublin,171000.0,No,Custom House,Dublin 1,q1,20%
07/10/2010,"Apt.5 Barrow House, Custom House Square, Dublin 1",Dublin,185000.0,No,Custom House,Dublin 1,q1,20%
29/10/2010,"270 Asgard North, Custom House Harbour  Ifsc, Dublin 1",Dublin,345000.0,No,Custom House,Dublin 1,q4,80%
28/01/2011,"100 Rathlin House, Custom House Square",Dublin,252000.0,No,Custom House,Dublin 1,q2,50%
15/03/2011,"20 Burton House, Custom House Square, Ifsc",Dublin,258000.0,No,Custom House,Dublin 1,q2,50%
30/03/2011,"Apt 67  Spencer House, Custom House Square, Ifsc",Dublin,260000.0,No,Custom House,Dublin 1,q2,50%
06/04/2011,"Apt 105 Rathlin House, Custom House Square, Ifsc",Dublin,280000.0,No,Custom House,Dublin 1,q2,50%
30/05/2011,"Apartment 77 Spencer House, Custom House Square, Ifsc",Dublin,275000.0,No,Custom House,Dublin 1,q2,50%
30/06/2011,"38 Beresford House, Custom House Square",Dublin,148000.0,No,Custom House,Dublin 1,q1,10%
19/07/2011,"Apt. 6 Level 2 Boyne House, Custom House Square",Dublin,121000.0,No,Custom House,Dublin 1,q1,10%
20/07/2011,"Flat 104 Hook Head, Custom House Harbour, Ifsc",Dublin,198000.0,No,Custom House,Dublin 1,q1,30%
17/08/2011,"12 Lagan House, Custom House Quay, I.F.S.C.",Dublin,230000.0,No,Custom House,Dublin 1,q2,40%
23/08/2011,"59 Spencer House, Custom House Square, Mayor Street",Dublin,205000.0,No,Custom House,Dublin 1,q2,30%
31/08/2011,"13  Lagan House, Custom House, I.F.S.C.",Dublin,280000.0,No,Custom House,Dublin 1,q3,60%
22/09/2011,"54 Beresford House, Custom House Square, Custom House Quay",Dublin,131000.0,No,Custom House,Dublin 1,q1,10%
30/09/2011,"Apt 236  Custom House Harbour, Ifsc, Dublin 1",Dublin,237500.0,No,Custom House,Dublin 1,q2,40%
14/10/2011,"23  Burton House, Custom House Square, Ifsc",Dublin,196000.0,No,Custom House,Dublin 1,q1,30%
14/10/2011,"304 Custom House Harbour, Ifsc, Dublin 1",Dublin,190000.0,No,Custom House,Dublin 1,q1,20%
28/10/2011,"19 Achill House, Custom House Square, Dublin",Dublin,167500.0,No,Custom House,Dublin 1,q1,10%
