date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
29/01/2010,"10 Saval Park Road, Dalkey",Dublin,980000.0,No,Dalkey,Co. Dublin,q4,80%
29/01/2010,"31 Convent Road, Dalkey",Dublin,520000.0,No,Dalkey,Co. Dublin,q2,40%
01/02/2010,"26 Carysfort Avenue, Dalkey, County Dublin",Dublin,500000.0,No,Dalkey,Co. Dublin,q2,30%
05/02/2010,"Sorrentoville, Vico Road, Dalkey",Dublin,2400000.0,No,Dalkey,Co. Dublin,q4,100%
10/02/2010,"3/3A Ormeau Drive, Dalkey",Dublin,13970.0,No,Dalkey,Co. Dublin,q1,10%
15/02/2010,"Derreen, Barnhill Road, Dalkey",Dublin,740500.0,No,Dalkey,Co. Dublin,q3,60%
21/04/2010,"67 Hyde Park Road, Dalkey",Dublin,575000.0,No,Dalkey,Co. Dublin,q2,40%
28/04/2010,"53 St Begnets Villas, Dalkey, Co.Dublin",Dublin,405000.0,No,Dalkey,Co. Dublin,q1,20%
07/05/2010,"55 St. Begnets Villas, Dalkey",Dublin,370000.0,No,Dalkey,Co. Dublin,q1,20%
14/05/2010,"52 Carysfort, Dalkey",Dublin,630000.0,No,Dalkey,Co. Dublin,q2,50%
24/05/2010,"Gosworth, Castlepark Road, Dalkey",Dublin,1718000.0,No,Dalkey,Co. Dublin,q4,100%
28/05/2010,"Kenard, Barnhill Road, Dalkey",Dublin,570000.0,No,Dalkey,Co. Dublin,q2,40%
09/06/2010,"3 Dalkey Grove, Dalkey",Dublin,480000.0,No,Dalkey,Co. Dublin,q2,30%
10/06/2010,"5 Termon, Castle Street, Dalkey",Dublin,580000.0,No,Dalkey,Co. Dublin,q2,40%
10/06/2010,"Wynyard, Saval Park Road, Dalkey",Dublin,2250000.0,No,Dalkey,Co. Dublin,q4,100%
12/06/2010,"47 St. Begnet'S Villas, Dalkey, Co. Dublin",Dublin,367500.0,No,Dalkey,Co. Dublin,q1,20%
24/06/2010,"103 St Begnets Villas, Dalkey",Dublin,407000.0,No,Dalkey,Co. Dublin,q1,20%
01/07/2010,"4 The Rise, Barnhill Road, Dalkey",Dublin,580000.0,No,Dalkey,Co. Dublin,q2,40%
01/07/2010,"Inishowen, Knocknacree Road, Dalkey",Dublin,1450000.0,No,Dalkey,Co. Dublin,q4,90%
05/07/2010,"6 Craiglands, Ardeevin Road, Dalkey",Dublin,417500.0,No,Dalkey,Co. Dublin,q1,20%
09/07/2010,"14 St. Begnet'S Villas, Dalkey",Dublin,252000.0,No,Dalkey,Co. Dublin,q1,10%
21/07/2010,"San Michele, 4  Barnhill Road, Dalkey",Dublin,875000.0,No,Dalkey,Co. Dublin,q3,70%
30/07/2010,"6 Ullardmor, Ardeevin Road, Dalkey",Dublin,850000.0,No,Dalkey,Co. Dublin,q3,70%
06/08/2010,"7 St. Margarets Close, Castlepark Road, Dalkey",Dublin,375000.0,No,Dalkey,Co. Dublin,q1,20%
06/08/2010,"97  St. Begnet'S Villas, Dalkey",Dublin,325000.0,No,Dalkey,Co. Dublin,q1,10%
11/08/2010,"97 Coliemore Road, Dalkey",Dublin,350000.0,No,Dalkey,Co. Dublin,q1,20%
24/08/2010,"Dolphin Cottage, Coliemore Road, Dalkey",Dublin,860000.0,No,Dalkey,Co. Dublin,q3,70%
27/08/2010,"24 Whites Villas, Dalkey, County Dublin",Dublin,360000.0,No,Dalkey,Co. Dublin,q1,20%
31/08/2010,"The Gables, Sorrento Road  Dalkey",Dublin,950000.0,No,Dalkey,Co. Dublin,q3,80%
03/09/2010,"25 Hyde Park, Dalkey, County Dublin",Dublin,940000.0,No,Dalkey,Co. Dublin,q3,80%
13/09/2010,"Apartment No. 6  Block 1, Barthra Rock  Haver Road, Dalkey",Dublin,500000.0,No,Dalkey,Co. Dublin,q2,30%
21/09/2010,"1 Glandore, Harbour Road, Dalkey",Dublin,585000.0,No,Dalkey,Co. Dublin,q2,40%
24/09/2010,"20 Carysfort Villas, Dalkey",Dublin,301250.0,No,Dalkey,Co. Dublin,q1,10%
27/09/2010,"2 Church Road, Dalkey",Dublin,1262500.0,No,Dalkey,Co. Dublin,q4,90%
30/09/2010,"17 The Burgage, Dalkey, Dublin",Dublin,405000.0,No,Dalkey,Co. Dublin,q1,20%
14/10/2010,"7 Castle Street, Dalkey",Dublin,617500.0,No,Dalkey,Co. Dublin,q2,50%
04/11/2010,"Kwetu, 53 Sorrento Road, Dalkey",Dublin,860000.0,No,Dalkey,Co. Dublin,q3,70%
09/12/2010,"2 The Village Gate, Dalkey Avenue, Dalkey",Dublin,340000.0,No,Dalkey,Co. Dublin,q1,20%
20/12/2010,"18 Proby Park, Barnhill Road, Dalkey",Dublin,430000.0,No,Dalkey,Co. Dublin,q1,20%
12/01/2011,"49 Mapas Road, Dalkey",Dublin,540000.0,No,Dalkey,Co. Dublin,q2,40%
21/01/2011,"39 Coliemore Road, Dalkey",Dublin,940000.0,No,Dalkey,Co. Dublin,q3,80%
14/02/2011,"73 Dalkey Avenue, Dalkey",Dublin,590000.0,No,Dalkey,Co. Dublin,q2,40%
15/02/2011,"Prince Patrick House, Knocknacree Road, Dalkey",Dublin,980000.0,No,Dalkey,Co. Dublin,q4,80%
08/03/2011,"Fairlawn House, Saval Park Road, Dalkey",Dublin,1600000.0,No,Dalkey,Co. Dublin,q4,90%
28/04/2011,"48 Ulverton Road, Dalkey",Dublin,700000.0,No,Dalkey,Co. Dublin,q3,60%
29/04/2011,"1 Ardbrugh Road, Dalkey, County Dublin",Dublin,550000.0,No,Dalkey,Co. Dublin,q2,40%
17/05/2011,"33 Carysfort Court, St. Patricks Road, Dalkey",Dublin,250000.0,No,Dalkey,Co. Dublin,q1,10%
20/05/2011,"11 The Cregan, Bailey View, Dalkey",Dublin,420000.0,No,Dalkey,Co. Dublin,q1,20%
24/05/2011,"Apartment 2  Seaview, 82 Coliemore Road, Dalkey",Dublin,280000.0,No,Dalkey,Co. Dublin,q1,10%
31/05/2011,"7 The Paddocks, Ulverton Road, Dalkey",Dublin,915000.0,No,Dalkey,Co. Dublin,q3,80%
10/06/2011,"23 Gosworth Park, Dalkey",Dublin,710000.0,No,Dalkey,Co. Dublin,q3,60%
10/06/2011,"Gorse Lodge, Gorse Hill, Dalkey",Dublin,850000.0,No,Dalkey,Co. Dublin,q3,70%
04/07/2011,"4 Castle Villas, Dalkey",Dublin,375000.0,No,Dalkey,Co. Dublin,q1,20%
07/07/2011,"5 Sorrento Drive, Dalkey",Dublin,305000.0,No,Dalkey,Co. Dublin,q1,10%
18/07/2011,"92A Sorrento Road, Dalkey",Dublin,150000.0,No,Dalkey,Co. Dublin,q1,10%
27/07/2011,"Mineholm, Barnhill Road, Dalkey",Dublin,555000.0,No,Dalkey,Co. Dublin,q2,40%
29/07/2011,"Bradda, Monterella  Barnhill Road, Dalkey",Dublin,320000.0,No,Dalkey,Co. Dublin,q1,10%
04/08/2011,"Apartment No. 6 Castle Park Court, 57 Castlepark Road, Dalkey",Dublin,259911.89,Yes,Dalkey,Co. Dublin,q1,10%
05/08/2011,"12 Dalkey Park, Dalkey, Co. Dublin",Dublin,509500.0,No,Dalkey,Co. Dublin,q2,30%
11/08/2011,"Atlanta, 37 Coliemore Road, Dalkey",Dublin,2600000.0,No,Dalkey,Co. Dublin,q4,100%
11/08/2011,"The Log, 42 Sorrento Road, Dalkey",Dublin,620000.0,No,Dalkey,Co. Dublin,q2,50%
12/08/2011,"7 Cunningham Drive, Dalkey",Dublin,565000.0,No,Dalkey,Co. Dublin,q2,40%
24/08/2011,"Carabeg, 2 Burmah Close, Dalkey",Dublin,410000.0,No,Dalkey,Co. Dublin,q1,20%
25/08/2011,"Apatrtment No. 9, Castle Park Court, 57 Castlepark Road Dalkey",Dublin,268722.0,Yes,Dalkey,Co. Dublin,q1,10%
