date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
08/03/2010,"28 St Kevins Gardens, Dartry",Dublin,630000.0,No,Dartry,Dublin 6,q2,50%
09/03/2010,"36 South Hill, Dartry, Dublin 6",Dublin,1372500.0,No,Dartry,Dublin 6,q4,80%
31/03/2010,"33 South Hill, Dartry, Dublin 6",Dublin,635000.0,No,Dartry,Dublin 6,q2,50%
31/05/2010,"52 St Kevins Park, Dartry",Dublin,1550000.0,No,Dartry,Dublin 6,q4,90%
05/07/2010,"10 South Hill, Dartry",Dublin,735000.0,No,Dartry,Dublin 6,q2,50%
28/07/2010,"7 Temple Square, Dartry",Dublin,499900.0,No,Dartry,Dublin 6,q2,30%
01/09/2010,"312 Richmond Court, Richmond Avenue  Dartry, Dublin 6",Dublin,286000.0,No,Dartry,Dublin 6,q1,10%
06/09/2010,"41 Dartry Road, Dartry",Dublin,1275000.0,No,Dartry,Dublin 6,q3,80%
12/11/2010,"75 South Hill, Dartry",Dublin,735682.81,Yes,Dartry,Dublin 6,q2,50%
11/03/2011,"Jessefield, 2 Dartry Road, Dublin 6",Dublin,1275000.0,No,Dartry,Dublin 6,q3,80%
30/03/2011,"23 Dartry Park, Dartry, Dublin 6",Dublin,860000.0,No,Dartry,Dublin 6,q3,60%
15/04/2011,"48 St. Kevin'S Park, Dartry",Dublin,1300000.0,No,Dartry,Dublin 6,q3,80%
13/05/2011,"16 Temple Road, Dartry",Dublin,1600000.0,No,Dartry,Dublin 6,q4,90%
27/05/2011,"1Temple Square, Dartry, Dublin 6",Dublin,394000.0,No,Dartry,Dublin 6,q1,20%
28/06/2011,"4 Sunbury Gardens, Dartry",Dublin,1200000.0,No,Dartry,Dublin 6,q3,70%
27/07/2011,"16 South Hill, Dartry",Dublin,640000.0,No,Dartry,Dublin 6,q2,50%
29/07/2011,"16 Sunbury Park, Sunbury Gardens, Dartry",Dublin,565000.0,No,Dartry,Dublin 6,q2,40%
02/08/2011,"72  South Hill, Dartry, Dublin 6",Dublin,705000.0,No,Dartry,Dublin 6,q2,50%
09/09/2011,"16 St Kevins Park, Dartry, Dublin 6",Dublin,1440000.0,No,Dartry,Dublin 6,q4,80%
09/09/2011,"29, St Kevin'S Gardens, Dartry",Dublin,525000.0,No,Dartry,Dublin 6,q2,40%
23/09/2011,"48 South Hill, Dartry",Dublin,530000.0,No,Dartry,Dublin 6,q2,40%
26/09/2011,"1 Sunbury Park, Dartry",Dublin,750000.0,No,Dartry,Dublin 6,q2,50%
06/10/2011,"7 Sunbury Park, Sunbury Gardens, Dartry",Dublin,495000.0,No,Dartry,Dublin 6,q2,30%
18/10/2011,"20 Dartry Park, Darty, Dublin 6",Dublin,700000.0,No,Dartry,Dublin 6,q2,50%
18/11/2011,"17 Uppercross Apartments, Temple Park, Dartry",Dublin,145000.0,No,Dartry,Dublin 6,q1,10%
25/11/2011,"Apartment No. 12A  Block B, Temple Park, Dartry",Dublin,170000.0,No,Dartry,Dublin 6,q1,10%
24/01/2012,"321 Richmond Court, Dartry, Dublin 6",Dublin,215000.0,No,Dartry,Dublin 6,q1,10%
16/04/2012,"55 South Hill, Dartry, Dublin 6",Dublin,535000.0,No,Dartry,Dublin 6,q2,40%
15/06/2012,"2 Temple Square, Dartry",Dublin,297000.0,No,Dartry,Dublin 6,q1,10%
26/07/2012,"58 South Hill, Dartry, Dublin 6",Dublin,635000.0,No,Dartry,Dublin 6,q2,50%
08/10/2012,"Apartment 12, Temple Park, Dartry",Dublin,103333.0,No,Dartry,Dublin 6,q1,10%
22/11/2012,"1 And 2 Dartry Cottages, Dartry",Dublin,300000.0,No,Dartry,Dublin 6,q1,10%
19/12/2012,"30 Balnagowan, Palmerston Park, Dartry",Dublin,280000.0,No,Dartry,Dublin 6,q1,10%
22/03/2013,"46 Temple Square, Temple Road, Dartry",Dublin,450000.0,No,Dartry,Dublin 6,q2,30%
17/05/2013,"1 Richview Park, Dartry",Dublin,2050000.0,Yes,Dartry,Dublin 6,q4,100%
11/06/2013,"Clareville  42 A Dartry Road, Dartry",Dublin,466250.0,No,Dartry,Dublin 6,q2,30%
21/06/2013,"19 Dartry Road, Dublin 6",Dublin,1440000.0,No,Dartry,Dublin 6,q4,80%
02/07/2013,"3 St Bridgets, Sunbury Court, Dartry",Dublin,207500.0,No,Dartry,Dublin 6,q1,10%
04/07/2013,"40 St Kevins Park, Dartry",Dublin,1505000.0,No,Dartry,Dublin 6,q4,90%
19/11/2013,"23 South Hill, Dartry, Dublin 6",Dublin,605000.0,No,Dartry,Dublin 6,q2,40%
22/11/2013,"4 Temple Sq, Temple Rd, Dartry Dublin 6",Dublin,410000.0,No,Dartry,Dublin 6,q1,30%
