date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
02/03/2011,"3 The Cottages, North Bull Wall, Dollymount",Dublin,350000.0,No,Dollymount,Dublin 3,q1,10%
09/10/2015,"29 Baymount Park, Dollymount, Dublin 3",Dublin,725000.0,No,Dollymount,Dublin 3,q2,50%
08/09/2016,"38 Dollymount Ave, Dollymount, Dublin 3",Dublin,840000.0,No,Dollymount,Dublin 3,q4,90%
29/09/2016,"19 Dollymount Park, Dublin 3",Dublin,515000.0,No,Dollymount,Dublin 3,q1,20%
08/10/2016,"35 Seapark Dr, Dollymount, Dublin 3",Dublin,457500.0,No,Dollymount,Dublin 3,q1,10%
02/02/2018,"2 Baymount Park, Mount Prospect Avenue, Dollymount",Dublin,675000.0,No,Dollymount,Dublin 3,q2,40%
09/03/2018,"10 Castle Vernon Avenue, Dollymount",Dublin,806167.39,Yes,Dollymount,Dublin 3,q3,80%
25/04/2018,"1 Castle Vernon, Castle Vernon, Dollymount Avenue",Dublin,788546.0,Yes,Dollymount,Dublin 3,q3,60%
23/08/2018,"70 Dollymount Park, Dublin 3, Dublin",Dublin,520000.0,No,Dollymount,Dublin 3,q1,30%
20/12/2018,"33 Baymount Park, Dollymount, Dublin 3",Dublin,680000.0,No,Dollymount,Dublin 3,q2,50%
18/01/2019,"140 Mount Prospect Ave, Dollymount, Dublin 3",Dublin,898000.0,No,Dollymount,Dublin 3,q4,100%
21/02/2019,"415 Clontarf Road, Dollymount, Dublin 3",Dublin,910000.0,No,Dollymount,Dublin 3,q4,100%
20/09/2019,"Unit  21 Castle Vernon, Castle Vernon, Dollymount Avenue",Dublin,788546.25,Yes,Dollymount,Dublin 3,q3,70%
