date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
22/08/2012,"128 Parnell Road, Dolphins Barn, Dublin 12",Dublin,135000.0,No,Dolphins Barn,Dublin 8,q2,30%
14/09/2012,"10 Emerald Square, Dolphins Barn, Dublin 8",Dublin,92000.0,No,Dolphins Barn,Dublin 8,q1,10%
26/11/2012,"23 St. James'S Terrace, Dolphins Barn",Dublin,100000.0,No,Dolphins Barn,Dublin 8,q1,20%
01/02/2013,"32 Emerald Square, Dolphins Barn, Dublin 8",Dublin,82000.0,No,Dolphins Barn,Dublin 8,q1,10%
20/06/2013,"5 Rehoboth Court, 36/37 Rehoboth Place, Dolphins Barn",Dublin,90000.0,No,Dolphins Barn,Dublin 8,q1,10%
04/02/2014,"17Rehoboth Place, Dolphins Barn, Dublin 8",Dublin,145000.0,No,Dolphins Barn,Dublin 8,q2,30%
19/05/2014,"294 Sth Circular Rd, Dolphins Barn, Dublin 8",Dublin,255000.0,No,Dolphins Barn,Dublin 8,q3,70%
13/06/2014,"7 Poole Terrace, Dolphins Barn St, Dublin 8",Dublin,165000.0,No,Dolphins Barn,Dublin 8,q2,50%
23/09/2014,"36 Reuben Ave, Dolphins Barn, Dublin 8",Dublin,165000.0,No,Dolphins Barn,Dublin 8,q2,50%
29/10/2014,"16 Reuben Sq, Dolphins Barn, Circular Rd South Dublin 8",Dublin,182000.0,No,Dolphins Barn,Dublin 8,q2,50%
17/11/2014,"324 South Circular Rd, Dolphins Barn, Dublin 8",Dublin,590000.0,No,Dolphins Barn,Dublin 8,q4,100%
23/01/2015,"19 Rehoboth Place, Circular Rd South, Dolphins Barn Dublin 8",Dublin,220000.0,No,Dolphins Barn,Dublin 8,q3,60%
11/06/2015,"37 Reuben Avenue, Dolphins Barn, Dublin 8",Dublin,220000.0,No,Dolphins Barn,Dublin 8,q3,60%
20/07/2015,"41 Rutland Ave, Dolphins Barn, Dublin 12",Dublin,220500.0,No,Dolphins Barn,Dublin 8,q3,60%
05/11/2015,"36 Ruebens Sq, Ruebens St, Dolphins Barn Dublin 8",Dublin,161500.0,No,Dolphins Barn,Dublin 8,q2,50%
18/01/2016,"7 Maxwell St, Dolphins Barn, Dublin 8",Dublin,140000.0,No,Dolphins Barn,Dublin 8,q2,30%
15/02/2016,"21 Rehoboth Place, Dolphins Barn, Dublin 8",Dublin,360000.0,No,Dolphins Barn,Dublin 8,q4,90%
11/04/2016,"53 Reuben Sq, Reuben St, Dolphins Barn Dublin 8",Dublin,180000.0,No,Dolphins Barn,Dublin 8,q2,50%
21/07/2016,"2 Reillys Ave, Dolphins Barn, Dublin",Dublin,190000.0,No,Dolphins Barn,Dublin 8,q3,60%
04/08/2016,"19 St James Terrace, Dolphins Barn, Dublin 8",Dublin,232000.0,No,Dolphins Barn,Dublin 8,q3,60%
08/08/2016,"45 Reuben Ave, Dolphins Barn, Dublin 8",Dublin,290000.0,No,Dolphins Barn,Dublin 8,q3,80%
16/09/2016,"128 Parnell Rd, Dolphins Barn, Dublin 12",Dublin,262000.0,No,Dolphins Barn,Dublin 8,q3,70%
12/12/2016,"6 Reillys Ave, Dolphins Barn, Dublin 8",Dublin,145000.0,No,Dolphins Barn,Dublin 8,q2,40%
20/01/2017,"101 The Ice Rink, Dolphins Barn, Dublin 8",Dublin,98061.0,No,Dolphins Barn,Dublin 8,q1,10%
20/01/2017,"80 The Ice Rink, Dolphins Barn, Dublin 8",Dublin,134044.0,No,Dolphins Barn,Dublin 8,q1,30%
20/01/2017,"81 The Ice Rink, Dolphins Barn, Dublin 8",Dublin,101217.0,No,Dolphins Barn,Dublin 8,q1,20%
20/01/2017,"82 The Ice Rink, Dolphins Barn, Dublin 8",Dublin,147512.0,No,Dolphins Barn,Dublin 8,q2,40%
20/01/2017,"83 The Ice Rink, Dolphins Barn, Dublin 8",Dublin,100796.0,No,Dolphins Barn,Dublin 8,q1,20%
20/01/2017,"84 The Ice Rink, Dolphins Barn, Dublin 8",Dublin,147512.0,No,Dolphins Barn,Dublin 8,q2,40%
20/01/2017,"85 The Ice Rink, Dolphins Barn, Dublin 8",Dublin,101217.0,No,Dolphins Barn,Dublin 8,q1,20%
20/01/2017,"86 The Ice Rink, Dolphins Barn, Dublin 8",Dublin,147512.0,No,Dolphins Barn,Dublin 8,q2,40%
20/01/2017,"87 The Ice Rink, Dolphins Barn, Dublin 8",Dublin,101217.0,No,Dolphins Barn,Dublin 8,q1,20%
20/01/2017,"88 Theice Rink, Dolphins Barn, Dublin 8",Dublin,149406.0,No,Dolphins Barn,Dublin 8,q2,50%
20/01/2017,"89 The Ice Rink, Dolphins Barn, Dublin 8",Dublin,155719.0,No,Dolphins Barn,Dublin 8,q2,50%
20/01/2017,"90 The Ice Rink, Dolphins Barn, Dublin 8",Dublin,87539.0,No,Dolphins Barn,Dublin 8,q1,10%
20/01/2017,"91 The Ice Rink, Dolphins Barn, Dublin 8",Dublin,108161.0,No,Dolphins Barn,Dublin 8,q1,20%
20/01/2017,"92 The Ice Rink, Dolphins Barn, Dublin 8",Dublin,148143.0,No,Dolphins Barn,Dublin 8,q2,40%
20/01/2017,"93 Theice Rink, Dolphins Barn, Dublin 8",Dublin,88381.0,No,Dolphins Barn,Dublin 8,q1,10%
20/01/2017,"94 The Ice Rink, Dolphins Barn, Dublin 8",Dublin,108161.0,No,Dolphins Barn,Dublin 8,q1,20%
20/01/2017,"95 The Ice Rink, Dolphins Barn, Dublin 8",Dublin,148143.0,No,Dolphins Barn,Dublin 8,q2,40%
