date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
08/01/2010,"7 Eden Grove, Donabate",Dublin,285000.0,No,Donabate,Co. Dublin,q2,40%
28/01/2010,"83 Turvey Walk, Donabate",Dublin,195000.0,Yes,Donabate,Co. Dublin,q1,20%
03/02/2010,"142 Turvey Walk, Donabate, County Dublin",Dublin,185000.0,Yes,Donabate,Co. Dublin,q1,20%
18/02/2010,"63 Somerton, Donabate",Dublin,390000.0,No,Donabate,Co. Dublin,q4,90%
24/02/2010,"Apartment No 178 Turvey Walk, Donabate, Co Dublin",Dublin,189427.31,Yes,Donabate,Co. Dublin,q1,20%
26/02/2010,"94 The Strand, Donabate",Dublin,257500.0,No,Donabate,Co. Dublin,q2,40%
05/03/2010,"11 Carrs Mill, Donabate",Dublin,295000.0,No,Donabate,Co. Dublin,q2,50%
05/03/2010,"13 Beverton Gardens, Donabate, Co. Dublin",Dublin,285000.0,Yes,Donabate,Co. Dublin,q2,40%
08/03/2010,"10  Beverton Meadows, Donabate",Dublin,320000.0,Yes,Donabate,Co. Dublin,q3,60%
10/03/2010,"34 The Priory, Donabate",Dublin,340000.0,No,Donabate,Co. Dublin,q3,70%
12/03/2010,"190 Turvey Walk, Donabate",Dublin,225000.0,Yes,Donabate,Co. Dublin,q1,30%
12/03/2010,"2 Turvey Woods, Donabate",Dublin,152000.0,No,Donabate,Co. Dublin,q1,10%
16/03/2010,"119 Carrsmill  Portrane Road, Donabate",Dublin,546035.24,No,Donabate,Co. Dublin,q4,100%
23/04/2010,"The Round House, Ballymadrough, Donabate",Dublin,526000.0,No,Donabate,Co. Dublin,q4,100%
05/05/2010,"Portrane Road, Donabate, .",Dublin,220000.0,No,Donabate,Co. Dublin,q1,30%
06/05/2010,"14 Viking Court, Turvey Close, Donabate",Dublin,122500.0,No,Donabate,Co. Dublin,q1,10%
11/05/2010,"117  Carrsmill, Donabate",Dublin,397107.0,Yes,Donabate,Co. Dublin,q4,90%
14/05/2010,"149 Carrsmill, Portrane Road, Donabate",Dublin,540000.0,No,Donabate,Co. Dublin,q4,100%
14/05/2010,"2 Beverton Meadows, Donabate",Dublin,325000.0,Yes,Donabate,Co. Dublin,q3,60%
02/06/2010,"86 Carrs Mills, Donabate",Dublin,322000.0,No,Donabate,Co. Dublin,q3,60%
04/06/2010,"38 Eden Grove, Donabate",Dublin,297500.0,No,Donabate,Co. Dublin,q2,50%
11/06/2010,"Apt 188, Turvey Walk, Donabate",Dublin,189427.31,Yes,Donabate,Co. Dublin,q1,20%
18/06/2010,"4 Somerton, Donabate",Dublin,365000.0,No,Donabate,Co. Dublin,q3,80%
18/06/2010,"The Orchard, Beaverstown Road, Donabate",Dublin,357000.0,No,Donabate,Co. Dublin,q3,70%
21/06/2010,"19 Bevertonway, Donabate",Dublin,338000.0,No,Donabate,Co. Dublin,q3,70%
22/06/2010,"Apt 75, Turvey Woods, Donabate",Dublin,120000.0,No,Donabate,Co. Dublin,q1,10%
28/06/2010,"17 Eden Grove, Donabate",Dublin,275000.0,No,Donabate,Co. Dublin,q2,40%
02/07/2010,"15 Beaverton Gardens, Donabate",Dublin,340000.0,Yes,Donabate,Co. Dublin,q3,70%
02/07/2010,"75 Somerton, Donabate",Dublin,330000.0,No,Donabate,Co. Dublin,q3,60%
15/07/2010,"26 Turvey Green, Donabate",Dublin,241000.0,No,Donabate,Co. Dublin,q2,30%
23/07/2010,"16 Beverton Green, Donabate",Dublin,335000.0,No,Donabate,Co. Dublin,q3,70%
28/07/2010,"50  Beaverbrook, Beaverstown, Donabate",Dublin,720000.0,No,Donabate,Co. Dublin,q4,100%
30/07/2010,"6 Eden Grove, Beaverstown Orchard, Donabate",Dublin,279000.0,No,Donabate,Co. Dublin,q2,40%
05/08/2010,"49 Beaverbrook, Donabate",Dublin,650000.0,No,Donabate,Co. Dublin,q4,100%
06/08/2010,"60 Donabate Village, Donabate",Dublin,275000.0,No,Donabate,Co. Dublin,q2,40%
12/08/2010,"6 Beverton Meadows, Donabate, Co. Dublin",Dublin,176211.0,Yes,Donabate,Co. Dublin,q1,20%
20/08/2010,"15, Fairways, Donabate",Dublin,190000.0,No,Donabate,Co. Dublin,q1,20%
27/08/2010,"138 Carrsmill, Portrane Road, Donabate",Dublin,387665.19,Yes,Donabate,Co. Dublin,q4,80%
27/08/2010,"26 Cois Inbhir, Beaverstown Road, Donabate",Dublin,370000.0,No,Donabate,Co. Dublin,q3,80%
01/09/2010,"14 Beverton Way, Donabate, Co Dublin",Dublin,280000.0,No,Donabate,Co. Dublin,q2,40%
02/09/2010,"137 Carrsmill, Donabate",Dublin,525770.93,Yes,Donabate,Co. Dublin,q4,100%
02/09/2010,"177 Turvey Walk, Donabate, Co Dublin",Dublin,169421.48,Yes,Donabate,Co. Dublin,q1,20%
13/09/2010,"58 The Strand, Donabate, Co. Dublin",Dublin,260000.0,No,Donabate,Co. Dublin,q2,40%
17/09/2010,"108 Carrsmill, Portrane Road, Donabate",Dublin,381938.0,Yes,Donabate,Co. Dublin,q4,80%
