date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
25/02/2010,"72 Millbrook Avenue, Donaghmede, Dublin 13",Dublin,220000.0,No,Donaghmede,Dublin 13,q2,40%
26/02/2010,"73 Grange Abbey Grove, Donaghmede",Dublin,232000.0,No,Donaghmede,Dublin 13,q2,50%
23/04/2010,"5 Grangemore Lawn, Donaghmede",Dublin,240000.0,No,Donaghmede,Dublin 13,q2,50%
07/05/2010,"1 Grangemore Cresent, Donaghmede, Dublin 13",Dublin,312500.0,No,Donaghmede,Dublin 13,q4,80%
17/06/2010,"68 St. Donagh'S Road, Donaghmede",Dublin,203000.0,No,Donaghmede,Dublin 13,q2,30%
18/06/2010,"70 Carndonagh Park, Donaghmede",Dublin,243000.0,No,Donaghmede,Dublin 13,q2,50%
25/06/2010,"118 Grattan Lodge, Hole In The Wall Road, Donaghmede",Dublin,380000.0,No,Donaghmede,Dublin 13,q4,100%
14/07/2010,"7 Donaghmede Road, Donaghmede",Dublin,225000.0,No,Donaghmede,Dublin 13,q2,40%
15/07/2010,"16 Grangemore Grove, Donaghmede",Dublin,225000.0,No,Donaghmede,Dublin 13,q2,40%
03/08/2010,"1 Newbrook Avenue, Donaghmede, Dublin 13",Dublin,237000.0,No,Donaghmede,Dublin 13,q2,50%
18/08/2010,"11 Hollywell Avenue, Donaghmede",Dublin,230000.0,No,Donaghmede,Dublin 13,q2,40%
19/08/2010,"52 Carndonagh Road, Donaghmede",Dublin,260000.0,No,Donaghmede,Dublin 13,q3,60%
25/08/2010,"7 Whyteleaf Grove, Donaghmede",Dublin,250000.0,No,Donaghmede,Dublin 13,q2,50%
30/08/2010,"37 Donaghmede Park, Donaghmede",Dublin,230000.0,No,Donaghmede,Dublin 13,q2,40%
06/10/2010,"12 St Donagh'S Crescent, Donaghmede",Dublin,200000.0,No,Donaghmede,Dublin 13,q2,30%
25/11/2010,"91 Carndonagh Drive, Donaghmede",Dublin,230000.0,No,Donaghmede,Dublin 13,q2,50%
09/12/2010,"19 Howth View Park, Donaghmede, Dublin 13",Dublin,265000.0,No,Donaghmede,Dublin 13,q3,60%
17/12/2010,"98 Carndonagh Park, Donaghmede",Dublin,275000.0,No,Donaghmede,Dublin 13,q3,70%
22/12/2010,"16  Tara Lawns, The Donahies, Donaghmede",Dublin,222500.0,No,Donaghmede,Dublin 13,q2,40%
24/03/2011,"70 Ardara Avenue, Donaghmede, Dublin 13",Dublin,265000.0,No,Donaghmede,Dublin 13,q3,60%
16/06/2011,"19  Grangemore Court, Donaghmede",Dublin,187000.0,No,Donaghmede,Dublin 13,q1,20%
28/06/2011,"101 Donaghmede Road, Donaghmede",Dublin,185000.0,No,Donaghmede,Dublin 13,q1,20%
01/07/2011,"9 Donaghmede Drive, Donaghmede",Dublin,180000.0,No,Donaghmede,Dublin 13,q1,20%
05/07/2011,"18 Killary Grove, The Donahies, Donaghmede",Dublin,235000.0,No,Donaghmede,Dublin 13,q2,50%
08/07/2011,"24 Grange Abbey Grove, Donaghmede",Dublin,237000.0,No,Donaghmede,Dublin 13,q2,50%
18/07/2011,"41 Grangemore Road, Donaghmede",Dublin,248750.0,No,Donaghmede,Dublin 13,q2,50%
05/08/2011,"79 Grange Abbey Grove, Donaghmede",Dublin,250000.0,No,Donaghmede,Dublin 13,q2,50%
12/08/2011,"6 Grangemore Park, Donaghmede, Dublin 13",Dublin,227000.0,No,Donaghmede,Dublin 13,q2,40%
23/08/2011,"63 Grangemore Drive, Donaghmede, Dublin 13",Dublin,185500.0,No,Donaghmede,Dublin 13,q1,20%
08/09/2011,"Apartment 16, The Poplars, Grattan Wood  Donaghmede  Dublin 13",Dublin,145000.0,No,Donaghmede,Dublin 13,q1,10%
30/09/2011,"8 Grangemore Rise, Donaghmede",Dublin,228000.0,No,Donaghmede,Dublin 13,q2,40%
11/11/2011,"5 Nurney Lawn, Donaghmede",Dublin,160000.0,No,Donaghmede,Dublin 13,q1,10%
24/11/2011,"32 Grangemore Drive, Donaghmede",Dublin,395000.0,No,Donaghmede,Dublin 13,q4,100%
22/12/2011,"3 Foxhill Avenue, Donaghmede",Dublin,195000.0,No,Donaghmede,Dublin 13,q1,30%
05/01/2012,"182 St Donaghs Rd, Donaghmede, Dublin 13",Dublin,170655.0,No,Donaghmede,Dublin 13,q1,20%
05/01/2012,"182 St Donaghs Road, Donaghmede, Dublin 13",Dublin,170655.26,No,Donaghmede,Dublin 13,q1,20%
13/02/2012,"Apartment 11 The Spruce, Grattan Wood, Hole In The Wall Road  Donaghmede",Dublin,120000.0,No,Donaghmede,Dublin 13,q1,10%
16/02/2012,"2A Carndonagh Lawn, Donaghmede",Dublin,200000.0,No,Donaghmede,Dublin 13,q2,30%
27/02/2012,"78 Carndonagh Road, Donaghmede",Dublin,225000.0,No,Donaghmede,Dublin 13,q2,40%
24/04/2012,"15 The Oaks, Grattan Wood, Donaghmede",Dublin,125000.0,No,Donaghmede,Dublin 13,q1,10%
25/04/2012,"113 Newbrook Ave, Donaghmede",Dublin,190000.0,No,Donaghmede,Dublin 13,q1,20%
04/05/2012,"10 Killary Grove, Donaghmede, Dublin 13",Dublin,232500.0,No,Donaghmede,Dublin 13,q2,50%
14/05/2012,"4 Newbrook Road, Donaghmede",Dublin,180000.0,No,Donaghmede,Dublin 13,q1,20%
22/05/2012,"4 Donaghmede Drive, Donaghmede, Dublin",Dublin,170000.0,No,Donaghmede,Dublin 13,q1,20%
08/06/2012,"44 Grange Abbey Road, Donaghmede, Dublin 13",Dublin,200000.0,No,Donaghmede,Dublin 13,q2,30%
18/06/2012,"19 Hole In The Wall Road, Donaghmede, Dublin 13",Dublin,265000.0,No,Donaghmede,Dublin 13,q3,60%
09/07/2012,"13 Third Floor The Spruce, Donaghmede, Dublin 13",Dublin,175000.0,No,Donaghmede,Dublin 13,q1,20%
09/08/2012,"24  Streamville Road, Donaghmede, Dublin 13",Dublin,142500.0,No,Donaghmede,Dublin 13,q1,10%
17/08/2012,"21A Hole In The Wall Road, Donaghmede",Dublin,128000.0,No,Donaghmede,Dublin 13,q1,10%
23/08/2012,"95 Grattan Lodge, Donaghmede",Dublin,268000.0,No,Donaghmede,Dublin 13,q3,60%
27/08/2012,"39 Grangemore Drive+, Donaghmede",Dublin,202000.0,No,Donaghmede,Dublin 13,q2,30%
30/08/2012,"12 Whyteleaf Grove, The Donahies, Donaghmede",Dublin,189000.0,No,Donaghmede,Dublin 13,q1,20%
31/08/2012,"48 Donaghmede Road, Donaghmede",Dublin,175000.0,No,Donaghmede,Dublin 13,q1,20%
06/09/2012,"34 Donaghmede Drive, Donaghmede, Dublin 13",Dublin,165000.0,No,Donaghmede,Dublin 13,q1,10%
12/09/2012,"50 Carndonagh Park, Donaghmede, Dublin 13",Dublin,158500.0,No,Donaghmede,Dublin 13,q1,10%
25/09/2012,"21 Carndonagh Park, Donaghmede",Dublin,167000.0,No,Donaghmede,Dublin 13,q1,20%
08/10/2012,"7  Grangemore Avenue, Donaghmede, Dublin 13",Dublin,195000.0,No,Donaghmede,Dublin 13,q1,30%
16/10/2012,"35 Grangemore Avenue, Donaghmede",Dublin,195000.0,No,Donaghmede,Dublin 13,q1,30%
17/10/2012,"32 Carndonagh Road, Donaghmede, Dublin 13",Dublin,155000.0,No,Donaghmede,Dublin 13,q1,10%
31/10/2012,"11 Grangemore Crescent, Donaghmede, Dublin 13",Dublin,205000.0,No,Donaghmede,Dublin 13,q2,30%
16/11/2012,"5 Invermore Grove, The Donahies, Donaghmede",Dublin,200000.0,No,Donaghmede,Dublin 13,q2,30%
12/12/2012,"103 Grattan Lodge, Donaghmede, Dublin 5",Dublin,863841.0,No,Donaghmede,Dublin 13,q4,100%
12/12/2012,"108 Newbrook Avenue, Donaghmede, Dublin 5",Dublin,42444.0,No,Donaghmede,Dublin 13,q1,10%
14/12/2012,"105 Ardara Avenue, The Donahies, Donaghmede",Dublin,214000.0,No,Donaghmede,Dublin 13,q2,40%
17/12/2012,"109 Carndonagh Park, Donaghmede",Dublin,220000.0,No,Donaghmede,Dublin 13,q2,40%
17/12/2012,"42 Millbrook Avenue, Donaghmede",Dublin,116000.0,No,Donaghmede,Dublin 13,q1,10%
20/12/2012,"29 Carndonagh Park, Donaghmede, Dublin 13",Dublin,183000.0,No,Donaghmede,Dublin 13,q1,20%
20/12/2012,"37 Carndonagh Road, Donaghmede",Dublin,165000.0,No,Donaghmede,Dublin 13,q1,10%
21/12/2012,"9 Holywell Avenue, Donaghmede, Dublin 13",Dublin,185000.0,No,Donaghmede,Dublin 13,q1,20%
21/01/2013,"35 Grangemore Lawn, Donaghmede, Dublin 13",Dublin,205000.0,No,Donaghmede,Dublin 13,q2,30%
08/03/2013,"Apartment 9 The Maples, Grattan Wood, Donaghmede",Dublin,128000.0,No,Donaghmede,Dublin 13,q1,10%
14/03/2013,"51 Donaghmede Road, Donaghmede, Dublin 13",Dublin,183000.0,No,Donaghmede,Dublin 13,q1,20%
15/03/2013,"44A Clonrosse Drive, Ard Na Greinne, Donaghmede",Dublin,272000.0,No,Donaghmede,Dublin 13,q3,70%
30/05/2013,"3 The Spruce, Grattan Hall, Donaghmede",Dublin,109000.0,No,Donaghmede,Dublin 13,q1,10%
10/06/2013,"41 Carndonagh Lawn, Donaghmede, Dublin 13",Dublin,150000.0,No,Donaghmede,Dublin 13,q1,10%
12/06/2013,"39 Holywell Road, Donaghmede",Dublin,185000.0,No,Donaghmede,Dublin 13,q1,20%
